"species_sci","First or Duplicate Entry?","KEY (species name & group size) _duplicates in red","Taxon","Group Size","Reference from 38 (see last tab)","Source(s) in reference from 38","Notes"
"Alouatta palliata","ok","Alouatta_palliata13.7","Alouatta_palliata",13.7,"Patterson et al. 2014","Fedigan et al. 1985","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata13.8","Alouatta_palliata",13.8,"Patterson et al. 2014","Smith 1977","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","dup","Alouatta_palliata14","Alouatta_palliata",14,"Patterson et al. 2014","Ford 2010",
"Alouatta palliata","dup","Alouatta_palliata15.5","Alouatta_palliata",15.5,"Patterson et al. 2014","Crockett & Eisenberg 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Alouatta palliata","dup","Alouatta_palliata15.5","Alouatta_palliata",15.5,"Patterson et al. 2014","Clarke et al. 1986","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata16.1","Alouatta_palliata",16.1,"Patterson et al. 2014","Lippold 1988","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","dup","Alouatta_palliata17","Alouatta_palliata",17,"Patterson et al. 2014","Chivers 1969; Eisenberg & Thorington 1973; Jolly 1972","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Alouatta palliata","dup","Alouatta_palliata17","Alouatta_palliata",17,"Patterson et al. 2014","Milton 1980",
"Alouatta palliata","dup","Alouatta_palliata17","Alouatta_palliata",17,"Patterson et al. 2014","Milton 1980",
"Alouatta palliata","ok","Alouatta_palliata17.4","Alouatta_palliata",17.4,"Patterson et al. 2014","Carpenter 1934","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata18","Alouatta_palliata",18,"Patterson et al. 2014","Stoner 1996","Patterson et al. supplementary material; from Majolo et al. 2008"
"Alouatta palliata","ok","Alouatta_palliata18.5","Alouatta_palliata",18.5,"Patterson et al. 2014","Carpenter 1962","Patterson et al. supplementary material; from Beauchamp & Cabana 1990"
"Alouatta palliata","ok","Alouatta_palliata18.9","Alouatta_palliata",18.9,"Patterson et al. 2014","Baldwin et al. 1977","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata20.8","Alouatta_palliata",20.8,"Patterson et al. 2014","Milton 1982","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata25","Alouatta_palliata",25,"Patterson et al. 2014","Clarke et al. 2002",
"Alouatta palliata","ok","Alouatta_palliata26","Alouatta_palliata",26,"Patterson et al. 2014","Wang & Milton 2003",
"Alouatta palliata","ok","Alouatta_palliata3","Alouatta_palliata",3,"Patterson et al. 2014","Ford 2010",
"Alouatta palliata","ok","Alouatta_palliata4.2","Alouatta_palliata",4.2,"Patterson et al. 2014","Milton & Mittermeier 1977","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata40","Alouatta_palliata",40,"Patterson et al. 2014","Chapman 1990b",
"Alouatta palliata","ok","Alouatta_palliata59","Alouatta_palliata",59,"Patterson et al. 2014","Assensio et al. 2007",
"Alouatta palliata","dup","Alouatta_palliata6","Alouatta_palliata",6,"Patterson et al. 2014","Assensio et al. 2007",
"Alouatta palliata","ok","Alouatta_palliata7","Alouatta_palliata",7,"Patterson et al. 2014","Chivers 1969","Patterson et al. supplementary material; from Majolo et al. 2008"
"Alouatta palliata","dup","Alouatta_palliata7","Alouatta_palliata",7,"Patterson et al. 2014","Asensio & Gomez-Marin 2002",
"Alouatta palliata","dup","Alouatta_palliata7","Alouatta_palliata",7,"Patterson et al. 2014","Assensio et al. 2007",
"Alouatta palliata","ok","Alouatta_palliata8","Alouatta_palliata",8,"Patterson et al. 2014","Collias & Southwick 1952","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","dup","Alouatta_palliata8","Alouatta_palliata",8,"Patterson et al. 2014","Dunn et al. 2009",
"Alouatta palliata","ok","Alouatta_palliata8.1","Alouatta_palliata",8.1,"Patterson et al. 2014","Freese 1976","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata9","Alouatta_palliata",9,"Patterson et al. 2014","Dunn et al. 2009",
"Alouatta palliata","dup","Alouatta_palliata9.1","Alouatta_palliata",9.1,"Patterson et al. 2014","Crockett & Eisenberg 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Alouatta palliata","ok","Alouatta_palliata9.3","Alouatta_palliata",9.3,"Patterson et al. 2014","Estrada 1982","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta pigra","ok","Alouatta_pigra5.3","Alouatta_pigra",5.3,"Smuts et al. 1987",,
"Alouatta pigra","ok","Alouatta_pigra5.5","Alouatta_pigra",5.5,"Smuts et al. 1987",,
"Alouatta pigra","ok","Alouatta_pigra7","Alouatta_pigra",7,"Rowe 1996",,
"Alouatta seniculus","ok","Alouatta_seniculus7.1","Alouatta_seniculus",7.1,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta seniculus","ok","Alouatta_seniculus9","Alouatta_seniculus",9,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta seniculus","ok","Alouatta_seniculus9.5","Alouatta_seniculus",9.5,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta seniculus","ok","Alouatta_seniculus4.3","Alouatta_seniculus",4.3,"Smuts et al. 1987",,
"Alouatta seniculus","ok","Alouatta_seniculus6","Alouatta_seniculus",6,"Smuts et al. 1987",,
"Alouatta seniculus","ok","Alouatta_seniculus6.3","Alouatta_seniculus",6.3,"Smuts et al. 1987",,
"Alouatta seniculus","ok","Alouatta_seniculus6.95","Alouatta_seniculus",6.95,"Smuts et al. 1987",,
"Alouatta seniculus","dup","Alouatta_seniculus7.1","Alouatta_seniculus",7.1,"Smuts et al. 1987",,
"Alouatta seniculus","ok","Alouatta_seniculus7.4","Alouatta_seniculus",7.4,"Smuts et al. 1987",,
"Alouatta seniculus","dup","Alouatta_seniculus9","Alouatta_seniculus",9,"Smuts et al. 1987",,
"Alouatta seniculus","dup","Alouatta_seniculus9.5","Alouatta_seniculus",9.5,"Smuts et al. 1987",,
"Alouatta seniculus","dup","Alouatta_seniculus9","Alouatta_seniculus",9,"Dunbar 1991","Gaulin & Gaulin 1982",
"Alouatta seniculus","ok","Alouatta_seniculus8.5","Alouatta_seniculus",8.5,"Clutton-Brock & Harvey 1997",,
"Alouatta seniculus","ok","Alouatta_seniculus4.6","Alouatta_seniculus",4.6,"Rowe 1996",,
"Aotus azarai","ok","Aotus_azarai3","Aotus_azarai",3,"Rowe 1996",,"Aotus nigriceps (red necked group)"
"Aotus lemurinus","ok","Aotus_lemurinus3.5","Aotus_lemurinus",3.5,"Rowe 1996",,
"Aotus trivirgatus","ok","Aotus_trivirgatus3.1","Aotus_trivirgatus",3.1,"Smuts et al. 1987",,
"Aotus trivirgatus","ok","Aotus_trivirgatus3.5","Aotus_trivirgatus",3.5,"Smuts et al. 1987",,
"Aotus trivirgatus","ok","Aotus_trivirgatus1.5","Aotus_trivirgatus",1.5,"Clutton-Brock & Harvey 1997",,
"Aotus trivirgatus","dup","Aotus_trivirgatus3.5","Aotus_trivirgatus",3.5,"Rowe 1996",,
"Aotus trivirgatus","dup","Aotus_trivirgatus1.5","Aotus_trivirgatus",1.5,"Patterson et al. 2014","Moynihan 1964; Jolly 1972","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Aotus trivirgatus","ok","Aotus_trivirgatus2","Aotus_trivirgatus",2,"Patterson et al. 2014","Wright 1978",
"Aotus trivirgatus","ok","Aotus_trivirgatus3","Aotus_trivirgatus",3,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus3","Aotus_trivirgatus",3,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus3","Aotus_trivirgatus",3,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","ok","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Fernandez-Duque et al.. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Wright 1978",
"Aotus trivirgatus","dup","Aotus_trivirgatus4","Aotus_trivirgatus",4,"Patterson et al. 2014","Wright 1978",
"Aotus trivirgatus","ok","Aotus_trivirgatus5","Aotus_trivirgatus",5,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus5","Aotus_trivirgatus",5,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus5","Aotus_trivirgatus",5,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","dup","Aotus_trivirgatus5","Aotus_trivirgatus",5,"Patterson et al. 2014","Fernandez-Duque et al. 2001",
"Aotus trivirgatus","ok","Aotus_trivirgatus6","Aotus_trivirgatus",6,"Patterson et al. 2014","Fernandez-Duque et al. 2008",
"Arctocebus calabarensis","ok","Arctocebus_calabarensis1","Arctocebus_calabarensis",1,"Clutton-Brock & Harvey 1997",,
"Arctocebus calabarensis","ok","Arctocebus_calabarensis1.5","Arctocebus_calabarensis",1.5,"Rowe 1996",,
"Ateles belzebuth","ok","Ateles_belzebuth18","Ateles_belzebuth",18,"Wrangham et al. 1993","Robinson & Janson 1986",
"Ateles belzebuth","dup","Ateles_belzebuth18","Ateles_belzebuth",18,"Smuts et al. 1987",,
"Ateles belzebuth","ok","Ateles_belzebuth19.5","Ateles_belzebuth",19.5,"Smuts et al. 1987",,
"Ateles belzebuth","ok","Ateles_belzebuth12","Ateles_belzebuth",12,"Dunbar 1991","Klein & Klein 1977",
"Ateles belzebuth","ok","Ateles_belzebuth20","Ateles_belzebuth",20,"Clutton-Brock & Harvey 1997",,
"Ateles belzebuth","ok","Ateles_belzebuth12.5","Ateles_belzebuth",12.5,"Rowe 1996",,
"Ateles fusciceps","ok","Ateles_fusciceps5","Ateles_fusciceps",5,"Kudo & Dunbar 2001","Eisenberg 1976",
"Ateles geoffroyi","ok","Ateles_geoffroyi15","Ateles_geoffroyi",15,"Smuts et al. 1987",,
"Ateles geoffroyi","ok","Ateles_geoffroyi20","Ateles_geoffroyi",20,"Dunbar 1991","Richard 1970",
"Ateles geoffroyi","dup","Ateles_geoffroyi20","Ateles_geoffroyi",20,"Clutton-Brock & Harvey 1997",,
"Ateles geoffroyi","ok","Ateles_geoffroyi19.75","Ateles_geoffroyi",19.75,"Rowe 1996",,
"Ateles geoffroyi","dup","Ateles_geoffroyi20","Ateles_geoffroyi",20,"Patterson et al. 2014","Eisenberg & Kuhn 1966; Jolly 1972","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Ateles geoffroyi","ok","Ateles_geoffroyi22","Ateles_geoffroyi",22,"Patterson et al. 2014","Campbell 2000",
"Ateles geoffroyi","ok","Ateles_geoffroyi26","Ateles_geoffroyi",26,"Patterson et al. 2014","Asensio et al. 2008",
"Ateles geoffroyi","ok","Ateles_geoffroyi35","Ateles_geoffroyi",35,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","dup","Ateles_geoffroyi35","Ateles_geoffroyi",35,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi36","Ateles_geoffroyi",36,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi39","Ateles_geoffroyi",39,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi4.5","Ateles_geoffroyi",4.5,"Patterson et al. 2014","Chapman, pers. comm.","Patterson et al. supplementary material; from Beauchamp & Cabana 1990"
"Ateles geoffroyi","ok","Ateles_geoffroyi40","Ateles_geoffroyi",40,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi41","Ateles_geoffroyi",41,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi42","Ateles_geoffroyi",42,"Patterson et al. 2014","Chapman 1990a; Chapman 1990b",
"Ateles geoffroyi","ok","Ateles_geoffroyi44","Ateles_geoffroyi",44,"Patterson et al. 2014","Chaves et al. 2011",
"Ateles geoffroyi","ok","Ateles_geoffroyi8","Ateles_geoffroyi",8,"Kudo & Dunbar 2001","Eisenberg & Kuehn 1966; Ahumada 1992;
H. Kudo. unpublished data",
"Ateles paniscus","ok","Ateles_paniscus18","Ateles_paniscus",18,"Wrangham et al. 1993","Robinson & Janson 1986",
"Ateles paniscus","dup","Ateles_paniscus18","Ateles_paniscus",18,"Smuts et al. 1987",,
"Ateles paniscus","ok","Ateles_paniscus38.5","Ateles_paniscus",38.5,"Dunbar 1991","Symington 1988",
"Ateles paniscus","ok","Ateles_paniscus20","Ateles_paniscus",20,"Clutton-Brock & Harvey 1997",,
"Ateles paniscus","dup","Ateles_paniscus18","Ateles_paniscus",18,"Rowe 1996",,
"Avahi laniger","ok","Avahi_laniger2.5","Avahi_laniger",2.5,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Avahi laniger","ok","Avahi_laniger2","Avahi_laniger",2,"Dunbar 1991","C. Harcourt",
"Avahi laniger","ok","Avahi_laniger3.5","Avahi_laniger",3.5,"Rowe 1996",,
"Brachyteles arachnoides","ok","Brachyteles_arachnoides24.5","Brachyteles_arachnoides",24.5,"Wrangham et al. 1993","Strier 1987",
"Brachyteles arachnoides","ok","Brachyteles_arachnoides45","Brachyteles_arachnoides",45,"Wrangham et al. 1993","Milton 1984",
"Brachyteles arachnoides","ok","Brachyteles_arachnoides20","Brachyteles_arachnoides",20,"Smuts et al. 1987",,
"Brachyteles arachnoides","ok","Brachyteles_arachnoides22","Brachyteles_arachnoides",22,"Smuts et al. 1987",,
"Brachyteles arachnoides","ok","Brachyteles_arachnoides25","Brachyteles_arachnoides",25,"Smuts et al. 1987",,
"Brachyteles arachnoides","ok","Brachyteles_arachnoides26","Brachyteles_arachnoides",26,"Dunbar 1991","Strier 1987",
"Brachyteles arachnoides","dup","Brachyteles_arachnoides26","Brachyteles_arachnoides",26,"Rowe 1996",,
"Bunopithecus hoolock","ok","Bunopithecus_hoolock3.2","Bunopithecus_hoolock",3.2,"Smuts et al. 1987",,
"Bunopithecus hoolock","ok","Bunopithecus_hoolock3.5","Bunopithecus_hoolock",3.5,"Clutton-Brock & Harvey 1997",,
"Bunopithecus hoolock","dup","Bunopithecus_hoolock3.5","Bunopithecus_hoolock",3.5,"Rowe 1996",,
"Cacajao calvus","ok","Cacajao_calvus17.5","Cacajao_calvus",17.5,"Smuts et al. 1987",,
"Cacajao calvus","ok","Cacajao_calvus12.5","Cacajao_calvus",12.5,"Rowe 1996",,
"Callicebus moloch","ok","Callicebus_moloch3.2","Callicebus_moloch",3.2,"Wrangham et al. 1993","Robinson et al. 1986",
"Callicebus moloch","ok","Callicebus_moloch4.2","Callicebus_moloch",4.2,"Wrangham et al. 1993","Robinson et al. 1986",
"Callicebus moloch","ok","Callicebus_moloch2.6","Callicebus_moloch",2.6,"Smuts et al. 1987",,
"Callicebus moloch","dup","Callicebus_moloch2.6","Callicebus_moloch",2.6,"Smuts et al. 1987",,
"Callicebus moloch","ok","Callicebus_moloch2.8","Callicebus_moloch",2.8,"Smuts et al. 1987",,
"Callicebus moloch","dup","Callicebus_moloch3.2","Callicebus_moloch",3.2,"Smuts et al. 1987",,
"Callicebus moloch","dup","Callicebus_moloch4.2","Callicebus_moloch",4.2,"Dunbar 1991","Wright 1984",
"Callicebus moloch","ok","Callicebus_moloch3","Callicebus_moloch",3,"Clutton-Brock & Harvey 1997",,
"Callicebus moloch","ok","Callicebus_moloch3.5","Callicebus_moloch",3.5,"Rowe 1996",,
"Callicebus moloch","ok","Callicebus_moloch2","Callicebus_moloch",2,"Patterson et al. 2014","Mason 1968","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callicebus moloch","dup","Callicebus_moloch2","Callicebus_moloch",2,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Izawa 1976/1978","Patterson et al. supplementary material; from Beauchamp & Cabana 1990"
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Mason 1968","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Mason 1968","Patterson et al. supplementary material; from Janson & Goldsmith 1995"
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3","Callicebus_moloch",3,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch3.2","Callicebus_moloch",3.2,"Patterson et al. 2014","Robinson et al. 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Callicebus moloch","ok","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Mason 1968","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callicebus moloch","dup","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus moloch","dup","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Robinson 1979",
"Callicebus moloch","dup","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Robinson 1979",
"Callicebus moloch","dup","Callicebus_moloch4","Callicebus_moloch",4,"Patterson et al. 2014","Robinson 1979",
"Callicebus moloch","dup","Callicebus_moloch4.2","Callicebus_moloch",4.2,"Patterson et al. 2014","Robinson et al. 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Callicebus moloch","ok","Callicebus_moloch5","Callicebus_moloch",5,"Patterson et al. 2014","Bossuyt unpublished data",
"Callicebus personatus","ok","Callicebus_personatus3.2","Callicebus_personatus",3.2,"Smuts et al. 1987",,
"Callicebus personatus","ok","Callicebus_personatus3.7","Callicebus_personatus",3.7,"Rowe 1996",,
"Callicebus torquatus","ok","Callicebus_torquatus3.9","Callicebus_torquatus",3.9,"Wrangham et al. 1993","Robinson et al. 1986",
"Callicebus torquatus","ok","Callicebus_torquatus3","Callicebus_torquatus",3,"Smuts et al. 1987",,
"Callicebus torquatus","ok","Callicebus_torquatus3.4","Callicebus_torquatus",3.4,"Smuts et al. 1987",,
"Callicebus torquatus","ok","Callicebus_torquatus4","Callicebus_torquatus",4,"Dunbar 1991","Terborgh 1983, Kinzey & Wright 1982",
"Callicebus torquatus","dup","Callicebus_torquatus4","Callicebus_torquatus",4,"Rowe 1996",,
"Callimico goeldii","ok","Callimico_goeldii6","Callimico_goeldii",6,"Smuts et al. 1987",,
"Callimico goeldii","ok","Callimico_goeldii8.5","Callimico_goeldii",8.5,"Smuts et al. 1987",,
"Callimico goeldii","ok","Callimico_goeldii5","Callimico_goeldii",5,"Rowe 1996",,
"Callithrix argentata","ok","Callithrix_argentata6.2","Callithrix_argentata",6.2,"Eisenberg & Redford 1992",,
"Callithrix geoffroyi","ok","Callithrix_geoffroyi9","Callithrix_geoffroyi",9,"Rowe 1996",,
"Callithrix humeralifera","ok","Callithrix_humeralifera11.5","Callithrix_humeralifera",11.5,"Rowe 1996",,
"Callithrix jacchus","ok","Callithrix_jacchus8.9","Callithrix_jacchus",8.9,"Rowe 1996",,
"Callithrix jacchus","ok","Callithrix_jacchus10","Callithrix_jacchus",10,"Patterson et al. 2014","Digby and Barreto 1993",
"Callithrix jacchus","dup","Callithrix_jacchus10","Callithrix_jacchus",10,"Patterson et al. 2014","Hubrecht 1985",
"Callithrix jacchus","ok","Callithrix_jacchus11","Callithrix_jacchus",11,"Patterson et al. 2014","Digby and Barreto 1993",
"Callithrix jacchus","dup","Callithrix_jacchus11","Callithrix_jacchus",11,"Patterson et al. 2014","Hubrecht 1985",
"Callithrix jacchus","ok","Callithrix_jacchus12","Callithrix_jacchus",12,"Patterson et al. 2014","Lazaro-Perea et al. 2000",
"Callithrix jacchus","dup","Callithrix_jacchus12","Callithrix_jacchus",12,"Patterson et al. 2014","Lazaro-Perea et al. 2000",
"Callithrix jacchus","ok","Callithrix_jacchus3","Callithrix_jacchus",3,"Patterson et al. 2014","Hubrecht 1984","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callithrix jacchus","dup","Callithrix_jacchus3","Callithrix_jacchus",3,"Patterson et al. 2014","Hubrecht 1985","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callithrix jacchus","ok","Callithrix_jacchus5","Callithrix_jacchus",5,"Patterson et al. 2014","Hubrecht 1985","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callithrix jacchus","dup","Callithrix_jacchus5","Callithrix_jacchus",5,"Patterson et al. 2014","Digby and Barreto 1993",
"Callithrix jacchus","ok","Callithrix_jacchus6","Callithrix_jacchus",6,"Patterson et al. 2014","Lazaro-Perea et al. 2000",
"Callithrix jacchus","ok","Callithrix_jacchus7","Callithrix_jacchus",7,"Patterson et al. 2014","Hubrecht 1984","Patterson et al. supplementary material; from Majolo et al. 2008"
"Callithrix jacchus","ok","Callithrix_jacchus8","Callithrix_jacchus",8,"Patterson et al. 2014","Lazaro-Perea et al. 2000",
"Callithrix penicillata","ok","Callithrix_penicillata6.6","Callithrix_penicillata",6.6,"Rowe 1996",,
"Callithrix pygmaea","ok","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Smuts et al. 1987",,
"Callithrix pygmaea","ok","Callithrix_pygmaea6.4","Callithrix_pygmaea",6.4,"Rowe 1996",,
"Callithrix pygmaea","ok","Callithrix_pygmaea3","Callithrix_pygmaea",3,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea3","Callithrix_pygmaea",3,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea3","Callithrix_pygmaea",3,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","ok","Callithrix_pygmaea4","Callithrix_pygmaea",4,"Patterson et al. 2014","Youlatos 1999",
"Callithrix pygmaea","dup","Callithrix_pygmaea4","Callithrix_pygmaea",4,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea4","Callithrix_pygmaea",4,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","ok","Callithrix_pygmaea5","Callithrix_pygmaea",5,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea5","Callithrix_pygmaea",5,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea5","Callithrix_pygmaea",5,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea6","Callithrix_pygmaea",6,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","ok","Callithrix_pygmaea7","Callithrix_pygmaea",7,"Patterson et al. 2014","Soini 1982",
