taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Aotus_trivirgatus,aotus trivirgatus,Medulla,Medulla_oblongata_Vol.mm3,675.3,53,FALSE,match,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,aotus trivirgatus,675.3,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Vmo,Trigeminal_motor_nucleus_Vol.mm3,1.72,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Trigeminal_motor_nucleus_Vol.mm3,aotus trivirgatus,1.72,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,VII,Facial_motor_nucleus_Vol.mm3,2.48,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Facial_motor_nucleus_Vol.mm3,aotus trivirgatus,2.48,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,XII,Hypoglossal_nucleus_Vol.mm3,1.74,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Hypoglossal_nucleus_Vol.mm3,aotus trivirgatus,1.74,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,15800,61,FALSE,match,match,MacLeod_specimen,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,15800,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1700,61,FALSE,match,match,MacLeod_specimen,Cerebellum_Vol.mm3,aotus trivirgatus,1700,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,18900,61,FALSE,match,match,MacLeod_specimen,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,18900,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1700,61,FALSE,match,match,MacLeod_specimen,Cerebellum_Vol.mm3,aotus trivirgatus,1700,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,19700,61,FALSE,match,match,MacLeod_specimen,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,19700,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800,61,FALSE,match,match,MacLeod_specimen,Cerebellum_Vol.mm3,aotus trivirgatus,1800,0,NA,NA,NA
