taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,matched_source,matched_variable,matched_sp,matched_value,pct_diff
Aotus_trivirgatus,aotus trivirgatus,Paleocortex,Palaeocortex_Vol.mm3,203,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Palaeocortex_Vol.mm3,aotus trivirgatus,203,0
Aotus_trivirgatus,aotus trivirgatus,Amygdala,Amygdala_Vol.mm3,201,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Amygdala_Vol.mm3,aotus trivirgatus,201,0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,11420,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,11420,0
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,6970,54;55,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,5230,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,aotus trivirgatus,5230,0
Aotus_trivirgatus,aotus trivirgatus,V1 (GM),Area_striata_grey_matter_Vol.mm3,630,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,aotus trivirgatus,630,0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,103939.978939979,34,FALSE,match,deSousa_etal_2010_Table1,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,104247.1,0.295
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3753,34,FALSE,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,ateles geoffroyi,3753,0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,102700,43,FALSE,match,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,102700,0
Ateles_geoffroyi,ateles geoffroyi,Granular Insula,Granular_insular_cortex_Vol.mm3,200,43,FALSE,value_match_other_structure,Stephan_etal_1981_TablesI-VI,Tractus_opticus_Vol.mm3,ateles geoffroyi,204,1.961
Ateles_geoffroyi,ateles geoffroyi,Dysgranular Insula,Dysgranular_insular_cortex_Vol.mm3,362,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Insula (GM),Insula_Vol.mm3,832,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101033.517,53,FALSE,match,Stephan_etal_1970_Tables1-6,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,101034,0
Ateles_geoffroyi,ateles geoffroyi,Medulla,Medulla_oblongata_Vol.mm3,1833.67,53,FALSE,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,ateles geoffroyi,1833.67,0
Ateles_geoffroyi,ateles geoffroyi,Vmo,Trigeminal_motor_nucleus_Vol.mm3,3.6,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,VII,Facial_motor_nucleus_Vol.mm3,3.3,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,XII,Hypoglossal_nucleus_Vol.mm3,3.56,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101034,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,101034,0
Ateles_geoffroyi,ateles geoffroyi,Cerebellum,Cerebellum_Vol.mm3,12438,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Cerebellum_Vol.mm3,ateles geoffroyi,12438,0
Ateles_geoffroyi,ateles geoffroyi,Mesencephalon,Mesencephalon_Vol.mm3,1482,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Mesencephalon_Vol.mm3,ateles geoffroyi,1482,0
Ateles_geoffroyi,ateles geoffroyi,Diencephalon,Diencephalon_Vol.mm3,5334,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Diencephalon_Vol.mm3,ateles geoffroyi,5334,0
Ateles_geoffroyi,ateles geoffroyi,Telencephalon,Telencephalon_Vol.mm3,79946,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Telencephalon_Vol.mm3,ateles geoffroyi,79946,0
Ateles_geoffroyi,ateles geoffroyi,MOB,Bulbus_olfactorius_Vol.mm3,90.4,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_Vol.mm3,ateles geoffroyi,90.4,0
Ateles_geoffroyi,ateles geoffroyi,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,2.19,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_accessorius_Vol.mm3,ateles geoffroyi,2.19,0
Ateles_geoffroyi,ateles geoffroyi,Piriform Lobe,Lobus_piriformis_Vol.mm3,1625,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Lobus_piriformis_Vol.mm3,ateles geoffroyi,1625,0
Ateles_geoffroyi,ateles geoffroyi,Septum,Septum_Vol.mm3,324,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Septum_Vol.mm3,ateles geoffroyi,324,0
Ateles_geoffroyi,ateles geoffroyi,Striatum,Striatum_Vol.mm3,4950,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Striatum_Vol.mm3,ateles geoffroyi,4950,0
Ateles_geoffroyi,ateles geoffroyi,Schizocortex,Schizo_cortex_Vol.mm3,732,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Schizo_cortex_Vol.mm3,ateles geoffroyi,732,0
Ateles_geoffroyi,ateles geoffroyi,Hippocampus,Hippocampus_Vol.mm3,1366,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Hippocampus_Vol.mm3,ateles geoffroyi,1366,0
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,70856,24;51;52,TRUE,match,Stephan_etal_1970_Tables1-6,Neocortex_Vol.mm3,ateles geoffroyi,70856,0
Ateles_geoffroyi,ateles geoffroyi,Epithalamus,Epithalamus_Vol.mm3,30.5,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Epithalamus_Vol.mm3,ateles geoffroyi,30.5,0
Ateles_geoffroyi,ateles geoffroyi,Thalamus,Thalamus_Vol.mm3,2930,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Thalamus_Vol.mm3,ateles geoffroyi,2930,0
Ateles_geoffroyi,ateles geoffroyi,Hypothalamus,Hypothalamus_Vol.mm3,629,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Hypothalamus_Vol.mm3,ateles geoffroyi,629,0
Ateles_geoffroyi,ateles geoffroyi,Subthalamus,Subthalamus_Vol.mm3,860,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Subthalamus_Vol.mm3,ateles geoffroyi,860,0
Ateles_geoffroyi,ateles geoffroyi,Pallidum,Pallidum_Vol.mm3,807,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Pallidum_Vol.mm3,ateles geoffroyi,807,0
Ateles_geoffroyi,ateles geoffroyi,Subthalamic Nucleus,Nucleus_subthalamicus_Vol.mm3,52.8,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Nucleus_subthalamicus_Vol.mm3,ateles geoffroyi,52.8,0
Ateles_geoffroyi,ateles geoffroyi,Optic Tract,Tractus_opticus_Vol.mm3,204,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Tractus_opticus_Vol.mm3,ateles geoffroyi,204,0
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,151,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Corpus_geniculatum_laterale_Vol.mm3,ateles geoffroyi,151,0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,72410,54;55,FALSE,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,ateles sp,72410,0
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,48880,54;55,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,30930,54;55,FALSE,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,ateles sp,30930,0
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3130,54;55,FALSE,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,ateles sp,3130,0
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,120,54;55,FALSE,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Corpus_geniculatum_laterale_Vol.mm3,ateles sp,120,0
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,71800,61,FALSE,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,ateles sp,72410,0.842
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,8700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,93000,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,11700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,107300,61,FALSE,value_match_other_structure,Stephan_etal_1970_Tables1-6,Brain_Mass.mg,ateles geoffroyi,108000,0.648
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,10700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,10060.8850608851,34,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,V1 (GM),Area_striata_grey_matter_Vol.mm3,475,34,FALSE,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,avahi laniger,475,0
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9256.8,43,FALSE,match_taxonomy_variant,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3,avahi occidentalis,9256.8,0
Avahi_laniger,avahi laniger,Granular Insula,Granular_insular_cortex_Vol.mm3,26,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,Dysgranular Insula,Dysgranular_insular_cortex_Vol.mm3,36,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,Insula (GM),Insula_Vol.mm3,76,43,FALSE,value_match_other_structure,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,avahi occidentalis,77.2,1.554
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9798,53,FALSE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,avahi l laniger,9798,0
Avahi_laniger,avahi laniger,Medulla,Medulla_oblongata_Vol.mm3,553.35,53,FALSE,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,avahi laniger,553.35,0
Avahi_laniger,avahi laniger,Vmo,Trigeminal_motor_nucleus_Vol.mm3,1.76,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,VII,Facial_motor_nucleus_Vol.mm3,2.14,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,XII,Hypoglossal_nucleus_Vol.mm3,1.48,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9798,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,avahi l laniger,9798,0
Avahi_laniger,avahi laniger,Cerebellum,Cerebellum_Vol.mm3,1489,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Cerebellum_Vol.mm3,avahi l laniger,1489,0
Avahi_laniger,avahi laniger,Mesencephalon,Mesencephalon_Vol.mm3,343,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Mesencephalon_Vol.mm3,avahi l laniger,343,0
Avahi_laniger,avahi laniger,Diencephalon,Diencephalon_Vol.mm3,862,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Diencephalon_Vol.mm3,avahi l laniger,862,0
Avahi_laniger,avahi laniger,Telencephalon,Telencephalon_Vol.mm3,6550,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Telencephalon_Vol.mm3,avahi l laniger,6550,0
Avahi_laniger,avahi laniger,MOB,Bulbus_olfactorius_Vol.mm3,89.2,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_Vol.mm3,avahi l laniger,89.2,0
Avahi_laniger,avahi laniger,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,3.01,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_accessorius_Vol.mm3,avahi l laniger,3.01,0
Avahi_laniger,avahi laniger,Piriform Lobe,Lobus_piriformis_Vol.mm3,284,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Lobus_piriformis_Vol.mm3,avahi l laniger,284,0
Avahi_laniger,avahi laniger,Septum,Septum_Vol.mm3,69.7,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Septum_Vol.mm3,avahi l laniger,69.7,0
Avahi_laniger,avahi laniger,Striatum,Striatum_Vol.mm3,524,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Striatum_Vol.mm3,avahi l laniger,524,0
