"species_sci","Taxon","DQI","References","% plant structural parts","% plant reproductive parts","% animal prey in the diet","Notes"
"Nasalis larvatus","Nasalis_larvatus","105","74","95","5","0",
"Nomascus concolor","Nomascus_concolor","NA","NA","NA","NA","NA",
"Nycticebus coucang","Nycticebus_coucang","245","77","0","70","30","10% missing from total - added to fruit (classified as frugivore in [77])"
"Otolemur crassicaudatus","Otolemur_crassicaudatus","195","76","NA","NA","NA","% breakdown not provided in [76]"
"Pan paniscus","Pan_paniscus","NA","NA","NA","NA","NA",
"Pan troglodytes","Pan_troglodytes_troglodytes","178","73","28","68","4",
"Papio anubis","Papio_anubis","207.2","74","7.8","82.2","10",
"Papio cynocephalus","Papio_cynocephalus","207","77","8","82","10","16% missing - added to fruit (classified as frugivore in [77])"
"Papio hamadryas","Papio_hamadryas","199","74","7","89","4",
"Perodicticus potto","Perodicticus_potto","216.5","77","0","89","11",
"Piliocolobus badius","Piliocolobus_badius","121.5","74","78.3","21.700000000000003","0",
"Pithecia monachus","Pithecia_monachus","196","88","4","96","0",
"Pithecia pithecia","Pithecia_pithecia","197.5","73","2.5","97.5","0",
"Pongo sp.","Pongo_abelii","NA","NA","NA","NA","NA",
"Pongo pygmaeus","Pongo_pygmaeus","200.5","73","13","78","9",
"Propithecus verreauxi","Propithecus_verreauxi","159","73","41","59","0",
"Pygathrix nemaeus","Pygathrix_nemaeus","NA","NA","NA","NA","NA",
"Saguinus geoffroyi","Saguinus_geoffroyi","235","73","10","60","30",
"Saguinus midas","Saguinus_midas","246.8","73","0","68.8","31.2",
"Saguinus oedipus","Saguinus_oedipus","NA","NA","NA","NA","NA",
"Saimiri sciureus","Saimiri_sciureus","323","73","0","18","82",
"Semnopithecus entellus","Semnopithecus_entellus","153.5","74","NA","NA","NA","% breakdown not provided in [74]"
"Symphalangus syndactylus","Symphalangus_syndactylus","167","73","45","47","8",
"Tarsius syrichta","Tarsius_syrichta","335","73","0","10","90","T. bancanus"
"Trachypithecus francoisi","Trachypithecus_francoisi","NA","NA","NA","NA","NA",
"Varecia variegata","Varecia_variegata_variegata","179.3","78","20.9","79.2","0","V. v. rubra"
