Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Mesocricetus auratus,HIB,0.09,4,0.07,6,264,90,—,36.76,Lyman (1948) and Pohl (1961)
MAMMALIA,Rodentia,Mesocricetus brandti,HIB,0.15,—,—,—,144,108,—,38.08,Goldman (1989)
MAMMALIA,Rodentia,Microdipodops pallidus,HIB,0.012,6,0.1,4.8,84,48,8.2,38.57,Brown & Bartholomew (1969) and
MAMMALIA,Rodentia,Mus musculus,DT,0.037,16,0.7,47,11,5.9,—,50,Hudson & Scott (1979)
MAMMALIA,Rodentia,Muscardinus avellanarius,HIB,0.0235,0,0.04,2,624,218,6,47.96,"Kayser (1939, 1964), Eisentraut (1956)"
MAMMALIA,Rodentia,Perognathus californicus,DT,0.021,15,0.15,15,15.4,11.1,—,31.11,"Tucker (1962, 1965)"
MAMMALIA,Rodentia,Perognathus fasciatus,DT,0.04,11,0.15,12,17,9.7,—,44.7,Wang & Hudson (1970)
MAMMALIA,Rodentia,Perognathus longimembris,HIB,0.008,4,—,—,112,—,—,35.77,Bartholomew & Cade (1957) and
MAMMALIA,Rodentia,Perognathus parvus,HIB,0.024,2,0.05,3,192,120,—,43.39,MacMillen (1983)
MAMMALIA,Rodentia,Peromyscus boylii,DT,0.033,18,—,—,8.8,4.3,—,32.94,Morhardt (1970)
MAMMALIA,Rodentia,Peromyscus crinitus,DT,0.02,17,—,—,9.5,4.6,—,36.88,Morhardt (1970)
MAMMALIA,Rodentia,Peromyscus eremicus,DT,0.017,16,0.3,19,11.2,6.3,—,29,Macmillen (1965) and Morhardt (1970)
MAMMALIA,Rodentia,Peromyscus gossypinus,DT,0.022,14,—,—,—,4.9,—,31.36,Tannenbaum & Pivorun (1984)
MAMMALIA,Rodentia,Peromyscus leucopus,DT,0.02,16.8,0.47,28,13,4.6,—,33.49,"Hill (1975), Deavers & Hudson (1981)"
