"Table I,II,III. Data on body weights (g), brain weights (mg), and volumes of total brain and fundamental brain parts (mm3) in insectivores and primates",,,,,,,,,,,,,,"Table IV,V,VI: Volumes of the telencephalon and of its components (mm3)",,,,,,,,,,Tables VII and VIII. Volumes of components of the diencephalon (mm3),,,,,,,,,,,,,"Table X-XI. Volumes of paleocortex, of amygdala and its various components (mm3)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code_number,Species,Number_of_individuals_1_to_18,Body_weight,Brain_weight,,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_(net_volume),,Medulla-oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals,Area_striata_visual_cortex,Corpus_geniculatum_laterale,Number_of_individuals,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,"Nucleus_amygdalae_basalis,_pars_magnocellularis"
9,Nesogale dobsoni,1,32.6,560,0,5.31,21.9,513,0,59,57.3,37.9,32.8,326,0,53.6,0.178,93.5,9.58,23.1,16.3,67,62.9,,,,,,,,,,,,,,,,,,,,
10,Nesogale talazaci,1,50.4,790,0,6.02,16,741,0,85.3,92.3,47.2,43.8,472,0,74.3,0.369,139,11.2,31.2,20.7,98.9,96.2,,,,,,,,,,,,,,,,,,,,
14,Micropotamogale lamottei,3,64.2,800,0,11.9,17.2,743,0,135,82.7,58.6,62.8,404,0,34,0.0605,67.3,15.1,32.6,32.9,77.7,144,,,,,,,,,,,,,,,,,,,,
15,Potamogale velox,2,660,"4,160",0,16.6,121,"3,878",1,756,605,254,298,"1,964",-1,86,2.31,194,51.4,134,145,298,"1,054",,,,,,,,,,,,,,,,,,,,
16,Chlorotalpa stuhlmanni,2,39.8,740,0,7,13.8,693,-1,68.3,74.7,42,51.8,457,1,60.6,0.204,131,11.3,43.5,21.4,59.1,129,,,,,,,,,,,,,,,,,,,,
17,Chrysochloris asiatica,1,49,700,0,8.12,10.7,657,0,58.5,72.6,43.2,52.8,430,0,58.5,0.132,115,12.1,44.3,20.9,66.3,113,,,,,,,,,,,,,,,,,,,,
21,Aethechinus algirus,3,790,"3,200",0,121,109,"2,859",0,336,358,153,246,"1,766",1,285,1.93,459,42.9,140,109,227,500,,,,,,,,,,,,,,,,,,,,
22,Erinaceus europaeus,5,860,"3,350",0,105,78.8,"3,050",0,333,394,151,241,"1,931",0,332,1.94,505,51.7,147,134,237,522,2,3.71,117,79.9,14.2,-0.003,13.3,0.903,18.8,3.94,,,,2,379,104,43.1,3.72,61.1,12.2
23,Hemiechinus auritus,3,250,"1,900",0,82.5,41.2,"1,710",0,187,198,110,142,"1,073",0,175,1.35,279,28.4,81.1,68.7,130,309,,,,,,,,,,,,,,,,,,,,
31,Elephantulus fuscipes,2,57,"1,330",0,18.1,32.9,"1,233",1,120,183,117,112,700,-1,63.3,0.662,120,16.8,44.5,46.8,173,236,,,,,,,,,,,,,,,,,,,,
33,Rhynchocyon stuhlmanni,2,490,"6,100",0,97.2,111,"5,680",0,507,798,523,524,"3,328",2,426,0.666,705,81.5,222,220,582,"1,089",,,,,,,,,,,,,,,,,,,,
41,Sorex minutus,1,5.3,110,0,0.46,2.47,103,0,17,11,5.91,8.69,60.7,0,8.65,0.0202,17.2,2.02,6.02,3.62,10.5,12.7,1,0.161,3.92,3.07,0.707,1E-04,0.65,0.0569,0.288,0.106,,,,1,13.9,3.34,1.78,0.174,1.56,0.549
42,Sorex araneus,5,10.3,200,0,1.17,3.96,188,0,27.1,20.4,10.8,13.7,116,0,15.7,0.0776,32.7,3.2,10.5,6.83,20.6,26.4,2,0.264,7.25,5.17,1.09,0.006,0.979,0.105,0.61,0.144,,,,2,25.6,7.19,3.29,_,3.9,0.704
43,Neomys fodiens,2,15.2,320,0,1.63,8.13,299,0,42.2,38.9,17.3,25.2,175,-1,15.8,0.101,36,6.42,18.7,9,32.9,56.6,,,,,,,,,,,,,,1,52.7,13.4,6,0.403,7.39,1.38
59,Crocidura occidentalis,2,28,440,0,2.67,14,408,0,59.8,51.3,27.7,28.4,241,0,37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1,2,0.657,14.6,9.77,1.78,0.008,1.63,0.142,2.19,0.252,,,,1,23.4,6.82,3.23,0.233,3.59,0.803
60,Crocidura russula,2,11,190,0,1.67,3.85,178,0,23.6,21.8,11.7,15,106,0,16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5,1,0.368,7.48,4.61,0.87,1E-04,0.781,0.0889,0.727,0.116,,,,1,45.1,11.1,5.41,0.44,5.74,0.804
63,Suncus murinus,1,35.5,380,0,4.6,7.8,354,-1,50.5,44.8,24.2,26,209,0,34.2,0.182,56.2,5.5,14.8,12.6,31.2,54.1,1,0.53,12.3,9.67,1.7,0.004,1.58,0.116,1.18,0.232,,,,,,,,,,
81,Talpa europaea,2,76,"1,020",0,10.9,20.6,953,-1,95.4,174,49.8,80.4,554,0,59.6,0.291,112,15,60.2,39.6,86.8,181,,,,,,,,,,,,,,,,,,,,
83,Desmana moschata,1,440,"4,000",0,138,104,"3,620",1,402,514,219,344,"2,140",1,141,0.218,320,42.6,222,163,267,983,,,,,,,,,,,,,,,,,,,,
84,Galemys pyrenaicus,2,57.5,"1,330",0,27.5,25.9,"1,230",-1,147,184,62.2,105,733,-1,39,0.206,107,20.1,74.4,44.9,109,339,,,,,,,,,,,,,,,,,,,,
Table II.  Prosimians,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Tupaia glis,20,170,"3,200",0,38.2,51.4,"2,999",0,219,376,256,275,"1,873",1,131.5,2.41,269,27.5,140,114,152,"1,036",1,1.98,153,47.5,18.6,0.01,17.2,1.39,24.6,39.3,2,167,11.5,2,182,76.5,24.2,1.71,52.3,4.27
104,Tupaia minor,2,70,"2,580",0,22.2,37.8,"2,430",0,173,308,249,251,"1,449",-1,94.3,2.28,205,26.1,124,91.9,132,774,,,,,,,,,,,,,,,,,,,,
106,Urvgale everetti,1,275,"4,280",0,38.9,95.8,"3,997",0,355,513,307,394,"2,428",1,184,2.1,362,45.1,199,124,173,"1,338",,,,,,,,,,,1,136,9.98,,,,,,,
111,Cheirogaleus major,2,450,"6,800",0,83.4,108,"6,373",0,382,947,241,489,"4,314",0,158,4.04,332,58.9,327,149,347,"2,938",1,4.83,271,101,33.8,-0.07,31.6,2.27,48.6,18,2,478,21.5,2,233,99.4,34.1,0.851,65.3,7.32
112,Cheirogaleus medius,2,177,"3,140",0,24.6,45.2,"2,961",1,202,437,145,235,"1,941",1,102,2.66,198,32.5,145,65.3,174,"1,221",,,,,,,,,,,2,217,10.8,2,135,63.2,23.3,0.472,39.8,_
114,Microcebus murinus,6,54,"1,780",0,11.3,26.6,"1,680",-1,99.1,234,85.2,134,"1,129",0,43,1.62,103,15.3,85.7,40.1,100,740,2,1.44,78.3,29.8,11.4,0.05,10.7,0.65,9.08,6.17,2,149,7.03,6,66.8,36.4,12.1,0.264,24.3,_
117,Lepilemur ruficaudatus,3,915,"7,600",0,76.5,84.1,"7,175",0,449,"1,165",260,593,"4,708",0,113,2.72,302,56.7,366,194,392,"3,282",1,4.89,337,114,58.1,-0.01,55.2,2.91,63,20.7,3,357,15.6,3,170,133,42.5,0.624,90.4,7.18
118,Lemur fulvus,3,"1,400","23,300",0,194,190,"22,106",0,909,"3,328",590,"1,713","15,566",0,207,3.21,641,119,"1,215",422,752,"12,207",1,12.2,"1,028",239,225,-0.9,212,13.9,248,108,2,1527,51.6,3,389,251,71.7,1.37,179,19.6
124,Lemur variegatus,1,"3,000","31,500",0,299,393,"29,713",-1,"1,420","4,286","1,018","2,529","20,461",0,369,5.27,985,206,"1,591",608,"1,404","15,293",,,,,,,,,,,1,2112,68.9,,,,,,,
130,Avahi l. laniger,2,"1,285","10,490",0,172,156,"9,798",1,553,"1,489",343,862,"6,550",0,89.2,3.01,284,69.7,524,241,526,"4,813",,,,,,,,,,,1,537,27.4,,,,,,,
131,Avahi l. occidentalis,2,860,"9,670",0,73.7,137,"9,124",1,508,"1,383",345,861,"6,026",0,70.1,2.55,265,69.3,478,222,476,"4,443",2,6.52,489,137,80.5,0.06,74.5,5.94,105,38.3,1,485,27.2,,,,,,,
132,Propithecus verreauxi,2,"3,480","26,700",0,231,347,"25,194",-1,"1,223","3,957",780,"2,195","17,040",0,147,3.4,664,159,"1,411",443,"1,043","13,170",1,14.6,"1,341",328,283,0,263,20,324,125,1,1559,68.6,1,292,251,78.7,0.921,172,18.8
133,Indri indri,2,"6,250","38,300",0,330,354,"36,285",-1,"1,342","5,504",978,"2,911","25,551",1,168,2.32,838,205,"1,855",848,"1,520","20,114",,,,,,,,,,,1,1738,99.6,,,,,,,
136,Daubentonia madagasc.,1,"2,800","45,150",0,392,578,"42,611",1,"1,517","6,461",897,"3,539","30,196",-1,685,8.31,"1,538",254,"2,765","1,044","1,776","22,127",,,,,,,,,,,1,1355,58.5,1,"1,065",473,122,3.53,351,24.9
137,Loris tardigradus,1,322,"6,600",0,51.6,50.4,"6,269",-1,233,728,220,538,"4,551",0,85.8,2.3,256,41.1,351,99.7,191,"3,524",1,3.21,348,80.9,45.2,0.01,41.4,3.79,46.3,15.7,1,588,24.6,,,,,,,
138,Nycticebus coucang,2,800,"12,500",0,142,169,"11,755",0,528,"1,310",345,"1,077","8,495",0,159,4.28,510,92,760,212,566,"6,192",,,,,,,,,,,1,823,37.3,,,,,,,
139,Perodicticus potto,2,"1,150","14,000",0,127,174,"13,212",0,680,"1,699",391,"1,024","9,418",0,310,2.74,661,114,712,328,607,"6,683",2,10.4,587,160,116,0.81,107,8.19,107,19.5,2,552,24.3,,,,,,,
141,Galago crassicaudatus,2,850,"10,300",0,147,128,"9,668",0,540,"1,414",384,785,"6,545",-1,166,2.52,386,70,556,181,461,"4,723",1,5.71,437,127,67.4,0,63.3,4.1,74.6,33.9,1,571,22.1,,,,,,,
142,Galago demidovii,2,81,"3,380",0,30.4,28.8,"3,203",0,169,413,135,246,"2,240",0,83.1,1.26,181,25.7,169,59.9,152,"1,568",2,2.09,153,45.1,18.3,-0.1,17,1.4,18.4,11.5,2,237,10.9,1,122,50.2,14.9,0.62,35.3,2.82
143,Galago senegalensis,1,186,"4,800",0,40.2,81.4,"4,512",2,254,672,205,382,"2,997",0,79.2,2.58,163,35.7,210,107,261,"2,139",,,,,,,,,,,1,334,16,,,,,,,
147,Tarsius sp.,2,125,"3,600",0,24.1,58,"3,393",0,207,428,197,303,"2,258",-1,18.8,0.82,92.7,23.3,133,69,153,"1,768",1,2.53,175,42.5,17.1,-0.09,16.1,1.09,16.7,15.5,2,370,20.8,1,39.1,49.8,11.1,0.0752,38.7,5.35
Table III. Simians,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Callithrix jacchus,4,280,"7,600",0,52,42.9,"7,241",-1,318,757,295,554,"5,318",0,22.8,0.326,191,49.8,372,90,221,"4,371",,,,,,,,,,,,,,3,99.3,113,28.3,0.195,84.6,8.57
156,Cebuella pygmaea,2,140,"4,500",0,24.5,16.9,"4,302",0,201,468,192,342,"3,099",0,12.3,0.386,133,29.2,174,81.8,133,"2,535",1,3.68,190,69.2,27.7,-0.05,25.8,1.95,21.8,23.8,,,,,,,,,,
164,Saguinus oedipus,3,380,"10,000",0,62.6,52.8,"9,537",1,413,984,333,754,"7,052",0,19.1,0.406,256,60.5,453,107,262,"5,894",2,4.93,410,152,77.6,-0.05,73.2,4.45,62.7,50.5,,,,,,,,,,
165,Saguinus tamarin,2,340,"10,300",0,251,122,"9,569",1,428,"1,061",332,692,"7,055",0,17.3,0.29,243,40.9,471,120,280,"5,883",,,,,,,,,,,,,,,,,,,,
166,Callimico goeldii,1,480,"11,000",0,47.9,59.5,"10,510",-2,460,"1,240",340,739,"7,733",1,27,0.512,253,63.5,493,138,281,"6,476",,,,,,,,,,,,,,,,,,,,
171,Aotus trivirgatus,5,830,"17,100",0,105,206,"16,195",1,686,"1,873",409,"1,098","12,128",0,56,0.222,394,83.8,862,243,539,"9,950",,,,,,,,,,,,,,1,203,201,54.5,0.201,147,15.7
172,Callicebus moloch,2,900,"19,000",0,279,242,"17,944",165,787,"1,622",530,"1,375","13,465",0,19.2,0.325,454,86.4,920,234,588,"11,163",,,,,,,,,,,,,,,,,,,,
174,Pithecia monacha,2,"1,500","35,000",0,631,286,"32,867",0,"1,009","3,908",745,"2,285","24,920",0,34.8,0.846,675,140,"1,918",289,834,"21,028",,,,,,,,,,,,,,,,,,,,
179,Alouatta sp.,2,"6,400","52,000",0,616,568,"49,009",-1,"1,593","5,699",986,"3,344",37388,0,41.4,0.595,827,200,"2,829",510,"1,320","31,660",,,,,,,,,,,,,,1,488,413,94.9,0,318,30.7
184,Ateles geolfroyi,1,"8,000","108,000",0,"1,389","1,824","101,034",0,"1,834","12,438","1,482","5,334","79,946",0,90.4,2.19,"1,625",324,"4,950",732,"1,366","70,856",1,30.5,"2,930",629,860,0.2,807,52.8,570,204,,,,,,,,,,
186,Lagothrix lagotricha,3,"5,200","101,000",0,"1,090",897,"95,503",0,"2,110","11,268","1,582","5,721","74,822",0,73.4,1.43,"1,395",266,"4,947",680,"1,586","65,873",2,31,"2,959",624,909,0.2,845,63.8,612,203,,,,,,,,,,
191,Cebus sp.,2,"3,100","71,000",0,729,864,"66,939",0,"1,738","7,871","1,221","3,996","52,113",0,39.9,0.667,931,174,3258,390,890,"46,429",1,23.7,"2,163",418,609,0.3,567,41.7,549,207,,,,1,567,502,118,0,384,41
192,Saimiri sciureus,1,660,"24,000",0,299,295,"22,572",-1,722,"2,260",526,"1,430","17,635",1,26.8,0.985,413,90.6,"1,042",168,352,"15,541",1,8.86,731,207,180,-0.5,169,11.5,132,117,,,,1,186,227,45.9,0,181,15
202,Macaca mulatta,1,"7,800","93,000",0,834,"1,038","87,896",-1,"1,992","8,965","1,380","4,480","71,080",-1,84.3,0,"1,220",271,"4,032",639,"1,353","63,482",,,,,,,,,,,,,,,,,,,,
209,Cercocebus albigena,1,"7,900","104,000",0,742,"2,041","97,603",-1,"2,708","10,726","1,770","5,351","77,049",1,121,0,"1,639",294,"4,146",630,"1,485","68,733",1,27.9,"2,933",681,726,-0.4,674,52.4,708,308,,,,,,,,,,
212,Papio anubis,2,"25,000","201,000",0,"1,081","1,977","190,957",-1,"5,297","18,683","2,711","9,280","154,987",-1,287,0,"2,111",559,"7,182","1,309","3,398","140,142",1,65.4,"4,788","1,076","1,241",-0.7,"1,147",94.7,"1,257",601,,,,,,,,,,
227,Cercopithecus mitis,1,"6,300","75,000",0,467,"1,363","70,564",0,"1,999","6,758","1,354","4,176","56,277",0,117,0,"1,265",246,"2,733",617,"1,366","49,933",,,,,,,,,,,,,,,,,,,,
231,Cercopithecus ascan.,1,"3,400","67,000",0,240,927,"63,505",-1,"1,632","5,828","1,162","3,605","51,279",1,99.5,0,"1,052",251,"2,827",694,"1,189","45,166",1,17.9,"1,916",410,431,0.3,405,25.7,421,320,,,,1,450,601,136,0,465,48.9
232,Cercopithecus talap.,2,"1,200","40,000",0,262,572,"37,776",0,"1,035","3,374",826,"2,375","30,166",0,27.8,0,706,133,"1,908",259,705,"26,427",,,,,,,,,,,,,,,,,,,,
234,Erythrocebus patas,2,"7,800","108,000",0,561,519,"103,167",-1,"2,616","8,738","1,621","5,423","84,770",0,51.8,0,"1,339",330,"3,624",693,"1,591","77,141",,,,,,,,,,,,,,,,,,,,
242,Pygathrix nemaeus,1,"7,500","77,000",0,911,883,"72,530",0,"2,206","8,063","1,345","4,727","56,189",-1,10.7,0,942,290,3166,723,"2,295","48,763",,,,,,,,,,,,,,,,,,,,
243,Nasalis larvatus,1,"14,000","97,000",0,591,241,"92,797",0,"2,945","12,113","1,556","5,310","70,873",1,30.3,0,"1,268",333,"3,735",855,"1,966","62,685",1,29.6,"3,036",671,587,-0.2,550,37.2,564,304,,,,,,,,,,
246,Colobus badius,2,"7,000","78,000",0,455,"1,016","73,818",0,"2,007","8,648","1,333","3,945","57,885",1,51.3,0,937,288,"3,217",814,"1,671","50,906",2,22.3,"2,164",484,553,0.1,521,31.9,460,201,,,,2,458,479,114,0,365,45.5
271,Hylobates lar,1,"5,700","102,000",0,555,395,"97,505",0,"2,251","12,078","1,459","5,716","76,001",-2,43.9,0,"1,264",302,"4,784","1,136","2,673","65,800",1,31.2,"3,226",629,777,0.4,715,61.6,693,302,,,,,,,,,,
277,Pan troglodytes,1,"46,000","405,000",0,"1,899","6,924","382,103",-1,"5,817","43,663","3,739","15,392","313,493",0,257,0,"2,750",851,"12,246","2,018","3,779","291,592",1,53.6,"7,987","1,739","2,078",0,"1,951",127,"2,510",630,,,,,,,,,,
279,Gorilla gorilla,1,"105,000","500,000",0,"3,608","8,659","470,359",1,"7,509","69,249","4,352","19,370","369,878",-3,316,0,"4,871","1,173","14,567","2,729","4,781","341,444",1,106,"10,547","2,215","2,782",0,"2,604",178,"2,471",671,,,,,,,,,,
280,Homo sapiens sapiens,1,"65,000","1,330,000",0,"18,732","13,205","1,251,847",-1,"9,622","137,421","8,087","33,319","1,063,399",0,114,0,"9,032","2,610","28,689","6,142","10,287","1,006,525",1,133,"18,222","3,555","5,180",0,"4,711",469,"7,008",823,,,,1,"6,016","3,015",592,0,"2,424",246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1, 2: Body weight and brain weight standards were taken from Bauchot and Stephan [1966, 1969]. Alterations became necessary for a few",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"species, due to extension of material and/or additional information from literature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4: Ventricles, parts of brain nerves, and remnants of meninges [and hypophysis, see diencephalon, (9)] are regarded not to be pure brain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tissues. They are included in the measurements, since they are included also when taking the individual brain weight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5: Net volume of pure tissue is total brain volume without ventricles (3), nerves, meninges, etc. (4).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6: Since it is almost impossible to separate distinctly the substantia reticularis of the medulla oblongata from that of the mesencephalon, the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latter is included into the medulla oblongata.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7: Included are brachium and nuclei pontis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8: Without substantia reticularis, see 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9: Included is the pallidum (globus pallidus). In order to get comparable values, the hypophysis is excluded from the diencephalon (and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"included in 4) since it is not preserved in all brains (e.g., human), due to difficulties in preparation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13: Included are palaeocortex (29) and amygdala (30); excluded is the schizocortex (16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14: Included are septum pellucidum, septum verum, Broca's diagonal band in its whole extent, and the bed nuclei of the anterior commissure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and of the stria terminalis. .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15: Included are caudate nucleus, putamen, nucleus accumbens, and the parts of the capsula intern a running through the striatum. In low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"insectivores, these parts of the internal capsule are strongly dispersed and difficult to separate from the striatum. Excluded is the pallidum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(9).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16: Included are entorhinal, perirhinal, presubicular and parasubicular cortices and the underlying white matter. These cortices are characterized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by the presence of one or several, almost cell-free layers or sublayers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17: Included are retro- or postcommissural hippocampus as well as supra- and precommissural hippocampus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18: Included are the underlying white matter and the corpus callosum. From the transitional cortices are included insular, subgenual,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cingular and retrosplenial regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 = Structure is not present in the species under consideration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25: Made up of the portion of the internal capsule that passes through the diencephalon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- = Structure was not measured in the species under consideration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29: Included are retrobulbar cortex (anterior olfactory nucleus), prepiriform cortex, lateral and medial olfactory tracts, internal olfactory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tract + anterior commissure, olfactory tubercle, substantia innominata and basal nucleus of Meynert.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31: The centromedial amygdaloid complex is composed of the central and the medial amygdaloid nuclei, and of the anterior amygdaloid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"area including the nucleus of the lateral olfactory tract. The intercalated cell masses, located at and in part marking the border to the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cortico-basolateral amygdaloid complex, were arbitrarily included with the centromedial complex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33: The cortico-basolateral amygdaloid complex is composed of the lateral, cortical and basal amygdaloid nuclei, the latter with accessory, t--.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnocellular and parvocellular parts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
