"Table IV,V,VI: Volumes of the telencephalon and of its components (mm3)",,,,,,,,,,,
Code_number,Species,Number_of_individuals,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex
,,,10_(=11-18),11,12,13,14,15,16,17,18
,,,,,,,,,,,
Table IV. Insectivores,,,,,,,,,,,
0271,Hylobates lar,1,"76,001",43.9,0,"1,264",302,"4,784","1,136","2,673","65,800"
0277,Pan troglodytes,1,"313,493",257,0,"2,750",851,"12,246","2,018","3,779","291,592"
0279,Gorilla gorilla,1,"369,878",316,0,"4,871","1,173","14,567","2,729","4,781","341,444"
0280,Homo sapiens sap,1,"1,063,399",114,0,"9,032","2,610","28,689","6,142","10,287","1,006,525"
,,,,,,,,,,,
,,,,,,,,,,,
13: Included are palaeocortex (29) and amygdala (30); excluded is the schizocortex (16).,,,,,,,,,,,
"14: Included are septum pellucidum, septum verum, Broca's diagonal band in its whole extent, and the bed nuclei of the anterior commissure",,,,,,,,,,,
and of the stria terminalis. .,,,,,,,,,,,
"15: Included are caudate nucleus, putamen, nucleus accumbens, and the parts of the capsula intern a running through the striatum. In low",,,,,,,,,,,
"insectivores, these parts of the internal capsule are strongly dispersed and difficult to separate from the striatum. Excluded is the pallidum",,,,,,,,,,,
(9).,,,,,,,,,,,
"16: Included are entorhinal, perirhinal, presubicular and parasubicular cortices and the underlying white matter. These cortices are characterized",,,,,,,,,,,
"by the presence of one or several, almost cell-free layers or sublayers.",,,,,,,,,,,
17: Included are retro- or postcommissural hippocampus as well as supra- and precommissural hippocampus.,,,,,,,,,,,
"18: Included are the underlying white matter and the corpus callosum. From the transitional cortices are included insular, subgenual,",,,,,,,,,,,
cingular and retrosplenial regions.,,,,,,,,,,,
