Species,CerebralCortex_Neuron.n,CerebralCortex_OtherCells.n,WholeBrain_Neuron.n,WholeBrain_OtherCells.n,CerebralCortex_Microglia.per.mg,WholeBrain_Microglia.per.mg,CerebralCortex_Neuron.n_Source,CerebralCortex_OtherCells.n_Source,WholeBrain_Neuron.n_Source,WholeBrain_OtherCells.n_Source,CerebralCortex_Microglia.per.mg_Source,WholeBrain_Microglia.per.mg_Source
Felis catus,249830000,1097100000,1215210000,1728790000,3048,3032,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Fukomys anselli,9730000,NA,93940000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Fukomys damarensis,21270000,NA,165750000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Fukomys darlingi,12490000,NA,105750000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Fukomys mechowii,23320000,NA,160130000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Georychus capensis,25600000,NA,157210000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Giraffa camelopardalis,1730513460,27513706540,10751287650,37912932350,6330,6278,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Heliophobius argenteocinereus,25440000,NA,137640000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Heterocephalus glaber,5730937.5,8398125,28742731,24191205,NA,NA,HerculanoHouzel_etal_2015_Table1_Kverkova_etal_2018_TableS5,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5_Kverkova_etal_2018_TableS5,HerculanoHouzel_etal_2015_Table5,NA,NA
Homo sapiens,16340000000,60840000000,86060000000,84610000000,2403,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Hyaena hyaena,495280000,2977760000,3884600000,4501390000,NA,NA,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,NA,NA
Hydrochoerus hydrochaeris,306501565,1847818435,1572560385,3197929615,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Hypsignathus monstrosus,24343593,NA,274519253,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Loxodonta africana,5593241033,55698998687,257043473412,216057982337,4192,4562,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Macaca fascicularis,800955000,2758845000,3439004620,3154415380,4727,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Macaca mulatta,1710000000,5270000000,6376160000,7162900000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Macaca nemestrina,NA,NA,NA,NA,3668,NA,NA,NA,NA,NA,DosSantos_etal_2020_Table1,NA
Macaca radiata,1655707140,3808672860,3755620300,4878879700,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Macronycteris commersoni,7877834,NA,66718833,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Macropus fuliginosus,370170000,NA,2460000000,NA,4023,4235,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Marmosops incanus,20410000,NA,112050000,NA,6892,6515,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Megaloglossus woermanni,11897169,NA,65728366,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Mesocricetus auratus,17140000,41870000,84220000,70640000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Metachirus nudicaudatus,20190000,NA,165590000,NA,2675,4014,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Microcebus murinus,22310400,70649600,254711180,138948820,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Miniopterus schreibersii,6116028,NA,55658777,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Mops pumilus,5632618,NA,34958391,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Mungos mungo,115770000,346560000,454020000,652370000,NA,NA,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,NA,NA
Mus musculus,13688162,12061838,67873741,33858759,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Mustela putorius furo,38950000,264060000,404430000,472980000,6530,7758,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Notamacropus parma,135620000,NA,711130000,NA,4868,4700,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Notamacropus rufogriseus,256780000,NA,1320000000,NA,6120,5510,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Oryctolagus cuniculus,71448750,254801250,494205000,630795000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Otolemur garnettii,226090000,402070000,936000000,666590000,8294,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Panthera leo,545240000,7260970000,4667030000,12398840000,5686,5679,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Papio cynocephalus,2875028372,7569751628,10948086440,9175538564,2773,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Parascalops breweri,15690000,39870000,123600000,78260000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Petrodromus tetradactylus,33947000,40486000,156830795,103349000,3019,2743,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Procavia capensis,197933000,366620000,755653000,620622000,3637,3389,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Procyon lotor,437940000,1766670000,2148070000,2399990000,NA,NA,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,NA,NA
Proechimys guyannensis,26086024,71833039,202090113,181274887,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Rattus norvegicus,31017192,45687808,188867832,121914668,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Rousettus aegyptiacus,28859259,NA,172232047,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,3041,NA,NA,NA,NA,NA,DosSantos_etal_2020_Table1,NA
Saimiri sciureus,1340000000,1610000000,3246430000,2073030000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Sapajus apella,1140000000,2550000000,3690520000,3297740000,1991,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Sarcophilus harrisii,71660000,NA,693690000,NA,1826,2337,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Scalopus aquaticus,26680000,38540000,203520000,101740000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Sciurus carolinensis,77334617,209654717,453660197,530476469,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Scotonycteris zenkeri,12847119,NA,65594971,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Sorex fumeus,9730000,9290000,36460000,22860000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Sus scrofa domesticus,307082404,3250251354,2224112553,4695783705,9048,9310,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Tragelaphus strepsiceros,762567178,12302304448,4911651549,16977183580,3718,3800,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Triaenops persicus,6039272,NA,69762924,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Tupaia glis,60390000,85580000,261400000,199650000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Ursus arctos,250970000,10154000000,9585600000,15113190000,3801,3591,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Wallabia bicolor,208110000,NA,1440000000,NA,6269,5861,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
