Species,Standardized_Term,value,source,trait_class
Macaca mulatta,CorticalSurface_Area.mm2,10598.2,Finlay_etal_2006_Table6.1,whole_cortex
Monodelphis domestica,CorticalSurface_Area.mm2,44.94,Finlay_etal_2006_Table6.1,whole_cortex
Mus sp.,CorticalSurface_Area.mm2,51.24,Finlay_etal_2006_Table6.1,whole_cortex
Pteropus poliocephalus,CorticalSurface_Area.mm2,219.63,Finlay_etal_2006_Table6.1,whole_cortex
Rattus sp.,CorticalSurface_Area.mm2,90.69,Finlay_etal_2006_Table6.1,whole_cortex
Saimiri sciureus,CorticalSurface_Area.mm2,4373.52,Finlay_etal_2006_Table6.1,whole_cortex
Sminthopsis crassicaudata,CorticalSurface_Area.mm2,11.37,Finlay_etal_2006_Table6.1,whole_cortex
Sorex cinereus,CorticalSurface_Area.mm2,14.93,Finlay_etal_2006_Table6.1,whole_cortex
Sorex longirostris,CorticalSurface_Area.mm2,9.48,Finlay_etal_2006_Table6.1,whole_cortex
Sorex palustris,CorticalSurface_Area.mm2,25.55,Finlay_etal_2006_Table6.1,whole_cortex
Sciurus carolinensis,CorticalSurface_Area.mm2,213.85,Finlay_etal_2006_Table6.1,whole_cortex
Trichosurus vulpecula,CorticalSurface_Area.mm2,208.35,Finlay_etal_2006_Table6.1,whole_cortex
Tupaia belangeri,CorticalSurface_Area.mm2,385.25,Finlay_etal_2006_Table6.1,whole_cortex
Otolemur garnettii,M1_Surface_Area.mm2,43.22,Young_etal_2013_Table1,regional
Aotus nancymaae,M1_Surface_Area.mm2,221.83,Young_etal_2013_Table1,regional
Saimiri sciureus,M1_Surface_Area.mm2,125.1,Young_etal_2013_Table1,regional
Papio cynocephalus anubis,M1_Surface_Area.mm2,653.8,Young_etal_2013_Table1,regional
Papio cynocephalus anubis,M1_Surface_Area.mm2,636.4,Young_etal_2013_Table1,regional
Pan troglodytes,M1_Surface_Area.mm2,2700,Young_etal_2013_Table1,regional
Otolemur garnettii,CorticalSurface_Area.mm2,2261,Collins_etal_2010_DatasetS1,whole_cortex
Otolemur garnettii,CorticalSurface_Area.mm2,1849,Collins_etal_2010_DatasetS1,whole_cortex
Aotus nancymaae,CorticalSurface_Area.mm2,2036.5,Collins_etal_2010_DatasetS1,whole_cortex
Papio cynocephalus anubis,CorticalSurface_Area.mm2,18577,Collins_etal_2010_DatasetS1,whole_cortex
Macaca mulatta,CorticalSurface_Area.mm2,15230,Turner_etal_2016_Table1,whole_cortex
Macaca nemestrina,CorticalSurface_Area.mm2,15180,Turner_etal_2016_Table1,whole_cortex
Macaca radiata,CorticalSurface_Area.mm2,10200,Turner_etal_2016_Table1,whole_cortex
Papio cynocephalus anubis,CorticalSurface_Area.mm2,23400,Turner_etal_2016_Table1,whole_cortex
