accepted_species,suborder,in_Seymour2015,in_Boyer2019,overlap,BM_g_Seymour,BM_g_Boyer,ECV_ml_Seymour,ECV_ml_Boyer,Sey_QICA_mLs,Boy_QICA_mLs,Boy_QVA_mLs,Boy_QTOT_mLs,QICA_ratio_Sey_over_Boy,QTOT_best_mLs,QTOT_source,notes
Hylobates agilis,Haplorrhini,Y,N,N,5880,,115,,0.6128,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Hylobates lar,Haplorrhini,Y,Y,Y,5620,5381,102.5,100.5,0.5611,0.962,0.316,1.278,0.583,1.278,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Hylobates syndactylus,Haplorrhini,Y,N,N,1.19e+04,,120,,1.122,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Indri indri,Strepsirrhini,N,Y,N,,6335,,35.9,,0.006,0.56,0.566,,0.566,Boyer2019_QTOT(ICA+VA),
Lagothrix lagothricha,Haplorrhini,Y,N,N,7280,,110,,0.8454,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lasiorhinus latifrons,Diprotodontia,Y,N,N,2.992e+04,,56,,0.3268,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lemur catta,Strepsirrhini,Y,Y,Y,2210,2210,23,22.9,0.01791,0.003,0.368,0.372,5.969,0.372,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Leontopithecus rosalia,Haplorrhini,Y,N,N,620,,12,,0.05443,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lepilemur sp.,Strepsirrhini,N,Y,N,,691,,8.21,,0.001,0.131,0.132,,0.132,Boyer2019_QTOT(ICA+VA),
Lophocebus albigena,Haplorrhini,Y,Y,Y,7135,7890,98,97.99,0.7763,0.464,0.396,0.86,1.673,0.86,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Loris tardigradus,Strepsirrhini,Y,Y,Y,231,193,4,5.87,0.002523,0.001,0.047,0.048,2.523,0.048,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Macaca fascicularis,Haplorrhini,Y,Y,Y,4475,3884,53.8,87.3,0.4236,0.529,0.286,0.815,0.801,0.815,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Macaca maura,Haplorrhini,Y,N,N,9720,,105,,1.124,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca mulatta,Haplorrhini,Y,N,N,8220,,78.2,,0.4771,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca nemestrina,Haplorrhini,Y,N,N,7575,,111.5,,0.8995,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca nigra,Haplorrhini,Y,N,N,7680,,150,,1.094,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca ochreata,Haplorrhini,Y,N,N,3950,,98,,0.7687,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca radiata,Haplorrhini,Y,N,N,3850,,67,,0.5289,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca silenus,Haplorrhini,Y,N,N,7500,,88.7,,0.7574,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus dorsalis,Diprotodontia,Y,N,N,1.125e+04,,26.6,,0.1206,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus fuliginosus,Diprotodontia,Y,N,N,4.1e+04,,66.75,,0.1878,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus robustus,Diprotodontia,Y,N,N,2.95e+04,,58.24,,0.4145,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus rufus,Diprotodontia,Y,N,N,4.625e+04,,51.58,,0.2855,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Mandrillus leucophaeus,Haplorrhini,Y,Y,Y,2e+04,1.75e+04,160,160,1.505,0.673,0.717,1.39,2.236,1.39,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Mandrillus sphinx,Haplorrhini,Y,N,N,2.692e+04,,161.2,,1.299,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Microcebus murinus,Strepsirrhini,N,Y,N,,65,,1.63,,0.0003,0.014,0.015,,0.015,Boyer2019_QTOT(ICA+VA),
Miopithecus talapoin,Haplorrhini,N,Y,N,,1877,,39.08,,0.161,0.207,0.368,,0.368,Boyer2019_QTOT(ICA+VA),
Mirza sp.,Strepsirrhini,N,Y,N,,312,,5.75,,0.001,0.039,0.04,,0.04,Boyer2019_QTOT(ICA+VA),
Mus musculus,Rodentia,N,Y,N,,36,,0.4,,0.004,0.002,0.005,,0.005,Boyer2019_QTOT(ICA+VA),
Nasalis larvatus,Haplorrhini,Y,Y,Y,9820,9730,78.5,83.84,0.7499,0.439,0.466,0.905,1.708,0.905,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Nycticebus coucang,Strepsirrhini,Y,Y,Y,652,679,8.8,11.01,0.01586,0.002,0.172,0.174,7.928,0.174,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Oryctolagus cuniculus,Lagomorpha,N,Y,N,,2250,,9.13,,0.031,0.255,0.286,,0.286,Boyer2019_QTOT(ICA+VA),
Otolemur crassicaudatus,Strepsirrhini,N,Y,N,,1170,,12.25,,0.003,0.082,0.086,,0.086,Boyer2019_QTOT(ICA+VA),
Pan troglodytes,Haplorrhini,Y,Y,Y,4.957e+04,3.713e+04,475,343.5,2.218,1.921,1.512,3.433,1.154,3.433,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Papio anubis,Haplorrhini,N,Y,N,,1.33e+04,,152.4,,0.901,0.804,1.706,,1.706,Boyer2019_QTOT(ICA+VA),
Papio hamadryas,Haplorrhini,Y,N,N,1.69e+04,,156.5,,1.266,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Perodicticus potto,Strepsirrhini,N,Y,N,,802,,12.81,,0.002,0.184,0.185,,0.185,Boyer2019_QTOT(ICA+VA),
Petaurus breviceps,Diprotodontia,Y,N,N,127,,2.33,,0.05397,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Phalanger maculatus,Diprotodontia,Y,N,N,4250,,13.55,,0.2251,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Phascolarctos cinereus,Diprotodontia,Y,N,N,5767,,29.75,,0.165,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Piliocolobus badius,Haplorrhini,N,Y,N,,7850,,64.49,,0.878,0.264,1.142,,1.142,Boyer2019_QTOT(ICA+VA),
Pithecia pithecia,Haplorrhini,N,Y,N,,1760,,32.26,,0.132,0.151,0.283,,0.283,Boyer2019_QTOT(ICA+VA),
Pongo sp.,Haplorrhini,Y,Y,Y,4.829e+04,3.695e+04,375,368,2.094,1.518,2.467,3.985,1.379,3.985,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Presbytis melalophos,Haplorrhini,Y,N,N,6590,,70.5,,0.6395,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Prolemur simus,Strepsirrhini,N,Y,N,,2150,,27.14,,0.003,0.369,0.372,,0.372,Boyer2019_QTOT(ICA+VA),
Propithecus diadema,Strepsirrhini,Y,N,N,6100,,41,,0.07165,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Propithecus verreauxi,Strepsirrhini,N,Y,N,,2955,,30.06,,0.003,0.405,0.408,,0.408,Boyer2019_QTOT(ICA+VA),
Pseudocheirus peregrinus notialis,Diprotodontia,Y,N,N,916,,4.73,,0.0746,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Ptilocercus lowii,Scandentia,N,Y,N,,43,,1.67,,0.005,0.028,0.033,,0.033,Boyer2019_QTOT(ICA+VA),
Rattus norvegicus,Rodentia,N,Y,N,,375,,1.72,,0.034,0.011,0.045,,0.045,Boyer2019_QTOT(ICA+VA),
Saimiri sciureus,Haplorrhini,Y,Y,Y,790,799,20,24.6,0.1318,0.134,0.198,0.333,0.983,0.333,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Sciurus carolinensis,Rodentia,N,Y,N,,440,,5.55,,,0.097,0.097,,0.097,Boyer2019_QTOT(ICA+VA),Boyer RICA/QICA=NA (unknown-species cranial foramen)
Semnopithecus entellus,Haplorrhini,Y,N,N,1.253e+04,,101.6,,0.3373,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Tarsius sp.,Haplorrhini,N,Y,N,,109,,3.27,,0.016,0.037,0.053,,0.053,Boyer2019_QTOT(ICA+VA),
Trachypithecus obscurus,Haplorrhini,Y,N,N,7900,,105,,0.4585,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Trachypithecus vetulus,Haplorrhini,Y,N,N,7035,,58,,0.3764,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Trichosurus vulpecula,Diprotodontia,Y,N,N,2532,,9.8,,0.06397,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Tupaia glis,Scandentia,N,Y,N,,142,,3,,0.009,0.024,0.033,,0.033,Boyer2019_QTOT(ICA+VA),
Varecia sp.,Strepsirrhini,N,Y,N,,3497,,32.15,,0.004,0.373,0.377,,0.377,Boyer2019_QTOT(ICA+VA),
Varecia variegata,Strepsirrhini,Y,N,N,3532,,26,,0.01384,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Vombatus ursinus,Diprotodontia,Y,N,N,2.6e+04,,60,,0.4033,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
