accepted_name,source_publication,variant_name
Galago senegalensis,Matano1985a,Galago senegalensis
Galago senegalensis,Sherwood_2005,Galago senegalensis
Galago senegalensis,Stephan1981,Galago senegalensis
Galago senegalensis,Stephan1982,Galago senegalensis
Galago senegalensis,Stephan1984,Galago senegalensis
Galago senegalensis,Stephan1987,Galago senegalensis
Galago senegalensis,deSousa2010,Galago senegalensis
Galagoides demidoff,Baron1983,Galagoides demidoff
Galagoides demidoff,Baron1987,Galagoides demidoff
Galagoides demidoff,Baron1988,Galagoides demidoff
Galagoides demidoff,Baron1990,Galagoides demidoff
Galagoides demidoff,Bauernfeind2013,Galagoides demidoff
Galagoides demidoff,Frahm1982,Galagoides demidoff
Galagoides demidoff,Frahm1994,Galagoides demidoff
Galagoides demidoff,Frahm98,Galagoides demidoff
Galagoides demidoff,Frahm_1984,Galagoides demidoff
Galagoides demidoff,Matano1985b,Galagoides demidoff
Galagoides demidoff,Matano1985a,Galagoides demidoff
Galagoides demidoff,Sherwood_2005,Galagoides demidoff
Galagoides demidoff,Stephan1981,Galago demidovii
Galagoides demidoff,Stephan1982,Galagoides demid.
Galagoides demidoff,Stephan1984,Galagoides demidoff
Galagoides demidoff,Stephan1987,Galagoides demidoff
Galagoides demidoff,deSousa2010,Galagoides demidoff
Galemys pyrenaicus,Baron1983,Galemys pyrenaicus
Galemys pyrenaicus,Baron1987,Galemys pyrenaicus
Galemys pyrenaicus,Baron1988,Galemys pyrenaicus
Galemys pyrenaicus,Baron1990,Galemys pyrenaicus
Galemys pyrenaicus,Stephan1981,Galemys pyrenaicus
Galemys pyrenaicus,Stephan1982,Galemys pyrenaicus
Galemys pyrenaicus,Stephan1984,Galemys pyrenaicus
Galemys pyrenaicus,Stephan1987,Galemys pyrenaicus
Gorilla sp.,Baron1983,Gorilla gorilla
Gorilla sp.,Baron1987,Gorilla gorilla
Gorilla sp.,Baron1988,Gorilla gorilla
Gorilla sp.,Baron1990,Gorilla gorilla
Gorilla sp.,Bauernfeind2013,Gorilla gorilla
Gorilla sp.,Frahm1994,Gorilla gorilla
Gorilla sp.,Frahm_1984,Gorilla gorilla
Gorilla sp.,Matano1985b,Gorilla gorilla
Gorilla sp.,Matano1985a,Gorilla gorilla
Gorilla sp.,Sherwood_2005,Gorilla gorilla
Gorilla sp.,Stephan1981,Gorilla gorilla
Gorilla sp.,Stephan1984,Gorilla gorilla
Gorilla sp.,Stephan1987,Gorilla gorilla
Gorilla sp.,deSousa2010,Gorilla gorilla
Gorilla sp.,deSousa2013,Gorilla gorilla
Hemicentetes semispinosus,Baron1983,Hemicentetes semispin.
Hemicentetes semispinosus,Baron1987,Hemicentetes semispinosus
Hemicentetes semispinosus,Baron1988,Hemicentetes semispinosus
Hemicentetes semispinosus,Baron1990,Hemicentetes semispinosus
Hemicentetes semispinosus,Frahm1982,Hemicentetes semispinosus
Hemicentetes semispinosus,Frahm1994,Hemicentetes semispinosus
Hemicentetes semispinosus,Matano1985a,Hemicentetes semispin.
Hemicentetes semispinosus,Stephan1981,Hemicentetes semispinosus
Hemicentetes semispinosus,Stephan1982,Hemicentetes semisp.
Hemicentetes semispinosus,Stephan1984,Hemicentetes semispin.
Hemicentetes semispinosus,Stephan1987,Hemicentetes semispinosus
Hemiechinus auritus,Baron1983,Hemiechinus auritus
Hemiechinus auritus,Baron1987,Hemiechinus auritus
Hemiechinus auritus,Baron1988,Hemiechinus auritus
Hemiechinus auritus,Baron1990,Hemiechinus auritus
Hemiechinus auritus,Frahm1982,Hemiechinus auritus
Hemiechinus auritus,Stephan1981,Hemiechinus auritus
Hemiechinus auritus,Stephan1982,Hemiechinus auritus
Hemiechinus auritus,Stephan1984,Hemiechinus auritus
Hemiechinus auritus,Stephan1987,Hemiechinus auritus
Homo sapiens,Baron1983,Homo sapiens
Homo sapiens,Baron1987,Homo sapiens
Homo sapiens,Baron1988,Homo sapiens
Homo sapiens,Baron1990,Homo sapiens
Homo sapiens,Bauernfeind2013,Homo sapiens
Homo sapiens,Frahm1982,Homo sapiens
Homo sapiens,Frahm1994,Homo sapiens
Homo sapiens,Frahm_1984,Homo sapiens
Homo sapiens,Matano1985b,Homo sapiens
Homo sapiens,Matano1985a,Homo sapiens
Homo sapiens,Sherwood_2005,Homo sapiens
Homo sapiens,Stephan1981,Homo sapiens sapiens
Homo sapiens,Stephan1984,Homo sapiens
Homo sapiens,Stephan1987,Homo sapiens
Homo sapiens,deSousa2010,Homo sapiens
Homo sapiens,deSousa2013,Homo sapiens
Hylobates lar,Baron1983,Hylobates lar
Hylobates lar,Baron1987,Hylobates lar
Hylobates lar,Baron1988,Hylobates lar
Hylobates lar,Baron1990,Hylobates lar
Hylobates lar,Bauernfeind2013,Hylobates lar
Hylobates lar,Frahm1982,Hylobates lar
Hylobates lar,Frahm1994,Hylobates lar
Hylobates lar,Frahm_1984,Hylobates lar
Hylobates lar,Matano1985b,Hylobates lar
Hylobates lar,Matano1985a,Hylobates lar
Hylobates lar,Sherwood_2005,Hylobates lar
Hylobates lar,Stephan1981,Hylobates lar
Hylobates lar,Stephan1984,Hylobates lar
Hylobates lar,Stephan1987,Hylobates lar
Hylobates lar,deSousa2010,Hylobates lar
Hylobates lar,deSousa2013,Hylobates lar
Hylobates muelleri,Bauernfeind2013,Hylobates muelleri
Hylobates muelleri,deSousa2013,Hylobates muelleri
Hylomys suillus,Baron1990,Hylomys suillus
Indri indri,Baron1983,Indri indri
Indri indri,Baron1987,Indri indri
Indri indri,Baron1988,Indri indri
Indri indri,Baron1990,Indri indri
Indri indri,Bauernfeind2013,Indri indri
Indri indri,Frahm1982,Indri indri
Indri indri,Frahm1994,Indri indri
Indri indri,Frahm98,Indri indri
Indri indri,Frahm_1984,Indri indri
Indri indri,Matano1985b,Indri indri
Indri indri,Matano1985a,Indri indri
Indri indri,Sherwood_2005,Indri indri
Indri indri,Stephan1981,Indri indri
Indri indri,Stephan1982,Indri indri
Indri indri,Stephan1984,Indri indri
Indri indri,Stephan1987,Indri indri
Indri indri,deSousa2010,Indri indri
Lagothrix lagothricha,Baron1983,Lagothrix lagothricha
Lagothrix lagothricha,Baron1987,Lagothrix lagothricha
Lagothrix lagothricha,Baron1988,Lagothrix lagothricha
Lagothrix lagothricha,Baron1990,Lagothrix lagothricha
Lagothrix lagothricha,Frahm1982,Lagothrix lagothricha
Lagothrix lagothricha,Frahm1994,Lagothrix lagothricha
Lagothrix lagothricha,Frahm_1984,Lagothrix lagothricha
Lagothrix lagothricha,Matano1985b,Lagothrix lagothricha
Lagothrix lagothricha,Matano1985a,Lagothrix lagothricha
Lagothrix lagothricha,Sherwood_2005,Lagothrix lagothricha
Lagothrix lagothricha,Stephan1981,Lagothrix lagotricha
Lagothrix lagothricha,Stephan1982,Lagothrix lagothr.
Lagothrix lagothricha,Stephan1984,Lagothrix lagothricha
Lagothrix lagothricha,Stephan1987,Lagothrix lagothricha
Lagothrix lagothricha,deSousa2010,Lagothix lagathricha
Leontopithecus rosalia,Bauernfeind2013,Leontopithecus rosalia
Lepilemur ruficaudatus,Baron1983,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Baron1987,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Baron1988,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Baron1990,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Frahm1982,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Frahm1994,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Frahm_1984,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Matano1985b,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Matano1985a,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Sherwood_2005,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Stephan1981,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Stephan1982,Lepilemur ruficaud.
Lepilemur ruficaudatus,Stephan1984,Lepilemur ruficaudatus
Lepilemur ruficaudatus,Stephan1987,Lepilemur ruficaudatus
Lepilemur ruficaudatus,deSousa2010,Lepilemur ruficaudatus
Lophocebus albigena,Baron1983,Cercocebus albigena
Lophocebus albigena,Baron1987,Cercocebus albigena
Lophocebus albigena,Baron1988,Cercocebus albigena
Lophocebus albigena,Baron1990,Cercocebus albigena
Lophocebus albigena,Bauernfeind2013,Lophocebus albigena
Lophocebus albigena,Frahm1994,Cercocebus albigena
