status,species_snapshot,species_csv,n_mismatch,species_key,body_mass_g_snap,brain_vol_ml_snap,ref_snap,.cid,body_mass_g_csv,brain_vol_ml_csv,brain_mass_g_csv,ref_csv,brain_mass_g_snap,body_mass_match,brain_vol_match,brain_mass_match,ref_match
matched_by_species,Loris tardigradus,Loris tardigradus,0,loris tardigradus,231,4,1,35,231,4,4.143999999999999,1,4.144,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca fascicularis,Macaca fascicularis,0,macaca fascicularis,4475,53.8,1,12,4475,53.8,55.7368,1,55.7368,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca maura,Macaca maura,0,macaca maura,9720,105,1,13,9720,105,108.78,1,108.78,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca mulatta,Macaca mulatta,0,macaca mulatta,8220,78.2,1,14,8220,78.2,81.01520000000001,1,81.0152,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca nemestrina,Macaca nemestrina,0,macaca nemestrina,7575,111.5,1,15,7575,111.5,115.51400000000001,1,115.514,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca nigra,Macaca nigra,0,macaca nigra,7680,150,1,16,7680,150,155.4,1,155.4,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca ochreata,Macaca ochreata,0,macaca ochreata,3950,98,1,17,3950,98,101.52799999999999,1,101.528,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca radiata,Macaca radiata,0,macaca radiata,3850,67,1,18,3850,67,69.412,1,69.412,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macaca silenus,Macaca silenus,0,macaca silenus,7500,88.7,1,19,7500,88.7,91.89320000000001,1,91.8932,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macropus dorsalis,Macropus dorsalis,0,macropus dorsalis,11250,26.6,11,54,11250,26.6,27.5576,11,27.5576,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macropus fuliginosus,Macropus fuliginosus,0,macropus fuliginosus,41000,66.75,11,59,41000,66.75,69.15299999999999,11,69.153,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macropus robustus,Macropus robustus,0,macropus robustus,29500,58.24,8,57,29500,58.24,60.336639999999996,8,60.3366,TRUE,TRUE,TRUE,TRUE
matched_by_species,Macropus rufus,Macropus rufus,0,macropus rufus,46250,51.575,8,60,46250,51.575,53.4317,8,53.4317,TRUE,TRUE,TRUE,TRUE
matched_by_species,Mandrillus leucophaeus,Mandrillus leucophaeus,0,mandrillus leucophaeus,20000,160,1,20,20000,160,165.76,1,165.76,TRUE,TRUE,TRUE,TRUE
matched_by_species,Mandrillus sphinx,Mandrillus sphinx,0,mandrillus sphinx,26925,161.2,1,21,26925,161.2,167.0032,1,167.003,TRUE,TRUE,TRUE,TRUE
matched_by_species,Nasalis larvatus,Nasalis larvatus,0,nasalis larvatus,9820,78.5,2,22,9820,78.5,81.326,2,81.326,TRUE,TRUE,TRUE,TRUE
matched_by_species,Nycticebus coucang,Nycticebus coucang,0,nycticebus coucang,652,8.8,1,36,652,8.8,9.1168,1,9.1168,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pan troglodytes,Pan troglodytes,0,pan troglodytes,49567,475,1,30,49567,475,492.1,1,492.1,TRUE,TRUE,TRUE,TRUE
matched_by_species,Papio hamadryas,Papio hamadryas,0,papio hamadryas,16900,156.5,1,23,16900,156.5,162.134,1,162.134,TRUE,TRUE,TRUE,TRUE
matched_by_species,Petaurus breviceps,Petaurus breviceps,0,petaurus breviceps,127,2.33,5,45,127,2.3299999999999996,2.41388,5,2.41388,TRUE,TRUE,TRUE,TRUE
matched_by_species,Phalanger maculatus,Phalanger maculatus,0,phalanger maculatus,4250,13.55,9,51,4250,13.55,14.037799999999999,9,14.0378,TRUE,TRUE,TRUE,TRUE
matched_by_species,Phascolarctos cinereus,Phascolarctos cinereus,0,phascolarctos cinereus,5767,29.75,8,52,5767,29.75,30.821,8,30.821,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pongo pygmaeus,Pongo pygmaeus,0,pongo pygmaeus,48290,375,1,31,48290,375,388.5,1,388.5,TRUE,TRUE,TRUE,TRUE
matched_by_species,Presbytis melalophos,Presbytis melalophos,0,presbytis melalophos,6590,70.5,1,24,6590,70.5,73.038,1,73.038,TRUE,TRUE,TRUE,TRUE
matched_by_species,Propithecus diadema,Propithecus diadema,0,propithecus diadema,6100,41,1,40,6100,41,42.476,1,42.476,TRUE,TRUE,TRUE,TRUE
matched_by_species,Pseudocheirus peregrinus notialis,Pseudocheirus peregrinus notialis,0,pseudocheirus peregrinus notialis,916,4.73,5,46,916,4.73,4.90028,5,4.90028,TRUE,TRUE,TRUE,TRUE
matched_by_species,Saimiri sciureus,Saimiri sciureus,0,saimiri sciureus,790,20,1,6,790,20,20.72,1,20.72,TRUE,TRUE,TRUE,TRUE
matched_by_species,Semnopithecus entellus,Semnopithecus entellus,0,semnopithecus entellus,12533,101.6,1,25,12533,101.6,105.25760000000001,1,105.258,TRUE,TRUE,TRUE,TRUE
matched_by_species,Trachypithecus obscurus,Trachypithecus obscurus,0,trachypithecus obscurus,7900,105,1,26,7900,105,108.78,1,108.78,TRUE,TRUE,TRUE,TRUE
matched_by_species,Trachypithecus vetulus,Trachypithecus vetulus,0,trachypithecus vetulus,7035,58,1,27,7035,58,60.088,1,60.088,TRUE,TRUE,TRUE,TRUE
matched_by_species,Trichosurus vulpecula,Trichosurus vulpecula,0,trichosurus vulpecula,2532,9.8,8,50,2532,9.8,10.152800000000001,8,10.1528,TRUE,TRUE,TRUE,TRUE
matched_by_species,Varecia variegata,Varecia variegata,0,varecia variegata,3532,26,1,37,3532,26,26.936,1,26.936,TRUE,TRUE,TRUE,TRUE
matched_by_species,Vombatus ursinus,Vombatus ursinus,0,vombatus ursinus,26000,60,8,56,26000,60,62.160000000000004,8,62.16,TRUE,TRUE,TRUE,TRUE
