Species,Region,Measure,Units,Value,Teams,n_teams,Volume_term
Lepus,Occipital_cortex,CMRgl,umol/100g/min,76.4,Kaufman_2004,1,NA
Lepus,Parietal_cortex,CMRgl,umol/100g/min,73.1,Kaufman_2004,1,NA
Lepus,Sensorimotor_cortex,CMRgl,umol/100g/min,82.65,Kaufman_2004,1,NA
Lepus,Thalamus,CMRgl,umol/100g/min,89.7,Kaufman_2004,1,Thalamus_Vol.mm3
Lepus,White_matter,CMRgl,umol/100g/min,26.1,Kaufman_2004,1,NA
Lepus,Whole_brain,CBF,mL/100g/min,48,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Lepus,Whole_brain,CMRO2,umol/100g/min,205.4,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Macaca,Auditory_cortex,CMRgl,umol/100g/min,70.3,Kaufman_2004,1,NA
Macaca,Basal_ganglia,CBF,mL/100g/min,60.5,Kaufman_2004,1,NA
Macaca,Basal_ganglia,CMRO2,umol/100g/min,255,Kaufman_2004,1,NA
Macaca,Basal_ganglia,CMRgl,umol/100g/min,44.33,Kaufman_2004,1,NA
Macaca,Cerebellum,CBF,mL/100g/min,47.8,Kaufman_2004,1,Cerebellum_Vol.mm3
Macaca,Cerebellum,CMRgl,umol/100g/min,28.12,Kaufman_2004,1,Cerebellum_Vol.mm3
Macaca,Cingulate_cortex,CMRgl,umol/100g/min,42.35,Kaufman_2004,1,NA
Macaca,Frontal_cortex,CMRgl,umol/100g/min,44.86,Kaufman_2004,1,NA
Macaca,Hippocampus,CBF,mL/100g/min,53.9,Kaufman_2004,1,Hippocampus_Vol.mm3
Macaca,Hippocampus,CMRgl,umol/100g/min,34.62,Kaufman_2004,1,Hippocampus_Vol.mm3
Macaca,Neocortex,CBF,mL/100g/min,53,Kaufman_2004,1,Neocortex_Vol.mm3
Macaca,Neocortex,CMRgl,umol/100g/min,49.99,Kaufman_2004,1,Neocortex_Vol.mm3
Macaca,Occipital_cortex,CMRgl,umol/100g/min,53.27,Kaufman_2004,1,NA
Macaca,Parietal_cortex,CMRgl,umol/100g/min,41.62,Kaufman_2004,1,NA
Macaca,Sensorimotor_cortex,CMRgl,umol/100g/min,51.58,Kaufman_2004,1,NA
Macaca,Temporal_cortex,CMRgl,umol/100g/min,36.08,Kaufman_2004,1,NA
Macaca,Thalamus,CMRgl,umol/100g/min,44.82,Kaufman_2004,1,Thalamus_Vol.mm3
Macaca,White_matter,CMRgl,umol/100g/min,12.34,Kaufman_2004,1,NA
Macaca,Whole_brain,CBF,mL/100g/min,67.33,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Macaca,Whole_brain,CMRO2,umol/100g/min,214.93,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Macaca,Whole_brain,CMRgl,umol/100g/min,40.66,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Meriones,Basal_ganglia,CBF,mL/100g/min,99.29,Kaufman_2004,1,NA
Meriones,Basal_ganglia,CMRgl,umol/100g/min,74.88,Kaufman_2004,1,NA
Meriones,Cerebellum,CBF,mL/100g/min,93,Kaufman_2004,1,Cerebellum_Vol.mm3
Meriones,Cerebellum,CMRgl,umol/100g/min,44.4,Kaufman_2004,1,Cerebellum_Vol.mm3
Meriones,Frontal_cortex,CMRgl,umol/100g/min,67.8,Kaufman_2004,1,NA
Meriones,Hippocampus,CBF,mL/100g/min,109,Kaufman_2004,1,Hippocampus_Vol.mm3
Meriones,Hippocampus,CMRgl,umol/100g/min,69,Kaufman_2004,1,Hippocampus_Vol.mm3
Meriones,Neocortex,CBF,mL/100g/min,103.03,Kaufman_2004,1,Neocortex_Vol.mm3
Meriones,Neocortex,CMRgl,umol/100g/min,73.35,Kaufman_2004,1,Neocortex_Vol.mm3
Meriones,Occipital_cortex,CMRgl,umol/100g/min,69.4,Kaufman_2004,1,NA
Meriones,Sensorimotor_cortex,CMRgl,umol/100g/min,67.2,Kaufman_2004,1,NA
Meriones,Thalamus,CBF,mL/100g/min,117,Kaufman_2004,1,Thalamus_Vol.mm3
Meriones,Thalamus,CMRgl,umol/100g/min,76.35,Kaufman_2004,1,Thalamus_Vol.mm3
Meriones,White_matter,CBF,mL/100g/min,62,Kaufman_2004,1,NA
Meriones,Whole_brain,CBF,mL/100g/min,102,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Mus,Auditory_cortex,CMRgl,umol/100g/min,105.24,Kaufman_2004,1,NA
Mus,Basal_ganglia,CMRgl,umol/100g/min,85.18,Kaufman_2004,1,NA
Mus,Cerebellum,CMRgl,umol/100g/min,91.52,Kaufman_2004,1,Cerebellum_Vol.mm3
Mus,Cingulate_cortex,CMRgl,umol/100g/min,83.33,Kaufman_2004,1,NA
Mus,Frontal_cortex,CMRgl,umol/100g/min,107.29,Kaufman_2004,1,NA
Mus,Hippocampus,CMRgl,umol/100g/min,74.54,Kaufman_2004,1,Hippocampus_Vol.mm3
Mus,Neocortex,CMRgl,umol/100g/min,98.9,Kaufman_2004,1,Neocortex_Vol.mm3
Mus,Occipital_cortex,CMRgl,umol/100g/min,100.75,Kaufman_2004,1,NA
Mus,Parietal_cortex,CMRgl,umol/100g/min,126,Kaufman_2004,1,NA
Mus,Sensorimotor_cortex,CMRgl,umol/100g/min,102.59,Kaufman_2004,1,NA
Mus,Thalamus,CMRgl,umol/100g/min,114.39,Kaufman_2004,1,Thalamus_Vol.mm3
Mus,White_matter,CMRgl,umol/100g/min,44.57,Kaufman_2004,1,NA
Mus,Whole_brain,CBF,mL/100g/min,117,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Mus,Whole_brain,CMRgl,umol/100g/min,67.53,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Ovis,Whole_brain,CBF,mL/100g/min,62.01,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Ovis,Whole_brain,CMRO2,umol/100g/min,217.93,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Rattus,Auditory_cortex,CMRgl,umol/100g/min,125.87,Kaufman_2004,1,NA
Rattus,Basal_ganglia,CBF,mL/100g/min,119.33,Kaufman_2004,1,NA
Rattus,Basal_ganglia,CMRgl,umol/100g/min,71.74,Kaufman_2004,1,NA
Rattus,Cerebellum,CBF,mL/100g/min,112.57,Kaufman_2004,1,Cerebellum_Vol.mm3
Rattus,Cerebellum,CMRgl,umol/100g/min,54.85,Kaufman_2004,1,Cerebellum_Vol.mm3
Rattus,Cingulate_cortex,CMRgl,umol/100g/min,97.93,Kaufman_2004,1,NA
Rattus,Frontal_cortex,CMRgl,umol/100g/min,94.31,Kaufman_2004,1,NA
Rattus,Hippocampus,CBF,mL/100g/min,94,Kaufman_2004,1,Hippocampus_Vol.mm3
Rattus,Hippocampus,CMRgl,umol/100g/min,65.36,Kaufman_2004,1,Hippocampus_Vol.mm3
Rattus,Neocortex,CBF,mL/100g/min,145.58,Kaufman_2004,1,Neocortex_Vol.mm3
Rattus,Neocortex,CMRO2,umol/100g/min,464.3,Kaufman_2004,1,Neocortex_Vol.mm3
Rattus,Neocortex,CMRgl,umol/100g/min,98.91,Kaufman_2004,1,Neocortex_Vol.mm3
Rattus,Occipital_cortex,CMRgl,umol/100g/min,94.2,Kaufman_2004,1,NA
Rattus,Parietal_cortex,CMRgl,umol/100g/min,94.29,Kaufman_2004,1,NA
Rattus,Sensorimotor_cortex,CMRgl,umol/100g/min,96.09,Kaufman_2004,1,NA
Rattus,Temporal_cortex,CMRgl,umol/100g/min,97.46,Kaufman_2004,1,NA
Rattus,Thalamus,CBF,mL/100g/min,129.92,Kaufman_2004,1,Thalamus_Vol.mm3
Rattus,Thalamus,CMRgl,umol/100g/min,89.8,Kaufman_2004,1,Thalamus_Vol.mm3
Rattus,White_matter,CBF,mL/100g/min,35,Kaufman_2004,1,NA
