"species_sci","Species","Common_name","Order","Family","Brain_size","GI","Ref","GI_method"
"Canis latrans","Canis latrans","Coyote","Carnivora","Canidae",85,1.8,"[5]","stereological (formalin-fixed, histology)"
"Ursus arctos","Ursus arctos","Brown bear","Carnivora","Ursidae",350,1.99,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Ursus maritimus","Ursus maritimus","Polar bear","Carnivora","Ursidae",459,2.04,"[4]","contour-based (Wisconsin/MSU collections)"
"Procyon lotor","Procyon lotor","Raccoon","Carnivora","Procyonidae",43,1.85,"[5]","stereological (formalin-fixed, histology)"
"Martes foina","Martes foina","Beech marten","Carnivora","Mustelidae",27,1.86,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Mustela putorius","Mustela putorius","Ferret","Carnivora","Mustelidae",11,1.63,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Phoca sp.","Phoca sp.","Seal","Carnivora","Mustelidae",187,2.82,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Felis domestica","Felis domestica","Cat","Carnivora","Felidae",31,1.65,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Felis domestica","Felis domestica","Cat","Carnivora","Felidae",30,1.6,"[87]","stereological (formalin-fixed, histology)"
"Felis domestica","Felis domestica","Cat","Carnivora","Felidae",37,1.5,"[4]","contour-based (Wisconsin/MSU collections)"
"Panthera leo","Panthera leo","Lion","Carnivora","Felidae",259,1.94,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Panthera leo","Panthera leo","Lion","Carnivora","Felidae",258,1.85,"[4]","contour-based (Wisconsin/MSU collections)"
"Crocuta crocuta","Crocuta crocuta","Hyena","Carnivora","Hyaenidae",163,1.74,"[4]","contour-based (Wisconsin/MSU collections)"
"Cynictis penicillata","Cynictis penicillata","Mierkat","Carnivora","Herpestidae",15,1.35,"[4]","contour-based (Wisconsin/MSU collections)"
"Equus caballus","Equus caballus","Horse","Perissodactyla","Equidae",590,1.99,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Equus caballus","Equus caballus","Horse","Perissodactyla","Equidae",532,2.8,"[87]","stereological (formalin-fixed, histology)"
"Equus burchelii","Equus burchelii","Zebra","Perissodactyla","Equidae",521,2.94,"[4]","contour-based (Wisconsin/MSU collections)"
"Lama glama","Lama glama","Llama","Artiodactyla","Camelidae",200,2.7,"[4]","contour-based (Wisconsin/MSU collections)"
"Sus scrofa domestica","Sus scrofa domestica","Domestic pig","Artiodactyla","Suidae",112,2,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Sus scrofa domestica","Sus scrofa domestica","Domestic pig","Artiodactyla","Suidae",180,2.18,"[87]","stereological (formalin-fixed, histology)"
"Sus scrofa domestica","Sus scrofa domestica","Domestic pig","Artiodactyla","Suidae",95,2.16,"[4]","contour-based (Wisconsin/MSU collections)"
"Odocoileus virginianus","Odocoileus virginianus","White-tailed deer","Artiodactyla","Cervidae",160,2.27,"[4]","contour-based (Wisconsin/MSU collections)"
"Bos taurus","Bos taurus","Domestic cattle","Artiodactyla","Bovidae",540,2.54,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Bos taurus","Bos taurus","Domestic cattle","Artiodactyla","Bovidae",441,2.49,"[87]","stereological (formalin-fixed, histology)"
"Bos taurus indicus","Bos taurus indicus","Zebu","Artiodactyla","Bovidae",474,2.53,"[4]","contour-based (Wisconsin/MSU collections)"
"Ovis aries","Ovis aries","Sheep","Artiodactyla","Bovidae",118,2.29,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Ovis aries","Ovis aries","Sheep","Artiodactyla","Bovidae",140,1.94,"[87]","stereological (formalin-fixed, histology)"
"Capra aegagrus hircus","Capra aegagrus hircus","Domestic goat","Artiodactyla","Bovidae",105,1.81,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Phocaena phocaena","Phocaena phocaena","Harbor porpoise","Cetacea","Delphinidae",455,3,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Pseudorca crassidens","Pseudorca crassidens","False killer whale","Cetacea","Delphinidae",3650,4.97,"[5]","stereological (formalin-fixed, histology)"
"Delphinus delphis","Delphinus delphis","Baird’s dolphin","Cetacea","Delphinidae",722,3.99,"[5]","stereological (formalin-fixed, histology)"
"Tursiops truncatus","Tursiops truncatus","Atlantic bottlenose dolphin","Cetacea","Delphinidae",1145,4.47,"[5]","stereological (formalin-fixed, histology)"
"Tursiops aduncus","Tursiops aduncus","Pacific bottlenose dolphin","Cetacea","Delphinidae",1498,4.75,"[5]","stereological (formalin-fixed, histology)"
"Globicephala melas","Globicephala melas","Atlantic pilot whale","Cetacea","Delphinidae",2580,5.03,"[5]","stereological (formalin-fixed, histology)"
"Globicephala macrorhynchus","Globicephala macrorhynchus","Pacific pilot whale","Cetacea","Delphinidae",2842,5.55,"[5]","stereological (formalin-fixed, histology)"
"Grampus griseus","Grampus griseus","Risso’s dolphin","Cetacea","Delphinidae",1500,4.25,"[5]","stereological (formalin-fixed, histology)"
