status,code_join,code_snapshot,code_csv,species_snapshot,species_csv_baron1983,species_csv_updated,n_snapshot,n_snapshot_num,n_csv,n_csv_num,volume_snapshot,volume_snapshot_num,volume_csv,volume_csv_num,code_match,n_match,volume_match,original_name_match
matched_by_code,3366,3366,3366,Alouatta spp.,Alouatta spp.,Alouatta seniculus,2,2,2,2,41.4,41.4,41.4,41.4,TRUE,TRUE,TRUE,TRUE
matched_by_code,3371,3371,3371,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,1,1,1,1,90.4,90.4,90.4,90.4,TRUE,TRUE,TRUE,TRUE
matched_by_code,3379,3379,3379,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,3,3,3,3,73.4,73.4,73.4,73.4,TRUE,TRUE,TRUE,TRUE
matched_by_code,3391,3391,3391,Macaca mulatta,Macaca mulatta,Macaca mulatta,1,1,1,1,84.3,84.3,84.3,84.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,3407,3407,3407,Cercocebus albigena,Cercocebus albigena,Lophocebus albigena,1,1,1,1,121,121,121,121,TRUE,TRUE,TRUE,TRUE
matched_by_code,3415,3415,3415,Papio anubis,Papio anubis,Papio anubis,2*,2,2*,2,287,287,287,287,TRUE,TRUE,TRUE,TRUE
matched_by_code,3433,3433,3433,Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,1,1,1,1,99.5,99.5,99.5,99.5,TRUE,TRUE,TRUE,TRUE
matched_by_code,3453,3453,3453,Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,1,1,1,1,117,117,117,117,TRUE,TRUE,TRUE,TRUE
matched_by_code,3469,3469,3469,Miopithecus talapoin11,Miopithecus talapoin,Miopithecus talapoin,2*,2,2*,2,27.8,27.8,27.8,27.8,TRUE,TRUE,TRUE,TRUE
matched_by_code,3473,3473,3473,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,2,2,2,2,51.8,51.8,51.8,51.8,TRUE,TRUE,TRUE,TRUE
matched_by_code,3477,3477,3477,Colobus badius,Colobus badius,Piliocolobus badius,2,2,2,2,51.3,51.3,51.3,51.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,3493,3493,3493,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,1,1,1,1,10.7,10.7,10.7,10.7,TRUE,TRUE,TRUE,TRUE
matched_by_code,3499,3499,3499,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,1,1,1,1,30.3,30.3,30.3,30.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,3539,3539,3539,Hylobates lar,Hylobates lar,Hylobates lar,1,1,1,1,43.9,43.9,43.9,43.9,TRUE,TRUE,TRUE,TRUE
matched_by_code,3549,3549,3549,Pan troglodytes,Pan troglodytes,Pan troglodytes,1,1,1,1,257,257,257,257,TRUE,TRUE,TRUE,TRUE
matched_by_code,3551,3551,3551,Gorilla gorilla,Gorilla gorilla,Gorilla sp.,1,1,1,1,316,316,316,316,TRUE,TRUE,TRUE,TRUE
matched_by_code,3553,3553,3553,Homo sapiens,Homo sapiens,Homo sapiens,1,1,1,1,114,114,114,114,TRUE,TRUE,TRUE,TRUE
matched_by_code,7993,7993,7993,Elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,2,2,2,2,63.3,63.3,63.3,63.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,8011,8011,8011,Rhynchocyon cirnei12,Rhynchocyon cirnei,Rhynchocyon cirnei,2,2,2,2,426,426,426,426,TRUE,TRUE,TRUE,TRUE
