"Species","Variable","Source","Value"
"Saimiri sciureus","SpinalCord_p.C.N","Burish_etal_2010_Table1","4.83"
"Saimiri sciureus","SpinalCord_N.n","Burish_etal_2010_Table1","4.69"
"Saimiri sciureus","SpinalCord_O.n","Burish_etal_2010_Table1","91.24"
"Saimiri sciureus","SpinalCord_N.p.mg","Burish_etal_2010_Table1","2913"
"Saimiri sciureus","SpinalCord_O.p.mg","Burish_etal_2010_Table1","56888"
"Saimiri sciureus","Body_Mass.g","Burish_etal_2010_Table1","858.8"
"Saimiri sciureus","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.19"
"Saimiri sciureus","Brain_Mass.g","Burish_etal_2010_Table1","30.216"
"Saimiri sciureus","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","5.03"
"Saimiri sciureus","Brain_N.n","Burish_etal_2010_Table1","3246.43"
"Saimiri sciureus","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.14"
"Saimiri sciureus","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","0.078"
"Saimiri sciureus","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","5.49"
"Saimiri sciureus","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","1.75"
"Saimiri sciureus","SpinalCord_N.n_SD","Burish_etal_2010_Table1","1.88"
"Saimiri sciureus","SpinalCord_O.n_SD","Burish_etal_2010_Table1","6.88"
"Saimiri sciureus","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","1120"
"Saimiri sciureus","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","1614"
"Saimiri sciureus","Body_Mass.g_SD","Burish_etal_2010_Table1","105.9"
"Saimiri sciureus","Species_Source","Burish_etal_2010_Table1","Saimiri sciureus"
"Otolemur garnettii","SpinalCord_n","Burish_etal_2010_Table1","15"
"Otolemur garnettii","SpinalCord_Mass.g","Burish_etal_2010_Table1","1.528"
"Otolemur garnettii","SpinalCord_Length.mm","Burish_etal_2010_Table1","152"
"Otolemur garnettii","SpinalCord_p.C.N","Burish_etal_2010_Table1","6.14"
"Otolemur garnettii","SpinalCord_N.n","Burish_etal_2010_Table1","5.73"
"Otolemur garnettii","SpinalCord_O.n","Burish_etal_2010_Table1","88.47"
"Otolemur garnettii","SpinalCord_N.p.mg","Burish_etal_2010_Table1","3847"
"Otolemur garnettii","SpinalCord_O.p.mg","Burish_etal_2010_Table1","59593"
"Otolemur garnettii","Body_Mass.g","Burish_etal_2010_Table1","1111.8"
"Otolemur garnettii","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.14"
"Otolemur garnettii","Brain_Mass.g","Burish_etal_2010_Table1","10.15"
"Otolemur garnettii","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","13.08"
"Otolemur garnettii","Brain_N.n","Burish_etal_2010_Table1","936"
"Otolemur garnettii","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.61"
"Otolemur garnettii","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","0.292"
"Otolemur garnettii","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","13.34"
"Otolemur garnettii","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","1.29"
"Otolemur garnettii","SpinalCord_N.n_SD","Burish_etal_2010_Table1","1.17"
"Otolemur garnettii","SpinalCord_O.n_SD","Burish_etal_2010_Table1","14.6"
"Otolemur garnettii","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","764"
"Otolemur garnettii","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","10308"
"Otolemur garnettii","Body_Mass.g_SD","Burish_etal_2010_Table1","255.2"
"Otolemur garnettii","Species_Source","Burish_etal_2010_Table1","Otolemur garnettii"
"Aotus trivirgatus","SpinalCord_n","Burish_etal_2010_Table1","12"
"Aotus trivirgatus","SpinalCord_Mass.g","Burish_etal_2010_Table1","2.131"
"Aotus trivirgatus","SpinalCord_Length.mm","Burish_etal_2010_Table1","169.88"
"Aotus trivirgatus","SpinalCord_p.C.N","Burish_etal_2010_Table1","6.11"
"Aotus trivirgatus","SpinalCord_N.n","Burish_etal_2010_Table1","5.82"
"Aotus trivirgatus","SpinalCord_O.n","Burish_etal_2010_Table1","91"
"Aotus trivirgatus","SpinalCord_N.p.mg","Burish_etal_2010_Table1","2911"
"Aotus trivirgatus","SpinalCord_O.p.mg","Burish_etal_2010_Table1","44202"
"Aotus trivirgatus","Body_Mass.g","Burish_etal_2010_Table1","1198.5"
"Aotus trivirgatus","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.18"
"Aotus trivirgatus","Brain_Mass.g","Burish_etal_2010_Table1","15.73"
"Aotus trivirgatus","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","11.93"
"Aotus trivirgatus","Brain_N.n","Burish_etal_2010_Table1","1470"
"Aotus trivirgatus","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.39"
"Aotus trivirgatus","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","0.526"
"Aotus trivirgatus","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","17.31"
"Aotus trivirgatus","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","1.12"
"Aotus trivirgatus","SpinalCord_N.n_SD","Burish_etal_2010_Table1","0.89"
"Aotus trivirgatus","SpinalCord_O.n_SD","Burish_etal_2010_Table1","14.81"
"Aotus trivirgatus","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","971"
