Species,Variable,Value,Source
Balaenoptera acutorostrata,DiencephalonStriatum_p.C.N,0.633753028430669,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_C.n,638750000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_Mass.g,7.7,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_N.n,13282136,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_N.p.mg,1725,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_O.n,625467864,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_O.p.N,47.1,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_O.p.mg,81208,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Hippocampus_p.C.N,2.07939506849315,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_C.n,1834812500,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_Mass.g,29.1,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_N.n,5710568,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_N.p.mg,196,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_O.n,1829101932,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_O.p.N,320.7,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_O.p.mg,62856,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Medulla_p.C.N,0.311234417685731,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_C.n,2311275002,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_Mass.g,29.7,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_N.n,5413766,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_N.p.mg,182,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_O.n,2305861236,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_O.p.N,426.6,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Mesencephalon_O.p.mg,77638,AvelinodeSouza_etal_2025_TABLE1
