"Species_Name_Source","Preferred_Name","Taxonomic_ID","different","Reference_Note","Source_Species","Species_Name"
"Condylura cristata","Condylura cristata","143302","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Condylura cristata"
"Cryptomys hottentotus","Cryptomys hottentotus","10175","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Cryptomys hottentotus"
"Cryptomys natalensis","Cryptomys hottentotus natalensis","63621","TRUE","NCBI","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Cryptomys hottentotus natalensis"
"Cryptomys pretoriae","Cryptomys hottentotus pretoriae","63619","TRUE","ITIS invalid synonym","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Cryptomys hottentotus pretoriae"
"Cynomys sp.",NA,NA,"TRUE","Genus, species unknown","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Cynomys sp."
"Damaliscus dorcas phillipsi","Damaliscus pygargus phillipsi","37172","TRUE","NCBI","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Damaliscus pygargus phillipsi"
"Dasyprocta prymnolopha",NA,NA,"TRUE","ITIS valid, missing from NCBI","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Dasyprocta prymnolopha"
"Dendrohyrax dorsalis","Dendrohyrax dorsalis","42325","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Dendrohyrax dorsalis"
"Dendrolagus goodfellowi","Dendrolagus goodfellowi","69260","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Dendrolagus goodfellowi"
"Didelphis aurita","Didelphis aurita","85694","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Didelphis aurita"
"Elephantulus myurus","Elephantulus myurus","113277","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Elephantulus myurus"
"Epomophorus wahlbergi","Epomophorus wahlbergi","58067","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Epomophorus wahlbergi"
"Epomops franqueti","Epomops franqueti","77231","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Epomops franqueti"
"Felis catus","Felis catus","9685","","NCBI exact","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Felis catus"
"Fukomys anselli","Fukomys anselli","261002","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Fukomys anselli"
"Fukomys damarensis","Fukomys damarensis","885580","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Fukomys damarensis"
"Fukomys darlingi","Fukomys darlingi","63616","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Fukomys darlingi"
"Fukomys mechowii","Fukomys mechowii","423607","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Fukomys mechowii"
"Georychus capensis","Georychus capensis","10177","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Georychus capensis"
"Giraffa camelopardalis","Giraffa camelopardalis","9894","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Giraffa camelopardalis"
"Gorilla gorilla","Gorilla gorilla","9593","","NCBI exact","HerculanoHouzel_etal_2015_Table2","Gorilla gorilla"
"Heliophobius argenteocinereus","Heliophobius argenteocinereus","10179","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Heliophobius argenteocinereus"
"Heterocephalus glaber","Heterocephalus glaber","10181","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5, Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Heterocephalus glaber"
"Hipposideros commersoni","Macronycteris commersoni","110941","TRUE","NCBI","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Macronycteris commersoni"
"Homo sapiens","Homo sapiens","9606","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Homo sapiens"
"Homo sapiens sapiens","Homo sapiens","9606","TRUE","GBIF for subspecies","DosSantos_etal_2020_unpublished","Homo sapiens"
"Hyaena hyaena","Hyaena hyaena","95912","","NCBI exact","JardimMesseder_etal_2017_Table1","Hyaena hyaena"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","10149","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Hydrochoerus hydrochaeris"
"Hypsignathus monstrosus","Hypsignathus monstrosus","448084","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Hypsignathus monstrosus"
"Loxodonta africana","Loxodonta africana","9785","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Loxodonta africana"
"Macaca fascicularis","Macaca fascicularis","9541","","NCBI exact","Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Macaca fascicularis"
"Macaca mulatta","Macaca mulatta","9544","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Macaca mulatta"
"Macaca nemestrina","Macaca nemestrina","9545","","NCBI exact","DosSantos_etal_2020_unpublished","Macaca nemestrina"
"Macaca radiata","Macaca radiata","9548","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Macaca radiata"
"Macropus fuliginosus","Macropus fuliginosus","9316","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Macropus fuliginosus"
"Macropus parma","Notamacropus parma","413582","TRUE","NCBI","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Notamacropus parma"
"Macropus rufogriseus","Notamacropus rufogriseus","1960652","TRUE","NCBI","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Notamacropus rufogriseus"
"Macropus rufus","Osphranter rufus","9321","TRUE","NCBI","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Osphranter rufus"
"Marmosops incanus","Marmosops incanus","225404","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Marmosops incanus"
"Megaloglossus woermanni","Megaloglossus woermanni","58073","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Megaloglossus woermanni"
"Mesocricetus auratus","Mesocricetus auratus","10036","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Mesocricetus auratus"
"Metachirus nudicaudatus","Metachirus nudicaudatus","42725","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Metachirus nudicaudatus"
"Microcebus murinus","Microcebus murinus","30608","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Microcebus murinus"
"Miniopterus schreibersii","Miniopterus schreibersii","9433","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Miniopterus schreibersii"
"Mungos mungo","Mungos mungo","210652","","NCBI exact","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Mungos mungo"
"Mus musculus","Mus musculus","10090","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Mus musculus"
"Mustela putorius furo","Mustela putorius furo","9669","","NCBI exact","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Mustela putorius furo"
"Oryctolagus cuniculus","Oryctolagus cuniculus","9986","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Oryctolagus cuniculus"
"Otolemur garnettii","Otolemur garnettii","30611","","NCBI exact","Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Otolemur garnettii"
"Panthera leo","Panthera leo","9689","","NCBI exact","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Panthera leo"
"Papio anubis cynocephalus","Papio cynocephalus","9556","TRUE","referenced papers call these Papio cynocephalus (Gabi 2010), Papio sp (HH 2008)","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Papio cynocephalus"
"Parascalops breweri","Parascalops breweri","94437","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Parascalops breweri"
"Petrodromus tetradactylus","Petrodromus tetradactylus","113272","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Petrodromus tetradactylus"
"Pongo pygmaeus","Pongo pygmaeus","9600","","NCBI exact","HerculanoHouzel_etal_2015_Table2","Pongo pygmaeus"
"Procavia capensis","Procavia capensis","9813","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Procavia capensis"
"Procyon lotor","Procyon lotor","9654","","NCBI exact","JardimMesseder_etal_2017_Table1","Procyon lotor"
"Proechimys cayennensis","Proechimys guyannensis","128105","TRUE","NCBI","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Proechimys guyannensis"
"Rattus norvegicus","Rattus norvegicus","10116","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Rattus norvegicus"
"Rousettus aegyptiacus","Rousettus aegyptiacus","9407","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Rousettus aegyptiacus"
"Saguinus midas","Saguinus midas","30586","","NCBI exact","DosSantos_etal_2020_unpublished","Saguinus midas"
"Saimiri sciureus","Saimiri sciureus","9521","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Saimiri sciureus"
"Sarcophilus harrisii","Sarcophilus harrisii","9305","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Sarcophilus harrisii"
"Scalopus aquaticus","Scalopus aquaticus","71119","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Scalopus aquaticus"
"Sciurus carolinensis","Sciurus carolinensis","30640","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Sciurus carolinensis"
"Scotonycteris zenkeri","Scotonycteris zenkeri","1001563","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Scotonycteris zenkeri"
"Sorex fumeus","Sorex fumeus","62283","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Sorex fumeus"
"Sus scrofa domesticus","Sus scrofa domesticus","9825","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Sus scrofa domesticus"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","9946","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Tragelaphus strepsiceros"
"Triaenops persicus","Triaenops persicus","329870","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Triaenops persicus"
"Tupaia glis","Tupaia glis","9395","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Tupaia glis"
"Ursus arctos","Ursus arctos","9644","","NCBI exact","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Ursus arctos"
"Wallabia bicolor","Wallabia bicolor","9330","","NCBI exact","DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished","Wallabia bicolor"
