Species,Standardized_Term,GI,source,team,ref,dependency_group
Ovis aries,GI,1.94,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Capra hircus domestica,GI,1.81,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Phocaena phocaena,GI,3,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Pseudorca crassidens,GI,4.97,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Delphinus delphis,GI,3.99,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Tursiops truncatus,GI,4.47,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Tursiops aduncus,GI,4.75,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Globicephala melas,GI,5.03,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Globicephala macrorhynchus,GI,5.55,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Grampus griseus,GI,4.25,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
