Species,GI,source_used,GI_Lewitus2014,GI_Zilles2013_mean,GI_Zilles2013_n,GI_Zilles2013_min,GI_Zilles2013_max,n_teams,citation_dependency,GI_abs_diff
Tachyglossus aculeatus,1.3555,Lewitus_etal_2014_TableS1,1.3555,NA,NA,NA,NA,1,FALSE,NA
Talpa europaea,1,Lewitus_etal_2014_TableS1,1,NA,NA,NA,NA,1,FALSE,NA
Talpa hairy,1,Lewitus_etal_2014_TableS8,1,NA,NA,NA,NA,1,FALSE,NA
Talpa star,1,Lewitus_etal_2014_TableS8,1,NA,NA,NA,NA,1,FALSE,NA
Tarsius bancanus,1.075,Lewitus_etal_2014_TableS1,1.075,NA,NA,NA,NA,1,FALSE,NA
Tarsius syrichta,1.1,Lewitus_etal_2014_TableS1,1.1,NA,NA,NA,NA,1,FALSE,NA
Trichechus manatus,1.019,Lewitus_etal_2014_TableS1,1.019,NA,NA,NA,NA,1,FALSE,NA
Trichosurus vulpecula,1.23,Zilles_etal_2013_Table1,NA,1.23,1,1.23,1.23,1,FALSE,NA
Tupaia glis,1.062,Lewitus_etal_2014_TableS1,1.062,NA,NA,NA,NA,1,FALSE,NA
Tursiops aduncus,4.75,Zilles_etal_2013_Table1,NA,4.75,1,4.75,4.75,1,FALSE,NA
Tursiops truncatus,4.76,Lewitus_etal_2014_TableS1,4.76,4.47,1,4.47,4.47,2,TRUE,0.29
Ursus arctos,1.99,Zilles_etal_2013_Table1,NA,1.99,1,1.99,1.99,1,FALSE,NA
Ursus maritimus,2.04,Lewitus_etal_2014_TableS1,2.04,2.04,1,2.04,2.04,2,TRUE,0
Varecia variegata,1.315,Lewitus_etal_2014_TableS1,1.315,NA,NA,NA,NA,1,FALSE,NA
Vulpes vulpes,1.8,Lewitus_etal_2014_TableS1,1.8,1.905,2,1.8,2.01,2,TRUE,0.105
Wallabia rufogrisea,1.23,Zilles_etal_2013_Table1,NA,1.23,1,1.23,1.23,1,FALSE,NA
Zaglossus bruijni,1.51,Zilles_etal_2013_Table1,NA,1.51,1,1.51,1.51,1,FALSE,NA
Zalophus californianus,2.52,Lewitus_etal_2014_TableS1,2.52,NA,NA,NA,NA,1,FALSE,NA
