source,Species,GI
Lewitus_etal_2014_TableS1,Crocidura russala,1
Lewitus_etal_2014_TableS1,Sorex araneus,1
Lewitus_etal_2014_TableS1,Sorex minutus,1
Lewitus_etal_2014_TableS1,Neomys fodiens,1
Lewitus_etal_2014_TableS1,Choloepus didactylus,1.377
Lewitus_etal_2014_TableS1,Dasypus novemcinctus,1.07063
Lewitus_etal_2014_TableS1,Potamogale velox,1
Lewitus_etal_2014_TableS1,Elephantulus fuscipes,1
Lewitus_etal_2014_TableS1,Trichechus manatus,1.019
Lewitus_etal_2014_TableS1,Procavia capensis,1.368
Lewitus_etal_2014_TableS1,Loxodonta africana,3.84
Lewitus_etal_2014_TableS1,Macropus eugenii,1.13
Lewitus_etal_2014_TableS1,Macropus fuliginosus,1.41
Lewitus_etal_2014_TableS1,Notamacropus rufogriseus,1.23
Lewitus_etal_2014_TableS1,Didelphis virginiana,1.12
Lewitus_etal_2014_TableS8,Blarina carolinensis,1
Lewitus_etal_2014_TableS8,Cavia porcellus,1
Lewitus_etal_2014_TableS8,Scalopus aquaticus,1
Lewitus_etal_2014_TableS8,Sorex fumeus,1
Lewitus_etal_2014_TableS8,Talpa hairy,1
Lewitus_etal_2014_TableS8,Talpa star,1
Lewitus_etal_2014_TableS8,Mesocricetus auratus,1.01
Lewitus_etal_2014_TableS8,Rattus rattus,1.02
Lewitus_etal_2014_TableS8,Mus musculus,1.03
Lewitus_etal_2014_TableS8,Tupaia glis,1.062
Lewitus_etal_2014_TableS8,Microcebus murinus,1.1
Lewitus_etal_2014_TableS8,Oryctolagus cuniculus,1.15
Lewitus_etal_2014_TableS8,Callithrix jacchus,1.17
Lewitus_etal_2014_TableS8,Dasyprocta leporina,1.23
Lewitus_etal_2014_TableS8,Callimico goeldii,1.255
Lewitus_etal_2014_TableS8,Otolemur garnetti,1.255
Lewitus_etal_2014_TableS8,Hydrochoerus hydrochaeris,1.3
Lewitus_etal_2014_TableS8,Aotus trivirgatus,1.31
Lewitus_etal_2014_TableS8,Cebus apella,1.69
Lewitus_etal_2014_TableS8,Macaca mulatta,1.79
Lewitus_etal_2014_TableS8,Macaca radiata,1.79
Lewitus_etal_2014_TableS8,Papio cynocephalus,1.985
Lewitus_etal_2014_TableS8,Pongo pygmaeus,2.21
Lewitus_etal_2014_TableS8,Gorilla gorilla,2.26
Lewitus_etal_2014_TableS8,Homo sapiens,2.56
Zilles_etal_2013_Table1,Zaglossus bruijni,1.51
Zilles_etal_2013_Table1,Marmosa sp.,1.01
Zilles_etal_2013_Table1,Didelphis virginiana,1.11
Zilles_etal_2013_Table1,Sarcophilus harrisii,1.33
Zilles_etal_2013_Table1,Wallabia rufogrisea,1.23
Zilles_etal_2013_Table1,Macropus melanops,1.41
Zilles_etal_2013_Table1,Trichosurus vulpecula,1.23
Zilles_etal_2013_Table1,Loxodonta africana,3.81
Zilles_etal_2013_Table1,Castor canadensis,1.02
Zilles_etal_2013_Table1,Mesocricetus auratus,1.01
Zilles_etal_2013_Table1,Rattus norvegicus,1.02
Zilles_etal_2013_Table1,Mus musculus,1.03
Zilles_etal_2013_Table1,Dolichotis patagonum,1.42
Zilles_etal_2013_Table1,Hydrochaeris hydrochaeris,1.3
Zilles_etal_2013_Table1,Dasyprocta leporina,1.23
Zilles_etal_2013_Table1,Oryctolagus cuniculus,1.15
Zilles_etal_2013_Table1,Vulpes vulpes,2.01
Zilles_etal_2013_Table1,Vulpes vulpes,1.8
Zilles_etal_2013_Table1,Canis latrans,1.8
Zilles_etal_2013_Table1,Ursus arctos,1.99
Zilles_etal_2013_Table1,Ursus maritimus,2.04
Zilles_etal_2013_Table1,Procyon lotor,1.85
Zilles_etal_2013_Table1,Martes foina,1.86
Zilles_etal_2013_Table1,Mustela putorius,1.63
Zilles_etal_2013_Table1,Phoca sp.,2.82
Zilles_etal_2013_Table1,Felis catus,1.65
Zilles_etal_2013_Table1,Felis catus,1.6
Zilles_etal_2013_Table1,Felis catus,1.5
Zilles_etal_2013_Table1,Panthera leo,1.94
Zilles_etal_2013_Table1,Panthera leo,1.85
Zilles_etal_2013_Table1,Crocuta crocuta,1.74
Zilles_etal_2013_Table1,Cynictis penicillata,1.35
Zilles_etal_2013_Table1,Equus caballus,1.99
Zilles_etal_2013_Table1,Equus caballus,2.8
Zilles_etal_2013_Table1,Equus burchelli,2.94
Zilles_etal_2013_Table1,Lama glama domesticus,2.7
Zilles_etal_2013_Table1,Sus scrofa domesticus,2
Zilles_etal_2013_Table1,Sus scrofa domesticus,2.18
Zilles_etal_2013_Table1,Sus scrofa domesticus,2.16
Zilles_etal_2013_Table1,Odocoileus virginianus,2.27
Zilles_etal_2013_Table1,Bos taurus,2.54
Zilles_etal_2013_Table1,Bos taurus,2.49
Zilles_etal_2013_Table1,Bos taurus indicus,2.53
Zilles_etal_2013_Table1,Ovis aries,2.29
Zilles_etal_2013_Table1,Ovis aries,1.94
Zilles_etal_2013_Table1,Capra hircus domestica,1.81
Zilles_etal_2013_Table1,Phocaena phocaena,3
Zilles_etal_2013_Table1,Pseudorca crassidens,4.97
Zilles_etal_2013_Table1,Delphinus delphis,3.99
Zilles_etal_2013_Table1,Tursiops truncatus,4.47
Zilles_etal_2013_Table1,Tursiops aduncus,4.75
Zilles_etal_2013_Table1,Globicephala melas,5.03
Zilles_etal_2013_Table1,Globicephala macrorhynchus,5.55
Zilles_etal_2013_Table1,Grampus griseus,4.25
