species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	C	10	Hypothalamus		absolute_volume	11.372100375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Third_ventricle		absolute_volume	1.304573	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Hippocampus		absolute_volume	36.21735	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Thalamus		absolute_volume	15.316717125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Fimbria		absolute_volume	2.245238875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Total		absolute_volume	400.136578625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Olfactory_bulbs		absolute_volume	24.175798375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Cerebellum		absolute_volume	61.172458625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Corpus_callosum		absolute_volume	6.4902507499999995	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Midbrain		absolute_volume	27.332521375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Lateral_ventricle		absolute_volume	3.0417149999999995	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Striatum		absolute_volume	38.26003649999999	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Cortex		absolute_volume	141.73156075	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Hypothalamus		absolute_volume	11.469943125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Third_ventricle		absolute_volume	0.8891695	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Hippocampus		absolute_volume	38.7132035	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Thalamus		absolute_volume	15.2480555	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Fimbria		absolute_volume	1.6804959999999998	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	13	Total		absolute_volume	370.205209	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Olfactory_bulbs		absolute_volume	28.927190875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Cerebellum		absolute_volume	72.69389725	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Corpus_callosum		absolute_volume	9.09939725	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Midbrain		absolute_volume	30.561339375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Lateral_ventricle		absolute_volume	2.985069	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Striatum		absolute_volume	44.060236	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Cortex		absolute_volume	158.94162225	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Hypothalamus		absolute_volume	12.530766875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Third_ventricle		absolute_volume	1.160383375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Hippocampus		absolute_volume	37.964790375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Thalamus		absolute_volume	17.076173750000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Fimbria		absolute_volume	2.6211617499999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	17	Total		absolute_volume	418.622028125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Olfactory_bulbs		absolute_volume	30.420582875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Cerebellum		absolute_volume	69.46508025	mm3
