Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Code_number_Stephan1981,Species_Stephan1981,Number_of_individuals_1_to_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals_27_to_28,Area_striata,Corpus_geniculatum_laterale,Number_of_individuals_29_to_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,Number_of_individuals_35_to_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,Number_of_individuals_40_to_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
AAAA_Anatomy_code,,,,,,,,,1N,1,2,3,4,5_(=6-10),6,7,8,9,10_(=11-18),11,12,13,14,15,16,17,18,19N,19,20,21,22_(=23+24),23,24,25,26,27N,27,28,29N,29,30_(=31+33),31,32,33,34,35N,35_(=36-39),36,37,38,39,40N,40,41,42,43,44
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981
Echinosorex gymnura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephantulus fuscipes,35.6,Stephan_1987,,,57,Stephan_1981,31,Elephantulus fuscipes,2,57,"1,330",18.1,32.9,"1,233",120,183,117,112,700,63.3,0.662,120,16.8,44.5,46.8,173,236,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.289,0.0709,0.415,0.336,0.124
Erinaceus europaeus,108.1,Stephan_1987,,,860,Stephan_1981,22,Erinaceus europaeus,5,860,"3,350",105,78.8,"3,050",333,394,151,241,"1,931",332,1.94,505,51.7,147,134,237,522,2,3.71,117,79.9,14.2,13.3,0.903,18.8,3.94,,,,2,379,104,43.1,3.72,61.1,12.2,1,7.54,1.21,1.72,2.85,1.77,2,0.887,0.0592,1.17,0.423,0.0312
Erythrocebus patas,688.4,Stephan_1987,7775,Frahm_1998,7800,Stephan_1981,234,Erythrocebus patas,2,"7,800","108,000",561,519,"103,167","2,616","8,738","1,621","5,423","84,770",51.8,0,"1,339",330,"3,624",693,"1,591","77,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulemur fulvus,260.7,Stephan_1987,1253,deSousa_2010,1400,Stephan_1981,118,Lemur fulvus,3,"1,400","23,300",194,190,"22,106",909,"3,328",590,"1,713","15,566",207,3.21,641,119,"1,215",422,752,"12,207",1,12.2,"1,028",239,225,212,13.9,248,108,2,1527,51.6,3,389,251,71.7,1.37,179,19.6,1,31.1,6.22,5.9,9.75,9.27,4,1.4,0.527,4.02,1.85,0.174
Galago senegalensis,73.2,Stephan_1987,301,deSousa_2010,186,Stephan_1981,143,Galago senegalensis,1,186,"4,800",40.2,81.4,"4,512",254,672,205,382,"2,997",79.2,2.58,163,35.7,210,107,261,"2,139",,,,,,,,,,1,334,16,,,,,,,,,,,,,,1,0.588,0.0668,0.998,0.741,0.0382
Galagoides demidoff,57.9,Stephan_1987,214,deSousa_2010,81,Stephan_1981,142,Galago demidovii,2,81,"3,380",30.4,28.8,"3,203",169,413,135,246,"2,240",83.1,1.26,181,25.7,169,59.9,152,"1,568",2,2.09,153,45.1,18.3,17,1.4,18.4,11.5,2,237,10.9,1,122,50.2,14.9,0.62,35.3,2.82,2,6.65,1.02,1.01,2.72,1.9,2,0.45,0.024,0.78,0.375,0.0266
Galemys pyrenaicus,36.5,Stephan_1987,,,57.5,Stephan_1981,84,Galemys pyrenaicus,2,57.5,"1,330",27.5,25.9,"1,230",147,184,62.2,105,733,39,0.206,107,20.1,74.4,44.9,109,339,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.444,0.0379,0.422,0.0707,0.00545
Gorilla sp.,2752.6,Stephan_1987,9129,deSousa_2010,103517.5,Bauernfeind_2013,279,Gorilla gorilla,1,"105,000","500,000","3,608","8,659","470,359","7,509","69,249","4,352","19,370","369,878",316,0,"4,871","1,173","14,567","2,729","4,781","341,444",1,106,"10,547","2,215","2,782","2,604",178,"2,471",671,1,15185,384,,,,,,,,1,136,34.7,19.5,58.4,23.6,2,5.79,1.3,23.9,7.96,1.41
Hemicentetes semispinosus,22.4,Stephan_1987,,,110,Stephan_1981,4,Hemicentetes semispinosus,1,110,830,15.5,29,757,108,117,44.8,48.5,438,93.6,0.196,148,12.8,29.8,17.4,63.7,73.4,1,1.16,19,17.1,3.31,3.12,0.188,2.81,0.507,,,,1,125,22.3,10.4,1.3,11.9,2.39,1,2.5,0.384,0.552,0.852,0.709,1,0.338,0.032,0.425,0.181,0.00382
