key,Species,col,snap,csv_col,csv,match
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Telencephalon,3328,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Bulbus_olfactorius,426,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Bulbus_olfactorius_accessorius,0.6659999999999999,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Lobus_piriformis,705,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Septum,81.5,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Striatum,222,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Schizo_cortex,220,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Hippocampus,582,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Neocortex,1089,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Nucleus_septalis_triangularis,0.9370000000000002,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Corpus_subfornicale,0.057600000000000005,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Nucleus_habenularis_medialis,2.09,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Corpus_pineal,1.41,NA,NA,FALSE
rhynchocyonstuhlmanni,Rhynchocyon stuhlmanni,Corpus_subcommissurale,0.403,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Body_weight,28,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Brain_weight,440,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Ventricles,2.67,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Meninges_hypophysis_nerves_etc.,14,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Total_brain_net_volume,408,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Medulla_oblongata,59.8,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Cerebellum,51.3,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Mesencephalon,27.7,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Diencephalon,28.4,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Telencephalon,241,NA,NA,FALSE
