Species,Body_Mass.g
Caprolagus hispidus,2497.0
Capromys gundlachianus,5650.0
Capromys pilorides,5650.0
Caracal caracal,13023.303
Cardiocranius paradoxus,8.6
Cardioderma cor,26.67
Carlito syrichta,127.0
Carollia brevicauda,14.4
Carollia castanea,12.91
Carollia colombiana,15.47
Carollia perspicillata,17.535
Carollia sowelli,16.5
Carollia subrufa,15.59
Carpitalpa arendsi,52.34
Carpomys melanurus,219.06
Carpomys phaeurus,215.15
Carterodon sulcidens,113.8
Caryomys eva,47.71
Caryomys inez,47.71
Casinycteris argynnis,30.285
Castor canadensis,13000.0
Castor fiber,17971.689
Catagonus wagneri,35566.41
Catopuma badia,2500.0
Catopuma temminckii,7860.0
Cavia aperea,600.0
Cavia fulgida,282.5
Cavia intermedia,578.88
Cavia magna,460.0
Cavia porcellus,627.08
Cavia tschudii,1000.0
Cebus albifrons,3040.0
Cebus apella,1250.0
Cebus apella group,2633.642
Cebus capucinus,2708.615
Cebus capucinus group,2845.415
Cebus kaapori,3000.0
Cebus libidinosus,2455.981
Cebus nigritus,2603.141
Cebus olivaceus,2673.446
Cebus xanthosternos,2433.588
Centronycteris centralis,5.0
Centronycteris maximiliani,5.0
Centurio senex,21.22
Cephalophus adersi,9249.96
Cephalophus brookei,20863.36
Cephalophus callipygus,18249.88
Cephalophus dorsalis,19999.309
Cephalophus jentinki,70000.32
Cephalophus leucogaster,12849.945
Cephalophus natalensis,12408.16
Cephalophus niger,20399.99
Cephalophus nigrifrons,13774.925
Cephalophus ogilbyi,20000.0
Cephalophus rufilatus,11999.97
Cephalophus silvicultor,59168.977
Cephalophus spadix,56000.25
Cephalophus weynsi,17000.0
Cephalophus zebra,13750.04
Cephalorhynchus commersonii,60200.0
Cephalorhynchus eutropia,45000.0
Cephalorhynchus heavisidii,55500.0
Cephalorhynchus hectori,50000.0
Ceratotherium simum,2211975.247
Cercartetus caudatus,27.5
Cercartetus concinnus,17.0
Cercartetus lepidus,7.0
Cercartetus nanus,70.0
Cercocebus agilis,6485.0
Cercocebus atys,6200.0
Cercocebus chrysogaster,12000.0
Cercocebus galeritus,6601.255
Cercocebus sanjei,8000.0
Cercocebus torquatus,6861.994
Cercopithecus aethiops,4173.5
Cercopithecus albogularis,5305.778
Cercopithecus ascanius,3425.0
Cercopithecus campbelli,3273.085
Cercopithecus campbelli lowei,2848.5
Cercopithecus cephus,3364.577
Cercopithecus cephus group,3802.912
Cercopithecus denti,4500.0
Cercopithecus diana,3900.0
Cercopithecus doggetti,5663.944
Cercopithecus dryas,3075.0
Cercopithecus erythrogaster,2700.0
Cercopithecus erythrotis,3472.777
Cercopithecus hamlyni,2097.0
Cercopithecus lhoesti,3450.0
Cercopithecus lowei,3228.0
Cercopithecus mitis,6860.0
Cercopithecus mitis group,5839.647
Cercopithecus mona,3532.082
Cercopithecus mona group,3288.545
Cercopithecus neglectus,5740.0
Cercopithecus neglectus group,6252.75
Cercopithecus nictitans,5256.168
