Species,Body_Mass.g
Hapalemur occidentalis,976.355
Hapalemur simus,1300.0
Hapalomys delacouri,64.3
Hapalomys longicaudatus,70.0
Haplonycteris fischeri,17.96
Harpiocephalus harpia,14.905
Harpiocephalus mordax,16.31
Harpyionycteris celebensis,104.0
Harpyionycteris whiteheadi,110.5
Heimyscus fumosus,14.25
Helarctos malayanus,45760.0
Heliophobius argenteocinereus,173.837
Heliosciurus gambianus,295.0
Heliosciurus mutabilis,390.0
Heliosciurus punctatus,174.0
Heliosciurus rufobrachium,348.75
Heliosciurus ruwenzorii,291.0
Heliosciurus undulatus,347.33
Helogale hirtula,289.0
Helogale parvula,283.5
Hemibelideus lemuroides,1026.0
Hemicentetes nigriceps,102.99
Hemicentetes semispinosus,110.5
Hemiechinus auritus,250.0
Hemiechinus collaris,141.0
Hemigalus derbyanus,2181.75
Hemitragus hylocrius,75000.0
Hemitragus jayakari,23000.0
Hemitragus jemlahicus,52600.0
Herpestes brachyurus,1853.52
Herpestes edwardsi,1282.335
Herpestes fuscus,1552.37
Herpestes ichneumon,4219.99
Herpestes javanicus,638.5
Herpestes naso,2999.995
Herpestes semitorquatus,1916.01
Herpestes smithii,1493.475
Herpestes urva,2111.6
Herpestes vitticollis,2432.795
Hesperoptenus blanfordi,6.915
Hesperoptenus doriae,9.56
Hesperoptenus gaskelli,13.07
Hesperoptenus tickelli,16.3
Hesperoptenus tomesi,31.0
Heterocephalus glaber,44.21
Heterohyrax brucei,2625.0
Heteromys anomalus,70.0
Heteromys australis,267.5
Heteromys desmarestianus,73.575
Heteromys gaumeri,63.6
Heteromys nelsoni,54.2
Heteromys oasicus,83.95
Heteromys oresterus,74.8
Heteromys teleus,83.95
Heteropsomys antillensis,272.28
Heteropsomys insulans,272.28
Hexaprotodon liberiensis,158000.58
Hexolobodon phenax,1350.1
Hippocamelus antisensis,68599.35
Hippocamelus bisulcus,70000.32
Hippopotamus amphibius,1426200.097
Hipposideros abae,9.31
Hipposideros armiger,54.5
Hipposideros ater,5.81
Hipposideros beatus,6.65
Hipposideros bicolor,8.01
Hipposideros breviceps,9.31
Hipposideros caffer,10.175
Hipposideros calcaratus,11.35
Hipposideros camerunensis,23.28
Hipposideros cervinus,8.3
Hipposideros cineraceus,4.72
Hipposideros coronatus,10.59
Hipposideros corynophyllus,14.5
Hipposideros coxi,9.25
Hipposideros crumeniferus,9.18
Hipposideros curtus,9.31
Hipposideros cyclops,33.5
Hipposideros demissus,13.94
Hipposideros diadema,43.68
Hipposideros dinops,74.5
Hipposideros doriae,4.24
Hipposideros durgadasi,13.94
Hipposideros dyacorum,6.05
Hipposideros edwardshilli,13.94
Hipposideros fuliginosus,9.31
Hipposideros fulvus,7.75
Hipposideros galeritus,9.29
Hipposideros gigas,115.42
Hipposideros grandis,13.94
Hipposideros halophyllus,4.0
Hipposideros hypophyllus,13.94
Hipposideros inexpectatus,21.41
Hipposideros inornatus,25.9
Hipposideros jonesi,5.5
Hipposideros lamottei,9.78
Hipposideros lankadiva,50.45
Hipposideros larvatus,19.85
Hipposideros lekaguli,30.7
Hipposideros lylei,40.0
Hipposideros macrobullatus,9.31
Hipposideros madurae,13.94
Hipposideros maggietaylorae,19.5
Hipposideros marisae,9.31
Hipposideros megalotis,9.31
Hipposideros muscinus,14.41
Hipposideros nequam,9.31
Hipposideros obscurus,9.5
Hipposideros orbiculus,13.94
Hipposideros papua,9.31
Hipposideros pelingensis,13.94
Hipposideros pomona,6.2
Hipposideros pratti,31.8
Hipposideros pygmaeus,3.5
Hipposideros ridleyi,9.24
Hipposideros rotalis,13.94
Hipposideros ruber,8.705
Hipposideros scutinares,13.94
Hipposideros semoni,14.0
Hipposideros sorenseni,13.94
Hipposideros speoris,10.965
Hipposideros stenotis,12.0
Hipposideros sumbae,13.94
Hipposideros thomensis,13.94
Hipposideros turpis,34.075
Hipposideros vittatus,13.94
Hipposideros wollastoni,6.75
Hippotragus equinus,254186.33
Hippotragus leucophaeus,150000.0
Hippotragus niger,196249.635
Hirundo rustica,19.0
Histiotus alienus,10.42
Histiotus humboldti,11.1
Histiotus laephotis,11.1
Histiotus macrotus,11.0
Histiotus magellanicus,11.1
Histiotus montanus,10.42
Histiotus velatus,11.2
Histriophoca fasciata,88790.0
Hodomys alleni,367.6
Holochilus brasiliensis,155.0
Holochilus chacarius,204.0
Holochilus sciureus,141.63
Homo erectus,69620.0
Homo floresiensis,22500.0
Homo georgicus,40000.0
Homo habilis,30300.0
Homo heidelbergensis,118500.0
Homo naledi,47700.0
Homo neanderthalensis,96800.0
Homo rudolfensis,45600.0
Homo sapiens,64097.143
Homo sapiens (MRI),58200.0
Hoolock hoolock,6955.167
Hoplomys gymnurus,285.0
Horpyiocepalus leucogostra,10.0
Hyaena brunnea,41138.965
Hyaena hyaena,39002.555
Hybomys badius,51.22
Hybomys basilii,54.18
Hybomys lunaris,54.1
Hybomys planifrons,49.6
Hybomys trivirgatus,57.2
Hybomys univittatus,47.6
Hydrictis maculicollis,4240.265
Hydrochoeris hydrochaeris,28500.0
Hydrochoerus hydrochaeris,46509.955
Hydrochoerus isthmius,21267.32
Hydromys chrysogaster,588.875
Hydromys habbema,136.19
Hydromys hussoni,141.87
Hydromys neobritannicus,135.43
Hydromys shawmayeri,141.42
Hydropotes inermis,12650.0
Hydrurga leptonyx,352750.0
Hyemoschus aquaticus,10825.005
Hyladelphys kalinowskii,16.75
Hylobates,5400.0
Hylobates agilis,5880.0
Hylobates albibarbis,5692.08
Hylobates klossii,5796.25
Hylobates lar,5755.0
Hylobates moloch,6497.333
Hylobates muelleri,5826.656
Hylobates pileatus,5440.0
Hylobates syndactylus,10950.0
Hylochoerus meinertzhageni,194250.0
Hylomys megalotis,65.83
Hylomys parvus,65.83
Hylomys suillus,65.83
Hylomyscus aeta,20.0
Hylomyscus alleni,19.95
Hylomyscus baeri,21.09
Hylomyscus carillus,21.56
Hylomyscus denniae,36.0
Hylomyscus grandis,21.09
Hylomyscus parvus,14.5
Hylomyscus stella,20.05
Hylonycteris underwoodi,6.65
Hylopetes alboniger,255.38
Hylopetes bartelsi,146.63
Hylopetes lepidus,50.0
Hylopetes nigripes,534.0
Hylopetes phayrei,227.0
Hylopetes platyurus,56.98
Hylopetes sipora,89.2
Hylopetes spadiceus,85.875
Hylopetes winstoni,170.82
Hyomys dammermani,932.5
Hyomys goliath,817.5
Hyosciurus heinrichi,296.0
Hyosciurus ileile,315.0
Hyperacrius fertilis,22.25
Hyperacrius wynnei,52.6
Hyperoodon ampullatus,5800000.0
Hyperoodon planifrons,3000000.0
Hypogeomys antimena,1250.0
Hypsignathus monstrosus,329.855
Hypsiprymnodon moschatus,520.0
Hypsugo alaschanicus,5.12
Hypsugo anchietae,9.56
Hypsugo anthonyi,12.15
Hypsugo arabicus,3.17
Hypsugo ariel,5.12
Hypsugo bodenheimeri,2.73
Hypsugo cadornae,6.69
Hypsugo crassulus,6.095
Hypsugo eisentrauti,6.11
Hypsugo imbricatus,6.545
Hypsugo joffrei,5.12
Hypsugo kitcheneri,9.56
Hypsugo lophurus,9.56
Hypsugo macrotis,9.56
Hypsugo musciculus,5.12
Hypsugo pulveratus,5.415
Hypsugo savii,6.3
Hypsugo vordermanni,5.12
Hystrix africaeaustralis,14936.01
Hystrix brachyura,8225.0
Hystrix crassispinis,5445.03
Hystrix cristata,15625.0
Hystrix indica,13542.915
Hystrix javanica,23014.42
Hystrix pumila,2740.0
Hystrix sumatrae,3260.0
Ia io,49.2
Ichneumia albicauda,3950.01
Ichthyomys hydrobates,66.4
Ichthyomys pittieri,69.1
Ichthyomys stolzmanni,84.7
Ichthyomys tweedii,118.5
Ictonyx libyca,1146.25
Ictonyx striatus,1006.495
Idionycteris phyllotis,12.03
Idiurus macrotis,30.0
Idiurus zenkeri,100.0
Indopacetus pacificus,2200000.0
Indri indri,6250.0
Inia geoffrensis,110626.75
Iomys horsfieldii,155.5
Iomys sipora,154.67
Irenomys tarsalis,43.15
Isolobodon montanus,1350.1
Isolobodon portoricensis,1350.1
Isoodon auratus,425.0
Isoodon macrourus,1568.59
Isoodon obesulus,733.0
Isothrix bistriata,445.0
Isothrix negrensis,300.97
Isothrix pagurus,210.0
Isothrix sinnamariensis,291.73
Isthmomys flavidus,233.68
Isthmomys pirrensis,138.0
Jaculus blanfordi,54.7
Jaculus jaculus,60.375
Jaculus orientalis,118.0
Juliomys pictipes,22.9
Juliomys rimofrons,19.8
Juscelinomys candango,97.3
Juscelinomys guaporensis,97.3
Juscelinomys huanchacae,97.3
KNM-ER 1470,52000.0
KNM-ER 1805,32000.0
KNM-ER 1813,32000.0
KNM-ER 23000,46000.0
KNM-ER 3733,61800.0
KNM-ER 3883,61800.0
KNM-WT 15000,68000.0
Kadarsanomys sodyi,79.09
Kannabateomys amblyonyx,600.0
Kerivoula africana,4.9
Kerivoula agnella,5.03
Kerivoula argentata,10.0
Kerivoula cuprosa,5.03
Kerivoula eriophora,5.03
Kerivoula flora,5.95
Kerivoula hardwickii,4.55
Kerivoula intermedia,3.55
Kerivoula lanosa,6.5
Kerivoula lenis,4.9
Kerivoula minuta,2.07
Kerivoula muscina,5.15
Kerivoula myrella,6.5
Kerivoula papillosa,9.95
Kerivoula pellucida,4.115
Kerivoula phalaena,3.0
Kerivoula picta,4.5
Kerivoula smithii,5.03
Kerivoula whiteheadi,3.95
Kerodon acrobata,800.0
Kerodon rupestris,800.0
Kobus ellipsiprymnus,200864.607
Kobus kob,98000.03
Kobus leche,116874.525
Kobus megaceros,87500.39
Kobus vardonii,71500.65
Kogia breviceps,382750.0
Kogia sima,175783.33
Komodomys rintjanus,73.85
Kunsia fronto,168.0
Kunsia tomentosus,115.6
La Chapelle I,76410.0
La Ferrassie I,84990.0
Laephotis angolensis,7.48
Laephotis botswanae,7.2
Laephotis namibensis,7.48
Laephotis wintoni,6.0
Lagenodelphis hosei,164000.0
Lagenorhynchus acutus,213302.5
Lagenorhynchus albirostris,123750.0
Lagenorhynchus australis,120000.0
Lagenorhynchus cruciger,110000.0
Lagenorhynchus obliquidens,104875.0
Lagenorhynchus obscurus,92986.55
Lagenorhyncus obliquidens,86000.0
Lagidium peruanum,1220.0
Lagidium viscacia,2000.25
Lagidium wolffsohni,2682.01
Lagorchestes asomatus,1500.0
Lagorchestes conspicillatus,3025.0
Lagorchestes hirsutus,1265.0
Lagorchestes leporides,3000.0
Lagostomus crassus,4647.51
Lagostomus maximus,4459.13
Lagostrophus fasciatus,1725.0
Lagothrix cana,5899.1
Lagothrix lagothricha,5920.0
Lagothrix lugens,6.0
Lagothrix poeppigii,4555.77
Lagurus lagurus,20.2
Lama glama,103679.89
Lama glama domesticus,107250.0
Lamottemys okuensis,75.89
Lampronycteris brachyotis,10.39
Lariscus hosei,180.0
Lariscus insignis,200.0
Lariscus niobe,190.2
Lariscus obscurus,241.19
Lasionycteris noctivagans,10.46
Lasiopodomys brandtii,93.82
Lasiopodomys fuscus,42.5
Lasiopodomys mandarinus,47.48
Lasiorhinus krefftii,17374.995
Lasiorhinus latifrons,29917.0
Lasiurus atratus,14.57
Lasiurus blossevillii,9.5
Lasiurus borealis,9.22
Lasiurus castaneus,13.63
Lasiurus cinereus,25.28
Lasiurus degelidus,14.57
Lasiurus ebenus,14.0
Lasiurus ega,13.2
Lasiurus egregius,20.0
Lasiurus insularis,14.57
Lasiurus intermedius,23.03
Lasiurus minor,14.57
Lasiurus pfeifferi,14.57
Lasiurus salinae,14.57
Lasiurus seminolus,9.89
Lasiurus varius,14.57
Lasiurus xanthinus,14.57
Latidens salimalii,44.0
Lavia frons,23.715
Leggadina forresti,20.0
Leggadina lakedownensis,17.5
Leimacomys buttneri,55.0
Lemmiscus curtatus,28.27
Lemmus amurensis,42.81
Lemmus lemmus,58.2
Lemmus portenkoi,55.76
Lemmus sibiricus,61.135
Lemmus trimucronatus,69.71
Lemniscomys barbarus,33.43
Lemniscomys bellieri,46.47
Lemniscomys griselda,58.0
Lemniscomys hoogstraali,44.92
Lemniscomys linulus,44.45
Lemniscomys macculus,26.5
Lemniscomys mittendorfi,41.85
Lemniscomys rosalia,59.3
Lemniscomys roseveari,44.73
Lemniscomys striatus,42.165
Lemniscomys zebra,41.16
Lemur catta,2173.333
Lenomys meyeri,74.17
Lenothrix canus,135.0
Lenoxus apicalis,53.6
Leontopithecus caissara,572.0
Leontopithecus chrysomelas,655.0
Leontopithecus chrysopygus,700.0
Leontopithecus rosalia,607.25
Leopardus braccatus,5157.94
Leopardus colocolo,5157.94
Leopardus geoffroyi,4373.97
Leopardus guigna,5157.94
Leopardus jacobitus,8133.78
Leopardus pajeros,5157.94
Leopardus pardalis,11641.86
Leopardus tigrinus,2250.0
Leopardus wiedii,3249.97
Leopoldamys ciliatus,336.38
Leopoldamys edwardsi,316.05
Leopoldamys milleti,336.38
Leopoldamys neilli,219.0
Leopoldamys sabanus,335.515
Leopoldamys siporanus,454.35
Lepilemur ankaranensis,700.89
Lepilemur dorsalis,746.667
Lepilemur edwardsi,873.25
Lepilemur leucopus,616.75
Lepilemur microdon,946.667
Lepilemur mustelinus,772.3
Lepilemur ruficaudatus,915.0
Lepilemur septentrionalis,750.0
Leporillus apicalis,150.0
Leporillus conditor,350.0
Leptailurus serval,12429.99
Leptomys elegans,84.75
Leptomys ernstmayri,42.85
Leptomys signatus,52.04
Leptonychotes weddellii,389333.335
Leptonycteris curasoae,24.21
Leptonycteris nivalis,24.27
Leptonycteris yerbabuenae,22.24
Lepus alleni,3685.02
Lepus americanus,1605.01
Lepus arcticus,4318.02
Lepus brachyurus,2519.45
Lepus californicus,2368.69
Lepus callotis,2500.0
Lepus capensis,2837.085
Lepus castroviejoi,2822.41
Lepus comus,1460.0
Lepus coreanus,2017.79
Lepus corsicanus,3000.0
Lepus europaeus,2847.0
Lepus fagani,2048.51
Lepus flavigularis,2999.99
Lepus granatensis,4010.0
Lepus habessinicus,2015.56
Lepus hainanus,2000.0
Lepus insularis,2658.02
Lepus mandshuricus,1800.0
Lepus microtis,1763.61
Lepus nigricollis,2129.75
Lepus oiostolus,3000.0
Lepus othus,4805.96
Lepus peguensis,2267.5
Lepus saxatilis,2363.33
Lepus sinensis,1510.0
Lepus starcki,2750.0
Lepus tibetanus,2451.03
Lepus timidus,3161.25
Lepus tolai,1589.0
Lepus townsendii,1555.0
Lepus yarkandensis,1460.41
Lestodelphys halli,76.0
Lestoros inca,21.1
Liberiictis kuhni,2150.01
Lichonycteris obscura,5.6
Limnomys bryophilus,64.1
Limnomys sibuanus,60.0
Liomys adspersus,65.0
Liomys irroratus,53.85
Liomys pictus,41.675
Liomys salvini,43.45
Liomys spectabilis,65.0
Lionycteris spurrelli,7.965
Lipotes vexillifer,131750.0
Lissodelphis borealis,93000.0
Lissodelphis peronii,116000.0
Lissonycteris angolensis,76.23
Litocranius walleri,38874.845
Lobodon carcinophaga,223624.995
Lonchophylla bokermanni,11.8
Lonchophylla dekeyseri,11.8
Lonchophylla handleyi,18.5
Lonchophylla hesperia,11.8
Lonchophylla mordax,10.7
Lonchophylla robusta,13.0
Lonchophylla thomasi,7.025
Lonchorhina aurita,16.85
Lonchorhina fernandezi,14.32
Lonchorhina inusitata,13.29
Lonchorhina marinkellei,17.0
Lonchorhina orinocensis,8.8
Lonchothrix emiliae,138.2
Long-tailed macaque,5700.0
Lontra canadensis,7968.71
Lontra felina,17300.0
Lontra longicaudis,7277.48
Lontra provocax,7499.98
Lophiomys imhausi,755.01
Lophocebus albigena,7645.0
Lophocebus aterrimus,6467.592
Lophocebus opdenboschi,7075.67
Lophostoma brasiliense,9.76
Lophostoma carrikeri,22.35
Lophostoma evotis,20.58
Lophostoma schulzi,18.02
Lophostoma silvicolum,32.29
Lophuromys angolensis,36.5
Lophuromys ansorgei,36.5
Lophuromys aquilus,36.5
Lophuromys brevicaudus,36.5
Lophuromys brunneus,36.5
Lophuromys chrysopus,36.5
Lophuromys dieterleni,36.5
Lophuromys dudui,36.5
Lophuromys eisentrauti,54.21
Lophuromys flavopunctatus,60.0
Lophuromys huttereri,36.5
Lophuromys luteogaster,36.52
Lophuromys medicaudatus,36.38
Lophuromys melanonyx,10.2
Lophuromys nudicaudus,32.59
Lophuromys rahmi,38.0
Lophuromys roseveari,36.5
Lophuromys sikapusi,67.385
Lophuromys verhageni,36.5
Lophuromys woosnami,42.15
Lophuromys zena,36.5
Lorentzimys nouhuysi,14.2
Loris lydekkerianus,265.265
Loris tardigradus,291.667
Loxodonta africana,3931819.035
Loxodonta cyclotis,4750000.01
Loxodontomys micropus,70.76
Loxodontomys pikumche,70.76
Lundomys molitor,238.49
Lutra lutra,7767.57
Lutra nippon,6951.14
Lutra sumatrana,5500.0
Lutreolina crassicaudata,520.65
Lutrogale perspicillata,8391.665
Lycalopex culpaeus,8728.12
Lycalopex fulvipes,5146.58
Lycalopex griseus,4735.29
Lycalopex gymnocercus,4446.335
Lycalopex sechurae,4234.0
Lycalopex vetulus,4233.47
Lycaon pictus,22050.035
Lyncodon patagonicus,225.0
Lynx canadensis,12171.125
Lynx lynx,17575.0
Lynx pardinus,9400.0
Lynx rufus,8701.367
M. mulatta,10400.0
Macaca arctoides,7832.5
Macaca assamensis,7913.75
Macaca cyclopis,5470.0
Macaca fascicularis,3995.5
Macaca fascicularis group,4501.761
Macaca fuscata,9255.5
Macaca hecki,6462.32
Macaca irus,5000.0
Macaca leonina,5458.302
Macaca maura,9720.0
Macaca mulatta,7911.143
Macaca mulatta group,6737.793
Macaca nemestrina,7575.0
Macaca nemestrina group,8043.172
Macaca nigra,7680.0
Macaca nigrescens,5786.96
Macaca ochreata,3950.0
Macaca pagensis,4534.66
Macaca radiata,3850.0
Macaca siberu,5786.96
Macaca silenus,7500.0
Macaca sinica,3266.5
Macaca sinica group,6468.647
Macaca sylvanus,9625.0
Macaca sylvanus group,9000.0
Macaca thibetana,12400.0
Macaca tonkeana,9000.0
Macroderma gigas,123.215
Macrogalidia musschenbroekii,4000.0
Macroglossus minimus,16.7
Macroglossus sobrinus,21.915
Macronycteris commersoni,100.17
Macrophyllum macrophyllum,8.35
Macropus agilis,15000.0
Macropus antilopinus,27250.0
Macropus bernardus,17000.0
Macropus dorsalis,11250.0
Macropus eugenii,6500.0
Macropus fuliginosus,41000.0
Macropus giganteus,26137.5
Macropus greyi,14500.0
Macropus irma,8000.0
Macropus parryi,13500.0
Macropus robustus,29500.0
Macropus rufus,46250.0
Macroscelides proboscideus,38.2
Macrotarsomys bastardi,25.0
Macrotarsomys ingens,55.0
Macrotis lagotis,1575.0
Macrotis leucura,354.75
Macrotus californicus,12.315
Macrotus waterhousii,12.75
Macruromys elegans,277.9
Macruromys major,350.0
Madoqua guentheri,7499.98
Madoqua kirkii,4935.025
Madoqua piacentinii,2500.0
Madoqua saltiana,3249.97
Madromys blanfordi,71.33
Makalata didelphoides,253.33
Makalata grandis,584.0
Makalata macrura,439.0
Makalata obscura,108.0
Makalata occasius,322.29
Makalata rhipidura,315.0
Malacomys cansdalei,68.39
Malacomys edwardsi,62.475
Malacomys longipes,95.6
Malacothrix typica,13.4
Mallomys aroaensis,1664.0
Mallomys gunung,2000.0
Mallomys istapantap,1950.0
Mallomys rothschildi,1157.5
Malpaisomys insularis,71.33
Mammelomys lanosus,117.1
Mammelomys rattoides,209.49
Mandrillus leucophaeus,20000.0
Mandrillus sphinx,19862.5
Manis crassicaudata,8457.33
Manis culionensis,5982.25
Manis gigantea,32999.7
Manis javanica,5150.0
Manis pentadactyla,18000.0
Manis temminckii,7179.93
Manis tetradactyla,2749.98
Manis tricuspis,1928.335
Margaretamys beccarii,70.35
Margaretamys elegans,121.0
Margaretamys parvus,32.1
Marmosa andersoni,47.4
Marmosa lepida,14.0
Marmosa mexicana,49.475
Marmosa murina,35.5
Marmosa quichua,38.23
Marmosa robinsoni,58.335
Marmosa rubra,62.0
Marmosa tyleriana,32.4
Marmosa xerophila,46.2
Marmoset,340.0
Marmosops bishopi,19.5
Marmosops cracens,25.5
Marmosops dorothea,37.5
Marmosops fuscatus,60.0
Marmosops handleyi,30.7
Marmosops impavidus,40.5
Marmosops incanus,62.3
Marmosops invictus,29.2
Marmosops juninensis,31.57
Marmosops neblina,31.57
Marmosops noctivagus,21.0
Marmosops parvidens,15.0
Marmosops paulensis,38.89
Marmosops pinheiroi,31.57
Marmota baibacina,6437.5
Marmota bobak,5211.0
Marmota broweri,3405.0
Marmota caligata,6765.015
Marmota camtschatica,3407.25
Marmota caudata,4296.0
Marmota flaviventris,3350.23
Marmota himalayana,5803.75
Marmota marmota,2911.825
Marmota menzbieri,3132.5
Marmota monax,5300.0
Marmota olympus,4889.395
Marmota sibirica,7250.0
Marmota vancouverensis,5274.995
Martes americana,1055.0
Martes flavigula,2176.25
Martes foina,1495.4
Martes gwatkinsii,2043.0
Martes martes,1141.0
Martes melampus,1000.0
Martes pennanti,3125.0
Martes zibellina,1130.0
Massoutiera mzabi,188.3
Mastacomys fuscus,125.72
Mastomys awashensis,49.89
Mastomys coucha,43.5
Mastomys erythroleucus,56.15
Mastomys huberti,49.89
Mastomys kollmannspergeri,55.39
Mastomys natalensis,50.283
Mastomys pernanus,52.33
Mastomys shortridgei,46.5
Maxomys alticola,90.0
Maxomys baeodon,69.8
Maxomys bartelsii,102.0
Maxomys dollmani,120.0
Maxomys hellwaldii,203.0
Maxomys hylomyoides,56.6
Maxomys inas,90.0
Maxomys inflatus,152.0
Maxomys moi,147.0
Maxomys musschenbroekii,84.8
Maxomys ochraceiventer,97.0
Maxomys pagensis,196.0
Maxomys panglima,189.0
Maxomys rajah,150.25
Maxomys surifer,148.485
Maxomys wattsi,147.0
Maxomys whiteheadi,51.155
Mazama americana,13149.875
Mazama bororo,18809.87
Mazama bricenii,16499.85
Mazama chunyi,16499.85
Mazama gouazoubira,16633.17
Mazama nana,16499.85
Mazama pandora,18809.87
Mazama rufina,25999.8
Mazama temama,18809.87
Megadendromus nikolausi,52.0
Megaderma lyra,40.42
Megaderma spasma,24.59
Megadontomys cryophilus,76.56
Megadontomys nelsoni,76.55
Megadontomys thomasi,111.0
Megaerops ecaudatus,24.67
Megaerops kusnotoi,35.94
Megaerops niphanae,32.6
Megaerops wetmorei,18.5
Megaloglossus woermanni,16.83
Megalomys desmarestii,47.71
Megalomys luciae,47.71
Megaoryzomys curioi,47.71
Megaptera novaeangliae,30025000.0
Megasorex gigas,20.0
Melanomys caliginosus,41.0
Melanomys robustulus,53.5
Melanomys zunigae,53.5
Melasmothrix naso,47.45
Meles anakuma,13000.0
Meles leucurus,13000.0
Meles meles,11550.0
Mellivora capensis,8193.333
Melogale everetti,1500.0
Melogale moschata,805.25
Melogale orientalis,2000.0
Melogale personata,7872.25
Melomys aerosus,97.3
Melomys arcium,86.68
Melomys bannisteri,86.68
Melomys bougainville,86.0
Melomys burtoni,68.5
Melomys capensis,70.0
Melomys caurinus,136.0
Melomys cervinipes,74.0
Melomys cooperae,86.68
Melomys dollmani,91.27
Melomys fraterculus,47.8
Melomys frigicola,86.68
Melomys fulgens,97.3
Melomys howi,86.68
Melomys leucogaster,108.5
Melomys lutillus,86.68
Melomys matambuai,145.0
Melomys obiensis,71.0
Melomys paveli,86.68
Melomys rubicola,100.0
Melomys rufescens,62.625
Melomys spechti,86.68
Melomys talaudium,86.68
Melonycteris fardoulisi,42.53
Melonycteris melanops,48.245
Melonycteris woodfordi,36.19
Melursus ursinus,114605.0
Menetes berdmorei,190.0
Mephitis macroura,801.25
Mephitis mephitis,2150.34
Meriones arimalius,89.57
Meriones chengi,88.96
Meriones crassus,79.97
Meriones dahli,90.15
Meriones grandis,96.13
Meriones hurrianae,70.65
Meriones libycus,91.33
Meriones meridianus,62.1
Meriones persicus,100.0
Meriones rex,125.25
Meriones sacramenti,200.0
Meriones shawi,90.6
Meriones tamariscinus,120.0
Meriones tristrami,105.0
Meriones unguiculatus,55.35
Meriones vinogradovi,150.0
Meriones zarudnyi,82.44
Mesechinus dauuricus,342.0
Mesechinus hughi,315.81
Mesembriomys gouldii,913.25
Mesembriomys macrurus,267.0
Mesocapromys angelcabrerai,470.0
Mesocapromys auritus,585.55
Mesocapromys melanurus,883.14
Mesocapromys nanus,583.33
Mesocapromys sanfelipensis,554.44
Mesocricetus auratus,121.95
Mesocricetus brandti,198.0
Mesocricetus newtoni,97.5
Mesocricetus raddei,111.73
Mesomys hispidus,175.0
Mesomys leniceps,108.0
Mesomys occultus,126.85
Mesomys stimulax,108.0
Mesophylla macconnelli,7.235
Mesoplodon bidens,3400000.0
Mesoplodon bowdoini,2600000.0
Mesoplodon carlhubbsi,3400000.0
Mesoplodon densirostris,1535250.0
Mesoplodon europaeus,3166250.0
Mesoplodon ginkgodens,1500000.0
Mesoplodon grayi,2900000.0
Mesoplodon hectori,1000000.0
Mesoplodon layardii,1500000.0
Mesoplodon mirus,1514750.0
Mesoplodon perrini,2514984.32
Mesoplodon peruvianus,2514984.32
Mesoplodon stejnegeri,4800000.0
Mesoplodon traversii,2514984.32
Metachirus nudicaudatus,337.5
Micaelamys granti,40.0
Micaelamys namaquensis,68.25
Mico argentatus,345.0
Mico humeralifer,370.0
Micoureus alstoni,132.3
Micoureus constantiae,90.0
Micoureus demerarae,75.75
Micoureus paraguayanus,112.43
Micoureus phaeus,103.76
Micoureus regina,118.6
Microakodontomys transitorius,47.71
Microcavia australis,286.1
Microcavia niata,255.2
Microcavia shiptoni,185.0
Microcebus berthae,33.45
Microcebus griseorufus,70.24
Microcebus murinus,54.0
Microcebus myoxinus,30.0
Microcebus ravelobensis,55.0
Microcebus rufus,42.75
Microcebus sambiranensis,49.06
Microcebus tavaratra,68.01
Microdillus peeli,35.26
Microdipodops megacephalus,12.15
Microdipodops pallidus,12.7
Microgale brevicaudata,11.3
Microgale cowani,15.2
Microgale drouhardi,10.5
Microgale dryas,40.0
Microgale fotsifotsy,7.7
Microgale gracilis,23.3
Microgale gymnorhyncha,18.2
Microgale longicaudata,7.3
Microgale mergulus,92.0
Microgale monticola,13.9
Microgale nasoloi,13.83
Microgale parvula,3.4
Microgale principula,10.2
Microgale pusilla,3.4
Microgale soricoides,18.7
Microgale taiva,12.4
Microgale thomasi,22.9
Microhydromys musseri,17.32
Microhydromys richardsoni,10.25
Micromurexia habbema,46.97
Micromys minutus,6.463
Micronycteris brosseti,4.85
Micronycteris hirsuta,12.01
Micronycteris homezi,6.8
Micronycteris matses,6.85
Micronycteris megalotis,6.305
Micronycteris microtis,6.5
Micronycteris minuta,6.7
Micronycteris sanborni,6.3
Micronycteris schmidtorum,7.665
Microperoryctes longicauda,538.0
Microperoryctes murina,817.52
Microperoryctes papuensis,158.0
Micropotamogale lamottei,64.2
Micropotamogale ruwenzorii,98.5
Micropteropus intermedius,59.17
Micropteropus pusillus,25.885
Microryzomys altissimus,13.5
Microryzomys minutus,13.5
Microsciurus alfari,87.5
Microsciurus flaviventer,92.0
Microsciurus mimulus,120.0
Microsciurus santanderensis,99.8
Microsorex hoyi,3.0
Microtus abbreviatus,62.0
Microtus agrestis,37.45
Microtus anatolicus,37.99
Microtus arvalis,29.2
Microtus bavaricus,23.94
Microtus brachycercus,37.99
Microtus breweri,54.0
Microtus cabrerae,52.5
Microtus californicus,50.36
Microtus canicaudus,28.45
Microtus chrotorrhinus,39.0
Microtus clarkei,48.14
Microtus daghestanicus,12.99
Microtus dogramacii,37.99
Microtus duodecimcostatus,23.0
Microtus evoronensis,41.42
Microtus felteni,24.34
Microtus fortis,63.0
Microtus gerbei,24.89
Microtus gregalis,47.5
Microtus guatemalensis,42.0
Microtus guentheri,50.65
Microtus ilaeus,36.67
Microtus irani,45.36
Microtus kikuchii,46.3
Microtus levis,35.49
Microtus liechtensteini,37.99
Microtus limnophilus,40.59
Microtus longicaudus,47.055
