sp2,Structure,external_source,Measure,external,DS2020_published,DS2020_unpublished,pub_vs_ext_pct,unpub_vs_ext_pct,verdict
Sus scrofa,Cb,HH2015,C,2207031251,2207031250,NA,-0,NA,
Antidorcas marsupialis,Cb,HH2015,N,2257214074,2257214074,NA,0,NA,
Antidorcas marsupialis,Cb,HH2015,C,2724458750,2724458750,NA,0,NA,
Tragelaphus strepsiceros,Cb,HH2015,N,4042494141,4042494141,NA,0,NA,
Tragelaphus strepsiceros,Cb,HH2015,C,5308593750,5308593750,NA,0,NA,
Giraffa camelopardalis,Cb,HH2015,N,8878076563,8878076563,NA,0,NA,
Giraffa camelopardalis,Cb,HH2015,C,14398437501,14398437500,NA,-0,NA,
Loxodonta africana,Cb,HH2015,N,250708527536,250708527536,NA,0,NA,
Marmosops incanus,Br,DosSantos2017,N,112050000,112051333,NA,0,NA,
Marmosops incanus,Br,DosSantos2017,C,200345400,200300000,NA,-0,NA,
Metachirus nudicaudatus,Br,DosSantos2017,C,317270440,317343750,NA,0,NA,
Didelphis aurita,Br,DosSantos2017,N,392500000,392497458,NA,-0,NA,
Macropus parma,Br,DosSantos2017,N,711130000,711126467,NA,-0,NA,
Macropus parma,Br,DosSantos2017,C,1943518290,1943470000,NA,-0,NA,
Sarcophilus harrisii,Br,DosSantos2017,N,693690000,693694737,NA,0,NA,
Sarcophilus harrisii,Br,DosSantos2017,C,1449812100,1450131000,NA,0,NA,
Marmosops incanus,Cb,DosSantos2017,N,82400000,82399050,NA,-0,NA,
Marmosops incanus,Cb,DosSantos2017,C,106460800,106500000,NA,0,NA,
Metachirus nudicaudatus,Cb,DosSantos2017,N,134130000,134131031,NA,0,NA,
Metachirus nudicaudatus,Cb,DosSantos2017,C,166321200,166312500,NA,-0,NA,
Didelphis aurita,Cb,DosSantos2017,N,334260000,334265353,NA,0,NA,
Didelphis aurita,Cb,DosSantos2017,C,375039720,375031250,NA,-0,NA,
Macropus parma,Cb,DosSantos2017,N,558080000,558080944,NA,0,NA,
Sarcophilus harrisii,Cb,DosSantos2017,N,601070000,601073069,NA,0,NA,
Sarcophilus harrisii,Cb,DosSantos2017,C,735709680,735437500,NA,-0,NA,
Macropus fuliginosus,Cb,DosSantos2017,N,1990000000,1989962813,NA,-0,NA,
Macropus fuliginosus,Cb,DosSantos2017,C,2722320000,2721875000,NA,-0,NA,
Metachirus nudicaudatus,Hp,DosSantos2017,N,4190000,4191750,NA,0,NA,
Metachirus nudicaudatus,Hp,DosSantos2017,C,12146810,12150000,NA,0,NA,
Didelphis aurita,Hp,DosSantos2017,N,7230000,7230000,NA,0,NA,
Didelphis aurita,Hp,DosSantos2017,C,29997270,30000000,NA,0,NA,
Macropus parma,Hp,DosSantos2017,N,8480000,8478750,NA,-0,NA,
Macropus parma,Hp,DosSantos2017,C,118770880,118750000,NA,-0,NA,
Sarcophilus harrisii,Hp,DosSantos2017,N,12640000,12642000,NA,0,NA,
Sarcophilus harrisii,Hp,DosSantos2017,C,69987680,70000000,NA,0,NA,
Macropus rufogriseus,Hp,DosSantos2017,N,10770000,10774069,NA,0,NA,
Macropus rufogriseus,Hp,DosSantos2017,C,163930170,164000000,NA,0,NA,
Wallabia bicolor,Hp,DosSantos2017,N,12970000,12971160,NA,0,NA,
Wallabia bicolor,Hp,DosSantos2017,C,123292820,123300000,NA,0,NA,
Dendrolagus goodfellowi,Hp,DosSantos2017,N,18150000,18154080,NA,0,NA,
Dendrolagus goodfellowi,Hp,DosSantos2017,C,100768800,100800000,NA,0,NA,
Macropus fuliginosus,Hp,DosSantos2017,N,44770000,44768250,NA,-0,NA,
Macropus fuliginosus,Hp,DosSantos2017,C,227252519.99999997,227250000,NA,-0,NA,
Marmosops incanus,RoB,DosSantos2017,N,9240000,9238790,NA,-0,NA,
Marmosops incanus,RoB,DosSantos2017,C,35832720,35825000,NA,-0,NA,
Metachirus nudicaudatus,RoB,DosSantos2017,N,11270000,11272337,NA,0,NA,
Metachirus nudicaudatus,RoB,DosSantos2017,C,66245060,66256250,NA,0,NA,
Didelphis aurita,RoB,DosSantos2017,N,15730000,15732651,NA,0,NA,
Didelphis aurita,RoB,DosSantos2017,C,108112290,108137500,NA,0,NA,
Macropus parma,RoB,DosSantos2017,N,17420000,17420050,NA,0,NA,
Macropus parma,RoB,DosSantos2017,C,352249820,352250000,NA,0,NA,
Sarcophilus harrisii,RoB,DosSantos2017,N,20970000,20966121,NA,-0,NA,
Sarcophilus harrisii,RoB,DosSantos2017,C,276804000,276752500,NA,-0,NA,
Macropus rufogriseus,RoB,DosSantos2017,N,42480000,42476569,NA,-0,NA,
Macropus rufogriseus,RoB,DosSantos2017,C,571865760,571812500,NA,-0,NA,
Wallabia bicolor,RoB,DosSantos2017,N,31860000,31865550,NA,0,NA,
Wallabia bicolor,RoB,DosSantos2017,C,687634380,687750000,NA,0,NA,
Dendrolagus goodfellowi,RoB,DosSantos2017,N,37860000,37858500,NA,-0,NA,
Dendrolagus goodfellowi,RoB,DosSantos2017,C,518114100,518100000,NA,-0,NA,
Macropus fuliginosus,RoB,DosSantos2017,N,97740000,97741950,NA,0,NA,
Macropus fuliginosus,RoB,DosSantos2017,C,1245598560,1245625000,NA,0,NA,
Mustela putorius,Br,JardimMesseder2017,N,404430000,404428012,NA,-0,NA,
Mustela putorius,Br,JardimMesseder2017,C,877410000,877410700,NA,0,NA,
Felis catus,Br,JardimMesseder2017,N,1215210000,1215209144,NA,-0,NA,
Felis catus,Br,JardimMesseder2017,C,2944000000,2944001250,NA,0,NA,
Canis familiaris,Br,JardimMesseder2017,N,2252690000,2252694404,NA,0,NA,
Canis familiaris,Br,JardimMesseder2017,C,7445920000,7445924000,NA,0,NA,
Panthera leo,Br,JardimMesseder2017,N,4667030000,4667034704,NA,0,NA,
Panthera leo,Br,JardimMesseder2017,C,17065870000,17065870250,NA,0,NA,
Ursus arctos,Br,JardimMesseder2017,N,9585600000,9585604080,NA,0,NA,
Ursus arctos,Br,JardimMesseder2017,C,24698790000,24698792500,NA,0,NA,
Mustela putorius,Cb,JardimMesseder2017,N,351260000,351264942,NA,0,NA,
Mustela putorius,Cb,JardimMesseder2017,C,430860000,430860000,NA,0,NA,
Mungos mungo,Cb,JardimMesseder2017,N,315740000,315738964,NA,-0,NA,
Mungos mungo,Cb,JardimMesseder2017,C,470000000,470000000,NA,0,NA,
Felis catus,Cb,JardimMesseder2017,N,942900000,942902390,NA,0,NA,
Felis catus,Cb,JardimMesseder2017,C,1269000000,1269000000,NA,0,NA,
Canis familiaris,Cb,JardimMesseder2017,N,1676630000,1676633212,NA,0,NA,
Canis familiaris,Cb,JardimMesseder2017,C,2525310000,2525312500,NA,0,NA,
Panthera leo,Cb,JardimMesseder2017,N,4049750000,4049750938,NA,0,NA,
Panthera leo,Cb,JardimMesseder2017,C,7093750000,7093750000,NA,0,NA,
Ursus arctos,Cb,JardimMesseder2017,N,9253250000,9253250478,NA,0,NA,
Ursus arctos,Cb,JardimMesseder2017,C,11550000000,11550000000,NA,0,NA,
Mustela putorius,Hp,JardimMesseder2017,C,32500000,32500000,NA,0,NA,
Mungos mungo,Hp,JardimMesseder2017,C,25620000,25625000,NA,0,NA,
Felis catus,Hp,JardimMesseder2017,N,8050000,8047904,NA,-0,NA,
Felis catus,Hp,JardimMesseder2017,C,64000000,64000000,NA,0,NA,
Canis familiaris,Hp,JardimMesseder2017,N,8610000,8606584,NA,-0,NA,
Canis familiaris,Hp,JardimMesseder2017,C,142660000,142656250,NA,-0,NA,
Panthera leo,Hp,JardimMesseder2017,N,13540000,13538056,NA,-0,NA,
Panthera leo,Hp,JardimMesseder2017,C,190650000,190650000,NA,0,NA,
Ursus arctos,Hp,JardimMesseder2017,N,8610000,8609382,NA,-0,NA,
Ursus arctos,Hp,JardimMesseder2017,C,257770000,257775000,NA,0,NA,
Mustela putorius,RoB,JardimMesseder2017,N,14210000,14210998,NA,0,NA,
Mustela putorius,RoB,JardimMesseder2017,C,143540000,143542500,NA,0,NA,
Mungos mungo,RoB,JardimMesseder2017,N,22510000,22514320,NA,0,NA,
Mungos mungo,RoB,JardimMesseder2017,C,174050000,174060000,NA,0,NA,
Felis catus,RoB,JardimMesseder2017,N,22470000,22472558,NA,0,NA,
Felis catus,RoB,JardimMesseder2017,C,328060000,328062500,NA,0,NA,
Canis familiaris,RoB,JardimMesseder2017,N,48150000,48149310,NA,-0,NA,
Canis familiaris,RoB,JardimMesseder2017,C,976240000,976243750,NA,0,NA,
Panthera leo,RoB,JardimMesseder2017,N,72040000,72045082,NA,0,NA,
Panthera leo,RoB,JardimMesseder2017,C,2165900000,2165910000,NA,0,NA,
Ursus arctos,RoB,JardimMesseder2017,N,81380000,81384332,NA,0,NA,
Ursus arctos,RoB,JardimMesseder2017,C,2743820000,2743825000,NA,0,NA,
Otolemur garnettii,Br,HH2015,N,936000000,NA,NA,NA,NA,
Otolemur garnettii,Br,HH2015,C,1602590000,NA,NA,NA,NA,
Aotus trivirgatus,Br,HH2015,N,1468410000,NA,NA,NA,NA,
Aotus trivirgatus,Br,HH2015,C,2663540000,NA,NA,NA,NA,
Macaca fascicularis,Br,HH2015,N,3439004620,NA,NA,NA,NA,
Macaca fascicularis,Br,HH2015,C,6593420000,NA,NA,NA,NA,
Cebus apella,Br,HH2015,N,3690520000,NA,NA,NA,NA,
Cebus apella,Br,HH2015,C,6988260000,NA,NA,NA,NA,
Papio anubis,Br,HH2015,N,10948086440,NA,NA,NA,NA,
Papio anubis,Br,HH2015,C,20123625004,NA,NA,NA,NA,
Homo sapiens,Br,HH2015,N,86060000000,NA,NA,NA,NA,
Homo sapiens,Br,HH2015,C,170670000000,NA,NA,NA,NA,
Otolemur garnettii,Ctx,HH2015,N,226090000,NA,NA,NA,NA,
Otolemur garnettii,Ctx,HH2015,C,628160000,NA,NA,NA,NA,
Aotus trivirgatus,Ctx,HH2015,N,441900000,NA,NA,NA,NA,
Aotus trivirgatus,Ctx,HH2015,C,1137320000,NA,NA,NA,NA,
Macaca fascicularis,Ctx,HH2015,N,800955000,NA,NA,NA,NA,
Macaca fascicularis,Ctx,HH2015,C,3559800000,NA,NA,NA,NA,
Cebus apella,Ctx,HH2015,N,1140000000,NA,NA,NA,NA,
Cebus apella,Ctx,HH2015,C,3690000000,NA,NA,NA,NA,
Papio anubis,Ctx,HH2015,N,2875028372,NA,NA,NA,NA,
Papio anubis,Ctx,HH2015,C,10444780000,NA,NA,NA,NA,
Otolemur garnettii,Cb,HH2015,N,743500000,NA,NA,NA,NA,
Otolemur garnettii,Cb,HH2015,C,809460000,NA,NA,NA,NA,
Aotus trivirgatus,Cb,HH2015,N,1040000000,NA,NA,NA,NA,
Aotus trivirgatus,Cb,HH2015,C,1185270000,NA,NA,NA,NA,
Cebus apella,Cb,HH2015,N,2490000000,NA,NA,NA,NA,
Cebus apella,Cb,HH2015,C,2735810000,NA,NA,NA,NA,
Macaca fascicularis,Cb,HH2015,N,2572600000,NA,NA,NA,NA,
Macaca fascicularis,Cb,HH2015,C,2708000000,NA,NA,NA,NA,
Papio anubis,Cb,HH2015,N,7794907300,NA,NA,NA,NA,
Papio anubis,Cb,HH2015,C,8320885000,NA,NA,NA,NA,
Homo sapiens,Cb,HH2015,N,69030000000,NA,NA,NA,NA,
Homo sapiens,Cb,HH2015,C,85070000000,NA,NA,NA,NA,
Mungos mungo,Br,JardimMesseder2017,N,454020000,NA,NA,NA,NA,
Mungos mungo,Br,JardimMesseder2017,C,1106390000,NA,NA,NA,NA,
Mungos mungo,Ctx,JardimMesseder2017,N,115770000,NA,NA,NA,NA,
Mungos mungo,Ctx,JardimMesseder2017,C,462330000,NA,NA,NA,NA,
