Species,Structure,Measure,published,unpublished,pct_diff,flag
Didelphis aurita,Ctx,I/C,0.07281296206316576,NA,NA,NA
Didelphis aurita,Cx,I/C,0.07084363291584468,NA,NA,NA
Didelphis aurita,Hp,I/C,0.0616,NA,NA,NA
Didelphis aurita,RoB,I/C,0.07700000462374292,NA,NA,NA
Macropus fuliginosus,Br,C,6708137500,NA,NA,NA
Macropus fuliginosus,Br,I,265642245,NA,NA,NA
Macropus fuliginosus,Br,I/mg,4235,NA,NA,NA
Macropus fuliginosus,Br,I/N,0.108,NA,NA,NA
Macropus fuliginosus,Br,N,2457876490,NA,NA,NA
Macropus fuliginosus,Br,N/mg,39186,NA,NA,NA
Macropus fuliginosus,Br,No. of samples,57,NA,NA,NA
Macropus fuliginosus,Br,Structure mass (g),62.724,NA,NA,NA
Macropus fuliginosus,Cb,C,2721875000,NA,NA,NA
Macropus fuliginosus,Cb,I,22863750,NA,NA,NA
Macropus fuliginosus,Cb,I/mg,3107,NA,NA,NA
Macropus fuliginosus,Cb,I/N,0.011,NA,NA,NA
Macropus fuliginosus,Cb,N,1989962813,NA,NA,NA
Macropus fuliginosus,Cb,N/mg,270449,NA,NA,NA
Macropus fuliginosus,Cb,No. of samples,1,NA,NA,NA
Macropus fuliginosus,Cb,Structure mass (g),7.358,NA,NA,NA
Macropus fuliginosus,Ctx,C,2513387500,NA,NA,NA
Macropus fuliginosus,Ctx,I,145776475,NA,NA,NA
Macropus fuliginosus,Ctx,I/mg,3913,NA,NA,NA
Macropus fuliginosus,Ctx,I/N,0.448,NA,NA,NA
Macropus fuliginosus,Ctx,N,325403477,NA,NA,NA
Macropus fuliginosus,Ctx,N/mg,8734,NA,NA,NA
Macropus fuliginosus,Ctx,No. of samples,53,NA,NA,NA
Macropus fuliginosus,Ctx,Structure mass (g),37.256,NA,NA,NA
Macropus fuliginosus,Cx,C,2740637500,NA,NA,NA
Macropus fuliginosus,Cx,I,161697613,NA,NA,NA
Macropus fuliginosus,Cx,I/mg,4023,NA,NA,NA
Macropus fuliginosus,Cx,I/N,0.437,NA,NA,NA
Macropus fuliginosus,Cx,N,370171727,NA,NA,NA
Macropus fuliginosus,Cx,N/mg,9210,NA,NA,NA
Macropus fuliginosus,Cx,No. of samples,54,NA,NA,NA
Macropus fuliginosus,Cx,Structure mass (g),40.194,NA,NA,NA
Macropus fuliginosus,Hp,C,227250000,NA,NA,NA
Macropus fuliginosus,Hp,I,15975675,NA,NA,NA
Macropus fuliginosus,Hp,I/mg,5438,NA,NA,NA
Macropus fuliginosus,Hp,I/N,0.357,NA,NA,NA
Macropus fuliginosus,Hp,N,44768250,NA,NA,NA
Macropus fuliginosus,Hp,N/mg,15238,NA,NA,NA
Macropus fuliginosus,Hp,No. of samples,1,NA,NA,NA
Macropus fuliginosus,Hp,Structure mass (g),2.938,NA,NA,NA
Macropus fuliginosus,RoB,C,1245625000,NA,NA,NA
Macropus fuliginosus,RoB,I,80965625,NA,NA,NA
Macropus fuliginosus,RoB,I/mg,5337,NA,NA,NA
Macropus fuliginosus,RoB,I/N,0.828,NA,NA,NA
Macropus fuliginosus,RoB,N,97741950,NA,NA,NA
Macropus fuliginosus,RoB,N/mg,6442,NA,NA,NA
Macropus fuliginosus,RoB,No. of samples,2,NA,NA,NA
Macropus fuliginosus,RoB,Structure mass (g),15.172,NA,NA,NA
Macropus fuliginosus,Br,I/C,0.0396,NA,NA,NA
Macropus fuliginosus,Cb,I/C,0.0084,NA,NA,NA
Macropus fuliginosus,Ctx,I/C,0.058,NA,NA,NA
Macropus fuliginosus,Cx,I/C,0.059000000182439304,NA,NA,NA
Macropus fuliginosus,Hp,I/C,0.0703,NA,NA,NA
Macropus fuliginosus,RoB,I/C,0.065,NA,NA,NA
Macropus parma,Br,C,1943470000,NA,NA,NA
Macropus parma,Br,I,73851860,NA,NA,NA
Macropus parma,Br,I/mg,4700,NA,NA,NA
Macropus parma,Br,I/N,0.104,NA,NA,NA
Macropus parma,Br,N,711126467,NA,NA,NA
Macropus parma,Br,N/mg,45254,NA,NA,NA
Macropus parma,Br,No. of samples,38,NA,NA,NA
Macropus parma,Br,Structure mass (g),15.714,NA,NA,NA
Macropus parma,Cb,C,721687500,NA,NA,NA
Macropus parma,Cb,I,5268319,NA,NA,NA
Macropus parma,Cb,I/mg,3117,NA,NA,NA
Macropus parma,Cb,I/N,0.009,NA,NA,NA
Macropus parma,Cb,N,558080944,NA,NA,NA
Macropus parma,Cb,N/mg,330225,NA,NA,NA
Macropus parma,Cb,No. of samples,1,NA,NA,NA
Macropus parma,Cb,Structure mass (g),1.69,NA,NA,NA
Macropus parma,Ctx,C,750782500,NA,NA,NA
Macropus parma,Ctx,I,40467177,NA,NA,NA
Macropus parma,Ctx,I/mg,4664,NA,NA,NA
Macropus parma,Ctx,I/N,0.318,NA,NA,NA
Macropus parma,Ctx,N,127146723,NA,NA,NA
Macropus parma,Ctx,N/mg,14655,NA,NA,NA
Macropus parma,Ctx,No. of samples,34,NA,NA,NA
Macropus parma,Ctx,Structure mass (g),8.676,NA,NA,NA
Macropus parma,Cx,C,869532500,NA,NA,NA
Macropus parma,Cx,I,48259054,NA,NA,NA
Macropus parma,Cx,I/mg,4868,NA,NA,NA
Macropus parma,Cx,I/N,0.356,NA,NA,NA
Macropus parma,Cx,N,135625473,NA,NA,NA
Macropus parma,Cx,N/mg,13680,NA,NA,NA
Macropus parma,Cx,No. of samples,35,NA,NA,NA
Macropus parma,Cx,Structure mass (g),9.914,NA,NA,NA
Macropus parma,Hp,C,118750000,NA,NA,NA
Macropus parma,Hp,I,7801875,NA,NA,NA
Macropus parma,Hp,I/mg,6302,NA,NA,NA
Macropus parma,Hp,I/N,0.92,NA,NA,NA
Macropus parma,Hp,N,8478750,NA,NA,NA
Macropus parma,Hp,N/mg,6849,NA,NA,NA
Macropus parma,Hp,No. of samples,1,NA,NA,NA
Macropus parma,Hp,Structure mass (g),1.238,NA,NA,NA
Macropus parma,RoB,C,352250000,NA,NA,NA
Macropus parma,RoB,I,20254375,NA,NA,NA
Macropus parma,RoB,I/mg,4928,NA,NA,NA
Macropus parma,RoB,I/N,1.163,NA,NA,NA
Macropus parma,RoB,N,17420050,NA,NA,NA
Macropus parma,RoB,N/mg,4238,NA,NA,NA
Macropus parma,RoB,No. of samples,2,NA,NA,NA
Macropus parma,RoB,Structure mass (g),4.11,NA,NA,NA
Macropus parma,Br,I/C,0.038,NA,NA,NA
Macropus parma,Cb,I/C,0.007300000346410323,NA,NA,NA
Macropus parma,Ctx,I/C,0.05390000033298592,NA,NA,NA
Macropus parma,Cx,I/C,0.055500000287510814,NA,NA,NA
Macropus parma,Hp,I/C,0.0657,NA,NA,NA
Macropus parma,RoB,I/C,0.0575,NA,NA,NA
Macropus rufogriseus,Br,C,3475391250,NA,NA,NA
Macropus rufogriseus,Br,I,148746746,NA,NA,NA
Macropus rufogriseus,Br,I/mg,5510,NA,NA,NA
Macropus rufogriseus,Br,I/N,0.113,NA,NA,NA
Macropus rufogriseus,Br,N,1321829777,NA,NA,NA
Macropus rufogriseus,Br,N/mg,48968,NA,NA,NA
Macropus rufogriseus,Br,No. of samples,44,NA,NA,NA
Macropus rufogriseus,Br,Structure mass (g),26.994,NA,NA,NA
Macropus rufogriseus,Cb,C,1479625000,NA,NA,NA
Macropus rufogriseus,Cb,I,13612550,NA,NA,NA
Macropus rufogriseus,Cb,I/mg,3811,NA,NA,NA
Macropus rufogriseus,Cb,I/N,0.013,NA,NA,NA
Macropus rufogriseus,Cb,N,1022568838,NA,NA,NA
Macropus rufogriseus,Cb,N/mg,286273,NA,NA,NA
Macropus rufogriseus,Cb,No. of samples,1,NA,NA,NA
Macropus rufogriseus,Cb,Structure mass (g),3.572,NA,NA,NA
Macropus rufogriseus,Ctx,C,1259953750,NA,NA,NA
Macropus rufogriseus,Ctx,I,84038915,NA,NA,NA
Macropus rufogriseus,Ctx,I/mg,5874,NA,NA,NA
Macropus rufogriseus,Ctx,I/N,0.342,NA,NA,NA
Macropus rufogriseus,Ctx,N,246009570,NA,NA,NA
Macropus rufogriseus,Ctx,N/mg,17196,NA,NA,NA
Macropus rufogriseus,Ctx,No. of samples,40,NA,NA,NA
Macropus rufogriseus,Ctx,Structure mass (g),14.306,NA,NA,NA
Macropus rufogriseus,Cx,C,1423953750,NA,NA,NA
Macropus rufogriseus,Cx,I,98537600,NA,NA,NA
Macropus rufogriseus,Cx,I/mg,6120,NA,NA,NA
Macropus rufogriseus,Cx,I/N,0.384,NA,NA,NA
Macropus rufogriseus,Cx,N,256784370,NA,NA,NA
Macropus rufogriseus,Cx,N/mg,15947,NA,NA,NA
Macropus rufogriseus,Cx,No. of samples,41,NA,NA,NA
Macropus rufogriseus,Cx,Structure mass (g),16.102,NA,NA,NA
Macropus rufogriseus,Hp,C,164000000,NA,NA,NA
Macropus rufogriseus,Hp,I,14514000,NA,NA,NA
Macropus rufogriseus,Hp,I/mg,8081,NA,NA,NA
Macropus rufogriseus,Hp,I/N,1.347,NA,NA,NA
Macropus rufogriseus,Hp,N,10774069,NA,NA,NA
Macropus rufogriseus,Hp,N/mg,5999,NA,NA,NA
Macropus rufogriseus,Hp,No. of samples,1,NA,NA,NA
Macropus rufogriseus,Hp,Structure mass (g),1.796,NA,NA,NA
Macropus rufogriseus,RoB,C,571812500,NA,NA,NA
Macropus rufogriseus,RoB,I,36538819,NA,NA,NA
Macropus rufogriseus,RoB,I/mg,4992,NA,NA,NA
Macropus rufogriseus,RoB,I/N,0.86,NA,NA,NA
Macropus rufogriseus,RoB,N,42476569,NA,NA,NA
Macropus rufogriseus,RoB,N/mg,5803,NA,NA,NA
Macropus rufogriseus,RoB,No. of samples,2,NA,NA,NA
Macropus rufogriseus,RoB,Structure mass (g),7.32,NA,NA,NA
Macropus rufogriseus,Br,I/C,0.04280000014386869,NA,NA,NA
Macropus rufogriseus,Cb,I/C,0.0092,NA,NA,NA
Macropus rufogriseus,Ctx,I/C,0.06669999990079001,NA,NA,NA
Macropus rufogriseus,Cx,I/C,0.069200000351135,NA,NA,NA
Macropus rufogriseus,Hp,I/C,0.0885,NA,NA,NA
Macropus rufogriseus,RoB,I/C,0.06390000043720626,NA,NA,NA
Macropus rufus,Cb,C,1976624000,NA,NA,NA
Macropus rufus,Cb,I,31230659,NA,NA,NA
Macropus rufus,Cb,I/mg,6525,NA,NA,NA
Macropus rufus,Cb,I/N,0.02,NA,NA,NA
Macropus rufus,Cb,N,1532871912,NA,NA,NA
Macropus rufus,Cb,N/mg,320282,NA,NA,NA
Macropus rufus,Cb,No. of samples,1,NA,NA,NA
Macropus rufus,Cb,Structure mass (g),4.786,NA,NA,NA
Macropus rufus,P+M,C,227500000,NA,NA,NA
Macropus rufus,P+M,I,17881500,NA,NA,NA
Macropus rufus,P+M,I/mg,6196,NA,NA,NA
Macropus rufus,P+M,I/N,0.925,NA,NA,NA
Macropus rufus,P+M,N,19337500,NA,NA,NA
Macropus rufus,P+M,N/mg,6700,NA,NA,NA
Macropus rufus,P+M,No. of samples,1,NA,NA,NA
Macropus rufus,P+M,Structure mass (g),2.886,NA,NA,NA
Macropus rufus,Cb,I/C,0.015799999898817377,NA,NA,NA
Macropus rufus,P+M,I/C,0.0786,NA,NA,NA
Marmosops incanus,Br,C,200300000,NA,NA,NA
Marmosops incanus,Br,I,5928880,NA,NA,NA
Marmosops incanus,Br,I/mg,6515,NA,NA,NA
Marmosops incanus,Br,I/N,0.053,NA,NA,NA
Marmosops incanus,Br,N,112051333,NA,NA,NA
Marmosops incanus,Br,N/mg,123133,NA,NA,NA
Marmosops incanus,Br,No. of samples,6,NA,NA,NA
Marmosops incanus,Br,Structure mass (g),0.91,NA,NA,NA
Marmosops incanus,Cb,C,106500000,NA,NA,NA
Marmosops incanus,Cb,I,788100,NA,NA,NA
Marmosops incanus,Cb,I/mg,4988,NA,NA,NA
Marmosops incanus,Cb,I/N,0.01,NA,NA,NA
Marmosops incanus,Cb,N,82399050,NA,NA,NA
Marmosops incanus,Cb,N/mg,521513,NA,NA,NA
Marmosops incanus,Cb,No. of samples,1,NA,NA,NA
Marmosops incanus,Cb,Structure mass (g),0.158,NA,NA,NA
Marmosops incanus,Ctx,C,51700000,NA,NA,NA
Marmosops incanus,Ctx,I,2553980,NA,NA,NA
Marmosops incanus,Ctx,I/mg,7339,NA,NA,NA
Marmosops incanus,Ctx,I/N,0.143,NA,NA,NA
Marmosops incanus,Ctx,N,17831330,NA,NA,NA
Marmosops incanus,Ctx,N/mg,51239,NA,NA,NA
Marmosops incanus,Ctx,No. of samples,1,NA,NA,NA
Marmosops incanus,Ctx,Structure mass (g),0.348,NA,NA,NA
Marmosops incanus,Cx,C,57975000,NA,NA,NA
Marmosops incanus,Cx,I,2811788,NA,NA,NA
Marmosops incanus,Cx,I/mg,6892,NA,NA,NA
Marmosops incanus,Cx,I/N,0.138,NA,NA,NA
Marmosops incanus,Cx,N,20413493,NA,NA,NA
Marmosops incanus,Cx,N/mg,50033,NA,NA,NA
Marmosops incanus,Cx,No. of samples,2,NA,NA,NA
Marmosops incanus,Cx,Structure mass (g),0.408,NA,NA,NA
Marmosops incanus,Hp,C,6275000,NA,NA,NA
Marmosops incanus,Hp,I,258530,NA,NA,NA
Marmosops incanus,Hp,I/mg,4309,NA,NA,NA
Marmosops incanus,Hp,I/N,0.1,NA,NA,NA
Marmosops incanus,Hp,N,2582163,NA,NA,NA
Marmosops incanus,Hp,N/mg,43036,NA,NA,NA
Marmosops incanus,Hp,No. of samples,1,NA,NA,NA
Marmosops incanus,Hp,Structure mass (g),0.06,NA,NA,NA
Marmosops incanus,RoB,C,35825000,NA,NA,NA
Marmosops incanus,RoB,I,2332208,NA,NA,NA
Marmosops incanus,RoB,I/mg,6780,NA,NA,NA
Marmosops incanus,RoB,I/N,0.252,NA,NA,NA
Marmosops incanus,RoB,N,9238790,NA,NA,NA
Marmosops incanus,RoB,N/mg,26857,NA,NA,NA
Marmosops incanus,RoB,No. of samples,3,NA,NA,NA
Marmosops incanus,RoB,Structure mass (g),0.344,NA,NA,NA
Marmosops incanus,Br,I/C,0.0296,NA,NA,NA
Marmosops incanus,Cb,I/C,0.0074,NA,NA,NA
Marmosops incanus,Ctx,I/C,0.0494,NA,NA,NA
Marmosops incanus,Cx,I/C,0.04850000862440707,NA,NA,NA
Marmosops incanus,Hp,I/C,0.0412,NA,NA,NA
Marmosops incanus,RoB,I/C,0.06510001395673412,NA,NA,NA
Metachirus nudicaudatus,Br,C,317343750,NA,NA,NA
Metachirus nudicaudatus,Br,I,8060531,NA,NA,NA
Metachirus nudicaudatus,Br,I/mg,4014,NA,NA,NA
Metachirus nudicaudatus,Br,I/N,0.049,NA,NA,NA
Metachirus nudicaudatus,Br,N,166594406,NA,NA,NA
Metachirus nudicaudatus,Br,N/mg,82467,NA,NA,NA
Metachirus nudicaudatus,Br,No. of samples,6,NA,NA,NA
Metachirus nudicaudatus,Br,Structure mass (g),2.008,NA,NA,NA
Metachirus nudicaudatus,Cb,C,166312500,NA,NA,NA
Metachirus nudicaudatus,Cb,I,1729650,NA,NA,NA
Metachirus nudicaudatus,Cb,I/mg,5057,NA,NA,NA
Metachirus nudicaudatus,Cb,I/N,0.013,NA,NA,NA
Metachirus nudicaudatus,Cb,N,134131031,NA,NA,NA
Metachirus nudicaudatus,Cb,N/mg,392196,NA,NA,NA
Metachirus nudicaudatus,Cb,No. of samples,1,NA,NA,NA
Metachirus nudicaudatus,Cb,Structure mass (g),0.342,NA,NA,NA
Metachirus nudicaudatus,Ctx,C,72625000,NA,NA,NA
Metachirus nudicaudatus,Ctx,I,2222325,NA,NA,NA
Metachirus nudicaudatus,Ctx,I/mg,2621,NA,NA,NA
Metachirus nudicaudatus,Ctx,I/N,0.139,NA,NA,NA
Metachirus nudicaudatus,Ctx,N,15999288,NA,NA,NA
Metachirus nudicaudatus,Ctx,N/mg,18867,NA,NA,NA
Metachirus nudicaudatus,Ctx,No. of samples,1,NA,NA,NA
Metachirus nudicaudatus,Ctx,Structure mass (g),0.848,NA,NA,NA
Metachirus nudicaudatus,Cx,C,84775000,NA,NA,NA
Metachirus nudicaudatus,Cx,I,2653458,NA,NA,NA
Metachirus nudicaudatus,Cx,I/mg,2675,NA,NA,NA
Metachirus nudicaudatus,Cx,I/N,0.131,NA,NA,NA
Metachirus nudicaudatus,Cx,N,20191038,NA,NA,NA
Metachirus nudicaudatus,Cx,N/mg,20354,NA,NA,NA
Metachirus nudicaudatus,Cx,No. of samples,2,NA,NA,NA
Metachirus nudicaudatus,Cx,Structure mass (g),0.992,NA,NA,NA
Metachirus nudicaudatus,Hp,C,12150000,NA,NA,NA
Metachirus nudicaudatus,Hp,I,428895,NA,NA,NA
Metachirus nudicaudatus,Hp,I/mg,2978,NA,NA,NA
Metachirus nudicaudatus,Hp,I/N,0.102,NA,NA,NA
Metachirus nudicaudatus,Hp,N,4191750,NA,NA,NA
Metachirus nudicaudatus,Hp,N/mg,29109,NA,NA,NA
Metachirus nudicaudatus,Hp,No. of samples,1,NA,NA,NA
Metachirus nudicaudatus,Hp,Structure mass (g),0.144,NA,NA,NA
Metachirus nudicaudatus,RoB,C,66256250,NA,NA,NA
Metachirus nudicaudatus,RoB,I,3670596,NA,NA,NA
Metachirus nudicaudatus,RoB,I/mg,5446,NA,NA,NA
Metachirus nudicaudatus,RoB,I/N,0.326,NA,NA,NA
Metachirus nudicaudatus,RoB,N,11272337,NA,NA,NA
Metachirus nudicaudatus,RoB,N/mg,16725,NA,NA,NA
Metachirus nudicaudatus,RoB,No. of samples,3,NA,NA,NA
Metachirus nudicaudatus,RoB,Structure mass (g),0.674,NA,NA,NA
Metachirus nudicaudatus,Br,I/C,0.025399999212210735,NA,NA,NA
Metachirus nudicaudatus,Cb,I/C,0.0104,NA,NA,NA
Metachirus nudicaudatus,Ctx,I/C,0.0306,NA,NA,NA
Metachirus nudicaudatus,Cx,I/C,0.0313000058979652,NA,NA,NA
Metachirus nudicaudatus,Hp,I/C,0.0353,NA,NA,NA
Metachirus nudicaudatus,RoB,I/C,0.05539999622677106,NA,NA,NA
Sarcophilus harrisii,Br,C,1450131000,NA,NA,NA
Sarcophilus harrisii,Br,I,22912070,NA,NA,NA
Sarcophilus harrisii,Br,I/mg,2337,NA,NA,NA
Sarcophilus harrisii,Br,I/N,0.033,NA,NA,NA
Sarcophilus harrisii,Br,N,693694737,NA,NA,NA
Sarcophilus harrisii,Br,N/mg,70771,NA,NA,NA
Sarcophilus harrisii,Br,No. of samples,30,NA,NA,NA
Sarcophilus harrisii,Br,Structure mass (g),9.802,NA,NA,NA
Sarcophilus harrisii,Cb,C,735437500,NA,NA,NA
Sarcophilus harrisii,Cb,I,7722094,NA,NA,NA
Sarcophilus harrisii,Cb,I/mg,5385,NA,NA,NA
Sarcophilus harrisii,Cb,I/N,0.013,NA,NA,NA
Sarcophilus harrisii,Cb,N,601073069,NA,NA,NA
Sarcophilus harrisii,Cb,N/mg,419158,NA,NA,NA
Sarcophilus harrisii,Cb,No. of samples,1,NA,NA,NA
Sarcophilus harrisii,Cb,Structure mass (g),1.434,NA,NA,NA
Sarcophilus harrisii,Ctx,C,367941000,NA,NA,NA
Sarcophilus harrisii,Ctx,I,7248438,NA,NA,NA
Sarcophilus harrisii,Ctx,I/mg,1578,NA,NA,NA
Sarcophilus harrisii,Ctx,I/N,0.123,NA,NA,NA
Sarcophilus harrisii,Ctx,N,59013547,NA,NA,NA
Sarcophilus harrisii,Ctx,N/mg,12846,NA,NA,NA
Sarcophilus harrisii,Ctx,No. of samples,25,NA,NA,NA
Sarcophilus harrisii,Ctx,Structure mass (g),4.594,NA,NA,NA
Sarcophilus harrisii,Cx,C,437941000,NA,NA,NA
Sarcophilus harrisii,Cx,I,9547114,NA,NA,NA
Sarcophilus harrisii,Cx,I/mg,1826,NA,NA,NA
Sarcophilus harrisii,Cx,I/N,0.133,NA,NA,NA
Sarcophilus harrisii,Cx,N,71655547,NA,NA,NA
Sarcophilus harrisii,Cx,N/mg,13706,NA,NA,NA
Sarcophilus harrisii,Cx,No. of samples,26,NA,NA,NA
Sarcophilus harrisii,Cx,Structure mass (g),5.228,NA,NA,NA
Sarcophilus harrisii,Hp,C,70000000,NA,NA,NA
Sarcophilus harrisii,Hp,I,2275000,NA,NA,NA
Sarcophilus harrisii,Hp,I/mg,3588,NA,NA,NA
Sarcophilus harrisii,Hp,I/N,0.18,NA,NA,NA
Sarcophilus harrisii,Hp,N,12642000,NA,NA,NA
Sarcophilus harrisii,Hp,N/mg,19940,NA,NA,NA
Sarcophilus harrisii,Hp,No. of samples,1,NA,NA,NA
Sarcophilus harrisii,Hp,Structure mass (g),0.634,NA,NA,NA
Sarcophilus harrisii,RoB,C,276752500,NA,NA,NA
Sarcophilus harrisii,RoB,I,5590401,NA,NA,NA
Sarcophilus harrisii,RoB,I/mg,1780,NA,NA,NA
Sarcophilus harrisii,RoB,I/N,0.267,NA,NA,NA
Sarcophilus harrisii,RoB,N,20966121,NA,NA,NA
Sarcophilus harrisii,RoB,N/mg,6677,NA,NA,NA
Sarcophilus harrisii,RoB,No. of samples,3,NA,NA,NA
Sarcophilus harrisii,RoB,Structure mass (g),3.14,NA,NA,NA
Sarcophilus harrisii,Br,I/C,0.015800000137918574,NA,NA,NA
Sarcophilus harrisii,Cb,I/C,0.010500000339933714,NA,NA,NA
Sarcophilus harrisii,Ctx,I/C,0.019700000815348114,NA,NA,NA
Sarcophilus harrisii,Cx,I/C,0.02180000045668252,NA,NA,NA
Sarcophilus harrisii,Hp,I/C,0.0325,NA,NA,NA
Sarcophilus harrisii,RoB,I/C,0.020200001806668415,NA,NA,NA
Wallabia bicolor,Br,C,3455754750,NA,NA,NA
Wallabia bicolor,Br,I,175897917,NA,NA,NA
Wallabia bicolor,Br,I/mg,5861,NA,NA,NA
Wallabia bicolor,Br,I/N,0.122,NA,NA,NA
Wallabia bicolor,Br,N,1435919989,NA,NA,NA
Wallabia bicolor,Br,N/mg,47845,NA,NA,NA
Wallabia bicolor,Br,No. of samples,48,NA,NA,NA
Wallabia bicolor,Br,Structure mass (g),30.012,NA,NA,NA
Wallabia bicolor,Cb,C,1528750000,NA,NA,NA
Wallabia bicolor,Cb,I,26141625,NA,NA,NA
Wallabia bicolor,Cb,I/mg,5914,NA,NA,NA
Wallabia bicolor,Cb,I/N,0.022,NA,NA,NA
Wallabia bicolor,Cb,N,1195941125,NA,NA,NA
Wallabia bicolor,Cb,N/mg,270575,NA,NA,NA
Wallabia bicolor,Cb,No. of samples,1,NA,NA,NA
Wallabia bicolor,Cb,Structure mass (g),4.42,NA,NA,NA
Wallabia bicolor,Ctx,C,1115954750,NA,NA,NA
Wallabia bicolor,Ctx,I,88272021,NA,NA,NA
Wallabia bicolor,Ctx,I/mg,6483,NA,NA,NA
Wallabia bicolor,Ctx,I/N,0.452,NA,NA,NA
Wallabia bicolor,Ctx,N,195142154,NA,NA,NA
Wallabia bicolor,Ctx,N/mg,14332,NA,NA,NA
Wallabia bicolor,Ctx,No. of samples,44,NA,NA,NA
Wallabia bicolor,Ctx,Structure mass (g),13.616,NA,NA,NA
Wallabia bicolor,Cx,C,1239254750,NA,NA,NA
Wallabia bicolor,Cx,I,95174765,NA,NA,NA
Wallabia bicolor,Cx,I/mg,6269,NA,NA,NA
Wallabia bicolor,Cx,I/N,0.457,NA,NA,NA
Wallabia bicolor,Cx,N,208113314,NA,NA,NA
Wallabia bicolor,Cx,N/mg,13708,NA,NA,NA
Wallabia bicolor,Cx,No. of samples,45,NA,NA,NA
Wallabia bicolor,Cx,Structure mass (g),15.182,NA,NA,NA
Wallabia bicolor,Hp,C,123300000,NA,NA,NA
Wallabia bicolor,Hp,I,6892470,NA,NA,NA
Wallabia bicolor,Hp,I/mg,4401,NA,NA,NA
Wallabia bicolor,Hp,I/N,0.531,NA,NA,NA
Wallabia bicolor,Hp,N,12971160,NA,NA,NA
Wallabia bicolor,Hp,N/mg,8283,NA,NA,NA
Wallabia bicolor,Hp,No. of samples,1,NA,NA,NA
Wallabia bicolor,Hp,Structure mass (g),1.566,NA,NA,NA
Wallabia bicolor,RoB,C,687750000,NA,NA,NA
Wallabia bicolor,RoB,I,54676125,NA,NA,NA
Wallabia bicolor,RoB,I/mg,5252,NA,NA,NA
Wallabia bicolor,RoB,I/N,1.716,NA,NA,NA
Wallabia bicolor,RoB,N,31865550,NA,NA,NA
Wallabia bicolor,RoB,N/mg,3061,NA,NA,NA
Wallabia bicolor,RoB,No. of samples,2,NA,NA,NA
Wallabia bicolor,RoB,Structure mass (g),10.41,NA,NA,NA
Wallabia bicolor,Br,I/C,0.05090000006510879,NA,NA,NA
Wallabia bicolor,Cb,I/C,0.0171,NA,NA,NA
Wallabia bicolor,Ctx,I/C,0.07910000024642576,NA,NA,NA
Wallabia bicolor,Cx,I/C,0.07680000016138731,NA,NA,NA
Wallabia bicolor,Hp,I/C,0.0559,NA,NA,NA
Wallabia bicolor,RoB,I/C,0.0795,NA,NA,NA
Aotus trivirgatus,Cx,C,1303931000,NA,NA,NA
Aotus trivirgatus,Cx,I,23875354,NA,NA,NA
Aotus trivirgatus,Cx,I/mg,2635,NA,NA,NA
Aotus trivirgatus,Cx,I/N,0.053,NA,NA,NA
Aotus trivirgatus,Cx,N,451671982,NA,NA,NA
Aotus trivirgatus,Cx,N/mg,49504,NA,NA,NA
Aotus trivirgatus,Cx,No. of samples,43,NA,NA,NA
Aotus trivirgatus,Cx,Structure mass (g),9.124,NA,NA,NA
Aotus trivirgatus,Cx,I/C,0.01831028942482386,NA,NA,NA
Cebus apella,Cx,C,3035947220,NA,NA,NA
Cebus apella,Cx,I,106083459,NA,NA,NA
Cebus apella,Cx,I/mg,1991,NA,NA,NA
Cebus apella,Cx,I/N,0.109,NA,NA,NA
Cebus apella,Cx,N,970159664,NA,NA,NA
Cebus apella,Cx,N/mg,18038,NA,NA,NA
Cebus apella,Cx,No. of samples,78,NA,NA,NA
Cebus apella,Cx,Structure mass (g),53.784,NA,NA,NA
Cebus apella,Cx,I/C,0.03494245825525254,NA,NA,NA
Homo sapiens,Ctx,C,58732501216,NA,NA,NA
Homo sapiens,Ctx,I,1612228351,NA,NA,NA
Homo sapiens,Ctx,I/mg,2381,NA,NA,NA
Homo sapiens,Ctx,I/N,0.169,NA,NA,NA
Homo sapiens,Ctx,N,9513780748,NA,NA,NA
Homo sapiens,Ctx,N/mg,13720,NA,NA,NA
Homo sapiens,Ctx,No. of samples,271,NA,NA,NA
Homo sapiens,Ctx,Structure mass (g),693.422,NA,NA,NA
Homo sapiens,Cx,C,58983401216,NA,NA,NA
Homo sapiens,Cx,I,1634984719,NA,NA,NA
Homo sapiens,Cx,I/mg,2403,NA,NA,NA
Homo sapiens,Cx,I/N,0.171,NA,NA,NA
Homo sapiens,Cx,N,9547198728,NA,NA,NA
Homo sapiens,Cx,N/mg,13703,NA,NA,NA
Homo sapiens,Cx,No. of samples,290,NA,NA,NA
Homo sapiens,Cx,Structure mass (g),696.708,NA,NA,NA
Homo sapiens,Hp,C,250900000,NA,NA,NA
Homo sapiens,Hp,I,10136360,NA,NA,NA
Homo sapiens,Hp,I/mg,3085,NA,NA,NA
Homo sapiens,Hp,I/N,0.303,NA,NA,NA
Homo sapiens,Hp,N,33417980,NA,NA,NA
Homo sapiens,Hp,N/mg,10170,NA,NA,NA
Homo sapiens,Hp,No. of samples,19,NA,NA,NA
Homo sapiens,Hp,Structure mass (g),3.286,NA,NA,NA
Homo sapiens,Ctx,I/C,0.027450360832935106,NA,NA,NA
Homo sapiens,Cx,I/C,0.027719403854189566,NA,NA,NA
Homo sapiens,Hp,I/C,0.0404,NA,NA,NA
