Species,Structure,Measure,published,unpublished,pct_diff,flag
Loxodonta africana,Ctx,Structure mass (g),2823.53,NA,NA,NA
Loxodonta africana,Cx,C,160509115478,NA,NA,NA
Loxodonta africana,Cx,I,11667281742,NA,NA,NA
Loxodonta africana,Cx,I/mg,4192,NA,NA,NA
Loxodonta africana,Cx,I/N,2.086,NA,NA,NA
Loxodonta africana,Cx,N,5593241033,NA,NA,NA
Loxodonta africana,Cx,N/mg,1964,NA,NA,NA
Loxodonta africana,Cx,No. of samples,264,NA,NA,NA
Loxodonta africana,Cx,Structure mass (g),2847.954,NA,NA,NA
Loxodonta africana,Hp,C,1763900000,NA,NA,NA
Loxodonta africana,Hp,I,199354517,NA,NA,NA
Loxodonta africana,Hp,I/mg,8175,NA,NA,NA
Loxodonta africana,Hp,I/N,5.442,NA,NA,NA
Loxodonta africana,Hp,N,36630512,NA,NA,NA
Loxodonta africana,Hp,N/mg,1500,NA,NA,NA
Loxodonta africana,Hp,No. of samples,1,NA,NA,NA
Loxodonta africana,Hp,Structure mass (g),24.426,NA,NA,NA
Loxodonta africana,RoB,C,28148254366,NA,NA,NA
Loxodonta africana,RoB,I,1947975176,NA,NA,NA
Loxodonta africana,RoB,I/mg,3450,NA,NA,NA
Loxodonta africana,RoB,I/N,2.626,NA,NA,NA
Loxodonta africana,RoB,N,741704844,NA,NA,NA
Loxodonta africana,RoB,N/mg,1314,NA,NA,NA
Loxodonta africana,RoB,No. of samples,44,NA,NA,NA
Loxodonta africana,RoB,Structure mass (g),564.674,NA,NA,NA
Loxodonta africana,Br,I/C,0.04377983631457238,NA,NA,NA
Loxodonta africana,Cb,I/C,0.024460169049535713,NA,NA,NA
Loxodonta africana,Ctx,I/C,0.07255231066886006,NA,NA,NA
Loxodonta africana,Cx,I/C,0.07268921585702191,NA,NA,NA
Loxodonta africana,Hp,I/C,0.11301917172175294,NA,NA,NA
Loxodonta africana,RoB,I/C,0.06920412010888106,NA,NA,NA
Petrodromus tetradactylus,Br,C,260180000,NA,NA,NA
Petrodromus tetradactylus,Br,I,6564788,NA,NA,NA
Petrodromus tetradactylus,Br,I/mg,2743,NA,NA,NA
Petrodromus tetradactylus,Br,I/N,0.042,NA,NA,NA
Petrodromus tetradactylus,Br,N,156830795,NA,NA,NA
Petrodromus tetradactylus,Br,N/mg,64104,NA,NA,NA
Petrodromus tetradactylus,Br,No. of samples,8,NA,NA,NA
Petrodromus tetradactylus,Br,Structure mass (g),2.44,NA,NA,NA
Petrodromus tetradactylus,Cb,C,145311000,NA,NA,NA
Petrodromus tetradactylus,Cb,I,1278737,NA,NA,NA
Petrodromus tetradactylus,Cb,I/mg,4206,NA,NA,NA
Petrodromus tetradactylus,Cb,I/N,0.012,NA,NA,NA
Petrodromus tetradactylus,Cb,N,110653150,NA,NA,NA
Petrodromus tetradactylus,Cb,N/mg,362537,NA,NA,NA
Petrodromus tetradactylus,Cb,No. of samples,2,NA,NA,NA
Petrodromus tetradactylus,Cb,Structure mass (g),0.304,NA,NA,NA
Petrodromus tetradactylus,Ctx,C,60480000,NA,NA,NA
Petrodromus tetradactylus,Ctx,I,2921184,NA,NA,NA
Petrodromus tetradactylus,Ctx,I/mg,3018,NA,NA,NA
Petrodromus tetradactylus,Ctx,I/N,0.106,NA,NA,NA
Petrodromus tetradactylus,Ctx,N,27651699,NA,NA,NA
Petrodromus tetradactylus,Ctx,N/mg,28566,NA,NA,NA
Petrodromus tetradactylus,Ctx,No. of samples,2,NA,NA,NA
Petrodromus tetradactylus,Ctx,Structure mass (g),0.968,NA,NA,NA
Petrodromus tetradactylus,Cx,C,74433000,NA,NA,NA
Petrodromus tetradactylus,Cx,I,3908787,NA,NA,NA
Petrodromus tetradactylus,Cx,I/mg,3019,NA,NA,NA
Petrodromus tetradactylus,Cx,I/N,0.115,NA,NA,NA
Petrodromus tetradactylus,Cx,N,33947000,NA,NA,NA
Petrodromus tetradactylus,Cx,N/mg,27236,NA,NA,NA
Petrodromus tetradactylus,Cx,No. of samples,4,NA,NA,NA
Petrodromus tetradactylus,Cx,Structure mass (g),1.239,NA,NA,NA
Petrodromus tetradactylus,Hp,C,13953000,NA,NA,NA
Petrodromus tetradactylus,Hp,I,1067062,NA,NA,NA
Petrodromus tetradactylus,Hp,I/mg,3032,NA,NA,NA
Petrodromus tetradactylus,Hp,I/N,0.17,NA,NA,NA
Petrodromus tetradactylus,Hp,N,6294000,NA,NA,NA
Petrodromus tetradactylus,Hp,N/mg,23164,NA,NA,NA
Petrodromus tetradactylus,Hp,No. of samples,2,NA,NA,NA
Petrodromus tetradactylus,Hp,Structure mass (g),0.272,NA,NA,NA
Petrodromus tetradactylus,RoB,C,40436000,NA,NA,NA
Petrodromus tetradactylus,RoB,I,1217665,NA,NA,NA
Petrodromus tetradactylus,RoB,I/mg,1845,NA,NA,NA
Petrodromus tetradactylus,RoB,I/N,0.1,NA,NA,NA
Petrodromus tetradactylus,RoB,N,12231811,NA,NA,NA
Petrodromus tetradactylus,RoB,N/mg,13696,NA,NA,NA
Petrodromus tetradactylus,RoB,No. of samples,2,NA,NA,NA
Petrodromus tetradactylus,RoB,Structure mass (g),0.894,NA,NA,NA
