"Species Name"	"Species name adjusted to 10kTrees"	"Species name in Perelman tree"	"Subfamily"	"Family"	"Terrestriality"	"logECV"	"logBodyMass"	"logInsects"	"logFruit"	"logLeaves"	"logCombiGroupSize"	"logHRS"	"Diurnality"	"ECV"	"N ECV"	"Sex ECV"	"Source ECV"	"Body mass"	"N Body mass"	"Sex Body mass"	"Source Body mass"	"Original source Body mass"	"%animal prey"	"%fruit"	"% seeds"	"%fruit and seeds"	"%nectar"	"%flowers"	"%nectar and flowers"	"% reproductive plant parts (fruits, flowers and nectar)"	"%gum"	"%leaves"	"%young leaves"	"%mature leaves"	"%nonreproctive plant parts (gum and leaves, bark etc.)"	"%other"	"sum"	"Calculation"	"Source diet composition"	"Sleeping group size"	"Remarks Sleeping group size"	"Foraging Group size: mean"	"Group size: range"	"Group size combined"	"Source group size"	"Day range (m)"	"male Home range (HR) size: mean (ha)"	"female Home range size: mean"	"HR size average"	"HR range"	"Source Home range size"
"Alouatta_pigra"	"Alouatta_pigra"	"Alouatta_pigra"	"Alouattinae"	"Atelidae"	0	1.69174436859137	3.7488080049586	NA	1.61066016308988	1.65417654187796	0.795564051901325	0.904174368284164	1	49.175	20	"fem"	"van Woerden compilation"	5608	40	"fem"	"Glander in ATWP 2011"	NA	0	40.8	NA	40.8	NA	10.6	10.6	51.4	NA	45.1	NA	NA	45.1	3.5	100	"single study"	"Di Fiore and Campbell 07, other includes seeds"	NA	NA	"6.2454545454545443"	"2 to 16"	6.24545454545454	"Di Fiore and Campbell 07"	NA	NA	NA	8.02	NA	NA
"Alouatta_sara"	"Alouatta_sara"	"Alouatta_sara"	"Alouattinae"	"Atelidae"	0	1.75396586586516	NA	NA	NA	NA	0.792391689498254	NA	1	56.75	2	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"6.2"	"2 to 12"	6.2	"Goffard et all 2008"	NA	NA	NA	NA	NA	NA
"Alouatta_seniculus"	"Alouatta_seniculus"	"Alouatta_seniculus"	"Alouattinae"	"Atelidae"	0	1.74263683340375	3.71683772329952	NA	1.60242175268324	1.68244593851396	0.896125206859122	1.34242268082221	1	55.2887579101683	39	"fem"	"van Woerden compilation"	5210	76	"fem"	"Isler et al. 2008"	"Ayres 86, Rudran 79, Braza et al 83, Hernandez-Camacho&Defler 85 in Smith and Jungers 1997"	0	40.0333333333333	NA	40.0333333333333	NA	6.36666666666667	6.36666666666667	46.4	NA	48.1333333333333	NA	NA	48.1333333333333	5.46666666666667	100	"average"	"Di Fiore and Campbell 07, other includes seeds"	NA	NA	"7.8727272727272721"	"2 to 16"	7.87272727272727	"Di Fiore and Campbell 07"	NA	NA	NA	22	NA	NA
"Aotus_azarae"	"Aotus_azarai"	"Aotus_azarae"	NA	"Aotidae"	0	1.30403655409947	3.09691001300806	NA	1.62668246623629	1.50514997831991	0.487340419901349	0.845098040014257	0	20.1389375	8	"all individuals"	"van Woerden compilation"	1250	55	"all individuals"	"Fernandez-Duque 2004 in same 07"	NA	0	42.3333333333333	NA	42.3333333333333	NA	NA	16	58.3333333333333	NA	32	NA	NA	32	9.7	100.033333333333	"average"	"Fernandez-Duque 07 review"	NA	NA	"3.0714285714285721"	"1 to 6"	3.07142857142857	"Fernandez-Duque 07 review"	NA	NA	NA	7	NA	NA
"Aotus_miconax"	"Aotus_miconax"	"Aotus_miconax"	NA	"Aotidae"	0	1.22160051040874	NA	1.29225607135648	1.63447727016073	0.690196080028514	0.491361693834273	0.146128035678238	0	16.6571428571429	7	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	19.6	43.1	NA	43.1	NA	32.4	32.4	75.5	NA	4.9	0	4.9	4.9	0	100	NA	"buds 26.5, flowers 5.9, Shanee unpubl. in ATWP 2011"	NA	NA	"3.1"	"2 to 6"	3.1	"Shanee unpublished, ATWP 2011"	NA	NA	NA	1.4	NA	NA
"Aotus_nancymaae"	"Aotus_nancymaae"	"Aotus_nancymae"	NA	"Aotidae"	0	1.25254964676783	2.89597473235906	NA	NA	NA	0.583576585633949	NA	0	17.8875	8	"all individuals"	"van Woerden compilation"	787	56	"all individuals"	"Aquino and Encarnacion 1986b inFernandez-Duque 07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3.8333333333333335"	"2 to 6"	3.83333333333333	"Fernandez-Duque 07 review"	NA	NA	NA	NA	NA	NA
"Aotus_nigriceps"	"Aotus_nigriceps"	"Aotus_nigriceps"	NA	"Aotidae"	0	1.24528828419671	2.98136550907854	1.09691001300806	1.77815125038364	1.24303804868629	0.612783856719735	0.931966114728173	0	17.5909090909091	11	"all individuals"	"van Woerden compilation"	958	3	"all individuals"	"Isler et al. 2008"	"Peres 1993 in Smith and Jungers 1997"	12.5	60	NA	60	NA	NA	NA	60	NA	17.5	NA	NA	17.5	10	100	"single study"	"67% nectar and flowers in july and august, Fernandez-Duque 07 review, Rowe 96 leaves including flowers and buds"	NA	NA	"4.0999999999999996"	"2 to 5"	4.1	"Fernandez-Duque 07 review"	NA	NA	NA	8.55	NA	NA
"Aotus_trivirgatus"	"Aotus_trivirgatus"	"Aotus_trivirgatus"	NA	"Aotidae"	0	1.20589704215125	2.99514505734209	0.903089986991944	1.81291335664286	1.43136376415899	0.57978359661681	1	0	16.0656034187608	22	"all individuals"	"van Woerden compilation"	988.883333333333	12	"all individuals"	"van Woerden compilation (matching)"	"matching ECV"	8	65	NA	65	NA	NA	NA	65	NA	27	NA	NA	27	0	100	"single study"	"30 leaves including flowers and buds, Sussman 2000 from Hladik 69"	NA	NA	"3.8"	NA	3.8	"Sussman 2000"	NA	NA	NA	10	NA	NA
"Aotus_vociferans"	"Aotus_vociferans"	"Aotus_vociferans"	NA	"Aotidae"	0	1.24797326636181	2.84695532501982	NA	1.91907809237607	NA	0.518513939877887	NA	0	17.7	11	"all individuals"	"van Woerden compilation"	703	40	"all individuals"	"Isler et al. 2008"	"Montoya et al. 1995  in Smith and Jungers 1997"	0	83	NA	83	NA	NA	17	100	NA	NA	NA	NA	0	0	100	"single study"	"Fernandez-Duque 07 review"	NA	NA	"3.3"	"2 to 5"	3.3	"Fernandez-Duque 07 review"	NA	NA	NA	NA	NA	NA
"Arctocebus_aureus"	"Arctocebus_aureus"	"Arctocebus_aureus"	NA	"Loridae"	0	0.769477952160411	2.32221929473392	1.93951925261862	1.11394335230684	NA	0	NA	0	5.88136255456102	6	"all individuals"	"van Woerden compilation"	210	30	"all individuals"	"Smith&Jungers 1997"	"Charles-Dominique 1977 book"	87	13	NA	13	0	0	0	13	0	0	0	0	0	0	100	"single study"	"Charles-Dominique,Gabon"	1	"adults sleep alone"	"1.03"	NA	1	"Nekaris & Bearder 07"	NA	NA	NA	NA	NA	NA
"Arctocebus_calabarensis"	"Arctocebus_calabarensis"	"Arctocebus_calabarensis"	NA	"Loridae"	0	0.844190395775967	2.48995847942483	1.92941892571429	1.14612803567824	NA	0	NA	0	6.985385780004	24	"all individuals"	"van Woerden compilation"	309	12	"all individuals"	"Isler et al. 2008"	NA	85	14	NA	14	NA	NA	NA	14	0	NA	NA	NA	NA	1	100	"single study"	"Charles-Dominique,Gabon"	1	"adults sleep alone"	"1"	NA	1	"Nekaris & Bearder 07"	NA	NA	NA	NA	NA	NA
"Ateles_belzebuth"	"Ateles_belzebuth"	"Ateles_belzebuth"	"Atelinae"	"Atelidae"	0	2.0523776215937	3.92862259778719	-0.318758762624413	1.91750550955255	0.954242509439325	1.34488327936986	2.47712125471966	1	112.817798718748	21	"fem"	"van Woerden compilation"	8484.42857142857	7	"fem"	"van Woerden compilation (matching)"	"matching ECV"	0.48	82.7	NA	82.7	NA	3.44	3.44	86.14	NA	9	9	0	9	4.4	100.02	"average"	"Di Fiore and Campbell 07, other includes seeds"	NA	NA	"22.125"	"16 to 28"	22.125	"Di Fiore and Campbell 07"	NA	"120"	88	300	NA	NA
"Ateles_chamek"	"Ateles_chamek"	"Ateles_chamek"	"Atelinae"	"Atelidae"	0	2.04248800599583	NA	NA	1.89320675305985	1.0899051114394	1.5854607295085	NA	1	110.277777777778	18	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	0	78.2	NA	78.2	NA	3.96666666666667	3.96666666666667	82.1666666666667	NA	12.3	NA	NA	12.3	5.5	99.9666666666667	"average"	"Symington 1987, 1988, Wallace 2005"	NA	NA	"38.5"	NA	38.5	"Symington 1988"	"1977"	NA	NA	NA	NA	NA
"Ateles_fusciceps"	"Ateles_fusciceps"	"Ateles_fusciceps"	"Atelinae"	"Atelidae"	0	2.03160818315247	3.96189547366785	NA	NA	NA	0.653212513775344	NA	1	107.549447368421	19	"fem"	"van Woerden compilation"	9160	11	"fem"	"Isler et al. 2008"	"Crile&Quiring 40 in Smith and Jungers 1997"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"single study"	"Méndez-Carvajal et all 2010"	NA	NA	"4.5"	"3 to 13"	4.5	"Méndez-Carrvajal et all 2010, Rowe personal observation"	"1150"	NA	NA	NA	NA	NA
"Ateles_geoffroyi"	"Ateles_geoffroyi"	"Ateles_geoffroyi"	"Atelinae"	"Atelidae"	0	2.01476771307833	3.88649072517248	0.185636576961912	1.84198480459011	1.17415675927848	1.49136169383427	2.22530928172586	1	103.458865816087	32	"fem"	"van Woerden compilation"	7700	101	"fem"	"Di Fiore and Campbell 07"	NA	1.53333333333333	69.5	NA	69.5	NA	7.1	7.1	76.6	NA	14.9333333333333	12	2.933	14.9333333333333	6.96666666666667	100.033333333333	"average"	"Di Fiore and Campbell 07, other includes seeds, young leaves from ATWP 2011"	NA	NA	"31"	"16 to 42"	31	"Di Fiore and Campbell 07"	"2229.6150000000002"	"93"	50	168	NA	NA
"Ateles_hybridus"	"Ateles_hybridus"	"Ateles_hybridus"	"Atelinae"	"Atelidae"	0	2.01112305019439	3.87852179550121	NA	1.9731278535997	0.698970004336019	0.416640507338281	NA	1	102.594256901833	8	"fem"	"van Woerden compilation"	7560	3	"fem"	"van Woerden compilation (matching)"	"matching ECV"	0	94	NA	94	NA	1	1	95	NA	5	5	0	5	0	100	NA	"Link (pers comm) in ATWP 2011"	NA	NA	"2.61"	"1 to 7"	2.61	"subgroup counts, Guerrero 2007 in ATWP 2011"	NA	NA	NA	NA	NA	NA
"Ateles_paniscus"	"Ateles_paniscus"	"Ateles_paniscus"	"Atelinae"	"Atelidae"	0	2.03167771068424	3.90687353472207	-0.698970004336019	1.90200289135073	0.897627091290441	1.25527250510331	2.40654018043396	1	107.566666666667	12	"fem"	"van Woerden compilation"	8070	49	"fem"	"Isler et al. 2008"	"matching ECV"	0.2	79.8	NA	79.8	NA	6.4	6.4	86.2	NA	7.9	7.9	0	7.9	5.7	100	"single study"	"Di Fiore and Campbell 07, other includes seeds"	NA	NA	"18"	"15 to 20"	18	"Di Fiore and Campbell 07"	NA	NA	NA	255	NA	NA
"Avahi_cleesei"	"Avahi_cleesei"	"Avahi_cleesei"	NA	"Indridae"	0	NA	NA	NA	NA	NA	0.469822015978163	-0.537602002101044	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"2.95"	NA	2.95	"Thalmann&Geismann 2000, Thalmann unpubl"	"326"	NA	NA	0.29	NA	NA
"Avahi_laniger"	"Avahi_laniger"	"Avahi_laniger"	NA	"Indridae"	0	0.978428683941578	3.08170727009735	NA	NA	2	0.397940008672038	0.176091259055681	0	9.51543581081081	37	"all individuals"	"van Woerden compilation"	1207	10	"all individuals"	"Isler et al. 2008"	NA	0	0	NA	0	NA	0	0	0	NA	100	NA	NA	100	0	100	"single study"	"Harcourt 2009"	NA	"up to 5, pair with off"	"2.5"	"1 to 4"	2.5	"Ganzhorn 1985 in Nunn and van Schaik 02"	"300"	NA	NA	1.5	NA	NA
"Avahi_occidentalis"	"Avahi_occidentalis"	"Avahi_occidentalis"	NA	"Indridae"	0	0.90036712865647	NA	NA	NA	1.88649072517248	0.301029995663981	-0.164309428507574	0	7.95	2	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	0	0	NA	0	NA	2.6	2.6	2.6	NA	77	NA	NA	77	20.4	100	"single study"	"Thalmann 2001"	NA	NA	"2"	"2 to 5"	2	"Thalmann, pers comm"	"740"	NA	NA	0.685	NA	NA
"Avahi_peyrierasi"	"Avahi_peyrierasi"	"Avahi_peyrierasi"	NA	"Indridae"	0	NA	NA	NA	NA	2	0.244277120801843	0.146128035678238	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	98	2	100	0	100	"single study"	"Faulkner & Lehman 2006"	NA	NA	"1.7549999999999999"	"1 to 2"	1.755	"Herrera et al. Unpubl"	"457"	NA	NA	1.4	NA	NA
"Brachyteles_arachnoides"	"Brachyteles_arachnoides"	"Brachyteles_arachnoides"	"Atelinae"	"Atelidae"	0	2.00878261011029	3.90687353472207	NA	1.71794774174893	1.62117628177504	1.39794000867204	1.84509804001426	1	102.042857142857	7	"all individuals"	"van Woerden compilation"	8070	3	"fem"	"Isler et al. 2008"	"Lemos de Sa&Glander 93 in Smith and Jungers 1997"	0	52.2333333333333	NA	52.2333333333333	NA	6	6	58.2333333333333	NA	41.8	35.0268518518519	6.77314814814815	41.8	0	100.033333333333	"three studies"	"Di Fiore and Campbell 07, other includes seeds, de carvalho in ATWP, Talebi 2005 and 2008"	NA	NA	"25"	"7 to 43"	25	"7-13: Di Fiore and Campbell 07; 43 Talebi 2005"	NA	NA	NA	70	NA	NA
"Brachyteles_hypoxanthus"	"Brachyteles_hypoxanthus"	"Brachyteles_hypoxanthus"	"Atelinae"	"Atelidae"	0	NA	3.92427928606188	NA	1.44404479591808	1.64868520341986	1.62838893005031	2.37748838337613	1	NA	NA	NA	NA	8400	NA	"fem"	"Lemos de Sa&Glander 93"	"ATWP 2011"	NA	27.8	5	32.8	NA	14.5666666666667	14.5666666666667	47.3666666666667	NA	44.5333333333333	19.75	21.75	44.5333333333333	8.1	100	"three studies"	"ATWP 2011: Strier, Lemos de Sa, Rimoli"	NA	NA	"42.5"	"25 to 60, 3min to 80 max"	42.5	"ATWP 2011"	NA	NA	NA	238.5	NA	NA
"Cacajao_ayresi"	"Cacajao_ayresi"	"Cacajao_ayresi"	NA	"Pitheciidae"	0	NA	NA	NA	NA	NA	1.47712125471966	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"30+"	"more than 30"	30	"ATWP 2011"	NA	NA	NA	NA	NA	NA
"Cacajao_calvus"	"Cacajao_calvus"	"Cacajao_calvus"	NA	"Pitheciidae"	0	1.8496985413095	3.45939248775923	0.602059991327962	1.53718922624364	0.397070549959409	1.6222140229663	2.72015930340596	1	70.7454545454545	11	"fem"	"Isler et al. 2008"	2880	2	"fem"	"Isler et al. 2008"	"Ayres 1986 in Smith and Jungers 1997"	4	34.45	53.6166666666667	88.0666666666667	NA	4.86	4.86	92.9266666666667	0.45	2.495	NA	NA	2.495	0.11	99.9816666666667	"three studies"	"Norconk 07 review, ATWP: Bowler, Ayres and Aquino"	NA	NA	"41.9"	"7 to 73"	41.9	"Norconk 07 review, range in ATWP 2011"	"465"	NA	NA	525	NA	NA
"Cacajao_melanocephalus"	"Cacajao_melanocephalus"	"Cacajao_melanocephalus"	NA	"Pitheciidae"	0	1.79225157190326	3.36172783601759	0.204119982655925	1.3096301674259	1.10380372095596	1.39794000867204	NA	1	61.98	5	"fem"	"van Woerden compilation"	2300	3	"fem"	"van Woerden compilation (matching)"	"matching ECV"	1.6	20.4	61.1	81.5	NA	4.15	4.15	85.65	NA	12.7	12.4	2.3	12.7	0	99.95	"single study"	"Norconk 07 review, Barnett in ATWP 2011"	NA	NA	"25"	"2 to 200"	25	"Norconk 07 review"	NA	NA	NA	NA	NA	NA
"Callicebus_brunneus"	"Callicebus_brunneus"	"Callicebus_brunneus"	NA	"Callicebidae"	0	1.25527250510331	NA	1.17609125905568	1.67209785793572	1.44715803134222	NA	NA	1	18	1	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	15	47	NA	47	NA	2	2	49	NA	28	28	0	28	8	100	NA	"Rowe 1996???"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Callicebus_caligatus"	"Callicebus_caligatus"	"Callicebus_caligatus"	NA	"Callicebidae"	0	1.23489674573159	2.94448267215017	NA	NA	NA	0.342422680822206	NA	1	17.175	4	"all individuals"	"van Woerden compilation"	880	1	"all individuals"	"Isler et al. 2008"	"Smith&Jungers 1997"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"2.2000000000000002"	"max. 4"	2.2	"Norconk 07 review"	NA	NA	NA	NA	NA	NA
"Callicebus_cupreus"	"Callicebus_cupreus"	"Callicebus_cupreus"	NA	"Callicebidae"	0	1.24153995002401	2.94792361983173	1.13566260200007	1.88081359228079	0.920818753952375	0.526985068559996	NA	1	17.4397377532215	14	"all individuals"	"van Woerden compilation"	887	5	"all individuals"	"van Woerden compilation (matching)"	"matching ECV"	13.6666666666667	76	NA	76	NA	2	2	78	NA	8.33333333333333	NA	NA	8.33333333333333	0	100	"single study"	"Herrea and Heymann 2004 in ATWP 2011"	NA	NA	"3.3650000000000002"	"2 to 7"	3.365	"Norconk 07 review"	NA	NA	NA	NA	NA	NA
"Callicebus_discolor"	"Callicebus_discolor"	"Callicebus_discolor"	NA	"Callicebidae"	0	1.23044892137827	NA	0.812913356642856	1.72427586960079	1.52504480703685	NA	NA	1	17	1	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	6.5	53	NA	53	NA	6	6	59	NA	33.5	33.5	0	33.5	1	100	"average"	"Youlatos 1999, Carrilloin press in ATWP 2012"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Callicebus_lugens"	"Callicebus_lugens"	"Callicebus_lugens"	NA	"Callicebidae"	0	1.28176401095606	3.03742649794062	0.531478917042255	1.77378644498119	0.806179973983887	0.681241237375587	1.15228834438306	1	19.1321602990064	16	"all individuals"	"van Woerden compilation"	1090	10	"all individuals"	"van Woerden compilation (matching)"	"matching ECV"	3.4	59.4	26.9	86.3	NA	3.9	3.9	90.2	NA	6.4	NA	NA	6.4	0	100	"single study"	"lean season, Palacios 1997 in ATWP 2011"	NA	NA	"4.8"	"3 to 5"	4.8	"Norconk 07 review"	NA	NA	NA	14.2	NA	NA
"Callicebus_moloch"	"Callicebus_moloch"	"Callicebus_moloch"	NA	"Callicebidae"	0	1.18752072083646	2.99475694458763	1.23044892137827	1.73239375982297	1.44715803134222	0.544068044350276	0.966141732739033	1	15.4	3	"all individuals"	"van Woerden compilation"	988	29	"all individuals"	"Smith&Jungers 1997"	"Ayres 86, Hershkovitz 90, Ferrari&Lopes 95"	17	54	NA	54	NA	NA	NA	54	NA	28	NA	NA	28	1	100	"single study"	"Rowe 96 ref 699"	NA	NA	"3.5"	"2 to 7"	3.5	"Sussman 2000, Norconk 07 review"	NA	NA	NA	9.25	NA	NA
"Callicebus_oenanthe"	"Callicebus_oenanthe"	"Callicebus_oenanthe"	NA	"Callicebidae"	0	1.1430148002541	NA	1.34242268082221	1.73239375982297	1.0542299098634	NA	NA	1	13.9	1	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	22	54	1.3	55.3	NA	4	4	59.3	NA	11.33	11	0.33	11.33	7.4	100.03	"single study"	"DeLuycker 2007 in ATWP 2012"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
