accepted_name,source_publication,variant_name,category,suggested_accepted_name,review_note
Galictis vittata,Ashwell2020,Galictis vittata,likely_typo,Galictis vittatus,possible typo of 'Galictis vittatus' — verify; if so set accepted_name to it
Gymnobelideus leadbeateri,Ashwell2020,Gymnobelideus leadbeateri,new_species,,
Hemibelideus lemuroides,Ashwell2020,Hemibelideus lemuroides,new_species,,
Hypsiprymnodon moschatus,Ashwell2020,Hypsiprymnodon moschatus,new_species,,
Isoodon macrourus,Ashwell2020,Isoodon macrourus,new_species,,
Isoodon obesulus,Ashwell2020,Isoodon obesulus,new_species,,
Lagorchestes conspicillatus,Ashwell2020,Lagorchestes conspicillatus,new_species,,
Lama glama,Ashwell2020,Lama glama,canonical,,
Lasiorhinus latifrons,Ashwell2020,Lasiorhinus latifrons,new_species,,
Macropus agilis,Ashwell2020,Macropus agilis,new_species,,
Macropus antilopinus,Ashwell2020,Macropus antilopinus,new_species,,
Macropus bernardus,Ashwell2020,Macropus bernardus,new_species,,
Macropus dorsalis,Ashwell2020,Macropus dorsalis,new_species,,
Macropus eugenii,Ashwell2020,Macropus eugenii,new_species,,
Macropus irma,Ashwell2020,Macropus irma,new_species,,
Notamacropus parma,Ashwell2020,Macropus parma,canonical,,curated synonym -> Notamacropus parma
Macropus parryi,Ashwell2020,Macropus parryi,new_species,,
Osphranter rufus,Ashwell2020,Macropus rufus,canonical,,curated synonym -> Osphranter rufus
Mandrillus sphinx,Ashwell2020,Mandrillus sphinx,canonical,,
Marmosa impavida,Ashwell2020,Marmosa impavida,new_species,,
Monodelphis brevicaudata,Ashwell2020,Monodelphis brevicaudata,new_species,,
Mustela erminea,Ashwell2020,Mustela erminea,canonical,,
Mustela putorius,Ashwell2020,Mustela putorius,canonical,,
Myrmecophagia tridactyla,Ashwell2020,Myrmecophagia tridactyla,likely_typo,Myrmecophaga tridactyla,possible typo of 'Myrmecophaga tridactyla' — verify; if so set accepted_name to it
Nasua narica,Ashwell2020,Nasua narica,canonical,,
Neovison vison,Ashwell2020,Neovison vison,new_species,,
Odocoileus virginianus,Ashwell2020,Odocoileus virginianus,canonical,,
Onychogalea fraenata,Ashwell2020,Onychogalea fraenata,new_species,,
Onychogalea unguifera,Ashwell2020,Onychogalea unguifera,new_species,,
Ornithorhynchus anatinus,Ashwell2020,Ornithorhynchus anatinus,new_species,,
Oryctolagus cuniculus,Ashwell2020,Oryctolagus cuniculus,canonical,,
Pan troglodytes,Ashwell2020,Pan troglodytes,canonical,,"reident.csv[proposed] proposes -> pan paniscus (value-match; likely coincidence, verify)"
Panthera leo,Ashwell2020,Panthera leo,canonical,,
Pecaru tacaju,Ashwell2020,Pecaru tacaju,new_species,,
Perameles gunnii,Ashwell2020,Perameles gunnii,new_species,,
Perameles nasuta,Ashwell2020,Perameles nasuta,new_species,,
Perodicticus potto,Ashwell2020,Perodicticus potto,canonical,,
Petaurus australis,Ashwell2020,Petaurus australis,new_species,,
Petaurus norfolcensis,Ashwell2020,Petaurus norfolcensis,new_species,,
Petrogale brachyotis,Ashwell2020,Petrogale brachyotis,new_species,,
Petrogale concinna,Ashwell2020,Petrogale concinna,new_species,,
Petrogale godmani,Ashwell2020,Petrogale godmani,new_species,,
Petrogale herberti,Ashwell2020,Petrogale herberti,new_species,,
Petrogale inornata,Ashwell2020,Petrogale inornata,new_species,,
Petrogale lateralis,Ashwell2020,Petrogale lateralis,new_species,,
Petrogale penicillata,Ashwell2020,Petrogale penicillata,new_species,,
Petrogale puella (assimilis),Ashwell2020,Petrogale puella (assimilis),new_species,,
Petrogale purpureicollis,Ashwell2020,Petrogale purpureicollis,new_species,,
Petropseudes dahli,Ashwell2020,Petropseudes dahli,new_species,,
Phalanger gymnotis,Ashwell2020,Phalanger gymnotis,new_species,,
Phalanger maculatus,Ashwell2020,Phalanger maculatus,new_species,,
Phalanger vestitus,Ashwell2020,Phalanger vestitus,new_species,,
Phascogale tapoatafa,Ashwell2020,Phascogale tapoatafa,new_species,,
Phascolarctos cinereus,Ashwell2020,Phascolarctos cinereus,new_species,,
Phoca vitulina,Ashwell2020,Phoca vitulina,new_species,,
Planigale maculata,Ashwell2020,Planigale maculata,new_species,,
Potorous tridactylus,Ashwell2020,Potorous tridactylus,new_species,,
Procavia capensis,Ashwell2020,Procavia capensis,canonical,,
Pseudantechinus bilarni,Ashwell2020,Pseudantechinus bilarni,new_species,,
Pseudocheirus canescens,Ashwell2020,Pseudocheirus canescens,new_species,,
Pseudocheirus cinereus,Ashwell2020,Pseudocheirus cinereus,new_species,,
Pseudocheirus forbesi,Ashwell2020,Pseudocheirus forbesi,new_species,,
Pseudocheirus peregrinus,Ashwell2020,Pseudocheirus peregrinus,new_species,,
Pseudochirops archeri,Ashwell2020,Pseudochirops archeri,new_species,,
Pseudochirops cupreus,Ashwell2020,Pseudochirops cupreus,new_species,,
Pseudochirulus herbertensis,Ashwell2020,Pseudochirulus herbertensis,new_species,,
Pteropus giganteus,Ashwell2020,Pteropus giganteus,new_species,,
Rhyncholestes raphanurus,Ashwell2020,Rhyncholestes raphanurus,new_species,,
Saimiri sciureus,Ashwell2020,Saimiri sciureus,canonical,,
Sarcophilus harissii,Ashwell2020,Sarcophilus harissii,likely_typo,Sarcophilus harrisii,possible typo of 'Sarcophilus harrisii' — verify; if so set accepted_name to it
Scalopus aquaticus,Ashwell2020,Scalopus aquaticus,canonical,,
Sciurus carolinensis,Ashwell2020,Sciurus carolinensis,canonical,,
Semnopithecus entellus,Ashwell2020,Semnopithecus entellus,canonical,,
Sminthopsis crassicaudata,Ashwell2020,Sminthopsis crassicaudata,new_species,,
Sminthopsis leucopus,Ashwell2020,Sminthopsis leucopus,new_species,,
Sminthopsis murina,Ashwell2020,Sminthopsis murina,new_species,,
Sorex araneus,Ashwell2020,Sorex araneus,canonical,,
Sus scrofa domesticus,Ashwell2020,Sus scrofa domesticus,canonical,,
Tachyglossus aculeatus,Ashwell2020,Tachyglossus aculeatus,new_species,,
Tamandua tetradactyla,Ashwell2020,Tamandua tetradactyla,canonical,,
Tarsipes rostratus,Ashwell2020,Tarsipes rostratus,new_species,,
Taxidea taxus,Ashwell2020,Taxidea taxus,new_species,,
Tenrec ecaudatus,Ashwell2020,Tenrec ecaudatus,canonical,,
Thomomys talpoides,Ashwell2020,Thomomys talpoides,new_species,,
Thylamys elegans,Ashwell2020,Thylamys elegans,new_species,,
Thylogale stigmatica,Ashwell2020,Thylogale stigmatica,new_species,,
Thylogale thetis,Ashwell2020,Thylogale thetis,new_species,,
Trichechus manatus latirostris,Ashwell2020,Trichechus manatus latirostris,new_species,,
Trichosurus arnhemensis,Ashwell2020,Trichosurus arnhemensis,new_species,,
Trichosurus caninus,Ashwell2020,Trichosurus caninus,new_species,,
Tupaia glis,Ashwell2020,Tupaia glis,canonical,,
Tursiops truncatus,Ashwell2020,Tursiops truncatus,new_species,,
Ursus maritimus,Ashwell2020,Ursus maritimus,canonical,,
Vombatus ursinus,Ashwell2020,Vombatus ursinus,new_species,,
Wallabia bicolor,Ashwell2020,Wallabia bicolor,canonical,,
Zaglossus bruijnii,Ashwell2020,Zaglossus bruijnii,new_species,,
Zalophus californianus,Ashwell2020,Zalophus californianus,canonical,,
