"taxa_group","common_name","Species","play_specific","vocalisation_name","acoustic_descriptors","reference","figure1_feature_category","loud_play_vocalisation","source"
"New world monkeys","Geoffroy's spider monkey","Ateles geoffroyi","Unclear","Chattering","Quiet, noisy, rhythmic","Aldis (1975)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"New world monkeys","Mantled howler monkey","Alouatta palliata","Unclear","Whimpers","Tonal, high frequency","Baldwin and Baldwin (1976)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Common squirrel monkey","Saimiri sciureus","Yes","Cackles, peeps","Cackles: N/A; peeps: high and increasing frequency","Winter et al. (1966); Baldwin and Baldwin (1974); Biben and Symmes (1986); Masataka and Kohda (1988)","high_pitched_tonal","Y","Winkler_Bryant_2021"
"New world monkeys","Goeldi's monkey","Callimico goeldii","Yes",NA,"Tonal, high frequency","Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Golden lion tamarin","Leontopithecus rosalia","Unclear","Rasp, trill, peep, chatter, squeal","Varies","McLanahan and Green (1977); de Oliveira et al. (2003)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Saddleback tamarin","Leontocebus fuscicollis","Yes",NA,"Tonal, high frequency","Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Common marmoset","Callithrix jacchus","Yes","Whirr/phee, tsak/tsik, ngä","Varies","Stevenson and Poole (1982); Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","White-lipped tamarin","Saguinus labiatus","Yes",NA,"Tonal, high frequency","Masataka and Kohda (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"New world monkeys","Cotton-top tamarin","Saguinus oedipus","Unclear","Whistles, squeals","Varies; unstable frequency","Cleveland and Snowdon (1982); Goedeking and Immelmann (1986); Goedeking (1988)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Strepsirrhines","Senegal bushbaby","Galago senegalensis","Unclear","Week, weeak, wak","Tonal","Zimmermann (1989a)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Strepsirrhines","Slow loris","Nycticebus coucang","Unclear","Call type II.4, chro","Call type II.4: quiet, noisy and tonal, short, series chro: high frequency, short","Zimmermann (1985); Zimmermann (1989b)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Strepsirrhines","Ring-tailed lemur","Lemur catta","Unclear","Trills, hmms","Quiet","Macedonia (1993)","none","N","Winkler_Bryant_2021"
"Strepsirrhines","Gray mouse lemur","Microcebus murinus","Unclear","Trill, tsak",NA,"Zimmermann (1991); Scheumann et al. (2007)","none","N","Winkler_Bryant_2021"
"Rodents","Laboratory rat","Rattus norvegicus","Yes","50 kHz calls with several subtypes","Short, high frequency, rhythmic","Knutson et al. (1998); Burke et al. (2017a)","ultrasonic","N","Winkler_Bryant_2021"
"Rodents","Degu","Octodon degus","Unclear","Purring/gurgling, warble","Purring/gurgling: quiet, long warble: quiet, high frequency, short, single","Wilson and Kleiman (1974); Long (2007)","purring_grumbling","N","Winkler_Bryant_2021"
"Rodents","Mongolian gerbil","Meriones unguiculatus","No","Ultrasonic vocalisations","High frequency","Holman and Seale (1991)","ultrasonic","N","Winkler_Bryant_2021"
"Carnivores (Canids)","Domestic dog","Canis lupus familiaris","Yes","Bark, panting, growl, yelp","barks: loud, tonal growls: quiet, noisy, variable duration, low frequency, series, panting: quiet, noisy, rhythmic yelp: loud, tonal, high frequency","Bekoff (1974); Bekoff (1995); Feddersen-Petersen (2000); Robbins and McCreery (2003); Simonet et al. (2005); Faragó et al. (2010)","panting_heavy_breathing","Y","Winkler_Bryant_2021"
"Carnivores (Canids)","Red fox","Vulpes vulpes","Unclear","Panting","Quiet, noisy, rhythmic","Cohen and Fox (1976)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Carnivores (Canids)","Bat-eared fox","Otocyon megalotis","No","Snarl","High frequency","Lamprecht (1979)","none","N","Winkler_Bryant_2021"
"Carnivores","European badger","Meles meles","Unclear",NA,NA,"Eibl-Eibesfeldt (1950) as described in Goedeking and Immelmann (1986)","none","N","Winkler_Bryant_2021"
"Carnivores (Mustela)","Louisiana mink","Neovison vison","Unclear","Hissing, squealing, growling","Varies","Svihla (1931)","hissing","N","Winkler_Bryant_2021"
"Carnivores (Mustela)","European polecat","Mustela putorius","Unclear","Clucking, hissing","Quiet","Poole (1966)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Carnivores (Mustela)","Ferret/Domesticated polecat","Mustela putorius furo","Unclear","Chattering, Klaffen","Quiet, noisy, rhythmic","Goethe (1940); Fagen (1981)","not_in_figure",NA,"Winkler_Bryant_2021"
"Carnivores (Mustela)","Stoat/ermine","Mustela erminea","Unclear","Mucker, grumble softly, purr, mutter","Quiet, low frequency","Fagen (1981)","purring_grumbling","N","Winkler_Bryant_2021"
"Carnivores (Pinnipeds)","California sea lion","Zalophus californianus","No","Barks, clicks, whinnies, bleats, unvoiced or voiced cough","Loud, short","Schusterman et al. (1966); Peterson and Bartholomew (1967); Peterson and Bartholomew (1969); Aldis (1975)","none","Y","Winkler_Bryant_2021"
"Carnivores (Pinnipeds)","Harbour seal/Common seal","Phoca vitulina","Unclear","Wooah","Loud","Wilson (1974)","none","Y","Winkler_Bryant_2021"
"Carnivores","American black bear","Ursus americanus","Unclear","Panting and breathing sounds","Quiet, noisy, rhythmic","Henry and Herrero (1974)","panting_heavy_breathing","N","Winkler_Bryant_2021"
"Carnivores","Egyptian mongoose","Herpestes ichneumon","Unclear",NA,NA,"Rensch and Dücker (1959) as described in Goedeking and Immelmann (1986)","none","N","Winkler_Bryant_2021"
"Carnivores","Indian grey mongoose","Urva edwardsii","Unclear",NA,NA,"Rensch and Dücker (1959) as described in Goedeking and Immelmann (1986)","none","N","Winkler_Bryant_2021"
"Carnivores","Common dwarf mongoose","Helogale parvula","Yes","Pulse","Short, high frequency, series","Rasa (1984)","none","N","Winkler_Bryant_2021"
"Carnivores (Cats)","Margay","Leopardus wiedii","Unclear","Low growling/purring, harsh miaows and growls","Quiet, noisy, low frequency","Petersen (1979); Fagen (1981)","purring_grumbling","N","Winkler_Bryant_2021"
"Carnivores (Cats)","Pallas's cat","Otocolobus manul","No","Hiss","Quiet, noisy","Fagen (1981)","hissing","N","Winkler_Bryant_2021"
"Carnivores (Cats)","Domestic cat","Felis catus","No","Hiss","Quiet, noisy","Fagen (1981)","hissing","N","Winkler_Bryant_2021"
"Carnivores (Cats)","European wildcat","Felis silvestris","No","Hiss","Quiet, noisy","Fagen (1981)","hissing","N","Winkler_Bryant_2021"
"Cetaceans","Bottlenose dolphin","Tursiops truncatus","Yes","Pulse burst, whistle, squawk","Varies","Herzing (1996); Blomqvist et al. (2005)","none","N","Winkler_Bryant_2021"
"Cetaceans","Atlantic spotted dolphin","Stenella frontalis","Unclear","Whistle","Tonal","Dudzinski (1998)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Cetaceans","Killer whale","Orcinus orca","Unclear","V4 type calls, 'chatter' squeal","Modulated frequency, series","Rehn et al. (2007)","none","N","Winkler_Bryant_2021"
"Ungulates","Rocky Mountain elk","Cervus canadensis nelsoni","Unclear","Squeal","High frequency","Altmann (1958)","high_pitched_tonal","N","Winkler_Bryant_2021"
"Ungulates","Domestic cow","Bos taurus","Yes",NA,NA,"Schloeth (1961) as described in Bouissou et al. (2001)","none","N","Winkler_Bryant_2021"
"Proboscids","African elephant","Loxodonta africana","Yes","Nasal trumpet","Loud, tonal","Langbauer (2000); Poole (2011)","none","Y","Winkler_Bryant_2021"
"Marsupials","Eastern grey kangaroo","Macropus giganteus","Unclear","Cough","Quiet, low frequency, short","Watson (1998)","none","N","Winkler_Bryant_2021"
"Birds (Parrots)","Kea parrot","Nestor notabilis","Yes","Warble","Loud","Schwing et al. (2017)","none","Y","Winkler_Bryant_2021"
"Birds (Parrots)","Budgerigar","Melopsittacus undulatus","Unclear","Soft croaking","Quiet, low frequency","Diamond and Bond (2003)","none","N","Winkler_Bryant_2021"
"Birds","Australian magpie","Gymnorhina tibicen","Yes","Gutteral sounding call","Quiet, low frequency, long","Pellis (1981)","none","N","Winkler_Bryant_2021"
