Species,weighting,region,measure,N,Mean,SD,CV,CVstar,note
Meriones,unweighted,Occipital Cortex,CMRgl,1,69.40,20.60,29.68,37.10,
Meriones,weighted,Occipital Cortex,CMRgl,6,69.40,20.60,29.68,30.92,
Homo,unweighted,Occipital Cortex,CMRO2,18,167.31,32.81,19.61,19.88,
Homo,weighted,Occipital Cortex,CMRO2,240,165.20,30.57,18.50,18.52,
Homo,unweighted,Sensorimotor Cortex,CMRgl,10,37.31,7.76,20.80,21.32,
Homo,weighted,Sensorimotor Cortex,CMRgl,113,36.79,6.60,17.94,17.98,
Macaca,unweighted,Sensorimotor Cortex,CMRgl,6,51.61,7.39,14.32,14.92,
Macaca,weighted,Sensorimotor Cortex,CMRgl,23,51.58,3.97,7.70,7.78,
Rattus,unweighted,Sensorimotor Cortex,CMRgl,38,96.61,11.64,12.05,12.13,
Rattus,weighted,Sensorimotor Cortex,CMRgl,270,96.09,10.09,10.50,10.51,
Mus,unweighted,Sensorimotor Cortex,CMRgl,6,103.50,27.56,26.63,27.74,
Mus,weighted,Sensorimotor Cortex,CMRgl,34,102.59,12.37,12.06,12.15,
Lepus,unweighted,Sensorimotor Cortex,CMRgl,1,82.65,15.30,18.51,23.14,
Lepus,weighted,Sensorimotor Cortex,CMRgl,5,82.65,15.30,18.51,19.44,
Meriones,unweighted,Sensorimotor Cortex,CMRgl,1,67.20,16.70,24.85,31.06,
Meriones,weighted,Sensorimotor Cortex,CMRgl,6,67.20,16.70,24.85,25.89,
Homo,unweighted,Sensorimotor Cortex,CMRO2,5,148.43,34.39,23.17,24.33,
Homo,weighted,Sensorimotor Cortex,CMRO2,101,152.69,26.85,17.59,17.63,
Homo,unweighted,Cingulate Cortex,CMRgl,12,38.90,7.50,19.28,19.68,
Homo,weighted,Cingulate Cortex,CMRgl,110,39.19,6.52,16.64,16.68,
Macaca,unweighted,Cingulate Cortex,CMRgl,7,42.96,9.56,22.26,23.05,
Macaca,weighted,Cingulate Cortex,CMRgl,29,42.35,6.59,15.56,15.70,
Rattus,unweighted,Cingulate Cortex,CMRgl,32,97.88,14.42,14.73,14.85,
