Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,58.0,8.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,79.0,11.2,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,73.0,6.0,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,78.8,6.7,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,74.7,6.8,,,,
Rattus,"(Lear etal., 1981)",4,none,Sokoloff,70.0,8.0,,,81.0,10.0
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,52.0,8.0,,,76.0,10.0
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,57.0,11.0,,,104.0,18.0
Rattus,"(Cremer and Seville, 1983)",8,none,Sokoloff,,,,,102.0,6.0
Rattus,"(Dahlgren et al., 1981a)",6,none,Sokoloff,,,,,100.0,3.0
Mus,"(Bouilleret et al., 2000)",4,none,Sokoloff,84.3,13.0,,,,
Mus,"(Jay etal., 1985)",8,none,Sokoloff,70.0,5.7,,,,
Mus,"(Kamp et al., 1980)",10,none,Sokoloff,83.0,25.3,,,,
Mus,"(Kamp et al., 1980)",17,none,Sokoloff,87.0,53.6,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,53.4,6.1,,,,
Mus,"(Zocchi et al., 2001)",4,none,Sokoloff,52.2,5.2,,,,
Mus,"(Zocchi et al., 2001)",6,none,Sokoloff,39.6,7.2,,,,
