Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,84.0,11.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,67.4,7.2,,,,
Rattus,"(Bryan et al., 1983)",6,none,Sokoloff,88.0,4.9,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,86.0,12.6,,,,
Rattus,"Chang et al., 2001)",8,none,Sokoloff,93.6,22.6,,,,
Rattus,"Crane and Porrino, 1989)",6,none,Sokoloff,103.5,4.0,,,,
Rattus,"Crane and Porrino, 1989)",6,none,Sokoloff,98.5,5.0,,,,
Rattus,"Crosby et al., 1982)",8,none,Sokoloff,77.0,5.7,,,,
Rattus,"Crosby etal., 1984)",5,none,Sokoloff,80.0,13.4,,,,
Rattus,"Crosby etal., 1984)",5,N 20,Sokoloff,98.0,6.7,,,,
Rattus,"Cudennec et al., 1997)",7,none,Sokoloff,102.0,13.2,,,,
Rattus,"Dam etal., 1990)",5,none,Sokoloff,73.0,18.8,,,,
Rattus,"Davis et al., 1986)",10,none,Sokoloff,97.8,17.4,,,,
Rattus,"Duelli et al., 2000)",5,none,Sokoloff,81.5,7.4,,,,
Rattus,"Freedland et al., 2002)",5,none,Sokoloff,116.2,10.5,,,,
Rattus,"Frietsch et al., 2000)",12,none,Sokoloff,71.0,6.0,,,,
Rattus,"Frietsch et al., 2000)",12,Isoflurane,Sokoloff,32.0,7.0,,,,
Rattus,"Furlow etal., 1983)",5,none,Sokoloff,70.0,16.0,,,,
Rattus,"Grome and McCulloch, 1983)",6,none,Sokoloff,83.0,9.5,,,,
Rattus,"Hakim etal., 1983)",7,none,Sokoloff,95.0,16.9,,,,
Rattus,"Hawkins et al., 1979)",19,none,Sokoloff,117.0,21.8,,,,
Rattus,"Flawkins et al., 1985)",9,none,Sokoloff,101.0,10.1,,,,
Rattus,"ingvar and Siesjo, 1982)",6,none,Sokoloff,66.0,4.9,,,,
Rattus,"Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,82.0,15.8,,,,
Rattus,"Sadekaro et al., 1983)",7,none,Sokoloff,82.0,15.9,,,,
Rattus,"katsumata et al., 2001)",5,none,Sokoloff,88.9,12.2,,,,
Rattus,"Knapp et al., 2002)",8,none,Sokoloff,93.9,5.9,,,,
Rattus,"Lu et al., 1983)",10,none,Sokoloff,97.0,9.5,,,,
Rattus,"VlacNeill and Bryan, 1988)",10,none,Sokoloff,77.0,9.5,,,,
Rattus,"Mies et al., 1981)",6,none,Sokoloff,57.6,14.7,,,,
Rattus,"Moore et al., 2000)",6,none,Sokoloff,82.3,17.5,,,,
Rattus,"Vloore et al., 2000)",6,none,Sokoloff,72.7,15.5,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,102.3,7.3,,,,
Rattus,"(Q rietal., 1986)",6,none,Sokoloff,72.0,7.3,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,93.7,6.0,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,71.9,19.1,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,89.0,6.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,90.0,12.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,88.0,13.2,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,100.0,7.3,,,,
Rattus,(,,,Sokoloff,1977,10,104.0,2.0,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,93.5,12.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,98.0,15.7,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,79.5,4.0,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,126.1,13.4,,,,
Rattus,"(Walker etal., 1999)",5,none,Sokoloff,109.1,2.5,,,,
Rattus,"(Lenzetal., 1998)",6,none,Sokoloff,76.0,6.0,,,120.0,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,78.0,14.0,,,141.0,
Rattus,"(Cremer and Seville, 1983)",8,none,Sokoloff,,,,,117.0,
Rattus,"(Dahlgren et al., 1981b)",6,none,Sokoloff,,,,,146.0,
Mus,"(Bouilleret et al., 2000)",4,none,Sokoloff,119.2,10.0,,,,
Mus,"(Ito et al., 1994)",5,none,Sokoloff,96.0,11.2,,,,
Mus,"(Jay etal., 1985)",8,none,Sokoloff,81.0,14.1,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,141.6,12.2,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,143.8,20.8,,,,
Mus,"(Yamaguchi et al., 1992a)",6,none,Sokoloff,64.1,7.5,,,,
