Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Schapiro et al., 1990)",13,none,PET,49.7,8.2,,,,
Homo,"(Tedeschi et al., 1995)",11,none,PET,32.9,2.5,,,,
Homo,"(Tommasino et al., 1995)",10,none,PET,38.2,4.7,,,,
Homo,"(Volkow et al., 1992)",11,none,PET,34.6,4.0,,,,
Homo,"(Wolkin et al., 1988)",8,none,PET,40.9,5.7,,,,
Homo,"(Yoshii et al., 1988)",30,none,PET,44.4,12.8,,,,
Homo,"(Yoshii et al., 1988)",46,none,PET,36.6,8.3,,,,
Homo,Present Study,5,none,PET,38.2,7.6,,,,
Homo,"(De Voider et al., 1997)",3,none,PET,37.3,8.6,150.3,27.3,,
Homo,"(Fukuyama et al., 1994)",9,none,PET,36.1,4.0,105.7,25.7,,
Homo,"(Sasaki et al., 1986)",7,none,PET,35.6,3.9,136.1,18.4,,
Homo,Yamaki 96,20,none,PET,28.3,2.8,120.5,17.9,,
Homo,"(Bums and Tyrrell, 1992)",4,none,PET,,,136.6,2.7,,
Homo,"(Ishii et al., 1996b)",15,none,PET,,,160.3,26.8,,
Homo,"(Ishii et al., 1996b)",14,none,PET,,,158.0,20.5,,
Homo,"(Kaisti et al., 2003)",8,none,PET,,,195.5,20.1,,
Homo,"(Kaisti et al., 2003)",8,Sevoflurane,PET,,,139.3,21.4,,
Homo,"(Langsjo et al., 2003)",10,none,PET,,,160.7,19.6,,
Homo,"(Leenders et al., 1990)",34,none,PET,,,141.5,20.1,,
Homo,"(Lenzi et al., 1981)",27,none,PET,,,185.9,nr,,
Homo,"(Meyer et al., 1987)",3,none,PET,,,123.0,nr,,
Homo,"(Pantano et al., 1984)",18,none,PET,,,174.1,34.4,,
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,125.2,31.3,,
Homo,"(Tohgi et al., 1998)",6,none,PET,,,133.9,17.9,,
Homo,"(Wessen et al., 1997)",6,none,PET,,,209.5,25.0,,
Homo,"(Yamaguchi et al., 1986)",14,none,PET,,,138.2,21.0,,
Homo,"(Yamaguchi et al., 1992a)",10,none,PET,,,133.9,25.5,,
Papio,"(Kiyosawa et al., 1989)",9,Phencylidine,PET,28.3,5.0,,,,
Papio,"(Meguro et al., 1999)",8,Phencylidine,PET,50.4,10.0,,,,
Papio,"(Millien et a l, 2002)",10,Phencylidine,PET,49.4,13.0,,,,
Papio,"(Yamaguchi et al., 1990)",4,Phencylidine,PET,30.0,4.6,,,,
Papio,Present Study,2,N 20,PET,50.2,12.0,,,,
M mulatta,"(Brownell et al., 1994)",2,Ketamine,PET,52.0,3.0,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,34.0,7.5,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,34.1,8.2,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,56.7,7.0,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,54.7,8.0,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,59.0,4.0,,,,
M mulatta,"(Enlund et al., 1997)",4,Ketamine,PET,,,195.0,13.0,,
M fascic,"(Brownell et al., 1994)",1,Ketamine,PET,58.0,2.0,,,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,49.0,1.7,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,70.0,10.0,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,49.0,16.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,43.1,2.9,,,,
Meriones,"(Choki et al., 1983)",6,none,Sokoloff,67.8,15.0,,,,
Rattus,"(Bryan et al., 1983)",6,none,Sokoloff,87.0,12.2,,,,
Rattus,"(Chang et al., 2001)",8,none,Sokoloff,91.0,17.0,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,93.0,5.7,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,111.0,18.5,,,,
Rattus,"(Dam et al., 1990)",5,none,Sokoloff,103.0,22.4,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,87.0,12.6,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,105.0,4.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,90.0,3.0,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,94.0,7.3,,,,
Rattus,"(Fomai and Orzi, 2001)",5,none,Sokoloff,105.0,10.0,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,89.0,6.0,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,34.0,5.0,,,,
Rattus,"(Furlow et al., 1983)",5,none,Sokoloff,83.0,21.0,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,88.0,3.2,,,,
Rattus,"(Hakim etal., 1983)",7,none,Sokoloff,111.0,18.5,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,106.0,21.8,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,94.0,10.5,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,Sokoloff,71.0,9.5,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,67.0,2.4,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,66.0,9.5,,,,
Rattus,"(Kadekaro et al., 1983)",7,none,Sokoloff,108.0,7.9,,,,
Rattus,"(Katsumata et al., 2001)",5,none,Sokoloff,83.9,11.5,,,,
Rattus,"(Knapp et al., 2002)",8,none,Sokoloff,89.2,7.6,,,,
Rattus,"(Lear et al., 1981)",4,none,Sokoloff,108.0,20.0,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,80.0,9.0,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,98.0,6.3,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,77.0,7.0,,,,
Rattus,"(Moore et al., 2000)",6,‘ none,Sokoloff,79.0,9.7,,,,
Rattus,"(Moore et al., 2000)",6,none,Sokoloff,65.1,10.6,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,110.0,12.2,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,83.0,8.9,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,73.6,18.6,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,Sokoloff,87.0,2.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,87.0,13.2,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,111.0,14.7,,,,
Rattus,(,,,Sokoloff,1977,10,,,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,87.5,12.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,109.0,22.4,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,115.9,5.9,,,,
Mus,"(Bouilleret et al., 2000)",4,none,Sokoloff,107.0,10.0,,,,
Mus,"(Jay et al., 1985)",8,none,Sokoloff,89.0,11.3,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,129.0,11.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,127.0,19.0,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,69.6,7.3,,,,
Mus,"(Zocchi et al., 2001)",4,none,Sokoloff,117.0,8.0,,,,
Mus,"(Zocchi et al., 2001)",6,none,Sokoloff,84.0,8.0,,,,
