Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Papio,"(Meguro et al., 1999)",8,Phencyclidine,PET,31.6,5.1,,,,
Papio,"(Millien et al., 2002)",10,Phencyclidine,PET,35.0,10.6,,,,
Papio,"(Yamaguchi et al., 1990)",4,Phencyclidine,PET,23.1,3.4,,,,
Papio,Present Study,2,N 20,PET,33.7,5.1,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,37.5,8.9,,,,
M mulatta,"(Noda et al., 2002)",6,none,PET,39.7,9.4,,,,
M mulatta,"(Palombo et al., 1988)",3,none,Sokoloff,65.0,4.3,,,,
M mulatta,"(Palombo et al., 1990)",4,none,Sokoloff,66.0,4.0,,,,
M mulatta,"(Porrino et al., 1987)",3,none,Sokoloff,63.5,2.0,,,,
M mulatta,"(Enlund et al., 1997)",4,Ketamine,PET,,,247.5,24.0,,
M fascic,"(Lyons et al., 1996)",3,none,Sokoloff,58.0,5.2,,,,
M fascic,"(Schwartzman et al., 1988)",6,none,Sokoloff,60.8,7.3,,,,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,46.0,12.0,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,76.4,19.7,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,58.0,8.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,37.0,4.6,,,,
Meriones,"(Choki et al., 1983)",6,none,Sokoloff,69.4,20.6,,,,
Meriones,"(Choki et al., 1984)",3,N 20,Sokoloff,123.0,38.0,,,,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,97.0,7.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,78.0,4.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,82.6,9.3,,,,
Rattus,"(Bryan et al., 1983)",6,none,Sokoloff,71.0,7.3,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,87.0,6.3,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,98.0,4.0,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,98.0,2.0,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,94.0,8.5,,,,
Rattus,"(Crosby et al., 1984)",5,none,Sokoloff,81.0,8.9,,,,
Rattus,"(Crosby et al., 1984)",5,N 20,Sokoloff,100.0,8.9,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,114.0,13.2,,,,
Rattus,"(Dam et al., 1990)",5,none Sokoldff 92.0 17.9,,,,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,94.0,14.9,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,110.0,14.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,95.6,8.9,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,93.0,9.8,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,84.0,12.0,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,41.0,9.0,,,,
Rattus,"(Furlow et al., 1983)",5,none,Sokoloff,82.0,20.0,,,,
Rattus,"(Hakim et al., 1983)",7,none,Sokoloff,103.0,10.6,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,107.0,21.8,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,96.0,9.9,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,Sokoloff,65.0,9.5,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,69.0,9.8,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,66.0,9.5,,,,
Rattus,"(Lear et al., 1981)",4,none,Sokoloff,122.0,26.0,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,79.0,5.0,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,84.0,9.5,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,95.0,6.3,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,75.0,8.0,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,117.0,14.7,,,,
Rattus,"(Ori et al., 1986)",6,none,Sokoloff,94.0,19.6,,,,
Rattus,"(O rzietal., 1983)",5,none,Sokoloff,98.0,15.7,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,74.3,20.5,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,97.0,9.0,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",,none,Sokoloff,83.3,10.0,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,Sokoloff,76.0,4.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,83.0,10.6,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,116.0,17.1,,,,
Rattus,(,,,Sokoloff,1977,10,,,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,96.2,16.0,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,102.0,17.9,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,114.4,5.0,,,,
Mus,"(Jay etal., 1985)",8,none,Sokoloff,89.0,17.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,124.0,9.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,125.0,15.0,,,,
Mus,1981),4,none,Sokoloff,53.0,10.0,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,70.4,nr,,,,
