Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,Fentanyl,Sokoloff,67.0,2.0,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,73.1,17.4,,,,
Felis,"(Petitjean et al., 1982)",4,none,Sokoloff,45.0,16.0,,,,
Felis,"(Triolo et al., 1990)",6,N 20,Sokoloff,43.9,4.4,,,,
Meriones,"(Choki etal., 1984)",3,N2 0,Sokoloff,107.0,24.0,,,,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,97.0,8.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,89.0,9.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,76.4,10.0,,,,
Rattus,"(Bryan et al., 1983)",6,none,Sokoloff,77.0,7.3,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,90.0,5.7,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,112.0,13.2,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,96.0,12.6,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,110.0,16.0,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,87.0,7.2,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,85.0,8.0,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,39.0,7.0,,,,
Rattus,"(Furlow et al., 1983)",5,none,Sokoloff,76.0,17.0,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,86.0,4.0,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,89.0,12.6,,,,
Rattus,"(Hakim et al., 1983)",7,none,Sokoloff,108.0,23.8,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,123.0,21.8,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,105.0,7.2,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,Sokoloff,69.0,6.3,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,68.0,4.9,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,65.0,9.5,,,,
Rattus,"(Katsumata et al., 2001)",5,none,Sokoloff,90.8,13.3,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,76.0,8.0,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,96.0,9.5,,,,
Rattus,"(Moore et al., 2000)",6,none,Sokoloff,74.9,10.1,,,,
Rattus,"(Moore et al., 2000)",6,none,Sokoloff,61.1,12.4,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,106.0,12.2,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,92.0,13.4,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,73.4,17.9,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,104.0,8.7,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,94.3,16.7,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,Sokoloff,79.0,2.0,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,93.0,15.9,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,97.0,7.3,,,,
Rattus,(,,,Sokoloff,1977,10,110.0,3.0,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,92.8,12.0,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,109.9,4.2,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,109.0,20.1,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,128.0,15.0,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,124.0,14.0,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,71.0,11.8,,,,
