Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Meriones,"(Choki et al., 1984)",3,N 20,Sokoloff,102.00,32.00,,,,
Rattus,"(Bassant et al., 1996)",7,none,PET,96.00,8.00,,,,
Rattus,"(Bassant et al., 1996)",8,none,PET,96.00,13.00,,,,
Rattus,"(Blin et al., 1991)",10,none,PET,74.40,9.20,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,PET,91.00,9.50,,,,
Rattus,"(Chang et al., 2001)",8,none,PET,93.00,22.60,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,PET,95.00,1.00,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,PET,105.00,3.00,,,,
Rattus,"(Crosby et al., 1982)",8,none,PET,97.00,5.70,,,,
Rattus,"(Crosby et al., 1984)",5,none,PET,88.00,4.50,,,,
Rattus,"(Crosby et al., 1984)",5,N 20,PET,95.00,8.90,,,,
Rattus,"(Dam et al., 1990)",5,none,PET,98.00,20.10,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,PET,113.00,4.00,,,,
Rattus,"(Duelli et al., 2000)",5,none,PET,87.80,2.80,,,,
Rattus,"(Eintrei et al., 1999)",6,none,PET,101.00,7.30,,,,
Rattus,"(Fomai and Orzi, 2001)",5,none,PET,84.00,8.00,,,,
Rattus,"(Freedland et al., 2002)",5,none,PET,103.50,11.20,,,,
Rattus,"(Frietsch et al., 2000)",12,none,PET,90.00,6.00,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,PET,33.00,4.00,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,PET,90.00,12.70,,,,
Rattus,"(Hakim et al., 1983)",7,none,PET,116.00,15.90,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,PET,69.00,9.50,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,PET,72.00,2.40,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,PET,64.00,9.50,,,,
Rattus,"(Kadekaro et al., 1983)",7,none,PET,102.00,7.90,,,,
Rattus,"(Katsumata et al., 2001)",5,none,PET,92.80,8.50,,,,
Rattus,"(Knapp et al., 2002)",8,none,PET,96.10,7.60,,,,
Rattus,"(Lenzetal., 1998)",6,none,PET,81.00,10.00,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,PET,95.00,6.30,,,,
Rattus,"(Maekawa et al., 1986)",6,none,PET,80.00,9.00,,,,
Rattus,"(Nehlig et al., 1985)",6,none,PET,112.00,7.30,,,,
Rattus,"(O rietal., 1986)",6,none,PET,89.00,12.20,,,,
Rattus,"(Orzi et al., 1983)",5,none,PET,90.00,15.70,,,,
Rattus,"(Poindessous-Jazat et a l, 1998)",7,none,PET,104.00,9.00,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,PET,94.70,12.00,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,PET,80.00,3.00,,,,
Rattus,"(Savaki et al., 1983)",7,none,PET,95.00,10.60,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,PET,101.00,9.80,,,,
Rattus,(,,,Sokoloff,1977,10,,,,
Rattus,"(Soncrant et al., 1992)",16,none,PET,93.50,12.00,,,,
Rattus,"(Wechsler et al., 1979)",5,none,PET,118.00,17.90,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,PET,93.00,4.00,,,,
Rattus,"(Whitlow et al., 2002)",5,none,PET,101.60,8.90,,,,
Rattus,"(Walker et al., 1999)",5,none,PET,117.70,8.20,,,,
Mus,"(Bouilleret et al., 2000)",4,none,PET,121.00,9.00,,,,
Mus,"(Jay et al., 1985)",8,none,PET,88.00,11.30,,,,
Mus,"(Niwa et al., 2002)",6,none,PET,132.00,14.00,,,,
Mus,"(Niwa et al., 2002)",6,none,PET,129.00,20.00,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,PET,82.10,9.80,,,,
Mus,"(Zocchi et a l, 2001)",4,none,PET,86.00,4.00,,,,
Mus,"(Zocchi et al., 2001)",6,none,PET,65.00,6.00,,,,
