"Species","Reference","n","Anesthesia","Mode","Region","CMRgl_umol_100g_min","CMRgl_SD","CMRO2_umol_100g_min","CMRO2_SD","CBF_ml_100g_min","CBF_SD","source"
"M fascic","(Lyons et al., 1996)",3,"none","Sokoloff","Cingulate Cortex",44.6,3.5,NA,NA,NA,NA,"Kaufman__2004"
"Felis","(Petitjean et al., 1982)",4,"none","Sokoloff","Cingulate Cortex",47,10,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bassant et al., 1996)",7,"none","Sokoloff","Cingulate Cortex",102,11,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bassant et al., 1996)",8,"none","Sokoloff","Cingulate Cortex",96,11,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Blin et al., 1991)",10,"none","Sokoloff","Cingulate Cortex",83,8.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bryan et al., 1983)",6,"none","Sokoloff","Cingulate Cortex",89,9.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Bryan and Lehman, 1988)",10,"none","Sokoloff","Cingulate Cortex",91,6.3,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Chang et al., 2001)",8,"none","Sokoloff","Cingulate Cortex",92,19.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Crane and Porrino, 1989)",6,"none","Sokoloff","Cingulate Cortex",106,3.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Crosby et al., 1982)",8,"none","Sokoloff","Cingulate Cortex",73,19.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Cudennec et al., 1997)",7,"none","Sokoloff","Cingulate Cortex",122,7.9,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Dam et al., 1990)",5,"none","Sokoloff","Cingulate Cortex",83.5,15.7,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Davis et al., 1986)",10,"none","Sokoloff","Cingulate Cortex",98,16.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Duelli et a l, 2000)",5,"none","Sokoloff","Cingulate Cortex",81.6,5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Eintrei et al., 1999)",6,"none","Sokoloff","Cingulate Cortex",119,9.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Fomai and Orzi, 2001)",5,"none","Sokoloff","Cingulate Cortex",88,8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Freedland et al., 2002)",5,"none","Sokoloff","Cingulate Cortex",116.2,8.9,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Grome and McCulloch, 1983)",6,"none","Sokoloff","Cingulate Cortex",91,9.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Hawkins et al., 1979)",19,"none","Sokoloff","Cingulate Cortex",118,21.8,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Hawkins e ta l, 1985)",9,"none","Sokoloff","Cingulate Cortex",105,7.2,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Ingvar and Siesjo, 1982)",6,"none","Sokoloff","Cingulate Cortex",63,4.9,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Ingvar and Siesjo, 1982)",10,"N 20","Sokoloff","Cingulate Cortex",64,9.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Knapp et al., 2002)",8,"none","Sokoloff","Cingulate Cortex",105.6,13,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Lenz et al., 1998)",6,"none","Sokoloff","Cingulate Cortex",86,14,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Lu et al., 1983)",10,"none","Sokoloff","Cingulate Cortex",96,9.5,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Nehlig et al., 1985)",6,"none","Sokoloff","Cingulate Cortex",113,14.7,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Orzi et al., 1983)",5,"none","Sokoloff","Cingulate Cortex",100,13.4,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Poindessous-Jazat et al., 1998)",7,"none","Sokoloff","Cingulate Cortex",104,10,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Poindessous-Jazat et al., 1998)",5,"none","Sokoloff","Cingulate Cortex",89,13,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Savaki et al., 1983)",7,"none","Sokoloff","Cingulate Cortex",95,13.3,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Schwartz and Crosby, 1985)",6,"none","Sokoloff","Cingulate Cortex",105,7.3,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Soncrant et al., 1992)",16,"none","Sokoloff","Cingulate Cortex",94.5,16,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Grome and McCulloch, 1981)",16,"none","Sokoloff","Cingulate Cortex",87,7,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Whitlow et al., 2002)",5,"none","Sokoloff","Cingulate Cortex",119,11.2,NA,NA,NA,NA,"Kaufman__2004"
"Rattus","(Walker et al., 1999)",5,"none","Sokoloff","Cingulate Cortex",120.7,7.7,NA,NA,NA,NA,"Kaufman__2004"
"Mus","(Jay et al., 1985)",8,"none","Sokoloff","Cingulate Cortex",96,17,NA,NA,NA,NA,"Kaufman__2004"
"Mus","(Zocchi et al., 2001)",4,"none","Sokoloff","Cingulate Cortex",93,4,NA,NA,NA,NA,"Kaufman__2004"
"Mus","(Zocchi et a l, 2001)",6,"none","Sokoloff","Cingulate Cortex",60,6,NA,NA,NA,NA,"Kaufman__2004"
