Species,Reference,n,Anesthesia,Mode,Glucose,Glucose_SD,Oxygen,Oxygen_SD,BloodFlow,BloodFlow_SD
Homo,"(Perlmutter et al., 1987)",32,none,PET,,,122.0,30.6,,
Homo,"(Tohgi et al., 1998)",6,none,PET,,,145.1,20.1,,
Homo,"(Wessen et al., 1997)",6,none,PET,,,211.4,33.4,,
Papio,"(MacKenzie et al., 1976)",6,"Phencyclidine, N 20",Kety-Schmidt,33.1,nr,145.0,nr,52.3,
Papio,Present Study,2,N 20,PET,49.0,6.4,,,,
M mulatta,"(Cross et al., 2000)",6,none,PET,37.2,7.9,,,,
M mulatta,"(Palombo et al., 1991)",4,none,PET,51.1,3.0,,,,
M mulatta,"(Enlund et al., 1997)",4,"Ketamine, N 20",PET,,,218.9,23.5,58.5,10.4
M mulatta,"(Noda et al., 2002)",6,none,PET,,,,,53.0,7.5
M fascic,"(Kennedy et al., 1978)",7,none,Sokoloff,55.8,3.0,,,,
M fascic,"(Kuge et al., 2001)",4,"Sevoflurane, N 20",PET,,,,,34.0,
Saimiri,"(Delgado-Zygmunt et al., 1993)",4,"Fentanyl, N 20",Sokoloff,,,,,114.0,
Sus,"(Miller et al., 1987)",4,Pentobarbital,Microspheres,,,,,29.0,5.0
Sus,"(Manohar, 1986)",6,342.0 20.1 108.2 6.3,,,,,,,
Sus,"(Manohar, 1986)",6,Sevoflurane 171.9 7.6 68.4 3.5,,,,,,,
Sus,"(Manohar, 1986)",6,Sevoflurane 162.5 19.2 77.7 8.7,,,,,,,
Lepus,"(Passero et al., 1981)",5,none,Sokoloff,77.4,8.0,,,,
Lepus,"(Drummond et al., 1986)",12,Morphine 55.0 12.0,,,,,,,
Lepus,"(Kaieda et al., 1989)",8,Halothane 69.0 23.0,,,,,,,
Lepus,"(Kaieda et al., 1989)",8,Isoflurane 41.0 16.0,,,,,,,
Felis,Hovda,7,none,Sokoloff,77.6,12.4,,,,
Felis,Petitjean 82,4,none,Sokoloff,47.0,11.8,,,,
Felis,Triolo 90,6,N20,Sokoloff,40.8,4.2,,,,
Gerbil,"(Mies et al., 1984)",2,none,Sokoloff,97.4,8.0,,,135.6,
Gerbil,"(Paschen et al., 1992)",5,none,Sokoloff,70.0,nr,,,90.0,
Gerbil,"(Suzuki et al., 1983)",7,Halothane,Sokoloff,,,,,137.0,
Gerbil,"(Mies et al., 1990)",4,Halothane,Sokoloff,,,,,131.5,
Rattus,"(Bassant et al., 1996)",7,none,Sokoloff,98.2,8.0,,,,
Rattus,"(Bassant et al., 1996)",8,none,Sokoloff,87.2,9.0,,,,
Rattus,"(Blin et al., 1991)",10,none,Sokoloff,79.4,9.6,,,,
Rattus,"(Borgstrom et al., 1976)",7,none,Sokoloff,77.0,15.9,,,,
Rattus,"(Bryan etal., 1983)",6,none,Sokoloff,81.0,9.3,,,,
Rattus,"(Bryan and Lehman, 1988)",10,none,Sokoloff,92.5,7.9,,,,
Rattus,"(Chang et al., 2001)",8,none,Sokoloff,96.0,21.5,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,115.3,2.0,,,,
Rattus,"(Crane and Porrino, 1989)",6,none,Sokoloff,111.6,3.6,,,,
Rattus,"(Crosby et al., 1982)",8,none,Sokoloff,95.8,9.3,,,,
Rattus,"(Crosby et al., 1984)",5,none,Sokoloff,96.7,7.4,,,,
Rattus,"(Crosby et al., 1984)",5,N20,Sokoloff,103.3,9.6,,,,
Rattus,"(Cudennec et al., 1997)",7,none,Sokoloff,123.8,15.3,,,,
Rattus,"(Dam etal., 1990)",5,none,Sokoloff,99.0,18.3,,,,
Rattus,"(Davis et al., 1986)",10,none,Sokoloff,93.8,14.2,,,,
Rattus,"(Dow-Edwards et al., 1986)",4,none,Sokoloff,120.8,11.6,,,,
Rattus,"(Duelli et al., 2000)",5,none,Sokoloff,91.1,6.2,,,,
Rattus,"(Eintrei et al., 1999)",6,none,Sokoloff,106.0,9.1,,,,
Rattus,"(Fomai and Orzi, 2001)",5,none,Sokoloff,89.9,9.4,,,,
Rattus,"(Freedland et al., 2002)",5,none,Sokoloff,120.0,10.5,,,,
Rattus,"(Frietsch et al., 2000)",12,none,Sokoloff,95.8,10.8,,,,
Rattus,"(Frietsch et al., 2000)",12,Isoflurane,Sokoloff,38.8,6.2,,,,
Rattus,"(Furlow et al., 1983)",5,none,Sokoloff,80.3,19.3,,,,
Rattus,"(Grome and McCulloch, 1983)",6,none,Sokoloff,96.8,10.4,,,,
Rattus,"(Hakim et al., 1983)",7,none,Sokoloff,122.2,18.5,,,,
Rattus,"(Hawkins et al., 1979)",19,none,Sokoloff,113.5,21.8,,,,
Rattus,"(Hawkins et al., 1985)",9,none,Sokoloff,100.0,8.7,,,,
Rattus,"(Ingvar et al., 1980)",10,N 20,Sokoloff,72.6,9.5,,,,
Rattus,"(Ingvar and Siesjo, 1982)",6,none,Sokoloff,70.2,5.4,,,,
Rattus,"(Ingvar and Siesjo, 1982)",10,N 20,Sokoloff,69.3,10.1,,,,
Rattus,"(Kadekaro et al., 1983)",7,none,Sokoloff,112.0,8.7,,,,
Rattus,"(Katsumata et al., 2001)",5,none,Sokoloff,89.2,11.1,,,,
Rattus,"(Knapp et al., 2002)",8,none,Sokoloff,97.0,,,,,
Rattus,"(Lenz et al., 1998)",6,none,Sokoloff,85.8,9.3,,,,
Rattus,"(Lu et al., 1983)",10,none,Sokoloff,93.5,8.9,,,,
Rattus,"(MacNeill and Bryan, 1988)",10,none,Sokoloff,98.0,7.3,,,,
Rattus,"(Maekawa et al., 1986)",6,none,Sokoloff,81.5,8.5,,,,
Rattus,"(Moore et al., 2000)",6,none,PET,77.0,9.9,,,,
Rattus,"(Moore et al., 2000)",6,none,PET,63.1,11.5,,,,
Rattus,"(Nehlig et al., 1985)",6,none,Sokoloff,118.7,13.0,,,,
Rattus,"(O rietal., 1986)",6,none,Sokoloff,96.8,12.2,,,,
Rattus,"(Orzi et al., 1983)",5,none,Sokoloff,99.5,14.1,,,,
Rattus,"(Otori et al., 2003)",6,none,Sokoloff,75.4,20.2,,,,
Rattus,"(Ouchi et al., 1996)",5,Pentobarbital,PET,65.7,1.1,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",7,none,Sokoloff,103.1,8.3,,,,
Rattus,"(Poindessous-Jazat et al., 1998)",5,none,Sokoloff,91.0,13.1,,,,
Rattus,"(Sakurada et al., 1978)",5,N 20,Sokoloff,86.4,3.4,,,,
Rattus,"(Savaki et al., 1983)",7,none,Sokoloff,91.4,13.0,,,,
Rattus,"(Schwartz and Crosby, 1985)",6,none,Sokoloff,115.3,14.5,,,,
Rattus,(,,,Sokoloff,1977,10,124.4,3.6,,
Rattus,"(Soncrant et al., 1992)",16,none,Sokoloff,93.5,13.6,,,,
Rattus,"(Wechsler et al., 1979)",5,none,Sokoloff,124.0,20.8,,,,
Rattus,"(Grome and McCulloch, 1981)",16,none,Sokoloff,98.3,5.8,,,,
Rattus,"(Whitlow et al., 2002)",5,none,Sokoloff,123.0,7.4,,,,
Rattus,"(Walker et al., 1999)",5,none,Sokoloff,117.9,6.1,,,,
Rattus,"(Lear et al., 1981)",4,none,Sokoloff,115.0,23.0,,,124.5,26.0
Rattus,"(Mies et al., 1981)",6,Halothane,Sokoloff,67.2,5.1,,,77.5,4.7
Rattus,"(Baughman et al., 1990)",20,none,Kety-Schmidt,,,464.3,93.8,130.5,53.7
Rattus,"(Gjedde et al., 1977)",10,N 20,Kety-Schmidt,,,263.4,26.8,145.0,10.0
Rattus,"(Naughton et al., 1985)",7,N 20,Kety-Schmidt,,,452.2,8.9,170.0,4.0
Rattus,"(Norberg and Siesjo, 1974)",6,N 20,Kety-Schmidt,,,455.4,32.6,100.0,7.3
Rattus,"(Cremer and Seville, 1983)",8,none,Kety-Schmidt,,,,,193.8,36.8
Mus,"(Bouilleret et al., 2000)",4,none,Sokoloff,116.7,10.3,,,,
Mus,"(Ito et al., 1994)",5,none,Sokoloff,94.0,13.4,,,,
Mus,"(Jay et al., 1985)",8,none,Sokoloff,92.6,13.6,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,132.8,11.6,,,,
Mus,"(Niwa et al., 2002)",6,none,Sokoloff,130.2,17.0,,,,
Mus,"(Nowaczyk and Des Rosiers, 1981)",4,none,Sokoloff,63.0,11.0,,,,
Mus,"(Yamaguchi et al., 1992b)",6,none,Sokoloff,74.2,9.1,,,,
Mus,"(Zocchi et al., 2001)",4,none,Sokoloff,88.8,5.6,,,,
Mus,"(Zocchi et al., 2001)",6,none,Sokoloff,65.0,6.2,,,,
