Species,Species_printed,Standardized_Term,Value,Units,source,team,ref,species_confidence,dependency_group
Saimiri sciureus,Saimiri sciureus,Sleep_h_day,9.11,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Macaca mulatta,Macaca mulatta,Sleep_h_day,8.74,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Macaca radiata,Macaca radiata,Sleep_h_day,9.02,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Papio cynocephalus,Papio cynocephalus,Sleep_h_day,6.19,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Homo sapiens,Homo sapiens,Sleep_h_day,8.47,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Blarina brevicauda,Blarina brevicauda,Sleep_h_day,14.9,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Condylura cristata,Condylura cristata,Sleep_h_day,10.32,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Erinaceus europaeus,Erinaceus europaeus,Sleep_h_day,13.96,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Scalopus aquaticus,Scalopus aquaticus,Sleep_h_day,8.45,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Cavia porcellus,Cavia porcellus,Sleep_h_day,9.37,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Mesocricetus auratus,Mesocricetus auratus,Sleep_h_day,14.98,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Mus musculus,Mus musculus,Sleep_h_day,11.6,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Oryctolagus cuniculus,Oryctolagus cuniculus,Sleep_h_day,9.55,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Rattus norvegicus,Rattus norvegicus,Sleep_h_day,12.27,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Dendrohyrax sp.,Dendrohyrax sp.,Sleep_h_day,5.4,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Loxodonta africana,Loxodonta Africana,Sleep_h_day,3.3,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Procavia sp.,Procavia sp.,Sleep_h_day,5.45,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Bos taurus,Bos taurus,Sleep_h_day,3.19,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Giraffa camelopardalis,Giraffa camelopardalis,Sleep_h_day,3.44,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Sus scrofa,Sus scrofa,Sleep_h_day,8.2,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Tupaia sp.,Tupaia sp.,Sleep_h_day,15.84,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
