"script","status","error","start_time","end_time","elapsed_seconds"
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Bauernfeind_etal_2013/Bauernfeind_etal_2013_Table1.R","FAILED","Error: `path` does not exist: ‘Bauernfeind_etal_2013_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:09:58.635127","2026-06-26 12:09:59.203483",0.568356037139893
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Bauernfeind_etal_2013/comparison/Bauernfeind_etal_2013_Table1_compare_to_Bauernfeind_2013_csv.R","FAILED","Error: `path` does not exist: ‘../Bauernfeind_etal_2013_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:09:59.20746","2026-06-26 12:09:59.757312",0.549852132797241
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/deSousa_etal_2010/deSousa_etal_2010_Table1.R","FAILED","Error: `path` does not exist: ‘deSousa_etal_2010_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:09:59.761899","2026-06-26 12:10:00.307278",0.545378923416138
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/deSousa_etal_2013/deSousa_etal_2013_Table1.R","FAILED","Error: `path` does not exist: ‘deSousa_etal_2013_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:10:00.312406","2026-06-26 12:10:00.837868",0.525461912155151
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_etal_1982/comparison/Frahm_etal_1982_Table2_compare_to_Frahm_1982_csv.R","FAILED","Error: `path` does not exist: ‘../Frahm_etal_1982_Table2_snapshot.xlsx’
Execution halted","2026-06-26 12:10:00.842445","2026-06-26 12:10:01.435369",0.592924118041992
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_etal_1982/Frahm_etal_1982_Table2.R","FAILED","Error: `path` does not exist: ‘Frahm_etal_1982_Table2_snapshot.xlsx’
Execution halted","2026-06-26 12:10:01.441483","2026-06-26 12:10:01.995287",0.55380392074585
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_etal_1984/Frahm_etal_1984_Table1.R","FAILED","Error: `path` does not exist: ‘Frahm_etal_1984_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:10:02.006334","2026-06-26 12:10:02.526683",0.520349025726318
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_etal_1997/Frahm_etal_1997_Table1.R","FAILED","Error: `path` does not exist: ‘Frahm_etal_1997_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:10:02.530522","2026-06-26 12:10:03.091452",0.560929775238037
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_etal_1998/Frahm_etal_1998_Table1.R","FAILED","Error: `path` does not exist: ‘Frahm_etal_1998_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:10:03.09683","2026-06-26 12:10:03.638505",0.541675090789795
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/_setwd_backup/_setwd_backup/Frahm_Zilles_1994/comparison/Frahm_Zilles_1994_Table1_compare_to_Frahm_1994_csv.R","FAILED","Error: `path` does not exist: ‘../Frahm_Zilles_1994_Table1_snapshot.xlsx’
Execution halted","2026-06-26 12:10:03.641157","2026-06-26 12:10:04.194028",0.552870988845825
