Species,Region,Measure,Units,Value,n_studies,Compilations,Volume_term
Homo sapiens,Thalamus,CMRO2,umol/100g/min,177.311,9,Kaufman_2004,Thalamus_Vol.mm3
Homo sapiens,Thalamus,CMRgl,umol/100g/min,36.141,34,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Homo sapiens,Thalamus_medial_nucleus,CMRgl,umol/100g/min,36.6,1,Heiss_etal_2004,NA
Homo sapiens,Vermis,CMRgl,umol/100g/min,30.1,1,Heiss_etal_2004,NA
Homo sapiens,Visual_cortex,CMRgl,umol/100g/min,38,2,Karbowski_2007,NA
Homo sapiens,White_matter,CBF,mL/100g/min,23.073,11,Kaufman_2004,NA
Homo sapiens,White_matter,CMRO2,umol/100g/min,74.8,10,Kaufman_2004,NA
Homo sapiens,White_matter,CMRgl,umol/100g/min,19.146,13,Kaufman_2004,NA
Homo sapiens,Whole_brain,CBF,mL/100g/min,52.287,35,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRO2,umol/100g/min,155.383,37,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Homo sapiens,Whole_brain,CMRgl,umol/100g/min,29.13,24,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Lepus sp.,Basal_ganglia,CMRgl,umol/100g/min,58.7,1,Kaufman_2004,NA
Lepus sp.,Hippocampus,CMRgl,umol/100g/min,58.1,1,Kaufman_2004,Hippocampus_Vol.mm3
Lepus sp.,Neocortex,CMRgl,umol/100g/min,77.4,1,Kaufman_2004,Neocortex_Vol.mm3
Lepus sp.,Occipital_cortex,CMRgl,umol/100g/min,76.4,1,Kaufman_2004,NA
Lepus sp.,Parietal_cortex,CMRgl,umol/100g/min,73.1,1,Kaufman_2004,NA
Lepus sp.,Sensorimotor_cortex,CMRgl,umol/100g/min,82.65,1,Kaufman_2004,NA
Lepus sp.,Thalamus,CMRgl,umol/100g/min,89.7,1,Kaufman_2004,Thalamus_Vol.mm3
Lepus sp.,White_matter,CMRgl,umol/100g/min,26.1,1,Kaufman_2004,NA
Macaca fascicularis,Basal_ganglia,CMRgl,umol/100g/min,45.375,4,Kaufman_2004,NA
Macaca fascicularis,Cerebellum,CMRgl,umol/100g/min,36,1,Kaufman_2004,Cerebellum_Vol.mm3
Macaca fascicularis,Cingulate_cortex,CMRgl,umol/100g/min,54.2,2,Kaufman_2004,NA
Macaca fascicularis,Frontal_cortex,CMRgl,umol/100g/min,49,1,Kaufman_2004,NA
Macaca fascicularis,Hippocampus,CMRgl,umol/100g/min,34.5,2,Kaufman_2004,Hippocampus_Vol.mm3
Macaca fascicularis,Neocortex,CMRgl,umol/100g/min,55.8,1,Kaufman_2004,Neocortex_Vol.mm3
Macaca fascicularis,Occipital_cortex,CMRgl,umol/100g/min,59.4,2,Kaufman_2004,NA
Macaca fascicularis,Parietal_cortex,CMRgl,umol/100g/min,48.3,1,Kaufman_2004,NA
Macaca fascicularis,Sensorimotor_cortex,CMRgl,umol/100g/min,56.55,3,Kaufman_2004,NA
Macaca fascicularis,Temporal_cortex,CMRgl,umol/100g/min,38,1,Kaufman_2004,NA
Macaca fascicularis,Thalamus,CMRgl,umol/100g/min,46.45,4,Kaufman_2004,Thalamus_Vol.mm3
Macaca fascicularis,White_matter,CMRgl,umol/100g/min,15.25,2,Kaufman_2004,NA
Macaca fascicularis,Whole_brain,CBF,mL/100g/min,43,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Macaca fascicularis,Whole_brain,CMRO2,umol/100g/min,136.16,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Macaca fascicularis,Whole_brain,CMRgl,umol/100g/min,31.64,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Macaca mulatta,Amygdala,CMRgl,umol/100g/min,32,3,Karbowski_2007,Amygdala_Vol.mm3
Macaca mulatta,Basal_ganglia,CBF,mL/100g/min,60.5,1,Kaufman_2004,NA
Macaca mulatta,Basal_ganglia,CMRO2,umol/100g/min,255,1,Kaufman_2004,NA
Macaca mulatta,Basal_ganglia,CMRgl,umol/100g/min,43.8,5,Kaufman_2004,NA
Macaca mulatta,Brain_stem,CMRgl,umol/100g/min,85.75,2,Karbowski_2007,NA
Macaca mulatta,Caudate_nucleus,CMRgl,umol/100g/min,54.333,3,Karbowski_2007,NA
Macaca mulatta,Cerebellum,CBF,mL/100g/min,47.8,1,Kaufman_2004,Cerebellum_Vol.mm3
Macaca mulatta,Cerebellum,CMRgl,umol/100g/min,28.433,6,Karbowski_2007; Kaufman_2004,Cerebellum_Vol.mm3
Macaca mulatta,Cingulate_cortex,CMRgl,umol/100g/min,38.48,5,Kaufman_2004,NA
Macaca mulatta,Frontal_cortex,CMRgl,umol/100g/min,47.7,5,Kaufman_2004,NA
Macaca mulatta,Hippocampus,CBF,mL/100g/min,53.9,1,Kaufman_2004,Hippocampus_Vol.mm3
Macaca mulatta,Hippocampus,CMRgl,umol/100g/min,35.1,7,Karbowski_2007; Kaufman_2004,Hippocampus_Vol.mm3
Macaca mulatta,Hypothalamus,CMRgl,umol/100g/min,42.833,3,Karbowski_2007,NA
Macaca mulatta,Neocortex,CBF,mL/100g/min,53,1,Kaufman_2004,Neocortex_Vol.mm3
Macaca mulatta,Neocortex,CMRgl,umol/100g/min,46.043,7,Karbowski_2007; Kaufman_2004,Neocortex_Vol.mm3
Macaca mulatta,Occipital_cortex,CMRgl,umol/100g/min,54.34,5,Kaufman_2004,NA
Macaca mulatta,Pallidum,CMRgl,umol/100g/min,28,3,Karbowski_2007,Pallidum_Vol.mm3
Macaca mulatta,Parietal_cortex,CMRgl,umol/100g/min,42.1,2,Karbowski_2007; Kaufman_2004,NA
Macaca mulatta,Prefrontal_cortex,CMRgl,umol/100g/min,40,1,Karbowski_2007,NA
Macaca mulatta,Sensorimotor_cortex,CMRgl,umol/100g/min,46,4,Karbowski_2007; Kaufman_2004,NA
Macaca mulatta,Septum,CMRgl,umol/100g/min,27.667,3,Karbowski_2007,NA
Macaca mulatta,Substantia_nigra,CMRgl,umol/100g/min,36.667,3,Karbowski_2007,NA
Macaca mulatta,Temporal_cortex,CMRgl,umol/100g/min,47.55,4,Karbowski_2007; Kaufman_2004,NA
Macaca mulatta,Thalamus,CMRgl,umol/100g/min,44.312,8,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Macaca mulatta,Visual_cortex,CMRgl,umol/100g/min,62.5,2,Karbowski_2007,NA
