Species,Species_printed,Compilation,Table,Region,Region_raw,Measure,Value,SD,n,Units,conscious,ref_raw,ref_keys_str
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,155.4,NA,34,umol/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,210,NA,27,umol/100g/min,conscious,"(Lenzi et al., 1981)",lenzi1981
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,170,NA,3,umol/100g/min,conscious,"(Meyer et al., 1987)",meyer1987
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,227.7,NA,18,umol/100g/min,conscious,"(Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,113.4,NA,32,umol/100g/min,conscious,"(Perlmutter et al., 1987)",perlmutter1987
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,151.8,NA,6,umol/100g/min,conscious,"(Tohgi et al., 1998)",tohgi1998
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,210,NA,6,umol/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,162.5,NA,14,umol/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,159.8,NA,10,umol/100g/min,conscious,"(Yamaguchi et al., 1992a)",yamaguchi1992
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,115.5,NA,9,umol/100g/min,conscious,"(Fukuyama et al., 1994)",fukuyama1994
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,164.3,NA,7,umol/100g/min,conscious,"(Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,133.9,NA,20,umol/100g/min,conscious,"(Yamaki et al., 1996)",yamaki1996
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,136.2,NA,4,umol/100g/min,conscious,"(Bums and Tyrrell, 1992)",bums1992
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,155.8,NA,15,umol/100g/min,conscious,"(Ishii et al., 1996b)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,155.4,NA,14,umol/100g/min,conscious,"(Ishii et al., 1996a)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,205.4,NA,8,umol/100g/min,conscious,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,141.5,NA,8,umol/100g/min,anesthetized,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,168.8,NA,10,umol/100g/min,conscious,"(Langsjo et al., 2003)",langsjo2003
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,124.1,NA,34,umol/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,171.7,NA,27,umol/100g/min,conscious,"(Lenzi et al., 1981)",lenzi1981
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,167,NA,3,umol/100g/min,conscious,"(Meyer et al., 1987)",meyer1987
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,129.5,NA,32,umol/100g/min,conscious,"(Perlmutter et al., 2987)",perlmutterNA
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,147.3,NA,6,umol/100g/min,conscious,"(Tohgi et al., 1998)",tohgi1998
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,213,NA,6,umol/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,155.8,NA,14,umol/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,140.6,NA,10,umol/100g/min,conscious,"(Yamaguchi et al., 1992a)",yamaguchi1992
Homo sapiens,Homo,Kaufman_2004,TableA12,Sensorimotor_cortex,Sensorimotor Cortex,CMRO2,111.36,NA,9,umol/100g/min,conscious,"(Fukuyama et al., 1994)",fukuyama1994
Homo sapiens,Homo,Kaufman_2004,TableA12,Sensorimotor_cortex,Sensorimotor Cortex,CMRO2,151.79,NA,15,umol/100g/min,conscious,"(Ishii et al., 1996b)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA12,Sensorimotor_cortex,Sensorimotor Cortex,CMRO2,199.78,NA,27,umol/100g/min,conscious,"(Lenzi et al., 1981)",lenzi1981
Homo sapiens,Homo,Kaufman_2004,TableA12,Sensorimotor_cortex,Sensorimotor Cortex,CMRO2,156.25,NA,18,umol/100g/min,conscious,"(Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA12,Sensorimotor_cortex,Sensorimotor Cortex,CMRO2,122.99,NA,32,umol/100g/min,conscious,"(Perlmutter et al., 1987)",perlmutter1987
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,153.3,NA,3,umol/100g/min,conscious,"(De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,117.7,NA,9,umol/100g/min,conscious,"(Fukuyama et al., 1994)",fukuyama1994
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,161.9,NA,7,umol/100g/min,conscious,"(Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,129.5,NA,20,umol/100g/min,conscious,"(Yamaki et al., 1996)",yamaki1996
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,139.7,NA,4,umol/100g/min,conscious,"(Bums and Tyrrell, 1992)",bums1992
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,169.2,NA,15,umol/100g/min,conscious,"(Ishii et al., 1996a)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,141.5,NA,14,umol/100g/min,conscious,"(Ishii et al., 1996b)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,193.3,NA,8,umol/100g/min,conscious,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,143.3,NA,8,umol/100g/min,anesthetized,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,167.4,NA,10,umol/100g/min,conscious,"(Langsjo et al., 2003)",langsjo2003
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,129,NA,32,umol/100g/min,conscious,"(Perlmutter et al., 1987)",perlmutter1987
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,147.3,NA,6,umol/100g/min,conscious,"(Tohgi et al., 1998)",tohgi1998
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,213,NA,6,umol/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,151.8,NA,14,umol/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,157.1,NA,10,umol/100g/min,conscious,"(Yamaguchi et al., 1992a)",yamaguchi1992
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,176.7,NA,3,umol/100g/min,conscious,"De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,148.1,NA,7,umol/100g/min,conscious,"Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,251.3,NA,8,umol/100g/min,conscious,"Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,148.2,NA,8,umol/100g/min,anesthetized,"Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,156.3,NA,18,umol/100g/min,conscious,"Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,120.5,NA,32,umol/100g/min,conscious,"Perlmutter et al., 1987)",perlmutter1987
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,205,NA,6,umol/100g/min,conscious,"W essenetal., 1997)",w1997
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,163.8,NA,14,umol/100g/min,conscious,"Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,170.5,NA,4,umol/100g/min,conscious,"Bums and Tyrrell, 1992)",bums1992
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CMRO2,203.6,NA,10,umol/100g/min,conscious,"Langsjo et al., 2003)",langsjo2003
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,85.3,NA,7,umol/100g/min,conscious,"(Hatazawa et al., 1988)",hatazawa1988
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,64.6,NA,7,umol/100g/min,conscious,"(Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,89.3,NA,20,umol/100g/min,conscious,"(Yamaki et al., 1996)",yamaki1996
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,63.8,NA,34,umol/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,82.1,NA,27,umol/100g/min,conscious,"(Lenzi et al., 1981)",lenzi1981
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,84.8,NA,18,umol/100g/min,conscious,"(Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,62.5,NA,6,umol/100g/min,conscious,"(Tohgi et al., 1998)",tohgi1998
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,66,NA,6,umol/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,68.8,NA,14,umol/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,80.8,NA,7,umol/100g/min,conscious,"(Frackowiak et al., 1988)",frackowiak1988
Homo sapiens,human,Karbowski_2007,TableS1,Whole_brain,Brain,CMRO2,3.5000000000000004,0.5,NA,umol/100g/min,unknown,Clarke et al 1994; Madsen et al 1991,clarke1994;madsen1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,147,NA,25,umol/100g/min,conscious,"(Kuhl et al., 1982)",kuhl1982
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,147.3,NA,6,umol/100g/min,conscious,"(Bednarczyk et al., 1992)",bednarczyk1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,152.7,NA,7,umol/100g/min,conscious,"(Blomqvist et al., 1990)",blomqvist1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,125,NA,10,umol/100g/min,anesthetized,"(Cohen et al., 1964)",cohen1964
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,134.82,NA,9,umol/100g/min,conscious,"(Cohen et al., 1967)",cohen1967
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,156.7,NA,15,umol/100g/min,conscious,"(Dastur, 1985)",dastur1985
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,158.04,NA,15,umol/100g/min,conscious,"(Hoyer et al., 1984)",hoyer1984
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,144.2,NA,6,umol/100g/min,conscious,"(Jobes et al., 1977)",jobes1977
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,142.5,NA,8,umol/100g/min,conscious,"(Madsen et al., 1995)",madsen1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,147.3,NA,9,umol/100g/min,conscious,"(Mielck et al., 1998)",mielck1998
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,71.4,NA,9,umol/100g/min,anesthetized,"(Mielck et al., 1998)",mielck1998
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,136.74,NA,7,umol/100g/min,conscious,"(Ogawaetal., 1996)",ogawaetal1996
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,154,NA,4,umol/100g/min,conscious,"(Redies et al., 1989)",redies1989
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,169.2,NA,20,umol/100g/min,conscious,"(Scheinberg and Stead, 1949)",scheinberg1949
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,93.8,NA,9,umol/100g/min,anesthetized,"(Felding et al., 1995)",felding1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,201.79,NA,11,umol/100g/min,conscious,"(Frackowiak et al., 1980)",frackowiak1980
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,142.86,NA,8,umol/100g/min,conscious,"(Jakobsen et al., 1990)",jakobsen1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,117.86,NA,20,umol/100g/min,conscious,"(Carpenter et al., 1991)",carpenter1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,156.7,NA,10,umol/100g/min,conscious,"(Lassen and Munck, 1955)",lassen1955
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,145.98,NA,10,umol/100g/min,conscious,"(Lassen and Munck, 1955)",lassen1955
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,151.8,NA,8,umol/100g/min,conscious,"(Madsen et al., 1990b)",madsen1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,156.25,NA,11,umol/100g/min,conscious,"(Madsen et al., 1991b)",madsen1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,121.88,NA,9,umol/100g/min,conscious,"(Madsen et al., 1991a)",madsen1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,171.43,NA,10,umol/100g/min,conscious,"(Madsen et al., 1992)",madsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,162.05,NA,12,umol/100g/min,conscious,"(Madsen et al., 1993)",madsen1993
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,165,NA,3,umol/100g/min,conscious,"(Meyer et al., 1987)",meyer1987
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,191.96,NA,7,umol/100g/min,conscious,"(Mintun et al., 2002)",mintun2002
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,162.9,NA,19,umol/100g/min,conscious,"(Olsen etal., 1992a)",olsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,174.1,NA,8,umol/100g/min,conscious,"(Olsen et al., 1992b)",olsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,161.16,NA,8,umol/100g/min,conscious,"(Olsen etal., 1993)",olsen1993
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,129.5,NA,8,umol/100g/min,conscious,"(Olsen etal., 1995)",olsen1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,138.84,NA,7,umol/100g/min,conscious,"(Renou et al., 1978)",renou1978
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,138.4,NA,13,umol/100g/min,conscious,"(Sari et al., 1976)",sari1976
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,165.18,NA,8,umol/100g/min,conscious,"(Schmidt et al., 1990)",schmidt1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,156.25,NA,8,umol/100g/min,conscious,"(Schmidt et al., 1991)",schmidt1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,160.7,NA,5,umol/100g/min,conscious,"(Seitz and Roland, 1992)",seitz1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,159.9,NA,6,umol/100g/min,conscious,"(Vafaee etal., 1998)",vafaee1998
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,127.2,NA,8,umol/100g/min,conscious,"(Vemhiet et al., 1978)",vemhiet1978
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,158.04,NA,6,umol/100g/min,conscious,"(Vorstmp et al., 1984)",vorstmp1984
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,187,NA,6,umol/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,183,NA,8,umol/100g/min,conscious,"(Wolff etal., 1994)",wolff1994
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,137.95,NA,13,umol/100g/min,conscious,"(Wollman et al., 1964)",wollman1964
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,191.9,NA,5,umol/100g/min,conscious,"(Mintun et al., 1984)",mintun1984
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,143.3,NA,12,umol/100g/min,anesthetized,"(Drummond et al., 1986)",drummond1986
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,165.2,NA,8,umol/100g/min,anesthetized,"(Kaieda et al., 1989)",kaieda1989
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,120.5,NA,8,umol/100g/min,anesthetized,"(Kaieda et al., 1989)",kaieda1989
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,205.4,NA,38,umol/100g/min,anesthetized,"(Pearce et al., 1981)",pearce1981
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,145.5,NA,7,umol/100g/min,anesthetized,"(Todd etal., 1994)",todd1994
Macaca fascicularis,M fascic,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,136.16,NA,10,umol/100g/min,conscious,"(Rockoff et al., 1980)",rockoff1980
Macaca mulatta,M mulatta,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CMRO2,255,NA,6,umol/100g/min,conscious,"(Cross et al., 2000)",cross2000
Macaca mulatta,M mulatta,Kaufman_2004,TableA7,Frontal_cortex,Frontal Cortex,CMRO2,195,NA,4,umol/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA6,Neocortex,Neocortex,CMRO2,218.9,NA,4,umol/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA11,Occipital_cortex,Occipital Cortex,CMRO2,247.5,NA,4,umol/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA8,Parietal_cortex,Parietal Cortex,CMRO2,191.5,NA,4,umol/100g/min,anesthetized,"(Enlund et a l, 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA9,Temporal_cortex,Temporal Cortex,CMRO2,241.5,NA,4,umol/100g/min,anesthetized,"(Enlundetal., 1997)",enlundetal1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA5,White_matter,White Matter,CMRO2,128,NA,4,umol/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,monkey,Karbowski_2007,TableS1,Whole_brain,Brain,CMRO2,6,0.5,NA,umol/100g/min,unknown,Nemoto et al 1994,nemoto1994
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,165.18,NA,19,umol/100g/min,anesthetized,"(Fein, 1975)",fein1975
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,270.1,NA,5,umol/100g/min,conscious,"(Mehta et al., 1980)",mehta1980
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,265.6,NA,3,umol/100g/min,conscious,"(Nemoto et al., 1994)",nemoto1994
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,304.9,NA,4,umol/100g/min,conscious,"(Yao et al., 1992)",yao1992
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,165.18,NA,11,umol/100g/min,anesthetized,"(Schmidt et al., 1945)",schmidt1945
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,151.8,NA,10,umol/100g/min,anesthetized,"(Kliefothetal., 1979)",kliefothetal1979
Mus musculus,Mus,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CMRO2,5.2,NA,4,umol/100g/min,conscious,"(Zocchi et al., 2001)",zocchi2001
Ovis aries,sheep,Karbowski_2007,TableS1,Whole_brain,Brain,CMRO2,4.9,0.7000000000000001,NA,umol/100g/min,unknown,Pell et al 1983,pell1983
Ovis aries,Ovis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,204.9,NA,8,umol/100g/min,conscious,"(Rosenberg et al., 1982)",rosenberg1982
Ovis aries,Ovis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,221,NA,7,umol/100g/min,conscious,"(Koehler et al., 1984)",koehler1984
Ovis aries,Ovis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,245.5,NA,3,umol/100g/min,conscious,"(Donegan et al., 1985)",donegan1985
Papio anubis,Papio,Kaufman_2004,TableA6,Neocortex,Neocortex,CMRO2,145,NA,6,umol/100g/min,anesthetized,"(MacKenzie et al., 1976)",mackenzie1976
Papio anubis,baboon,Karbowski_2007,TableS1,Whole_brain,Brain,CMRO2,3.4000000000000004,0.6,NA,umol/100g/min,unknown,Sahlin et al 1987,sahlin1987
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,175.4,NA,5,umol/100g/min,anesthetized,"(Hamar et al., 1979)",hamar1979
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,144.2,NA,7,umol/100g/min,anesthetized,"(Harper and MacKenzie, 1977)",harper1977
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,143.8,NA,4,umol/100g/min,anesthetized,"(McCulloch and Harper, 1977)",mcculloch1977
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,175.4,NA,3,umol/100g/min,anesthetized,"(Reivich et al., 1972)",reivich1972
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,124.6,NA,17,umol/100g/min,anesthetized,"(Tagashira et al., 1977)",tagashira1977
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,162.5,NA,6,umol/100g/min,anesthetized,"(Van Aken et al., 1986)",van1986
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,90.6,NA,7,umol/100g/min,anesthetized,"(Van Hemelrijck et al., 1990)",van1990
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,151.8,NA,8,umol/100g/min,anesthetized,"(Brussel et al., 1991)",brussel1991
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,122.3,NA,5,umol/100g/min,anesthetized,"(Pappata et al., 1993)",pappata1993
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,145.5,NA,11,umol/100g/min,anesthetized,"(Sahlin et al., 1986)",sahlin1986
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,134.4,NA,10,umol/100g/min,anesthetized,"(Schumann et al., 1998)",schumann1998
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,124.6,NA,7,umol/100g/min,anesthetized,"(TouzanietaL, 1995)",touzanietal1995
Papio anubis,Papio,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CMRO2,143.75,NA,13,umol/100g/min,anesthetized,"(Sahlin et al., 1987)",sahlin1987
