code,Species_Stephan1981,n_1_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,n_19_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,n_27_28,Area_striata,Corpus_geniculatum_laterale,n_29_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,n_35_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,n_40_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
63,Suncus murinus,1.0,35.5,380.0,4.6,7.8,354.0,50.5,44.8,24.2,26.0,209.0,34.2,0.182,56.2,5.5,14.8,12.6,31.2,54.1,1.0,0.53,12.3,9.67,1.7,1.58,0.116,1.18,0.232,,,,,,,,,,,1.0,1.03,0.1,0.167,0.438,0.324,1.0,0.201,0.0148,0.168,0.0628,0.00223
81,Talpa europaea,2.0,76.0,1020.0,10.9,20.6,953.0,95.4,174.0,49.8,80.4,554.0,59.6,0.291,112.0,15.0,60.2,39.6,86.8,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.33,0.00857,0.366,0.0497,0.0102
83,Desmana moschata,1.0,440.0,4000.0,138.0,104.0,3620.0,402.0,514.0,219.0,344.0,2140.0,141.0,0.218,320.0,42.6,222.0,163.0,267.0,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.06,0.0352,1.05,0.459,0.0278
84,Galemys pyrenaicus,2.0,57.5,1330.0,27.5,25.9,1230.0,147.0,184.0,62.2,105.0,733.0,39.0,0.206,107.0,20.1,74.4,44.9,109.0,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.444,0.0379,0.422,0.0707,0.00545
102,Tupaia glis,20.0,170.0,3200.0,38.2,51.4,2999.0,219.0,376.0,256.0,275.0,1873.0,131.5,2.41,269.0,27.5,140.0,114.0,152.0,1036.0,1.0,1.98,153.0,47.5,18.6,17.2,1.39,24.6,39.3,2.0,167.0,11.5,2.0,182.0,76.5,24.2,1.71,52.3,4.27,1.0,10.1,2.16,2.07,3.27,2.62,6.0,0.454,0.0608,0.947,0.393,0.0804
104,Tupaia minor,2.0,70.0,2580.0,22.2,37.8,2430.0,173.0,308.0,249.0,251.0,1449.0,94.3,2.28,205.0,26.1,124.0,91.9,132.0,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Urogale everetti,1.0,275.0,4280.0,38.9,95.8,3997.0,355.0,513.0,307.0,394.0,2428.0,184.0,2.1,362.0,45.1,199.0,124.0,173.0,1338.0,,,,,,,,,,1.0,136.0,9.98,,,,,,,,,,,,,,2.0,0.66,0.136,0.926,1.42,0.0572
111,Cheirogaleus major,2.0,450.0,6800.0,83.4,108.0,6373.0,382.0,947.0,241.0,489.0,4314.0,158.0,4.04,332.0,58.9,327.0,149.0,347.0,2938.0,1.0,4.83,271.0,101.0,33.8,31.6,2.27,48.6,18.0,2.0,478.0,21.5,2.0,233.0,99.4,34.1,0.851,65.3,7.32,1.0,11.1,1.86,1.78,4.18,3.27,1.0,0.917,0.256,1.75,0.789,0.032
112,Cheirogaleus medius,2.0,177.0,3140.0,24.6,45.2,2961.0,202.0,437.0,145.0,235.0,1941.0,102.0,2.66,198.0,32.5,145.0,65.3,174.0,1221.0,,,,,,,,,,2.0,217.0,10.8,2.0,135.0,63.2,23.3,0.472,39.8,,,,,,,,1.0,0.385,0.171,1.06,0.691,0.0432
114,Microcebus murinus,6.0,54.0,1780.0,11.3,26.6,1680.0,99.1,234.0,85.2,134.0,1129.0,43.0,1.62,103.0,15.3,85.7,40.1,100.0,740.0,2.0,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,2.0,149.0,7.03,6.0,66.8,36.4,12.1,0.264,24.3,,2.0,4.02,0.679,0.76,1.5,1.08,1.0,0.274,0.0556,0.461,0.14,0.0233
117,Lepilemur ruficaudatus,3.0,915.0,7600.0,76.5,84.1,7175.0,449.0,1165.0,260.0,593.0,4708.0,113.0,2.72,302.0,56.7,366.0,194.0,392.0,3282.0,1.0,4.89,337.0,114.0,58.1,55.2,2.91,63.0,20.7,3.0,357.0,15.6,3.0,170.0,133.0,42.5,0.624,90.4,7.18,1.0,14.9,2.11,2.38,5.92,4.47,1.0,0.888,0.121,1.75,0.731,0.132
118,Lemur fulvus,3.0,1400.0,23300.0,194.0,190.0,22106.0,909.0,3328.0,590.0,1713.0,15566.0,207.0,3.21,641.0,119.0,1215.0,422.0,752.0,12207.0,1.0,12.2,1028.0,239.0,225.0,212.0,13.9,248.0,108.0,2.0,1527.0,51.6,3.0,389.0,251.0,71.7,1.37,179.0,19.6,1.0,31.1,6.22,5.9,9.75,9.27,4.0,1.4,0.527,4.02,1.85,0.174
124,Lemur variegatus,1.0,3000.0,31500.0,299.0,393.0,29713.0,1420.0,4286.0,1018.0,2529.0,20461.0,369.0,5.27,985.0,206.0,1591.0,608.0,1404.0,15293.0,,,,,,,,,,1.0,2112.0,68.9,,,,,,,,,,,,,,1.0,3.51,0.741,5.35,4.46,0.197
130,Avahi l. laniger,2.0,1285.0,10490.0,172.0,156.0,9798.0,553.0,1489.0,343.0,862.0,6550.0,89.2,3.01,284.0,69.7,524.0,241.0,526.0,4813.0,,,,,,,,,,1.0,537.0,27.4,,,,,,,,,,,,,,1.0,1.29,0.116,2.21,0.7,0.14
131,Avahi laniger occidentalis,2.0,860.0,9670.0,73.7,137.0,9124.0,508.0,1383.0,345.0,861.0,6026.0,70.1,2.55,265.0,69.3,478.0,222.0,476.0,4443.0,2.0,6.52,489.0,137.0,80.5,74.5,5.94,105.0,38.3,1.0,485.0,27.2,,,,,,,,2.0,18.1,3.1,3.32,6.86,4.81,1.0,0.988,0.188,2.04,0.652,0.0942
132,Propithecus verreauxi,2.0,3480.0,26700.0,231.0,347.0,25194.0,1223.0,3957.0,780.0,2195.0,17040.0,147.0,3.4,664.0,159.0,1411.0,443.0,1043.0,13170.0,1.0,14.6,1341.0,328.0,283.0,263.0,20.0,324.0,125.0,1.0,1559.0,68.6,1.0,292.0,251.0,78.7,0.921,172.0,18.8,1.0,43.2,8.18,7.37,15.3,12.4,1.0,1.6,0.507,3.65,3.26,0.357
133,Indri indri,2.0,6250.0,38300.0,330.0,354.0,36285.0,1342.0,5504.0,978.0,2911.0,25551.0,168.0,2.32,838.0,205.0,1855.0,848.0,1520.0,20114.0,,,,,,,,,,1.0,1738.0,99.6,,,,,,,,,,,,,,1.0,4.96,0.553,7.15,5.63,0.366
136,Daubentonia madagascar.,1.0,2800.0,45150.0,392.0,578.0,42611.0,1517.0,6461.0,897.0,3539.0,30196.0,685.0,8.31,1538.0,254.0,2765.0,1044.0,1776.0,22127.0,,,,,,,,,,1.0,1355.0,58.5,1.0,1065.0,473.0,122.0,3.53,351.0,24.9,,,,,,,1.0,2.65,0.593,7.75,3.32,1.83
137,Loris tardigradus,1.0,322.0,6600.0,51.6,50.4,6269.0,233.0,728.0,220.0,538.0,4551.0,85.8,2.3,256.0,41.1,351.0,99.7,191.0,3524.0,1.0,3.21,348.0,80.9,45.2,41.4,3.79,46.3,15.7,1.0,588.0,24.6,,,,,,,,1.0,8.45,1.61,1.22,3.55,2.08,1.0,0.822,0.207,1.15,0.335,0.103
138,Nycticebus coucang,2.0,800.0,12500.0,142.0,169.0,11755.0,528.0,1310.0,345.0,1077.0,8495.0,159.0,4.28,510.0,92.0,760.0,212.0,566.0,6192.0,,,,,,,,,,1.0,823.0,37.3,,,,,,,,,,,,,,1.0,1.34,0.175,2.04,1.83,0.154
139,Perodicticus potto,2.0,1150.0,14000.0,127.0,174.0,13212.0,680.0,1699.0,391.0,1024.0,9418.0,310.0,2.74,661.0,114.0,712.0,328.0,607.0,6683.0,2.0,10.4,587.0,160.0,116.0,107.0,8.19,107.0,19.5,2.0,552.0,24.3,,,,,,,,2.0,17.3,2.86,2.66,7.87,3.88,5.0,2.27,0.216,3.77,1.76,0.264
141,Galago crassicaudatus,2.0,850.0,10300.0,147.0,128.0,9668.0,540.0,1414.0,384.0,785.0,6545.0,166.0,2.52,386.0,70.0,556.0,181.0,461.0,4723.0,1.0,5.71,437.0,127.0,67.4,63.3,4.1,74.6,33.9,1.0,571.0,22.1,,,,,,,,1.0,19.9,2.85,2.87,7.16,7.01,1.0,0.695,0.0948,1.64,1.02,0.102
142,Galago demidovii,2.0,81.0,3380.0,30.4,28.8,3203.0,169.0,413.0,135.0,246.0,2240.0,83.1,1.26,181.0,25.7,169.0,59.9,152.0,1568.0,2.0,2.09,153.0,45.1,18.3,17.0,1.4,18.4,11.5,2.0,237.0,10.9,1.0,122.0,50.2,14.9,0.62,35.3,2.82,2.0,6.65,1.02,1.01,2.72,1.9,2.0,0.45,0.024,0.78,0.375,0.0266
143,Galago senegalensis,1.0,186.0,4800.0,40.2,81.4,4512.0,254.0,672.0,205.0,382.0,2997.0,79.2,2.58,163.0,35.7,210.0,107.0,261.0,2139.0,,,,,,,,,,1.0,334.0,16.0,,,,,,,,,,,,,,1.0,0.588,0.0668,0.998,0.741,0.0382
147,Tarsius sp.,2.0,125.0,3600.0,24.1,58.0,3393.0,207.0,428.0,197.0,303.0,2258.0,18.8,0.82,92.7,23.3,133.0,69.0,153.0,1768.0,1.0,2.53,175.0,42.5,17.1,16.1,1.09,16.7,15.5,2.0,370.0,20.8,1.0,39.1,49.8,11.1,0.0752,38.7,5.35,1.0,7.69,0.759,1.16,3.36,2.41,3.0,0.405,0.0482,1.13,2.03,0.114
151,Callithrix jacchus,4.0,280.0,7600.0,52.0,42.9,7241.0,318.0,757.0,295.0,554.0,5318.0,22.8,0.326,191.0,49.8,372.0,90.0,221.0,4371.0,,,,,,,,,,1.0,692.0,25.7,3.0,99.3,113.0,28.3,0.195,84.6,8.57,,,,,,,1.0,0.44,0.133,1.63,0.486,0.0789
156,Cebuella pygmaea,2.0,140.0,4500.0,24.5,16.9,4302.0,201.0,468.0,192.0,342.0,3099.0,12.3,0.386,133.0,29.2,174.0,81.8,133.0,2535.0,1.0,3.68,190.0,69.2,27.7,25.8,1.95,21.8,23.8,,,,,,,,,,,1.0,11.1,2.1,2.94,4.11,1.96,,,,,,
164,Saguinus oedipus,3.0,380.0,10000.0,62.6,52.8,9537.0,413.0,984.0,333.0,754.0,7052.0,19.1,0.406,256.0,60.5,453.0,107.0,262.0,5894.0,2.0,4.93,410.0,152.0,77.6,73.2,4.45,62.7,50.5,1.0,1003.0,33.0,,,,,,,,2.0,18.4,2.98,3.63,7.25,4.49,1.0,1.08,0.167,1.55,0.392,0.0921
165,Saguinus tamarin,2.0,340.0,10300.0,251.0,122.0,9569.0,428.0,1061.0,332.0,692.0,7055.0,17.3,0.29,243.0,40.9,471.0,120.0,280.0,5883.0,,,,,,,,,,1.0,1077.0,36.8,,,,,,,,,,,,,,1.0,0.559,0.0795,1.18,0.216,0.0994
166,Callimico goeldii,1.0,480.0,11000.0,47.9,59.5,10510.0,460.0,1240.0,340.0,739.0,7733.0,27.0,0.512,253.0,63.5,493.0,138.0,281.0,6476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Aotus trivirgatus,5.0,830.0,17100.0,105.0,206.0,16195.0,686.0,1873.0,409.0,1098.0,12128.0,56.0,0.222,394.0,83.8,862.0,243.0,539.0,9950.0,,,,,,,,,,1.0,1144.0,36.0,1.0,203.0,201.0,54.5,0.201,147.0,15.7,,,,,,,1.0,0.964,0.162,3.21,1.55,0.14
172,Callicebus moloch,2.0,900.0,19000.0,279.0,242.0,17944.0,787.0,1622.0,530.0,1375.0,13465.0,19.2,0.325,454.0,86.4,920.0,234.0,588.0,11163.0,,,,,,,,,,1.0,1502.0,53.2,,,,,,,,,,,,,,1.0,0.89,0.135,2.66,2.9,0.154
174,Pithecia monacha,2.0,1500.0,35000.0,631.0,286.0,32867.0,1009.0,3908.0,745.0,2285.0,24920.0,34.8,0.846,675.0,140.0,1918.0,289.0,834.0,21028.0,,,,,,,,,,1.0,2154.0,72.3,,,,,,,,,,,,,,1.0,1.31,0.3,2.53,0.0623,0.189
179,Alouatta sp.,2.0,6400.0,52000.0,616.0,568.0,49009.0,1593.0,5699.0,986.0,3344.0,37388.0,41.4,0.595,827.0,200.0,2829.0,510.0,1320.0,31660.0,,,,,,,,,,1.0,2374.0,85.7,1.0,488.0,413.0,94.9,0.0,318.0,30.7,,,,,,,1.0,1.72,0.372,3.3,0.254,0.402
184,Ateles geoffroyi,1.0,8000.0,108000.0,1389.0,1824.0,101034.0,1834.0,12438.0,1482.0,5334.0,79946.0,90.4,2.19,1625.0,324.0,4950.0,732.0,1366.0,70856.0,1.0,30.5,2930.0,629.0,860.0,807.0,52.8,570.0,204.0,1.0,4738.0,151.0,,,,,,,,1.0,49.7,7.2,6.81,23.8,11.9,2.0,3.18,0.443,7.29,3.1,0.608
186,Lagothrix lagotricha,3.0,5200.0,101000.0,1090.0,897.0,95503.0,2110.0,11268.0,1582.0,5721.0,74822.0,73.4,1.43,1395.0,266.0,4947.0,680.0,1586.0,65873.0,2.0,31.0,2959.0,624.0,909.0,845.0,63.8,612.0,203.0,1.0,6288.0,149.0,,,,,,,,2.0,53.0,9.07,6.94,23.0,14.1,2.0,2.6,0.583,7.01,10.6,0.885
191,Cebus sp.,2.0,3100.0,71000.0,729.0,864.0,66939.0,1738.0,7871.0,1221.0,3996.0,52113.0,39.9,0.667,931.0,174.0,3258.0,390.0,890.0,46429.0,1.0,23.7,2163.0,418.0,609.0,567.0,41.7,549.0,207.0,2.0,4690.0,137.0,1.0,567.0,502.0,118.0,0.0,384.0,41.0,1.0,50.2,11.2,7.45,19.2,12.3,2.0,1.5,0.41,4.9,3.8,0.425
192,Saimiri sciureus,1.0,660.0,24000.0,299.0,295.0,22572.0,722.0,2260.0,526.0,1430.0,17635.0,26.8,0.985,413.0,90.6,1042.0,168.0,352.0,15541.0,1.0,8.86,731.0,207.0,180.0,169.0,11.5,132.0,117.0,1.0,2326.0,62.9,1.0,186.0,227.0,45.9,0.0,181.0,15.0,1.0,29.4,4.43,6.26,11.4,7.31,5.0,0.598,0.255,2.77,2.71,0.143
202,Macaca mulatta,1.0,7800.0,93000.0,834.0,1038.0,87896.0,1992.0,8965.0,1380.0,4480.0,71080.0,84.3,0.0,1220.0,271.0,4032.0,639.0,1353.0,63482.0,,,,,,,,,,1.0,6586.0,158.0,,,,,,,,,,,,,,1.0,2.83,0.36,7.66,12.4,0.27
209,Cercocebus albigena,1.0,7900.0,104000.0,742.0,2041.0,97603.0,2708.0,10726.0,1770.0,5351.0,77049.0,121.0,0.0,1639.0,294.0,4146.0,630.0,1485.0,68733.0,1.0,27.9,2933.0,681.0,726.0,674.0,52.4,708.0,308.0,1.0,6831.0,182.0,,,,,,,,1.0,87.1,16.2,10.0,35.6,25.2,1.0,1.69,0.658,6.0,11.9,0.233
212,Papio anubis,2.0,25000.0,201000.0,1081.0,1977.0,190957.0,5297.0,18683.0,2711.0,9280.0,154987.0,287.0,0.0,2111.0,559.0,7182.0,1309.0,3398.0,140142.0,1.0,65.4,4788.0,1076.0,1241.0,1147.0,94.7,1257.0,601.0,,,,,,,,,,,1.0,107.0,14.4,10.5,48.1,33.9,1.0,1.86,0.405,12.7,51.1,0.347
227,Cercopithecus mitis,1.0,6300.0,75000.0,467.0,1363.0,70564.0,1999.0,6758.0,1354.0,4176.0,56277.0,117.0,0.0,1265.0,246.0,2733.0,617.0,1366.0,49933.0,,,,,,,,,,1.0,5274.0,150.0,,,,,,,,,,,,,,1.0,1.96,0.432,5.38,15.3,0.258
231,Cercopithecus ascanius,1.0,3400.0,67000.0,240.0,927.0,63505.0,1632.0,5828.0,1162.0,3605.0,51279.0,99.5,0.0,1052.0,251.0,2827.0,694.0,1189.0,45166.0,1.0,17.9,1916.0,410.0,431.0,405.0,25.7,421.0,320.0,1.0,5152.0,147.0,1.0,450.0,601.0,136.0,0.0,465.0,48.9,1.0,52.0,8.21,5.88,20.8,17.2,1.0,2.13,0.509,4.23,4.66,0.217
232,Cercopithecus talapoin,2.0,1200.0,40000.0,262.0,572.0,37776.0,1035.0,3374.0,826.0,2375.0,30166.0,27.8,0.0,706.0,133.0,1908.0,259.0,705.0,26427.0,,,,,,,,,,1.0,3046.0,116.0,,,,,,,,,,,,,,3.0,0.866,0.192,2.07,2.03,0.22
234,Erythrocebus patas,2.0,7800.0,108000.0,561.0,519.0,103167.0,2616.0,8738.0,1621.0,5423.0,84770.0,51.8,0.0,1339.0,330.0,3624.0,693.0,1591.0,77141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Pygathrix nemaeus,1.0,7500.0,77000.0,911.0,883.0,72530.0,2206.0,8063.0,1345.0,4727.0,56189.0,10.7,0.0,942.0,290.0,3166.0,723.0,2295.0,48763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Nasalis larvatus,1.0,14000.0,97000.0,591.0,241.0,92797.0,2945.0,12113.0,1556.0,5310.0,70873.0,30.3,0.0,1268.0,333.0,3735.0,855.0,1966.0,62685.0,1.0,29.6,3036.0,671.0,587.0,550.0,37.2,564.0,304.0,,,,,,,,,,,1.0,86.2,12.6,14.8,33.6,25.2,,,,,,
