"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Mandrillus leucophaeus","Mandrillus_leucophaeus","papionini","FMNH_46403;FMNH_48945;FMNH_99426","Both/Unspecified","Unspecified",1.54011039494813,1.24551266781415,0.944482672150169,1.72892164637286,,,,1.73423960443546,1.54402668100133,1.36436335461573,,1.71583627516499,1.44247976906445,1.25285303097989,,1.7260476681558,,,,"4;5;7","Patel 2010; Almecija et al. 2015; Prang et al. 2021","FALSE",2.17026171539496,,4.17609125905568,,,,"27","Venditti et al. 2024",1,0,1,0,1,,,,
"Mandrillus sphinx","Mandrillus_sphinx","papionini","AMNH_89357;AMNH-89358;MCZ_34089;MCZ_34090;AMNH_89365;EvoMorph_1-Mandrillus_sphinx;RMCA_99.077.M01;AMNH_89364;RMCA_38805;MVZ_47164;AMNH_89362","Both/Unspecified","Unspecified",1.52706448422355,1.23426412437879,0.989004615698537,1.70346334188329,,,,1.70397882500839,1.52986648319192,1.35633186001142,,1.68336228286028,1.47055748521727,1.27415784926368,,1.7257037861643,,,,"4;5;7;18","Patel 2010; Almecija et al. 2015; Prang et al. 2021; Frost et al. 2015","FALSE",2.201943063,,4.06069784,,1.997,0.957,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,1,1,0,1,1.87621784059164,,,
"Mesopithecus pentelicus","Mesopithecus_pentelicus","owm","MNHN-ABB.92;MNHN-ABB.86","Both/Unspecified","Unspecified",1.25927524755698,,,1.48925516836926,,,,1.51054501020661,,,,1.48036630953281,,,,1.43695733066945,,,,"18","Frost et al. 2015","FALSE",1.86033800657099,"Converted from volume using 1g = 1cm3. Used the median of the range of values given.",4.04139268515823,"Used the median of the range of values given.",,,"36","Gonzales et al. 2015",0,,,,,,,,
"Microcebus murinus","Microcebus_murinus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.738780558484369,0.702430536445525,,,,,0.608526033577194,,0.619946654847815,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.264817823,,1.763427994,,-0.130999999999999,-0.631,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.61278385671974,-1.56863623584101,-1.04575749056068,0.301029995663981
"Microcolobus tugenensis","Microcolobus_tugenensis","owm","KNM-KNM-NA_47916","Both/Unspecified","Unspecified",,,,,,,,,,,,1.48287358360875,,,,,,,,"18","Frost et al. 2015","FALSE",,,,,,,,,0,,,,,,,,
"Miopithecus talapoin","Miopithecus_talapoin","owm","FMNH_121359;FMNH_127278;FMNH_129459;FMNH_129458","Both/Unspecified","Unspecified",1.05403821068487,,,1.24328614608345,,,,1.23552844690755,1.17890503828035,1.00913206954047,,,,,,1.20803804935318,,,,"4;7","Patel 2010; Prang et al. 2021","FALSE",1.602,,3.096513756,,1.426,0.548,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.86510397464113,,,
"Mirza coquereli","Mirza_coquereli","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.02118929906994,0.987219229908005,0.75966784468963,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.763119029176694,,2.49345805099519,,,,"27","Venditti et al. 2024",0,,,,,1.63346845557959,,,
"Nannodectes gidleyi","Nannodectes_gidleyi","nonprimate","AMNH_17379","Both/Unspecified","All_Left",0.840106094456758,,,,,,,1.07990446766672,,,,,,,,,,,,"2","Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,,,,
"Nannodectes intermedius","Nannodectes_intermedius","nonprimate","USNM_442229","Both/Unspecified","All_Left",0.822168079368018,,,,,,,1.06107532362979,0.889861721258188,0.81690383937566,0.717670503002262,,,,,0.939519252618618,,,,"1;2","Boyer et al. 2016; Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,,,,
"Nasalis larvatus","Nasalis_larvatus","owm","USNM-198276;AMNH-103670;AMNH-103671;MCZ_41563;MCZ_37343;AMNH-106275;MCZ_37344;AMNH-106273;MCZ_41562;MCZ_41557;AMNH-103669","Both/Unspecified","Unspecified",1.46202344463563,1.22115332195471,0.90687353472207,1.68824179597771,,,,1.68506962939115,1.61240235746753,1.44538622303216,,1.69964504863165,1.61345740540317,1.45359628852494,,1.67369935497777,,,,"3;4;5;7;10;18","Almecija et al. 2012; Patel 2010; Almecija et al. 2015; Prang et al. 2021; Almecija et al. 2014; Frost et al. 2015","FALSE",1.987,,4.088690568,,1.719,0.995,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.84385542262316,,,
"Nomascus concolor","Nomascus_concolor","ape","AMNH_87253;AMNH_87252;CMNH_HTB_0161","Both/Unspecified","Unspecified",1.55493312076001,,,,,,,,1.66984354227009,1.5532760461371,,1.74723049029375,,,,1.70225816316209,,,,"7","Prang et al. 2021","FALSE",,,,,,,,,0,,,,,,,,
"Notharctus tenebrosus","Notharctus_tenebrosus","adapiform","taxon-level","Both/Unspecified","Unspecified",1.09621458534641,1.2145789535705,0.953276336667304,1.22141423784234,1.37984917876283,1.20628604441243,0.910624404889201,1.37657695705651,1.44185217577329,,0.972202838379065,1.33081946649584,1.45499721730946,,1.01870049866624,1.28012289630231,1.40602894496362,1.14426277376199,0.952308009662125,"1","Boyer et al. 2016","FALSE",0.941511432634403,"Converted from volume using 1g = 1cm3. Took an average using one value for each reported specimen including the 10.43 ECV estimate for Endocast A (Tables 5 and 8).",3.35121634533934,"Average value from table reporting previously published body mass predictions (Table 8).",,,"26","Harrington et al. 2016",0,,,,,,,,
"Nycticebus coucang","Nycticebus_coucang","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.07554696139253,1.10380372095596,,,,,0.949947330406868,,1.02448566769917,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.105254642,,2.816572696,,0.792,0.117,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.77232170672292,-1.52287874528034,-1.04575749056068,0.602059991327962
"Nycticebus pygmaeus","Nycticebus_pygmaeus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.998259338423699,1.05690485133647,0.830588668685144,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.892094603,,2.681241237,,,,"27","Venditti et al. 2024",0,,,,,1.72427586960079,,,
"Oreopithecus bambolii","Oreopithecus_bambolii","ape","Oreopithecus_bambolii_1","male","Unspecified",,1.445604,1.22530928172586,1.83250891270624,1.569959,,,,,,,1.81023251799508,1.68663626926229,1.4945719842302,,,,,,"6;10;14;21","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Almecija et al. 2014; Drapeau & Ward 2007; Moya-Sola et al. 2005","FALSE",2.44090908206522,"Converted from volume using 1g = 1cm3. Used the estimate viewed as most reliable in the source reported.",4.50514997831991,"Used the estimate viewed as most reliable in source.",,,"36","Gonzales et al. 2015",0,,,,,,,,
"Otolemur crassicaudatus","Otolemur_crassicaudatus","strepsirrhine","Otolemur_crassicaudatus_1;Otolemur_crassicaudatus_2","Both/Unspecified","Unspecified",,,,,,,,1.12710479836481,1.13353890837022,,,,,1.02551067285258,,1.08386080086657,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.097,,3.08156692,,0.674000000000001,0.15,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.75815462196739,-1.52287874528034,-1.09691001300806,0.633468455579587
"Otolemur garnettii","Otolemur_garnettii","strepsirrhine","Otolemur_garnettii_1;Otolemur_garnettii_2","Both/Unspecified","Unspecified",,,,,,,,1.13353890837022,1.16136800223497,,,,,0.990782691803138,,1.07353506505878,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.898,,2.883,,,,"27","Venditti et al. 2024",0,,,,,,-1.50863830616573,-1.09691001300806,0.643452676486187
"Pan paniscus","Pan_paniscus","ape","RMCA_29052;RMCA_20882;RMCA_20881;RMCA_29040;RMCA_27696;RMCA_29060;RMCA_15294;RMCA_29047;RMCA_29035a;RMCA_15295;MCZ_38018;RMCA_29044;RMCA_29042;RMCA_15296;MCZ_38019;RMCA_15293;RMCA_27698;RMCA_29045","Both/Unspecified","Unspecified",1.58599405047501,1.39733157039113,1.24488709663922,1.92941892571429,1.66763970605641,1.47971923543957,1.21958452621425,,1.73500861754184,1.58239798683762,,1.89317104963452,1.6973557755588,1.56038492297202,,1.84605862896419,,,,"3;5;7;9","Almecija et al. 2012; Almecija et al. 2015; Prang et al. 2021; Feix et al. 2015","FALSE",2.518121055,,4.598790507,,2.354,1.671,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,1,0,1,,-1.53760200210104,-0.958607314841775,1.45636603312904
"Pan troglodytes","Pan_troglodytes","ape","taxon-level","Both/Unspecified","Unspecified",1.60042832573213,1.41917593079408,1.26726419731764,1.95279244304409,1.6885810163906,1.49468787465115,1.20798040346916,1.94987770403687,1.76696293861804,1.62867424628968,,1.91381385238372,1.73523395149908,1.59166277950434,,1.86835049964797,,,,"3;5;6;7;8;9","Almecija et al. 2012; Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Tague 1997; Feix et al. 2015","FALSE",2.549995435,,4.781275289,,2.451,1.653,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.90633504180509,-1.55284196865778,-1,1.41830129131975
"Papio anubis","Papio_anubis","papionini","FMNH_134614;USNM-384234;KNM-OM_5179;USNM-239743;USNM-236976;USNM-384228;KNM-OM_7230","Both/Unspecified","Unspecified",1.52560005256132,,,1.70573545678801,,,,1.70389295363254,1.40105572577184,1.19755621315354,,1.68757354768168,,,,1.71049211646599,,,,"4;7;18","Patel 2010; Prang et al. 2021; Frost et al. 2015","FALSE",2.30319605742049,,4.39794000867204,,2.088,1.171,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,0,1,1.91275330367132,,,
"Papio cynocephalus","Papio_cynocephalus","papionini","taxon-level","Both/Unspecified","Unspecified",1.54001646974532,,0.974050902792877,1.71901346164909,,,,1.71525102887885,1.52087638168834,1.33162971762993,,1.70829339771703,,,,1.73739144997848,,,,"4;7;8;10","Patel 2010; Prang et al. 2021; Tague 1997; Almecija et al. 2014","FALSE",2.22814360759774,,4.24303804868629,,2.14656831112221,1.271,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",1,1,1,0,1,,,,
"Papio hamadryas","Papio_hamadryas","papionini","taxon-level","Both/Unspecified","Unspecified",1.50198511251838,1.17842415346851,0.970795021767227,1.66838591669,1.3654300918791,1.15691507247749,1.02472016796507,1.67486114073781,1.43067814610777,1.24769531669636,,1.66866541545449,1.43107230693574,1.23805622765196,,1.69162605324364,,,,"4;5;6;7;9","Patel 2010; Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015","FALSE",2.152288344,,4.079904468,,2.074743320941,1.08350261983027,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",1,0,1,0,1,1.93145787068901,-1.52287874528034,-1,1.19312459835446
"Papio papio","Papio_papio","papionini","FMNH_187453","Both/Unspecified","Unspecified",1.46089784275655,,,1.67833624673218,,,,1.67348169707335,1.43136376415899,1.23146959043068,,1.66332393362821,,,,1.67778939106886,,,,"4;7","Patel 2010; Prang et al. 2021","FALSE",2.25285303097989,,4.50514997831991,,,,"27","Venditti et al. 2024",1,0,1,0,1,,,,
"Papio ursinus","Papio_ursinus","papionini","taxon-level","Both/Unspecified","Unspecified",,,,1.69019608002851,,,,1.69438580287843,,,,1.67440181284528,,,,,,,,"4","Patel 2010","FALSE",2.21748394421391,,4.17026171539496,,,,"27","Venditti et al. 2024",1,0,0,1,1,,,,
"Paranthropus boisei","Paranthropus_boisei","hominin","KNM-ER_47000","Both/Unspecified","All_Right",1.66275783168157,,,,,,,1.80685802951882,1.65321251377534,,,1.73319726510657,1.61066016308988,,,,1.52504480703685,,,"22","Richmond et al. 2020","FALSE",2.69078655528182,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.66537249630348,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,,,
"Perodicticus potto","Perodicticus_potto","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.16435285578444,1.19033169817029,,,,,1.01003480339762,,1.11360915107303,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.081587316,,2.968171515,,0.825,0.23,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.75434833571102,,,
"Phaner furcifer","Phaner_furcifer","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.04532297878666,1.02118929906994,0.82020145948564,,,,,,,,,,"12","Kirk et al. 2008","FALSE",,,,,,,,,0,,,,,1.57403126772772,,,
"Pierolapithecus catalaunicus","Pierolapithecus_catalaunicus","ape","IPS_21350.16","Both/Unspecified","Unspecified",,,1.27415784926368,,,,,,,,,,,,,,,,,"10","Almecija et al. 2014","FALSE",,,,,,,,,0,,,,,,,,
"Piliocolobus kirkii","Piliocolobus_kirkii","owm","KNM-OM_3019","female","Unspecified",1.23552844690755,,,1.55750720190566,,,,1.57170883180869,,,,1.57518784492766,,,,1.54282542695918,,,,"18","Frost et al. 2015","FALSE",1.75777549101193,,3.75050839485135,,,,"27","Venditti et al. 2024",0,,,,,1.90308998699194,,,
"Piliocolobus rufomitratus","Piliocolobus_rufomitratus","owm","AMNH-52334;AMNH-52298;KNM-OM_4356;AMNH-52303","Both/Unspecified","Unspecified",1.25647720624168,,,1.60852603357719,,,,1.60042832573213,,,,1.59356295225897,,,,1.58035466110659,,,,"18","Frost et al. 2015","FALSE",,,,,,,,,0,,,,,,,,
"Pithecia monachus","Pithecia_monachus","nwm","AMNH_187978 (plus other measurements at taxon-level)","Both/Unspecified","Unspecified",1.20065631876379,1.04047694103668,,1.25629897203047,1.19961150071981,0.968030214185169,,1.32143738546455,1.30932389515277,1.17261439739597,,1.32896745687304,1.27802646773925,1.12128274650396,,1.27626729251348,,,,"6;7","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021","FALSE",1.544068044,,3.176091259,,1.3193559410669,0.592,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.80685802951882,,,
"Pithecia pithecia","Pithecia_pithecia","nwm","taxon-level","Both/Unspecified","Unspecified",1.18845669594487,1.06376331586058,,1.25536144951748,1.22399877744317,1.04381436819536,,1.34379441611951,1.3234921774003,1.22877960089223,,1.35098686542142,1.32670998209922,1.21383885322214,,1.28916420108846,,,,"6","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011)","FALSE",1.51321760006794,,3.19865708695442,,1.321,0.573,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.81822589361396,,,
"Plesiadapis cookei","Plesiadapis_cookei","adapiform","UM_87990","Both/Unspecified","All_Left",1.05690485133647,,,,,,,,,,,,,,,,,,,"2","Boyer et al. 2013","FALSE",0.698970004336019,"Converted from volume using 1g = 1cm3.",3.34242268082221,"A pooled estimate using various prediction methods.",,,"37","Gingerich & Gunnell 2005",0,,,,,,,,
"Plesiadapis insignis","Plesiadapis_insignis","adapiform","MNHM_Menat","Both/Unspecified","Unspecified",,,,,,,,1.06818586174616,0.934498451243568,0.89209460269048,,,,,,,,,,"1","Boyer et al. 2016","FALSE",,,,,,,,,0,,,,,,,,
"Plesiadapis tricuspidens","Plesiadapis_tricuspidens","adapiform","MNHN_nn;MNHN_R_5373;MNHN_R_5305","Both/Unspecified","Mix/Unspecified",,,,,,,,1.32428245529769,,,,1.39269695325967,,,,1.15986784709257,,,,"2","Boyer et al. 2013","FALSE",0.716837723299524,"Converted from volume using 1g = 1cm3.",3.657318837055,"Average value from table reporting previously published body mass predictions (Table 8).",,,"26","Harrington et al. 2016",0,,,,,,,,
"Pongo abelii","Pongo_abelii","ape","USNM_A22937;USNM_143588;USNM_143594;USNM_267325","Both/Unspecified","Unspecified",1.66903780088516,1.45429211630417,1.21817431823764,,,,,,1.86042785130777,1.67904158435619,,1.97969250863071,1.86376882402947,1.68057344885365,,1.92766543928285,,,,"5;7","Almecija et al. 2015; Prang et al. 2021","FALSE",2.59050188694736,,4.79806336410912,,,,"27","Venditti et al. 2024",1,0,0,1,1,,,,
"Pongo pygmaeus","Pongo_pygmaeus","ape","taxon-level","Both/Unspecified","Unspecified",1.66086547800387,1.38731862468566,1.182129214053,1.98766626492627,1.76484835719341,1.51454775266029,1.21537315278342,1.97977593272969,1.86209229269649,1.67498776643501,,1.96731391828708,1.84011864613901,1.65377191068474,,1.93145787068901,,,,"5;7;8;9;10","Almecija et al. 2015; Prang et al. 2021; Tague 1997; Feix et al. 2015; Almecija et al. 2014","FALSE",2.534013326,,4.734231916,,2.486,1.723,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.91381385238372,-1.65757731917779,-0.853871964321762,1.57403126772772
"Presbytis comata","Presbytis_comata","owm","AMNH-102462;AMNH-102047","female","Unspecified",1.32325210017169,,,1.5705429398819,,,,1.5854607295085,,,,1.60097289568675,,,,1.5792117802315,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",1.90471554527868,,3.82575058134803,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Trachypithecus cristatus","Trachypithecus_cristatus","owm","taxon-level","Both/Unspecified","Mix/Unspecified",1.26126286879249,0.931709421643859,0.705673690630525,1.56087526057333,1.35790738628428,1.14713522956134,0.835338202725101,1.5651062832652,1.44417882107974,1.28138086404063,,1.55264047023468,1.44025095882511,1.27436882038143,,1.53375913489462,,,,"6;7;8;9;11","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Tague 1997; Feix et al. 2015; Hart 2018","FALSE",1.83421361729844,,3.80482067872116,,,,"27","Venditti et al. 2024",1,0,0,1,1,1.89376176205794,-1.79588001734408,-0.795880017344075,1.25527250510331
"Presbytis frontata","Presbytis_frontata","owm","taxon-level","female","Unspecified",,,,1.57564961475522,,,,1.58726184969253,,,,,,,,,,,,"4","Patel 2010","FALSE",1.90857538026135,,3.74934976059748,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Presbytis melalophos","Presbytis_melalophos","owm","AMNH-106599","male","Unspecified",1.31175386105575,,,1.57978359661681,,,,1.59139855128125,,,,1.60530504614111,,,,1.59439255037543,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",1.77232170672292,,3.81736701628759,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Presbytis potenziani","Presbytis_potenziani","owm","taxon-level","male","Unspecified",,,,1.55351894014897,,,,1.57472558359407,,,,,,,,,,,,"4","Patel 2010","FALSE",1.75587485567249,,3.68277664631443,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Presbytis rubicunda","Presbytis_rubicunda","owm","taxon-level","Both/Unspecified","Mix/Unspecified",1.29446622616159,,,1.61721009455743,,,,1.62841163766486,,,,1.60534474736118,,,,1.58877202465496,,,,"8;11","Tague 1997; Hart 2018","FALSE",1.85135049042188,,3.79696248577825,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Presbytis thomasi","Presbytis_thomasi","owm","taxon-level","female","Unspecified",,,,1.5912872650585,,,,1.59791447120253,,,,,,,,,,,,"4","Patel 2010","FALSE",1.86292075828409,,3.82801506422398,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Procolobus verus","Procolobus_verus","owm","taxon-level","female","Unspecified",,,,1.46568021159828,,,,1.49387611085282,,,,,,,,,,,,"4","Patel 2010","FALSE",1.72098894826092,,3.64836001098093,,,,"27","Venditti et al. 2024",0,,,,,1.91222205653242,,,
"Ekembo heseloni","Ekembo_heseloni","ape","taxon-level","female","Unspecified",1.39794000867204,1.33445375115093,1.05690485133647,1.55630250076729,,,,,,,,1.5854607295085,1.47712125471966,1.23044892137827,,,,,,"3;6;10;14","Almecija et al. 2012; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Almecija et al. 2014; Drapeau & Ward 2007","FALSE",2.22349594096239,"Converted from volume using 1g = 1cm3. Used the estimate viewed as most reliable in the source reported.",4.11394335230684,"Used the estimate viewed as most reliable in the source reported.",,,"36","Gonzales et al. 2015",0,,,,,,,,
"Propithecus diadema","Propithecus_diadema","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.60959440922522,1.54032947479087,,,,,1.42533854827963,,1.6031660326527,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.59987566532547,,3.78746047451842,,,,"27","Venditti et al. 2024",0,,,,,,-1.55284196865778,-1.04575749056068,1.09342168516224
"Propithecus verreauxi","Propithecus_verreauxi","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.48713837547719,1.42160392686983,,,,,1.26158004571505,,1.43870053290074,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.426511261,,3.541579244,,1.12,0.597,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.75663610824585,-1.53760200210104,-1.04575749056068,0.982271233039568
"Ptilocercus lowii","Ptilocercus_lowii","nonprimate","USNM_481106;USNM_488055;USNM_488067;USNM_488072;USNM_488069;USNM_488058","Both/Unspecified","Mix/Unspecified",0.498310553789601,,,0.702430536445525,,,,0.760422483423212,,,,0.723318821716769,,,,0.606202163753863,,,,"2","Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,,,,
"Pygathrix nemaeus","Pygathrix_nemaeus","owm","taxon-level","Both/Unspecified","Unspecified",,,,1.66954931005087,,,,1.68087917442681,,,,,,,,,,,,"4","Patel 2010","FALSE",1.886490725,,3.875061263,,1.688,0.906,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.88366143515362,,,
"Rhinopithecus roxellana","Rhinopithecus_roxellana","owm","AMNH-119648","male","Unspecified",1.36735592102602,,,1.60205999132796,,,,1.61320735210376,,,,1.62117628177504,,,,1.59769518592551,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",2.07098669608397,,4.16879202031418,,,,"27","Venditti et al. 2024",0,,,,,1.92941892571429,,,
"Saguinus midas","Saguinus_midas","nwm","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.14921911265538,1.05307844348342,0.849419413796899,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.013,,2.732843906,,0.770000000000001,0.0260000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Saguinus oedipus","Saguinus_oedipus","nwm","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.15228834438306,1.07188200730613,0.841984804590114,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.984205733,,2.514737442,,0.770000000000001,-0.00699999999999992,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,1,0,1,,,,
"Saimiri sciureus","Saimiri_sciureus","nwm","MCZ_4247 (plus other measurements at taxon-level)","Both/Unspecified","Unspecified",1.06709867248963,0.917028450116763,,1.20138936107787,1.06822857584859,0.908263599446069,,1.17026171539496,1.0899051114394,0.966141732739033,,1.17273044358866,1.09556364096604,0.980698545479245,,1.09208907867528,,,,"6;7;12","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Kirk et al. 2008","FALSE",1.368218434,,2.762453482,,1.193,0.413,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.82477646247555,,,
"Sapajus apella","Sapajus_apella","nwm","FMNH_93261;AMNH_133637;AMNH_133622;FMNH_98046 (plus other measurements at taxon-level)","Both/Unspecified","Unspecified",1.22571953641861,1.11046547635634,0.91343538222303,1.36634725148526,1.2579410986415,1.05935737021345,0.876025291494317,1.38169007778806,1.29001126836447,1.11772444814357,,1.36664734332258,1.28952441065057,1.12698026520477,,1.3361470789276,,,,"5;6;7;9","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015","FALSE",1.85308222,,3.41313205,,1.653,0.813000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.87563993700417,-1.56863623584101,-1.09691001300806,0.897627091290441
"Semnopithecus entellus","Semnopithecus_entellus","owm","FMNH_44835;FMNH_92868;FMNH_53698;FMNH_44834;FMNH_104168;MVZ_121458","Both/Unspecified","Unspecified",1.35446060011181,,,1.57077636879475,,,,1.60314437262018,1.48529543872609,1.30994938425902,,1.57691695596521,,,,1.60688273588837,,,,"4;7","Patel 2010; Prang et al. 2021","FALSE",2.047274867,,3.845718018,,1.881,1.058,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.90254677931399,,,
"Semnopithecus johnii","Semnopithecus_johnii","owm","USNM-49701","male","Unspecified",1.38560627359831,,,1.62716095237478,,,,1.64907511320087,,,,1.66464197555613,,,,1.63848925695464,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",1.92737036303902,,4.06445798922692,,,,"27","Venditti et al. 2024",0,,,,,1.8750612633917,,,
"Symphalangus syndactylus","Symphalangus_syndactylus","ape","EvoMorph_1-Symphalangus_syndactylus;AMNH_106583;USNM_395514;USNM_395691;USNM_143579;USNM_519573;USNM_271048/20204 (plus other measurements at taxon-level)","Both/Unspecified","Unspecified",1.54590127012188,1.32612542931925,1.05690485133647,1.83624474512324,1.63123032024408,1.40910278537459,,1.79942966849104,1.66483859508652,1.50435889598921,,1.76573494878574,1.62549084303828,1.45870174691726,,1.71048821835011,,,,"5;6;7","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021","FALSE",2.129689892,,4.085361944,,,,"27","Venditti et al. 2024",0,,,,,1.87390159786446,,,
"Cephalopachus bancanus","Cephalopachus_bancanus","tarsier","taxon-level","Both/Unspecified","Unspecified",0.904309725767542,0.846646328577118,,1.05757102027904,1.09803771328509,0.94571471405986,,1.07188200730613,1.15533603746506,1.01703333929878,,1.01230984822033,1.11693964655076,0.995525510424242,,0.874336835397368,,,,"6;12","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008","FALSE",0.431363764,,1.889861721,,,,"27","Venditti et al. 2024",0,,,,,1.66558099101795,-1.63827216398241,-0.958607314841775,0.763427993562937
