"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Plecturocebus donacophilus","Plecturocebus_donacophilus","nwm","FMNH_121650","female","Unspecified",1.02530586526477,,,,,,,,1.19451434188247,1.02530586526477,,,,,,1.09342168516224,,,,"7","Prang et al. 2021","FALSE",1.13994202306998,"Converted from volume using 1g = 1cm3.",2.95311671136795,,,,"33;34","Aristide et al. 2015; Jones et al. 2009 (PanTHERIA)",0,,,,,,,,
"Plecturocebus moloch","Plecturocebus_moloch","nwm","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.20411998265592,1.19312459835446,1.02118929906994,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.278753601,,2.954242509,,0.960000000000001,0.131,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Callithrix jacchus","Callithrix_jacchus","nwm","taxon-level","Both/Unspecified","Unspecified",0.900587052762018,0.814966061847481,,1.02291085316815,0.913330709432246,0.741123175292047,,1.06818586174616,0.979092900638326,0.798650645445269,,1.06207709114227,0.936078856284892,0.799071066929591,,0.965828909342021,,,,"6;12","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008","FALSE",0.888281633,,2.540897998,,0.641000000000001,-0.121,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Carpolestes simpsoni","Carpolestes_simpsoni","nonprimate","UM_101963","Both/Unspecified","Unspecified",,,,,,,,0.8561244442423,0.82020145948564,0.662757831681574,0.361727836017593,,,,,,,,,"1","Boyer et al. 2016","FALSE",,,,,,,,,0,,,,,,,,
"Cebus albifrons","Cebus_albifrons","nwm","taxon-level","Both/Unspecified","Unspecified",1.24781497037766,1.16181815341197,1.01130125676674,1.38367344764488,1.28505015505419,1.1074267799764,0.983275382578022,1.41236847253225,1.30656840491628,1.1343126816325,,1.38860708016625,1.30937047351314,1.15706809537785,,1.32844029389074,,,,"5;6;9","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Feix et al. 2015","FALSE",1.798995734,,3.209515015,,1.694,0.882000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,,-1.53760200210104,-1.09691001300806,0.939519252618618
"Cebus capucinus","Cebus_capucinus","nwm","AMNH_135414","Both/Unspecified","Unspecified",1.28420506770179,,,,,,,,1.34537373055909,1.19395897801919,,1.41813549842523,,,,1.36097188372594,,,,"7","Prang et al. 2021","FALSE",1.845934801,,3.32322631,,1.727,0.862000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.83569057149243,,,
"Cebus olivaceus","Cebus_olivaceus","nwm","AMNH_30196;AMNH_42873;AMNH_30197;AMNH_30195;AMNH_30198;AMNH_42884 (plus some measurements at taxon-level)","Both/Unspecified","Unspecified",1.25651263009643,1.01262312632137,,1.29984525899482,1.16224220749618,1.02577982007179,,1.30176187815597,1.32512224772685,1.15908416076727,,1.39116652807101,1.18180892500461,1.04654715364706,,1.32193071474978,,,,"6;7","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021","FALSE",1.860338007,,3.428863408,,,,"27","Venditti et al. 2024",1,0,0,0,1,,,,
"Cercocebus agilis","Cercocebus_agilis","papionini","AMNH-52634;AMNH-52641;AMNH_52641","Both/Unspecified","Unspecified",1.38066339634058,,,1.56181666431896,,,,1.56749689110422,1.44638181222244,1.25623653320592,,1.54961623951909,,,,1.55878854373695,,,,"4;7;18","Patel 2010; Prang et al. 2021; Frost et al. 2015","FALSE",1.979092901,,3.672097858,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Lophocebus aterrimus","Lophocebus_aterrimus","papionini","FMNH_47048","male","Unspecified",1.36735592102602,,,1.52943035436699,,,,1.54381980514266,1.50188049375506,1.3174364965351,,1.5398285583779,,,,1.58804749698608,,,,"4;7","Patel 2010; Prang et al. 2021","FALSE",2.0068548932814,,3.83250891270624,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Lophocebus albigena","Lophocebus_albigena","papionini","MCZ_37928;MVZ_120921;AMNH-52603;AMNH-52596;AMNH_52596","Both/Unspecified","Unspecified",1.34056308333337,,,1.55345822938045,,,,1.57001726564152,1.45712462630341,1.30549467731194,,1.55108386518578,,,,1.56295866865462,,,,"4;7;18","Patel 2010; Prang et al. 2021; Frost et al. 2015","FALSE",1.985875357,,3.70969387,,1.85,1.035,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.87794695162919,,,
