Species,ref_column,Variable,reference,merged,status,ratio,likely,merge_source,merge_year,beat
Cercopithecus mitis,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,1.04,1042,DIFFERS,1001.9230769230769,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Gorilla sp.,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,3.12,3123,DIFFERS,1000.9615384615385,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Homo sapiens,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,5.44,5439,DIFFERS,999.8161764705882,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Hylobates lar,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,1.18,1176,DIFFERS,996.6101694915254,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Lagothrix lagothricha,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,1.23,1226,DIFFERS,996.7479674796748,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Lophocebus albigena,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,1.41,1411,DIFFERS,1000.7092198581561,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Miopithecus talapoin,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.71,709,DIFFERS,998.5915492957747,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Pan troglodytes,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,4,4004,DIFFERS,1001,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Papio anubis,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,3.74,3740,DIFFERS,999.9999999999999,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Piliocolobus badius,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.93,926,DIFFERS,995.6989247311827,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Pongo sp.,Body_weight,Body_Mass.g,35600,46325,DIFFERS,1.3012640449438202,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Body_weight,Body_Mass.g,57050,46325,DIFFERS,0.8120070113935145,NA,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Brain_weight,Brain_Mass.mg,55800,55.8,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Cercocebus agilis,Brain_weight,Brain_Mass.mg,95300,95.3,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Colobus angolensis,Brain_weight,Brain_Mass.mg,74400,74.4,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,deSousa_etal_2013_Table1 (2013) = 74400
Hylobates muelleri,Brain_weight,Brain_Mass.mg,101800,101.8,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,deSousa_etal_2013_Table1 (2013) = 101800
Leontopithecus rosalia,Brain_weight,Brain_Mass.mg,12700,12.7,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Macaca maura,Brain_weight,Brain_Mass.mg,83300,83.3,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Pan paniscus,Brain_weight,Brain_Mass.mg,352000,352,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,deSousa_etal_2013_Table1 (2013) = 364500
Pithecia pithecia,Brain_weight,Brain_Mass.mg,30000,30,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Brain_weight,Brain_Mass.mg,345900,353.2,DIFFERS,0.0010211043654235327,NA,Bauernfeind_etal_2013_Table1,2013,deSousa_etal_2013_Table1 (2013) = 384667
Pongo sp.,Brain_weight,Brain_Mass.mg,336000,353.2,DIFFERS,0.0010511904761904762,NA,Bauernfeind_etal_2013_Table1,2013,deSousa_etal_2013_Table1 (2013) = 384667
Saguinus geoffroyi,Brain_weight,Brain_Mass.mg,10500,10.5,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Symphalangus syndactylus,Brain_weight,Brain_Mass.mg,138700,138.7,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Trachypithecus francoisi,Brain_weight,Brain_Mass.mg,102100,102.1,DIFFERS,0.001,/1000 (mm3 vs cm3),Bauernfeind_etal_2013_Table1,2013,NA
Alouatta seniculus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.6,0.595,DIFFERS,0.9916666666666667,NA,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.22,0.222,DIFFERS,1.009090909090909,NA,Stephan_etal_1981_TableVI,1981,NA
Callicebus moloch,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.33,0.325,DIFFERS,0.9848484848484849,NA,Stephan_etal_1981_TableVI,1981,NA
Callimico goeldii,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.51,0.512,DIFFERS,1.003921568627451,NA,Stephan_etal_1981_TableVI,1981,NA
Callithrix jacchus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.33,0.326,DIFFERS,0.9878787878787879,NA,Stephan_etal_1981_TableVI,1981,NA
Callithrix pygmaea,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.39,0.386,DIFFERS,0.9897435897435898,NA,Stephan_etal_1981_TableVI,1981,NA
Cebus albifrons,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.67,0.667,DIFFERS,0.9955223880597015,NA,Stephan_etal_1981_TableVI,1981,NA
Pithecia monachus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.85,0.846,DIFFERS,0.9952941176470588,NA,Stephan_etal_1981_TableVI,1981,NA
Saguinus oedipus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.41,0.406,DIFFERS,0.9902439024390245,NA,Stephan_etal_1981_TableVI,1981,NA
Saimiri sciureus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.99,0.985,DIFFERS,0.9949494949494949,NA,Stephan_etal_1981_TableVI,1981,NA
Cercopithecus ascanius,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,52,52.1,DIFFERS,1.001923076923077,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 52
Hylobates lar,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,59.3,59.4,DIFFERS,1.0016863406408094,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 59.3
Lagothrix lagothricha,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,53,53.1,DIFFERS,1.0018867924528303,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 53
Lophocebus albigena,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,87.1,87,DIFFERS,0.9988518943742825,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 87.1
Loris tardigradus,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,8.45,8.46,DIFFERS,1.001183431952663,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 8.45
Propithecus verreauxi,Complexus.vestibularis,Complexus_vestibularis_unilateral_Vol.mm3,43.2,43.3,DIFFERS,1.0023148148148147,NA,Matano__1986_TableI,1986,Stephan_etal_1981_TableXIII (1981) = 43.2
Cercopithecus mitis,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,150,167.2,DIFFERS,1.1146666666666667,NA,deSousa_etal_2013_Table1,2013,Stephan_etal_1984_Table1 (1984) = 150 | Stephan_etal_1981_TableIX (1981) = 150
Erythrocebus patas,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,267,266.8,DIFFERS,0.9992509363295881,NA,deSousa_etal_2013_Table1,2013,NA
Gorilla sp.,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,308.5,300.1,DIFFERS,0.9727714748784442,NA,deSousa_etal_2013_Table1,2013,Stephan_etal_1984_Table1 (1984) = 384 | Stephan_etal_1981_TableIX (1981) = 384
Hylobates muelleri,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,162,161.6,DIFFERS,0.9975308641975308,NA,deSousa_etal_2013_Table1,2013,NA
Microcebus murinus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,7.1,7.07,DIFFERS,0.9957746478873241,NA,Stephan_etal_1984_Table1,1984,Stephan_etal_1981_TableIX (1981) = 7.03
Nasalis larvatus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,157,156.6,DIFFERS,0.9974522292993631,NA,deSousa_etal_2013_Table1,2013,NA
Pan paniscus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,275.1,282.3,DIFFERS,1.0261723009814612,NA,deSousa_etal_2013_Table1,2013,NA
Pan troglodytes,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,250.7,344,DIFFERS,1.3721579577183887,NA,deSousa_etal_2013_Table1,2013,Stephan_etal_1984_Table1 (1984) = 356 | Stephan_etal_1981_TableIX (1981) = 356
Pygathrix nemaeus,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,115,114.8,DIFFERS,0.9982608695652173,NA,deSousa_etal_2013_Table1,2013,NA
Saguinus midas,LGN_Sousa,Corpus_geniculatum_laterale_Vol.mm3,36,36.8,DIFFERS,1.0222222222222221,NA,Stephan_etal_1981_TableIX,1981,NA
Alouatta seniculus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.25,0.254,DIFFERS,1.016,NA,Stephan_etal_1981_TableXVI,1981,NA
Avahi occidentalis,Corpus.pineale,Corpus_pineal_Vol.mm3,0.65,0.652,DIFFERS,1.003076923076923,NA,Stephan_etal_1981_TableXV,1981,NA
Callithrix jacchus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.49,0.486,DIFFERS,0.9918367346938776,NA,Stephan_etal_1981_TableXVI,1981,NA
Cheirogaleus major,Corpus.pineale,Corpus_pineal_Vol.mm3,0.79,0.789,DIFFERS,0.9987341772151899,NA,Stephan_etal_1981_TableXV,1981,NA
Cheirogaleus medius,Corpus.pineale,Corpus_pineal_Vol.mm3,0.69,0.691,DIFFERS,1.0014492753623188,NA,Stephan_etal_1981_TableXV,1981,NA
Galago senegalensis,Corpus.pineale,Corpus_pineal_Vol.mm3,0.74,0.741,DIFFERS,1.0013513513513514,NA,Stephan_etal_1981_TableXV,1981,NA
Galagoides demidoff,Corpus.pineale,Corpus_pineal_Vol.mm3,0.38,0.375,DIFFERS,0.9868421052631579,NA,Stephan_etal_1981_TableXV,1981,NA
Lepilemur ruficaudatus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.73,0.731,DIFFERS,1.0013698630136987,NA,Stephan_etal_1981_TableXV,1981,NA
Loris tardigradus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.34,0.335,DIFFERS,0.9852941176470588,NA,Stephan_etal_1981_TableXV,1981,NA
Pithecia monachus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.06,0.0623,DIFFERS,1.0383333333333333,NA,Stephan_etal_1981_TableXVI,1981,NA
Saguinus midas,Corpus.pineale,Corpus_pineal_Vol.mm3,0.22,0.216,DIFFERS,0.9818181818181818,NA,Stephan_etal_1981_TableXVI,1981,NA
Saguinus oedipus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.39,0.392,DIFFERS,1.005128205128205,NA,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.4,0.402,DIFFERS,1.005,NA,Stephan_etal_1981_TableXVI,1981,NA
Ateles geoffroyi,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.61,0.608,DIFFERS,0.9967213114754099,NA,Stephan_etal_1981_TableXVI,1981,NA
Avahi occidentalis,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.09,0.0942,DIFFERS,1.0466666666666669,NA,Stephan_etal_1981_TableXV,1981,NA
Callicebus moloch,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.15,0.154,DIFFERS,1.0266666666666666,NA,Stephan_etal_1981_TableXVI,1981,NA
Callithrix jacchus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.08,0.0789,DIFFERS,0.98625,NA,Stephan_etal_1981_TableXVI,1981,NA
Cebus albifrons,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.43,0.425,DIFFERS,0.9883720930232558,NA,Stephan_etal_1981_TableXVI,1981,NA
Cercopithecus ascanius,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.22,0.217,DIFFERS,0.9863636363636363,NA,Stephan_etal_1981_TableXVI,1981,NA
Cercopithecus mitis,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.26,0.258,DIFFERS,0.9923076923076923,NA,Stephan_etal_1981_TableXVI,1981,NA
Cheirogaleus major,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.03,0.032,DIFFERS,1.0666666666666667,NA,Stephan_etal_1981_TableXV,1981,NA
Cheirogaleus medius,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.04,0.0432,DIFFERS,1.08,NA,Stephan_etal_1981_TableXV,1981,NA
Eulemur fulvus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.17,0.174,DIFFERS,1.0235294117647058,NA,Stephan_etal_1981_TableXV,1981,NA
Galago senegalensis,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.04,0.0382,DIFFERS,0.955,NA,Stephan_etal_1981_TableXV,1981,NA
Galagoides demidoff,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.03,0.0266,DIFFERS,0.8866666666666666,NA,Stephan_etal_1981_TableXV,1981,NA
Homo sapiens,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.02,0.0203,DIFFERS,1.015,NA,Stephan_etal_1981_TableXVI,1981,NA
Indri indri,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.37,0.366,DIFFERS,0.9891891891891892,NA,Stephan_etal_1981_TableXV,1981,NA
Lagothrix lagothricha,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.89,0.885,DIFFERS,0.9943820224719101,NA,Stephan_etal_1981_TableXVI,1981,NA
Lepilemur ruficaudatus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.13,0.132,DIFFERS,1.0153846153846153,NA,Stephan_etal_1981_TableXV,1981,NA
Lophocebus albigena,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.23,0.233,DIFFERS,1.0130434782608695,NA,Stephan_etal_1981_TableXVI,1981,NA
Loris tardigradus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.1,0.103,DIFFERS,1.0299999999999998,NA,Stephan_etal_1981_TableXV,1981,NA
Microcebus murinus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.02,0.0233,DIFFERS,1.165,NA,Stephan_etal_1981_TableXV,1981,NA
Nycticebus coucang,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.15,0.154,DIFFERS,1.0266666666666666,NA,Stephan_etal_1981_TableXV,1981,NA
Otolemur crassicaudatus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.1,0.102,DIFFERS,1.0199999999999998,NA,Stephan_etal_1981_TableXV,1981,NA
Pan troglodytes,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.39,0.387,DIFFERS,0.9923076923076923,NA,Stephan_etal_1981_TableXVI,1981,NA
Papio anubis,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.35,0.347,DIFFERS,0.9914285714285714,NA,Stephan_etal_1981_TableXVI,1981,NA
Perodicticus potto,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.26,0.264,DIFFERS,1.0153846153846153,NA,Stephan_etal_1981_TableXV,1981,NA
Piliocolobus badius,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.27,0.265,DIFFERS,0.9814814814814815,NA,Stephan_etal_1981_TableXVI,1981,NA
Pithecia monachus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.19,0.189,DIFFERS,0.9947368421052631,NA,Stephan_etal_1981_TableXVI,1981,NA
Propithecus verreauxi,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.36,0.357,DIFFERS,0.9916666666666667,NA,Stephan_etal_1981_TableXV,1981,NA
Saguinus midas,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.1,0.0994,DIFFERS,0.994,NA,Stephan_etal_1981_TableXVI,1981,NA
Saguinus oedipus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.09,0.0921,DIFFERS,1.0233333333333334,NA,Stephan_etal_1981_TableXVI,1981,NA
Saimiri sciureus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.14,0.143,DIFFERS,1.0214285714285714,NA,Stephan_etal_1981_TableXVI,1981,NA
Tarsius sp.,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.11,0.114,DIFFERS,1.0363636363636364,NA,Stephan_etal_1981_TableXV,1981,NA
Varecia variegata,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.2,0.197,DIFFERS,0.985,NA,Stephan_etal_1981_TableXV,1981,NA
Alouatta seniculus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.37,0.372,DIFFERS,1.0054054054054054,NA,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.16,0.162,DIFFERS,1.0125,NA,Stephan_etal_1981_TableXVI,1981,NA
Ateles geoffroyi,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.44,0.443,DIFFERS,1.0068181818181818,NA,Stephan_etal_1981_TableXVI,1981,NA
Avahi laniger,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.12,0.116,DIFFERS,0.9666666666666668,NA,Stephan_etal_1981_TableXV,1981,NA
Avahi occidentalis,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.19,0.188,DIFFERS,0.9894736842105263,NA,Stephan_etal_1981_TableXV,1981,NA
Callicebus moloch,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.14,0.135,DIFFERS,0.9642857142857143,NA,Stephan_etal_1981_TableXVI,1981,NA
Callithrix jacchus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.13,0.133,DIFFERS,1.023076923076923,NA,Stephan_etal_1981_TableXVI,1981,NA
Cercopithecus ascanius,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.51,0.509,DIFFERS,0.9980392156862745,NA,Stephan_etal_1981_TableXVI,1981,NA
Cercopithecus mitis,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.43,0.432,DIFFERS,1.0046511627906978,NA,Stephan_etal_1981_TableXVI,1981,NA
Cheirogaleus major,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.26,0.256,DIFFERS,0.9846153846153846,NA,Stephan_etal_1981_TableXV,1981,NA
Cheirogaleus medius,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.17,0.171,DIFFERS,1.0058823529411764,NA,Stephan_etal_1981_TableXV,1981,NA
Daubentonia madagascariensis,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.59,0.593,DIFFERS,1.005084745762712,NA,Stephan_etal_1981_TableXV,1981,NA
Eulemur fulvus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.53,0.527,DIFFERS,0.9943396226415094,NA,Stephan_etal_1981_TableXV,1981,NA
Galago senegalensis,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.07,0.0668,DIFFERS,0.9542857142857142,NA,Stephan_etal_1981_TableXV,1981,NA
Galagoides demidoff,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.02,0.024,DIFFERS,1.2,NA,Stephan_etal_1981_TableXV,1981,NA
Homo sapiens,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.51,0.508,DIFFERS,0.996078431372549,NA,Stephan_etal_1981_TableXVI,1981,NA
Indri indri,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.55,0.553,DIFFERS,1.0054545454545454,NA,Stephan_etal_1981_TableXV,1981,NA
Lagothrix lagothricha,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.58,0.583,DIFFERS,1.0051724137931035,NA,Stephan_etal_1981_TableXVI,1981,NA
Lepilemur ruficaudatus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.12,0.121,DIFFERS,1.0083333333333333,NA,Stephan_etal_1981_TableXV,1981,NA
Lophocebus albigena,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.66,0.658,DIFFERS,0.996969696969697,NA,Stephan_etal_1981_TableXVI,1981,NA
Loris tardigradus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.21,0.207,DIFFERS,0.9857142857142857,NA,Stephan_etal_1981_TableXV,1981,NA
Microcebus murinus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.06,0.0556,DIFFERS,0.9266666666666666,NA,Stephan_etal_1981_TableXV,1981,NA
Miopithecus talapoin,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.19,0.192,DIFFERS,1.0105263157894737,NA,Stephan_etal_1981_TableXVI,1981,NA
Nycticebus coucang,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.18,0.175,DIFFERS,0.9722222222222222,NA,Stephan_etal_1981_TableXV,1981,NA
Otolemur crassicaudatus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.09,0.0948,DIFFERS,1.0533333333333332,NA,Stephan_etal_1981_TableXV,1981,NA
Pan troglodytes,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.61,0.606,DIFFERS,0.9934426229508196,NA,Stephan_etal_1981_TableXVI,1981,NA
Papio anubis,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.41,0.405,DIFFERS,0.9878048780487806,NA,Stephan_etal_1981_TableXVI,1981,NA
Perodicticus potto,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.22,0.216,DIFFERS,0.9818181818181818,NA,Stephan_etal_1981_TableXV,1981,NA
Piliocolobus badius,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.45,0.454,DIFFERS,1.008888888888889,NA,Stephan_etal_1981_TableXVI,1981,NA
Propithecus verreauxi,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.51,0.507,DIFFERS,0.9941176470588236,NA,Stephan_etal_1981_TableXV,1981,NA
Saguinus midas,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.08,0.0795,DIFFERS,0.99375,NA,Stephan_etal_1981_TableXVI,1981,NA
Saguinus oedipus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.17,0.167,DIFFERS,0.9823529411764705,NA,Stephan_etal_1981_TableXVI,1981,NA
Saimiri sciureus,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.26,0.255,DIFFERS,0.9807692307692307,NA,Stephan_etal_1981_TableXVI,1981,NA
Tarsius sp.,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.05,0.0482,DIFFERS,0.964,NA,Stephan_etal_1981_TableXV,1981,NA
Varecia variegata,Corpus.subfornicale,Corpus_subfornicale_Vol.mm3,0.74,0.741,DIFFERS,1.0013513513513514,NA,Stephan_etal_1981_TableXV,1981,NA
Pongo sp.,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,599.5,828.25,DIFFERS,1.3815679733110926,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,1057,828.25,DIFFERS,0.783585619678335,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,218.5,208.75,DIFFERS,0.9553775743707094,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,199,208.75,DIFFERS,1.0489949748743719,NA,Bauernfeind_etal_2013_Table1,2013,NA
Gorilla sp.,Total_insula_volume_L,Insula_left_Vol.mm3,2146,2145.5,DIFFERS,0.999767008387698,NA,Bauernfeind_etal_2013_Table1,2013,NA
Homo sapiens,Total_insula_volume_L,Insula_left_Vol.mm3,6165,6479,DIFFERS,1.0509326845093268,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pan paniscus,Total_insula_volume_L,Insula_left_Vol.mm3,1690,1690.33333333333,DIFFERS,1.0001972386587752,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pan troglodytes,Total_insula_volume_L,Insula_left_Vol.mm3,1601,1600.66666666667,DIFFERS,0.9997917967936727,NA,Bauernfeind_etal_2013_Table1,2013,NA
