taxon,sp,dec_region,our_term,dec_value,ref_ids,status_original,matched_value_original,status_expanded,matched_value_expanded
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,107300.0,61,decasien_only,,decasien_only,
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,10700.0,61,decasien_only,,decasien_only,
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,10060.885060885059,34,value_diff,9697.9,value_diff,9697.9
Avahi_laniger,avahi laniger,V1 (GM),Area_striata_grey_matter_Vol.mm3,475.0,34,match,466.65,match,466.65
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9256.8,43,value_diff,9697.9,value_diff,9697.9
Avahi_laniger,avahi laniger,Granular Insula,Granular_insular_cortex_left_Vol.mm3,26.0,43,decasien_only,,decasien_only,
Avahi_laniger,avahi laniger,Dysgranular Insula,Dysgranular_insular_cortex_left_Vol.mm3,36.0,43,decasien_only,,decasien_only,
Avahi_laniger,avahi laniger,Insula (GM),Insula_left_Vol.mm3,76.0,43,decasien_only,,decasien_only,
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9798.0,53,match,9697.9,match,9697.9
Avahi_laniger,avahi laniger,Medulla,Medulla_oblongata_Vol.mm3,553.35,53,match,553.175,match,553.175
Avahi_laniger,avahi laniger,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,1.76,53,value_diff,0.88,value_diff,0.88
Avahi_laniger,avahi laniger,VII,Facial_motor_nucleus_left_Vol.mm3,2.14,53,value_diff,1.07,value_diff,1.07
Avahi_laniger,avahi laniger,XII,Hypoglossal_nucleus_left_Vol.mm3,1.48,53,value_diff,0.74,value_diff,0.74
Avahi_laniger,avahi laniger,BV,Total_brain_net_volume_Vol.mm3,9798.0,"24,51-52",match,9697.9,match,9697.9
Avahi_laniger,avahi laniger,Cerebellum,Cerebellum_Vol.mm3,1489.0,"24,51-52",match,1489.0,match,1489.0
Avahi_laniger,avahi laniger,Mesencephalon,Mesencephalon_Vol.mm3,343.0,"24,51-52",match,343.0,match,343.0
Avahi_laniger,avahi laniger,Diencephalon,Diencephalon_Vol.mm3,862.0,"24,51-52",match,862.0,match,862.0
Avahi_laniger,avahi laniger,Telencephalon,Telencephalon_Vol.mm3,6550.0,"24,51-52",match,6550.0,match,6550.0
Avahi_laniger,avahi laniger,MOB,Bulbus_olfactorius_Vol.mm3,89.2,"24,51-52",match,89.2,match,89.2
Avahi_laniger,avahi laniger,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,3.01,"24,51-52",match,3.01,match,3.01
Avahi_laniger,avahi laniger,Piriform Lobe,Lobus_piriformis_Vol.mm3,284.0,"24,51-52",match,284.0,match,284.0
