Species,Variable,Value,Source,Team,Year
Tenrec ecaudatus,Septum_Vol.mm3,37.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Striatum_Vol.mm3,101,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Schizo_cortex_Vol.mm3,71.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Hippocampus_Vol.mm3,146,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Neocortex_Vol.mm3,280,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Body_Mass.g,860,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Brain_Mass.mg,3350,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Total_brain_net_volume_Vol.mm3,2969,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Medulla_oblongata_Vol.mm3,289,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Cerebellum_Vol.mm3,388,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Mesencephalon_Vol.mm3,142,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Diencephalon_Vol.mm3,229,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Telencephalon_Vol.mm3,1921,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Bulbus_olfactorius_Vol.mm3,350,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Palaeocortex_plus_amygdala_Vol.mm3,507,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Septum_Vol.mm3,46.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Striatum_Vol.mm3,134,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Schizo_cortex_Vol.mm3,120,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Hippocampus_Vol.mm3,220,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Erinaceus europaeus,Neocortex_Vol.mm3,543,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Body_Mass.g,700,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Brain_Mass.mg,3550,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Total_brain_net_volume_Vol.mm3,3174,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Medulla_oblongata_Vol.mm3,397,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Cerebellum_Vol.mm3,407,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Mesencephalon_Vol.mm3,157,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Diencephalon_Vol.mm3,285,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Telencephalon_Vol.mm3,1927,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,297,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Palaeocortex_plus_amygdala_Vol.mm3,504,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Septum_Vol.mm3,41.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Striatum_Vol.mm3,163,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Schizo_cortex_Vol.mm3,113,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Hippocampus_Vol.mm3,268,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Atelerix algirus,Neocortex_Vol.mm3,541,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Body_Mass.g,900,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
