Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Macaca fascicularis,NA,NA,NA,NA,NA,NA,57600,NA,NA,NA,55598.5,NA,NA,NA,NA,NA,NA,2713.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca maura,NA,NA,NA,NA,71,6050,83.3,240,181,492,80405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,3680,1380,30500,16400,NA,7800,93000,NA,NA,NA,87514.76666666666,NA,NA,NA,NA,678.4,6586,5343,NA,NA,1243,84.3,0,NA,NA,NA,235.31,8099.166666666665,123.4,185.2,493.2,107.5,150,158,12.4,0.27,0.36,4480,NA,NA,NA,NA,NA,1353,NA,75.13,106.94,1220,53.24,1992,1380,332,63482,NA,NA,69.7,7.66,2.83,0.13,35.9,22.9,62.4,29,NA,203.1,15.2,639,271,4032,NA,50.9,71080,35.1,113.8,639.2,834,NA,NA,NA,NA,NA,NA,NA,NA,4883.33333333333,2333.33333333333,NA,NA,NA
Mandrillus sphinx,7160,1890,71300,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marmosa mitis,87.1,10.2,119,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus murinus,172,33.1,632.6,81.455,NA,54,1780,NA,NA,NA,1699.05,1.623,0.47,0.498,0.655,36.6,144,137.5,15,121,8.24,43,1.62,30.45,2.33,23.82,4.74,234,2,12,24.5,7.84,7.42,7.1,0.14,0.0233,0.0556,134,20.9,NA,NA,12.38,4.48,100.35,87.97,1.14,2.11,103,1.49,99.1,85.2,13.2,739.75,94.97,579.3,2.1,0.461,0.274,0.3,2,1.3,2.87,1.25,66.8,38.2,8.1,40.1,15.3,85.7,5.99,4.3,1129,1.6,12.3,5.9,11.3,9.08,1.44,29.8,0.65,10.7,11.4,78.3,6.17,NA,NA,NA,NA,NA
Microgale cowani,NA,NA,NA,NA,NA,15.2,420,NA,NA,NA,392,0.162,0.032,0.048,0.082,14.8,NA,NA,NA,NA,NA,35.9,0.162,NA,NA,NA,NA,49.5,1.1,5.5,9.3,NA,NA,NA,0.0152,0.00129,0.0116,25.4,NA,NA,NA,NA,NA,36.4,NA,NA,NA,79,NA,45.3,24,NA,57.2,NA,NA,0.91,0.147,0.216,0.7,NA,NA,NA,NA,NA,40.3,7.7,13.5,6.08,19.4,NA,0.9,248,1.8,12.4,NA,7.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microgale mergulus,NA,NA,NA,NA,NA,92,1150,NA,NA,NA,1046,0.323,0.078,0.08,0.165,26.8,NA,NA,NA,NA,NA,42.9,0.323,NA,NA,NA,NA,176,1.4,11,15.8,NA,NA,NA,0.122,0.00202,0.0194,81,NA,NA,NA,NA,NA,78.2,NA,NA,NA,87.4,NA,204,67.4,NA,196,NA,NA,2.5,0.469,0.602,0.31,NA,NA,NA,NA,NA,33.4,7.9,36.4,19.5,57.9,NA,1.6,518,3.1,13.2,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micropotamogale lamottei,NA,NA,NA,NA,NA,64.2,800,NA,NA,NA,743,0.061,0.005,0.024,0.032,19,NA,NA,NA,NA,NA,34.1,0.0605,NA,NA,NA,NA,82.7,0.92,8.7,10.3,NA,NA,NA,NA,NA,NA,62.8,NA,NA,NA,NA,NA,77.7,NA,NA,NA,67.3,NA,135,58.6,NA,144,NA,NA,1.4,NA,NA,0.27,NA,NA,NA,NA,NA,27.1,7.7,32.9,15.1,32.6,NA,1.4,404,2.4,8.7,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micropotamogale ruwenzorii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,NA,1.9,9.3,12.9,47.6,8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,0.47,2.64,1.28,3.28,1.43,NA,33.8,7.5,NA,NA,NA,NA,3.2,NA,1.7,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microsorex hoyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,0.26,1.4,2.1,2.15,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0.11,0.166,0.115,0.219,0.0811,NA,6.1,2,NA,NA,NA,NA,0.49,NA,0.31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miopithecus talapoin,NA,NA,NA,NA,NA,1200,40000,NA,NA,NA,38193,NA,NA,NA,NA,413.1,3048,2339,NA,NA,709,27.8,0,183.4,15.31,134.6,78.95,3374,46,101.9,311.3,48.1,86.8,109,2.03,0.22,0.192,2375,87.59,5180,1830,190.75,51.91,704.87,514.12,26.42,33.84,706,18.69,1035,826,136.4,26427,NA,NA,52.9,2.07,0.866,NA,21.4,15.2,33.9,16.3,NA,132.1,8.8,259,133,1908,41.31,40.2,30166,14.1,51.5,273.7,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius,626,122,2140,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela vison,859,217,4750,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myosorex babaulti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,1.4,6.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,0.58,NA,NA,NA,NA,NA,30,7.3,NA,NA,NA,NA,1.2,NA,1.4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoxus glis,245,48.1,490,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmecophaga tridactyla,9020,3190,19900,8580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasalis larvatus,NA,NA,NA,NA,NA,14000,97000,NA,NA,NA,92797,NA,NA,NA,NA,718.9,NA,4609,NA,NA,NA,30.3,0,546.36,69.39,370.1,340.36,12113,88.7,219.8,499.1,113.7,171,156.6,NA,NA,NA,5310,205.69,8080,2700,518.83,142.29,1965.93,1447.1,105.48,149.33,1268,85.55,2945,1556,364.9,62685,NA,NA,55.8,NA,NA,NA,48.9,31.2,66.9,23.7,NA,196.3,14.6,855,333,3735,113.27,58.1,70873,26.6,164.8,967.4,591,564,29.6,671,37.2,550,587,3036,304,NA,NA,NA,NA,NA
Nasua narica,2940,794,12100,4800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neomys fodiens,NA,NA,50.19,6.371,NA,15.2,320,NA,NA,NA,299,0.101,0.018,0.034,0.049,8.6,NA,NA,NA,NA,NA,16.2,0.101,NA,NA,NA,NA,38.9,0.84,4.1,4.4,9.66,2.31,NA,0.027,4.18e-4,0.0069,25.2,NA,NA,NA,NA,NA,32.9,NA,NA,NA,36,NA,42.2,17.3,NA,56.56,9.67,40.52,1.2,0.205,0.263,0.24,0.726,0.355,0.961,0.269,52.7,12.4,4.3,9,6.42,18.7,NA,1.7,175,0.71,6,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale dobsoni,NA,NA,NA,NA,NA,32.6,560,NA,NA,NA,513,0.178,0.019,0.059,0.1,17,NA,NA,NA,NA,NA,53.6,0.178,NA,NA,NA,NA,57.3,1.4,6.8,10.2,NA,NA,NA,0.0356,9.5e-4,0.0076,32.8,NA,NA,NA,NA,NA,67,NA,NA,NA,93.5,NA,59,37.9,NA,62.9,NA,NA,1.7,0.242,0.28,0.75,NA,NA,NA,NA,NA,48,10.2,16.3,9.58,23.1,NA,1.6,326,2.4,13,NA,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale talazaci,NA,NA,NA,NA,NA,50.4,790,NA,NA,NA,741,0.369,0.084,0.102,0.183,25.8,NA,NA,NA,NA,NA,74.3,0.369,NA,NA,NA,NA,92.3,2.8,12.4,13.4,13.8,3.49,NA,0.0894,0.00147,0.0191,43.8,NA,NA,NA,NA,NA,98.9,NA,NA,NA,139,NA,85.3,47.2,NA,96.2,NA,NA,1.7,0.381,0.378,0.77,0.896,0.691,1.54,0.366,NA,71.6,14.5,20.7,11.2,31.2,NA,1.9,472,3.9,18.5,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus coucang,1200,196,4676,1155,NA,800,12500,NA,NA,NA,11910.3,4.276,1.346,1.305,1.625,189.2,828,696,93.8,603,132,159.3,4.28,178.14,17.34,135.76,33.75,1310,22.9,67.8,121.4,36.6,34.9,35.9,1.83,0.154,0.175,1077,91.22,NA,NA,67.06,23.62,565.77,498.71,8.76,14.03,510,10.96,528,345,NA,6192,712.7,4240,11.4,2.04,1.34,1.1,8.88,5.62,14.7,5.72,NA,179,38.5,212,92,760,52.63,21.5,8495,6.4,52.2,63.8,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odocoileus virginianus,11100,4160,52000,24400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzorictes hova,NA,NA,NA,NA,NA,44.2,580,NA,NA,NA,538,0.12,0.007,0.037,0.076,20.8,NA,NA,NA,NA,NA,46.9,0.12,NA,NA,NA,NA,81.3,1.3,9.7,11.1,NA,NA,NA,0.051,6.94e-4,0.018,36.9,NA,NA,NA,NA,NA,64.3,NA,NA,NA,88,NA,61,26.6,NA,66.5,NA,NA,1.2,0.257,0.331,0.64,NA,NA,NA,NA,NA,37.3,9.8,23.5,10,32.5,NA,2.7,332,2.1,14.2,NA,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzorictes talpoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur crassicaudatus,747,127,3100,572,NA,850,10300,NA,NA,NA,9805.05,2.518,0.724,0.647,1.147,148.8,548,479,NA,NA,68.4,165.9,2.52,164.58,9.6,78.22,25.9,1414,10.4,45.5,103.3,28.1,37.8,23.2,1.02,0.102,0.0948,785,64.69,NA,NA,73.43,28.14,460.88,387.45,6.63,9.64,386,9.63,540,384,47.5,4723,NA,NA,8.5,1.64,0.695,1.4,12.9,5.55,13.7,5.68,NA,145.2,27.2,181,70,556,42.22,12.5,6545,6.1,35.7,54.5,147,74.6,5.71,127,4.1,63.3,67.4,437,33.9,NA,NA,NA,NA,NA
Pan paniscus,NA,NA,NA,NA,351,37133.3333333333,352,934.333333333333,260.666666666667,1690.33333333333,329923.25555555563,NA,NA,NA,NA,1285.5,NA,11606.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44175,NA,NA,NA,NA,NA,278.70000000000005,NA,NA,NA,NA,NA,50660,27340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37825,6350,144.666666666667,NA,NA
Pan troglodytes,36100,8630,167798.5,111498,164.666666666667,46000,405000,703.666666666667,667.333333333333,1600.66666666667,341765.925,NA,NA,NA,NA,1368.4,14597,9430.65,1156,9437,4004,257.2,0,1166.33,85.7,622.88,601.42,45381.5,174.8,375.3,1046.5,199.6,224,326.675,38,0.387,0.606,15392,386.54,68220,49510,1015.23,235.43,3778.69,2763.46,87.27,455.83,2750,58.32,5817,3739,1567.1,278121,21960,150637,136,9.4,2.7,NA,58.5,23,99.6,42.8,NA,577.5,61.3,2018,851,12246,266.58,141.5,313493,75,298,3990.6,1899,2510,53.6,1739,127,1951,2078,7987,630,42114.2857142857,4985.71428571429,65.6666666666667,NA,NA
Papio anubis,NA,NA,85726,54416,NA,25000,201000,NA,NA,NA,192486.2,NA,NA,NA,NA,953.5,13741,10001,919,9082,3740,286.8,0,800.97,66.37,564.35,379.04,18683,326.2,213.3,740.2,205.3,219,395,51.1,0.347,0.405,9280,312.25,24280,13790,1318.88,178.36,3397.9,2079.02,99.91,220.35,2111,58.78,5297,2711,1052.6,140142,10642,75084,104.7,12.7,1.86,NA,65.7,24.3,96.9,32.2,NA,412.9,42.9,1309,559,7182,156.72,84.8,154987,87.7,201.3,2177.7,1081,1257,65.4,1076,94.7,1147,1241,4788,601,NA,NA,NA,NA,NA
Papio cynocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,3600,NA,NA,NA
Papio hamadryas,9140,2980,71400,37100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perodicticus potto,1140,183,3910,638,4,1150,14000,10,16,31,12608.5,2.735,0.682,0.695,1.358,202.2,552,495,NA,NA,57.7,309.7,2.74,197.36,16.3,139.69,29.44,1699,20.6,63.5,138.8,54.8,38,24.3,1.76,0.264,0.216,1024,100,NA,NA,78.69,26.62,607.01,528.32,8.43,12.25,661,8.76,680,391,NA,6683,NA,NA,14.1,3.77,2.27,1.9,9.09,5.34,17.2,6.33,NA,246.6,69.4,328,114,712,48.35,26.6,9418,11.5,84.3,77.7,127,107,10.4,160,8.19,107,116,587,19.5,NA,NA,NA,NA,NA
Piliocolobus badius,NA,NA,36575,14331,53,7000,78000,116,72,241,73833.86666666667,NA,NA,NA,NA,500.9,3979,3053,360,2693,926,51.3,0,615.79,38.44,323.72,190.92,8648,NA,123.6,377.3,78.2,117,128,7.31,0.265,0.454,3945,185.28,10940,4060,221.64,156.77,1670.84,1449.2,57.76,98.52,937,34.64,2007,1333,NA,50906,5130,31444,47.7,4.54,2.26,0,28.4,21.5,49.5,17.6,458,NA,NA,814,288,3217,129.2,NA,57885,NA,NA,646.4,455,460,22.3,484,31.9,521,553,2164,201,NA,NA,NA,NA,NA
Pithecia monachus,NA,NA,NA,NA,NA,1500,35000,NA,NA,NA,33325.4,0.846,0.111,0.279,0.456,365.3,2130,1679,NA,NA,451,34.8,0.846,259.52,31.78,154.43,109.36,3908,31.4,91.6,273.7,53.9,73.2,76.3,0.0623,0.189,0.3,2285,102.44,3680,1610,188.08,56.38,834.26,646.18,31.78,53.67,675,23.91,1009,745,103.2,21028,NA,NA,31.7,2.53,1.31,NA,19,14.7,24.6,14.9,NA,141.4,9.2,289,140,1918,41.63,21.9,24920,17.5,2.3,211.8,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,NA,NA,NA,NA,104,1580,30,135,40,279,28958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo pygmaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42960,24700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44600,5200,NA,NA,NA
Pongo sp.,NA,NA,129900,81500,254.75,46325,353.2,828.25,208.75,1331.5,356112.45,NA,NA,NA,NA,1291.1666666666652,NA,8316.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,42900,NA,NA,NA,NA,NA,259.1,NA,NA,NA,13500,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,5500,4000,NA,244516.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,1000,NA,NA,600,11500,NA,NA,238300,NA,NA,NA,NA,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,39.75,1300,4300
Potamogale velox,NA,NA,NA,NA,NA,660,4160,NA,NA,NA,3878,2.307,0.321,1.251,0.735,62.3,NA,NA,NA,NA,NA,81.9,2.31,NA,NA,NA,NA,605,6.2,28.7,33.6,151.4,25.1,NA,0.00309,0.00174,0.089,298,NA,NA,NA,NA,NA,298,NA,NA,NA,194,NA,756,254,NA,1054,NA,NA,5.3,1.45,1.1,0.46,9.27,3.46,8.05,4.27,NA,71.7,18.2,145,51.4,134,NA,9.8,1964,5,17.6,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potos flavus,4320,1070,13200,6160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,1120,310,4210,1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
