Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Cebus albifrons,NA,NA,30630,15799,34,3100,71000,155,108,297,70832.93333333333,0.667,0.067,0.323,0.277,458.2,4703,3764,365,3399,939,39.9,0.667,210.19,30.29,146.01,173.18,7871,84.4,120.4,337.8,74.2,105,137,3.8,0.425,0.41,3996,110.34,9450,5220,313.85,35.87,890.4,576.55,38.98,99.52,931,34.68,1738,1221,152.4,46429,3607,27023,36,4.9,1.5,0,26.7,15.8,41.3,21.2,567,199.4,8.6,390,174,3258,43.85,63.6,52113,12.9,103.5,682.2,729,549,23.7,418,41.7,567,609,2163,207,NA,NA,NA,NA,NA
Cebus apella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4650,1825,NA,NA,NA
Cercocebus agilis,NA,NA,NA,NA,105,5660,95.3,116,158,379,91988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus torquatus,4470,1960,47900,40400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus torquatus atys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6375,2300,NA,NA,NA
Cercopithecus ascanius,NA,NA,32114,13052,NA,3400,67000,NA,NA,NA,64088.4,NA,NA,NA,NA,572.5,5106,4272,416,3855,834,99.5,0,362.05,23.02,240.6,143.98,5828,101.8,139.3,433.2,68,112,147,4.66,0.217,0.509,3605,150.46,7940,2990,249.6,85.7,1189,939.4,41.7,67.67,1052,34.61,1632,1162,237.1,45166,4009,28104,45.6,4.23,2.13,0,38.6,13.2,41.5,18.7,450,223.3,12.5,694,251,2827,77.57,30.1,51279,24.9,86.5,520.2,240,421,17.9,410,25.7,405,431,1916,320,NA,NA,NA,NA,NA
Cercopithecus mitis,NA,NA,NA,NA,89,6300,75000,391,134,614,70689.93333333333,NA,NA,NA,NA,704,5275,4232,NA,NA,1042,116.7,0,378.84,30.44,288.47,171.16,6758,152.4,210.9,493.1,84.5,137,154.3,15.3,0.258,0.432,4176,125.58,10190,4740,379.53,86.05,1366.39,986.86,54.55,82.38,1265,34.23,1999,1354,242.8,49933,NA,NA,66.4,5.38,1.96,NA,40.6,19.9,50.9,26,NA,191.8,24.6,617,246,2733,77.48,55,56277,33.7,103.6,517.6,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus nictitans,3840,965,36000,11800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus major,NA,NA,NA,NA,NA,450,6800,NA,NA,NA,6468.35,4.043,1.075,1.39,1.578,102.3,477,433,NA,NA,44.8,157.5,4.04,107.42,8.32,92.66,19.45,947,10,33.6,68.8,25.6,23.9,21.5,0.789,0.032,0.256,489,61.26,NA,NA,45.57,13.22,347.35,301.78,3.85,9.95,332,5.65,382,241,52.1,2938,NA,NA,8.8,1.75,0.917,0.95,7.17,3.83,8.92,3.97,233,144,19.4,149,58.9,327,18.9,11.8,4314,5.1,39.4,27.4,83.4,48.6,4.83,101,2.27,31.6,33.8,271,18,NA,NA,NA,NA,NA
Cheirogaleus medius,NA,NA,NA,NA,NA,177,3140,NA,NA,NA,2995.95,2.663,0.796,0.844,1.023,64.9,216,199,NA,NA,17.6,102,2.66,54.4,4.72,44.89,9.45,437,5.7,24.1,40.8,14.3,12.3,10.8,0.691,0.0432,0.171,235,30.44,NA,NA,23.75,6.19,174.36,150.61,1.94,4.27,198,3.24,202,145,NA,1221,NA,NA,3.9,1.06,0.385,0.55,3.08,2.25,4.65,2.28,135,75.1,14,65.3,32.5,145,9.97,6.9,1941,3.2,27.5,13,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
