Species,Variable,Value,Teams
Alouatta seniculus,Neocortex_lamina_1_Vol.mm3,2918.0,Stephan_collection
Alouatta seniculus,Neocortex_laminae_2_6_Vol.mm3,18874.0,Stephan_collection
Alouatta seniculus,Neocortex_white_matter_Vol.mm3,9869.0,Stephan_collection
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,31.4,Stephan_collection
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,3.3,Stephan_collection
Alouatta seniculus,Nucleus_septalis_triangularis_Vol.mm3,1.72,Stephan_collection
Alouatta seniculus,Nucleus_tractus_olfactorius_Vol.mm3,0.0,Stephan_collection
Alouatta seniculus,Nucleus_vestibularis_descendens_Vol.mm3,18.8,Stephan_collection
Alouatta seniculus,Nucleus_vestibularis_lateralis_Vol.mm3,15.6,Stephan_collection
Alouatta seniculus,Nucleus_vestibularis_medialis_Vol.mm3,26.6,Stephan_collection
Alouatta seniculus,Nucleus_vestibularis_superior_Vol.mm3,15.8,Stephan_collection
Alouatta seniculus,Palaeocortex_Vol.mm3,488.0,Stephan_collection
Alouatta seniculus,Palaeocortex_plus_amygdala_Vol.mm3,943.0,Stephan_collection
Alouatta seniculus,Prepiriform_cortex_Vol.mm3,158.3,Stephan_collection
Alouatta seniculus,Retrobulbar_cortex_Vol.mm3,26.2,Stephan_collection
Alouatta seniculus,Schizo_cortex_Vol.mm3,510.0,Stephan_collection
Alouatta seniculus,Septum_Vol.mm3,200.0,Stephan_collection
Alouatta seniculus,Striatum_Vol.mm3,2829.0,Stephan_collection
Alouatta seniculus,Subiculum_Vol.mm3,117.67,Stephan_collection
Alouatta seniculus,Substantia_innominata_Vol.mm3,30.7,Stephan_collection
Alouatta seniculus,Telencephalon_Vol.mm3,37388.0,Stephan_collection
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,49601.05,Stephan_collection; Zilles
Alouatta seniculus,Tractus_olfactorius_lateralis_Vol.mm3,17.2,Stephan_collection
Alouatta seniculus,Trigeminal_motor_nucleus_left_Vol.mm3,2.26,Sherwood
Alouatta seniculus,Tuberculum_olfactorium_Vol.mm3,93.6,Stephan_collection
Alouatta seniculus,Ventral_pons_Vol.mm3,394.3,Stephan_collection
Alouatta seniculus,Ventricles_Vol.mm3,616.0,Stephan_collection
Antechinomys laniger,CerebellarCortex_Vol.mm3,39.5,Ashwell
Antechinomys laniger,CerebellarHemisphere_Vol.mm3,5.44,Ashwell
Antechinomys laniger,CerebellarVermis_Vol.mm3,31.6,Ashwell
Antechinomys laniger,Cerebellar_nuclei_total_Vol.mm3,1.31,Ashwell
Antechinomys laniger,Cerebellum_Vol.mm3,47.5,Ashwell
Antechinomys laniger,Cerebellum_white_matter_Vol.mm3,6.7,Ashwell
Antechinomys laniger,FlocculonodularLobe_Vol.mm3,2.44,Ashwell
Antechinomys laniger,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.7,Ashwell
Antechinomys laniger,Total_brain_net_volume_Vol.mm3,509.0,Ashwell
Antechinus flavipes,CerebellarCortex_Vol.mm3,59.3,Ashwell
Antechinus flavipes,CerebellarHemisphere_Vol.mm3,24.5,Ashwell
Antechinus flavipes,CerebellarVermis_Vol.mm3,30.8,Ashwell
Antechinus flavipes,Cerebellar_nuclei_total_Vol.mm3,1.78,Ashwell
Antechinus flavipes,Cerebellum_Vol.mm3,68.5,Ashwell
Antechinus flavipes,Cerebellum_white_matter_Vol.mm3,7.36,Ashwell
Antechinus flavipes,FlocculonodularLobe_Vol.mm3,4.06,Ashwell
Antechinus flavipes,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.83,Ashwell
Antechinus flavipes,Total_brain_net_volume_Vol.mm3,577.0,Ashwell
Antechinus minimus,CerebellarCortex_Vol.mm3,57.6,Ashwell
Antechinus minimus,CerebellarHemisphere_Vol.mm3,12.8,Ashwell
Antechinus minimus,CerebellarVermis_Vol.mm3,40.8,Ashwell
Antechinus minimus,Cerebellar_nuclei_total_Vol.mm3,2.19,Ashwell
Antechinus minimus,Cerebellum_Vol.mm3,69.1,Ashwell
Antechinus minimus,Cerebellum_white_matter_Vol.mm3,9.34,Ashwell
Antechinus minimus,FlocculonodularLobe_Vol.mm3,3.97,Ashwell
Antechinus minimus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,2.91,Ashwell
Antechinus minimus,Total_brain_net_volume_Vol.mm3,751.0,Ashwell
Antechinus swainsonii,CerebellarCortex_Vol.mm3,44.7,Ashwell
Antechinus swainsonii,CerebellarHemisphere_Vol.mm3,20.5,Ashwell
Antechinus swainsonii,CerebellarVermis_Vol.mm3,20.2,Ashwell
Antechinus swainsonii,Cerebellar_nuclei_total_Vol.mm3,1.47,Ashwell
Antechinus swainsonii,Cerebellum_Vol.mm3,54.4,Ashwell
Antechinus swainsonii,Cerebellum_white_matter_Vol.mm3,8.26,Ashwell
Antechinus swainsonii,FlocculonodularLobe_Vol.mm3,4.01,Ashwell
Antechinus swainsonii,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.62,Ashwell
Antechinus swainsonii,Total_brain_net_volume_Vol.mm3,525.0,Ashwell
Aotus trivirgata,CerebellarCortex_Vol.mm3,878.0,Ashwell
Aotus trivirgata,CerebellarHemisphere_Vol.mm3,431.0,Ashwell
Aotus trivirgata,CerebellarVermis_Vol.mm3,413.0,Ashwell
Aotus trivirgata,Cerebellar_nuclei_total_Vol.mm3,42.9,Ashwell
Aotus trivirgata,Cerebellum_Vol.mm3,1058.0,Ashwell
Aotus trivirgata,Cerebellum_white_matter_Vol.mm3,138.0,Ashwell
Aotus trivirgata,FlocculonodularLobe_Vol.mm3,34.1,Ashwell
Aotus trivirgata,Pontine_and_reticulotegmental_nuclei_Vol.mm3,29.8,Ashwell
Aotus trivirgata,Total_brain_net_volume_Vol.mm3,9987.0,Ashwell
Aotus trivirgatus,AccessoryOlfactoryBulb_Vol.mm3,0.222,Stephan_collection
Aotus trivirgatus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.01,Stephan_collection
Aotus trivirgatus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.086,Stephan_collection
Aotus trivirgatus,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.126,Stephan_collection
Aotus trivirgatus,Amygdala_Vol.mm3,193.6,Stephan_collection
Aotus trivirgatus,Area_striata_Vol.mm3,1203.0,Stephan_collection
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,874.0,Bush; Stephan_collection; Zilles
Aotus trivirgatus,Area_striata_lamina_1_Vol.mm3,113.0,Stephan_collection
Aotus trivirgatus,Area_striata_laminae_2_6_Vol.mm3,883.0,Stephan_collection
Aotus trivirgatus,Area_striata_white_matter_Vol.mm3,207.0,Stephan_collection
Aotus trivirgatus,Body_Mass.g,830.0,Stephan_collection
Aotus trivirgatus,Brain_Mass.mg,17100.0,Stephan_collection
Aotus trivirgatus,Bulbus_olfactorius_Vol.mm3,56.0,Stephan_collection
Aotus trivirgatus,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,Stephan_collection
Aotus trivirgatus,CA1_Vol.mm3,150.16,Stephan_collection
Aotus trivirgatus,CA2_Vol.mm3,20.83,Stephan_collection
Aotus trivirgatus,CA3_Vol.mm3,97.14,Stephan_collection
Aotus trivirgatus,Cerebellar_nuclei_total_Vol.mm3,41.45,Stephan_collection
Aotus trivirgatus,Cerebellum_Vol.mm3,1873.0,Stephan_collection
Aotus trivirgatus,Cerebellum_grey_matter_Vol.mm3,753.0,Bush
Aotus trivirgatus,Cerebellum_white_matter_Vol.mm3,174.0,Bush
Aotus trivirgatus,Commissura_anterior_Vol.mm3,26.3,Stephan_collection
Aotus trivirgatus,Complexus_centromedialis_Vol.mm3,56.6,Stephan_collection
Aotus trivirgatus,Complexus_corticobasolateralis_Vol.mm3,136.9,Stephan_collection
Aotus trivirgatus,Complexus_sensorius_trigeminalis_Vol.mm3,33.5,Stephan_collection
Aotus trivirgatus,Complexus_vestibularis_Vol.mm3,51.9,Stephan_collection
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,32.9,Stephan_collection; Zilles
Aotus trivirgatus,Corpus_pineal_Vol.mm3,1.55,Stephan_collection
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,0.14,Stephan_collection
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,0.162,Stephan_collection
Aotus trivirgatus,Diencephalon_Vol.mm3,1098.0,Stephan_collection
Aotus trivirgatus,Facial_motor_nucleus_left_Vol.mm3,1.24,Sherwood
Aotus trivirgatus,Fascia_dentata_Vol.mm3,76.23,Stephan_collection
Aotus trivirgatus,HP_HS_fibers_Vol.mm3,133.49,Stephan_collection
Aotus trivirgatus,Hilus_Vol.mm3,33.52,Stephan_collection
Aotus trivirgatus,Hippocampus_Vol.mm3,538.8,Stephan_collection
Aotus trivirgatus,Hippocampus_retrocommissuralis_Vol.mm3,405.31,Stephan_collection
Aotus trivirgatus,Hypoglossal_nucleus_left_Vol.mm3,0.87,Sherwood
Aotus trivirgatus,Interpositus_cerebellar_nuclei_Vol.mm3,11.42,Stephan_collection
Aotus trivirgatus,Lateral_cerebellar_nuclei_Vol.mm3,17.02,Stephan_collection
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,394.0,Stephan_collection
Aotus trivirgatus,Medial_cerebellar_nuclei_Vol.mm3,13.01,Stephan_collection
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,680.65,Sherwood; Stephan_collection
Aotus trivirgatus,Mesencephalon_Vol.mm3,409.0,Stephan_collection
Aotus trivirgatus,Middle_temporal_visual_area_Vol.mm3,99.5,Stephan_collection
Aotus trivirgatus,Neocortex_Vol.mm3,9950.0,Stephan_collection; Zilles
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,6275.5,Bush; Stephan_collection
Aotus trivirgatus,Neocortex_lamina_1_Vol.mm3,1039.0,Stephan_collection
Aotus trivirgatus,Neocortex_laminae_2_6_Vol.mm3,6737.0,Stephan_collection
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,1894.5,Bush; Stephan_collection
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,14.6,Stephan_collection
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,3.21,Stephan_collection
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,0.964,Stephan_collection
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,0.21,Stephan_collection
Aotus trivirgatus,Nucleus_vestibularis_descendens_Vol.mm3,11.0,Stephan_collection
Aotus trivirgatus,Nucleus_vestibularis_lateralis_Vol.mm3,9.54,Stephan_collection
Aotus trivirgatus,Nucleus_vestibularis_medialis_Vol.mm3,20.7,Stephan_collection
Aotus trivirgatus,Nucleus_vestibularis_superior_Vol.mm3,10.7,Stephan_collection
Aotus trivirgatus,Palaeocortex_Vol.mm3,203.0,Stephan_collection
Aotus trivirgatus,Palaeocortex_plus_amygdala_Vol.mm3,394.0,Stephan_collection
Aotus trivirgatus,Prepiriform_cortex_Vol.mm3,90.6,Stephan_collection
Aotus trivirgatus,Retrobulbar_cortex_Vol.mm3,9.7,Stephan_collection
Aotus trivirgatus,Schizo_cortex_Vol.mm3,243.0,Stephan_collection
Aotus trivirgatus,Septum_Vol.mm3,83.8,Stephan_collection
Aotus trivirgatus,Striatum_Vol.mm3,862.0,Stephan_collection
Aotus trivirgatus,Subiculum_Vol.mm3,27.43,Stephan_collection
Aotus trivirgatus,Substantia_innominata_Vol.mm3,18.7,Stephan_collection
Aotus trivirgatus,Telencephalon_Vol.mm3,12128.0,Stephan_collection
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,14706.933333333334,Bush; Stephan_collection; Zilles
Aotus trivirgatus,Tractus_olfactorius_lateralis_Vol.mm3,13.0,Stephan_collection
Aotus trivirgatus,Trigeminal_motor_nucleus_left_Vol.mm3,0.86,Sherwood
Aotus trivirgatus,Tuberculum_olfactorium_Vol.mm3,42.3,Stephan_collection
Aotus trivirgatus,Ventral_pons_Vol.mm3,112.1,Stephan_collection
Aotus trivirgatus,Ventricles_Vol.mm3,105.0,Stephan_collection
Aplodontia rufa,CerebellarCortex_Vol.mm3,657.0,Ashwell
Aplodontia rufa,CerebellarHemisphere_Vol.mm3,351.0,Ashwell
Aplodontia rufa,CerebellarVermis_Vol.mm3,290.0,Ashwell
Aplodontia rufa,Cerebellar_nuclei_total_Vol.mm3,37.3,Ashwell
Aplodontia rufa,Cerebellum_Vol.mm3,821.0,Ashwell
Aplodontia rufa,Cerebellum_grey_matter_Vol.mm3,665.0,Bush
Aplodontia rufa,Cerebellum_white_matter_Vol.mm3,131.5,Ashwell; Bush
Aplodontia rufa,FlocculonodularLobe_Vol.mm3,16.0,Ashwell
Aplodontia rufa,Neocortex_grey_matter_Vol.mm3,1480.0,Bush
Aplodontia rufa,Neocortex_white_matter_Vol.mm3,376.0,Bush
Aplodontia rufa,Pontine_and_reticulotegmental_nuclei_Vol.mm3,20.8,Ashwell
Aplodontia rufa,Total_brain_net_volume_Vol.mm3,4373.0,Ashwell
Atelerix algirus,AccessoryOlfactoryBulb_Vol.mm3,1.934,Stephan_collection
Atelerix algirus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.508,Stephan_collection
Atelerix algirus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.676,Stephan_collection
Atelerix algirus,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.75,Stephan_collection
Atelerix algirus,Amygdala_Vol.mm3,101.3,Stephan_collection
Atelerix algirus,Body_Mass.g,790.0,Stephan_collection
Atelerix algirus,Brain_Mass.mg,3200.0,Stephan_collection
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,284.5,Stephan_collection
Atelerix algirus,Bulbus_olfactorius_accessorius_Vol.mm3,1.93,Stephan_collection
Atelerix algirus,Cerebellum_Vol.mm3,358.0,Stephan_collection
Atelerix algirus,Commissura_anterior_Vol.mm3,13.6,Stephan_collection
Atelerix algirus,Complexus_centromedialis_Vol.mm3,45.9,Stephan_collection
Atelerix algirus,Complexus_corticobasolateralis_Vol.mm3,55.4,Stephan_collection
Atelerix algirus,Complexus_sensorius_trigeminalis_Vol.mm3,39.9,Stephan_collection
Atelerix algirus,Complexus_vestibularis_Vol.mm3,15.3,Stephan_collection
Atelerix algirus,Corpus_geniculatum_laterale_Vol.mm3,5.02,Stephan_collection
Atelerix algirus,Corpus_pineal_Vol.mm3,0.297,Stephan_collection
Atelerix algirus,Corpus_subcommissurale_Vol.mm3,0.0222,Stephan_collection
Atelerix algirus,Corpus_subfornicale_Vol.mm3,0.0621,Stephan_collection
Atelerix algirus,Diencephalon_Vol.mm3,246.0,Stephan_collection
Atelerix algirus,Hippocampus_Vol.mm3,227.0,Stephan_collection
Atelerix algirus,Lobus_piriformis_Vol.mm3,459.0,Stephan_collection
Atelerix algirus,Medulla_oblongata_Vol.mm3,336.0,Stephan_collection
Atelerix algirus,Mesencephalon_Vol.mm3,153.0,Stephan_collection
Atelerix algirus,Neocortex_Vol.mm3,500.3,Stephan_collection
Atelerix algirus,Neocortex_grey_matter_Vol.mm3,436.7,Stephan_collection
Atelerix algirus,Neocortex_lamina_1_Vol.mm3,117.0,Stephan_collection
Atelerix algirus,Neocortex_laminae_2_6_Vol.mm3,319.7,Stephan_collection
Atelerix algirus,Neocortex_white_matter_Vol.mm3,63.6,Stephan_collection
Atelerix algirus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,7.5,Stephan_collection
Atelerix algirus,Nucleus_habenularis_medialis_Vol.mm3,0.93,Stephan_collection
Atelerix algirus,Nucleus_septalis_triangularis_Vol.mm3,1.18,Stephan_collection
Atelerix algirus,Nucleus_tractus_olfactorius_Vol.mm3,3.1,Stephan_collection
Atelerix algirus,Nucleus_vestibularis_descendens_Vol.mm3,4.68,Stephan_collection
Atelerix algirus,Nucleus_vestibularis_lateralis_Vol.mm3,2.35,Stephan_collection
Atelerix algirus,Nucleus_vestibularis_medialis_Vol.mm3,6.29,Stephan_collection
Atelerix algirus,Nucleus_vestibularis_superior_Vol.mm3,1.93,Stephan_collection
Atelerix algirus,Palaeocortex_plus_amygdala_Vol.mm3,504.0,Stephan_collection
Atelerix algirus,Prepiriform_cortex_Vol.mm3,216.4,Stephan_collection
Atelerix algirus,Retrobulbar_cortex_Vol.mm3,52.8,Stephan_collection
Atelerix algirus,Schizo_cortex_Vol.mm3,109.0,Stephan_collection
Atelerix algirus,Septum_Vol.mm3,42.9,Stephan_collection
Atelerix algirus,Striatum_Vol.mm3,140.0,Stephan_collection
Atelerix algirus,Substantia_innominata_Vol.mm3,9.0,Stephan_collection
Atelerix algirus,Telencephalon_Vol.mm3,1766.0,Stephan_collection
Atelerix algirus,Total_brain_net_volume_Vol.mm3,2859.0,Stephan_collection
Atelerix algirus,Tractus_olfactorius_lateralis_Vol.mm3,12.8,Stephan_collection
Atelerix algirus,Tuberculum_olfactorium_Vol.mm3,53.3,Stephan_collection
Atelerix algirus,Ventricles_Vol.mm3,121.0,Stephan_collection
Ateles geoffroyi,AccessoryOlfactoryBulb_Vol.mm3,2.189,Stephan_collection
Ateles geoffroyi,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.37,Stephan_collection
Ateles geoffroyi,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.85,Stephan_collection
Ateles geoffroyi,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.969,Stephan_collection
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,270.0,Zilles
Ateles geoffroyi,Agranular_insular_cortex_left_Vol.mm3,135.0,Zilles
Ateles geoffroyi,Amygdala_Vol.mm3,868.8,Stephan_collection
Ateles geoffroyi,Area_striata_Vol.mm3,4738.0,Stephan_collection
Ateles geoffroyi,Area_striata_grey_matter_Vol.mm3,3753.0,Stephan_collection; Zilles
Ateles geoffroyi,Area_striata_white_matter_Vol.mm3,985.0,Stephan_collection
Ateles geoffroyi,Body_Mass.g,8000.0,Stephan_collection; Zilles
Ateles geoffroyi,Brain_Mass.mg,108000.0,Stephan_collection; Zilles
Ateles geoffroyi,Bulbus_olfactorius_Vol.mm3,90.4,Stephan_collection
Ateles geoffroyi,Bulbus_olfactorius_accessorius_Vol.mm3,2.19,Stephan_collection
Ateles geoffroyi,CA1_Vol.mm3,388.3,Stephan_collection
Ateles geoffroyi,CA2_Vol.mm3,51.79,Stephan_collection
Ateles geoffroyi,CA3_Vol.mm3,263.35,Stephan_collection
Ateles geoffroyi,Capsula_interna_Vol.mm3,570.0,Stephan_collection
Ateles geoffroyi,Cerebellar_nuclei_total_Vol.mm3,209.17,Stephan_collection
Ateles geoffroyi,Cerebellum_Vol.mm3,12438.0,Stephan_collection
Ateles geoffroyi,Commissura_anterior_Vol.mm3,98.1,Stephan_collection
Ateles geoffroyi,Complexus_centromedialis_Vol.mm3,224.3,Stephan_collection
Ateles geoffroyi,Complexus_corticobasolateralis_Vol.mm3,644.5,Stephan_collection
Ateles geoffroyi,Complexus_sensorius_trigeminalis_Vol.mm3,89.2,Stephan_collection
Ateles geoffroyi,Complexus_vestibularis_Vol.mm3,96.4,Stephan_collection
Ateles geoffroyi,Complexus_vestibularis_unilateral_Vol.mm3,49.7,Stephan_collection
Ateles geoffroyi,Corpus_geniculatum_laterale_Vol.mm3,151.0,Stephan_collection; Zilles
Ateles geoffroyi,Corpus_pineal_Vol.mm3,3.1,Stephan_collection
