Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Ashwell__2020_SupplementaryTable,Pseudocheirus peregrinus,NA,9333,Pseudocheirus peregrinus,Pseudocheirus peregrinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pseudochirops archeri,NA,38621,Pseudochirops archeri,Pseudochirops archeri,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pseudochirops cupreus,NA,37702,Pseudochirops cupreus,Pseudochirops cupreus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pseudochirulus herbertensis,NA,596260,Pseudochirulus herbertensis,Pseudochirulus herbertensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pteropus giganteus,NA,143291,Pteropus giganteus,Pteropus giganteus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Rhyncholestes raphanurus,NA,33559,Rhyncholestes raphanurus,Rhyncholestes raphanurus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Saimiri sciureus,NA,9521,Saimiri sciureus,Saimiri sciureus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sarcophilus harissii,Sarcophilus harrisii,NA,NA,Sarcophilus harrisii,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Scalopus aquaticus,NA,71119,Scalopus aquaticus,Scalopus aquaticus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sciurus carolinensis,NA,30640,Sciurus carolinensis,Sciurus carolinensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Semnopithecus entellus,NA,88029,Semnopithecus entellus,Semnopithecus entellus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sminthopsis crassicaudata,NA,9301,Sminthopsis crassicaudata,Sminthopsis crassicaudata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sminthopsis leucopus,NA,90761,Sminthopsis leucopus,Sminthopsis leucopus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sminthopsis murina,NA,32560,Sminthopsis murina,Sminthopsis murina,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sorex araneus,NA,42254,Sorex araneus,Sorex araneus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Sus scrofa domesticus,NA,9825,Sus scrofa domesticus,Sus scrofa domesticus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tachyglossus aculeatus,NA,9261,Tachyglossus aculeatus,Tachyglossus aculeatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tamandua tetradactyla,NA,48850,Tamandua tetradactyla,Tamandua tetradactyla,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tarsipes rostratus,NA,38632,Tarsipes rostratus,Tarsipes rostratus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Taxidea taxus,NA,30554,Taxidea taxus,Taxidea taxus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tenrec ecaudatus,NA,94439,Tenrec ecaudatus,Tenrec ecaudatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Thomomys talpoides,NA,35660,Thomomys talpoides,Thomomys talpoides,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Thylamys elegans,NA,191871,Thylamys elegans,Thylamys elegans,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Thylogale stigmatica,NA,9328,Thylogale stigmatica,Thylogale stigmatica,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Thylogale thetis,NA,442964,Thylogale thetis,Thylogale thetis,NCBI,FALSE,FALSE
