Species,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Capsula_interna_Vol.mm3,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Epithalamus_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FlocculonodularLobe_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Hypothalamus_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Insula_right_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,Pallidum_Vol.mm3,Pons_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Subthalamus_Vol.mm3,Telencephalon_Vol.mm3,Thalamus_Vol.mm3,Total_brain_net_volume_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tractus_opticus_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3
Miopithecus talapoin,,,,,,,,413.1,,,,,,,3048.0,2339.0,,,709.0,1200.0,40000.0,27.8,0.0,183.4,15.31,134.6,,,,,78.95,3374.0,,,,46.0,101.9,311.3,48.1,86.8,,109.0,2.03,0.22,0.192,2375.0,,,,,,1.86,87.59,,5180.0,1830.0,,,,190.75,51.91,704.87,514.12,1.22,,,,,26.42,33.84,706.0,18.69,1034.895,826.0,136.4,26427.0,,,,,52.9,2.07,0.866,,,21.4,,15.2,,33.9,,16.3,,,732.0,,,,132.1,8.8,259.0,133.0,1908.0,41.31,40.2,,30166.0,,38193.0,14.1,,1.47,51.5,273.7,262.0,,,
Monodelphis brevicaudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,46.7,52.2,2.47,114.0,,9.33,,,,,,,,,,,,,,,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,,,,,,,,,,,1159.0,,,,,,,,,
Mustela erminea,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,180.0,191.0,29.7,486.0,,57.9,,,,,,,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,3153.0,,,,,,,,,
Mustela putorius,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,318.0,290.0,33.7,742.0,626.0,101.0,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,2140.0,,,569.0,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,4987.0,,,,,,,,,
Mustela vison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4750.0,,,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myosorex babaulti,,,,,,,,12.1,,,,,,,,,,,,,,34.5,,,,,,,,,,,,,,1.4,6.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,0.58,,,,,,,,,,,,,,30.0,7.3,,,,,1.2,,,,,1.4,,,11.0,,,,,
Myoxus glis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,48.099999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.0,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrmecophaga tridactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9020.0,3190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19900.0,,,8580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrmecophagia tridactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,6660.0,4097.0,2418.0,385.0,8736.0,,1691.0,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,,,,,,,,,,,59943.0,,,,,,,,,
Nasalis larvatus,,,,,,,,718.9,,,,,,,,4609.0,,,,14000.0,97000.0,30.3,0.0,546.36,69.39,370.1,564.0,,,,340.36,12113.0,,,,88.7,219.8,499.1,113.7,171.0,86.2,156.6,,,,5310.0,,,,,29.6,4.41,205.69,,8080.0,2700.0,,,,518.83,142.29,1965.93,1447.1,2.18,671.0,,,,105.48,149.33,1268.0,85.55,2945.09,1556.0,364.9,62685.0,,,,,55.8,,,37.2,,48.9,25.2,31.2,14.8,66.9,33.6,23.7,12.6,,,550.0,,,196.3,14.6,855.0,333.0,3735.0,113.27,58.1,587.0,70873.0,3036.0,92797.0,26.6,304.0,2.82,164.8,967.4,591.0,,,
Nasua narica,,,,,,,,,,,,,,,,,,,,,,,,,,,,2781.0,1705.0,955.0,143.0,3498.0,2940.0,684.0,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,12100.0,,,4800.0,,,,,,,,,,,,,,,,,,74.2,,,,,,,,,,,31486.0,,,,,,,,,
Neomys fodiens,0.101,0.018,0.034,0.049,,,,8.6,,,,,,,,,,,,15.2,320.0,16.2,0.101,,,,,,,,,38.9,,,,0.84,4.1,4.4,9.66,2.31,,,0.027,0.000418,0.0069,25.2,,,,,,,,,,,,,,,,32.9,,,,,,,,,36.0,,42.2,17.3,,56.56,50.19,9.67,40.52,6.371,1.2,0.205,0.263,,0.24,0.726,,0.355,,0.961,,0.269,,52.7,36.0,,,,12.4,4.3,9.0,6.42,18.7,,1.7,,175.0,,299.0,0.71,,,6.0,,1.63,,,
Neovison vison,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,391.0,392.0,38.0,1060.0,,186.0,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,,,,10113.0,,,,,,,,,
Nesogale dobsoni,0.178,0.019,0.059,0.1,,,,17.0,,,,,,,,,,,,32.6,560.0,53.6,0.178,,,,,,,,,57.3,,,,1.4,6.8,10.2,,,,,0.0356,0.00095,0.0076,32.8,,,,,,,,,,,,,,,,67.0,,,,,,,,,93.5,,59.0,37.9,,62.9,,,,,1.7,0.242,0.28,,0.75,,,,,,,,,,,,,,48.0,10.2,16.3,9.58,23.1,,1.6,,326.0,,513.0,2.4,,,13.0,,5.31,,,
Nesogale talazaci,0.369,0.084,0.102,0.183,,,,25.8,,,,,,,,,,,,50.4,790.0,74.3,0.369,,,,,,,,,92.3,,,,2.8,12.4,13.4,13.8,3.49,,,0.0894,0.00147,0.0191,43.8,,,,,,,,,,,,,,,,98.9,,,,,,,,,139.0,,85.3,47.2,,96.2,,,,,1.7,0.381,0.378,,0.77,0.896,,0.691,,1.54,,0.366,,,139.0,,,,71.6,14.5,20.7,11.2,31.2,,1.9,,472.0,,741.0,3.9,,,18.5,,6.02,,,
Nycticebus coucang,4.276,1.346,1.305,1.625,,,,189.2,,,,,,,828.0,657.3333333333334,93.8,603.0,132.0,800.0,12500.0,159.3,4.28,178.14,17.34,135.76,,,,,33.75,1310.0,1200.0,196.0,,22.9,67.8,121.4,36.6,34.9,,33.93333333333333,1.83,0.154,0.175,1077.0,,,,,,0.95,91.22,,,,,,,67.06,23.62,565.77,498.71,0.76,,,,,8.76,14.03,510.0,10.96,528.0699999999999,345.0,,6192.0,4676.0,712.7,4240.0,1155.0,11.4,2.04,1.34,,1.1,8.88,,5.62,,14.7,,5.72,,,510.0,,,,179.0,38.5,212.0,92.0,760.0,52.63,21.5,,8495.0,,11696.866666666667,6.4,,1.04,52.2,63.8,142.0,,,
Odocoileus virginianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,6345.0,2065.0,3566.0,281.0,8456.0,11100.0,2994.5,,,,,,,,,,,,,,,,,,,,714.0,,,,,,,,,,,,,,,,,,,,,,,52000.0,,,24400.0,,,,,,,,,,,,,,,,,,201.0,,,,,,,,,,,131865.0,,,,,,,,,
Onychogalea fraenata,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0,401.0,434.0,39.1,1265.0,,274.0,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,,,,,,,10828.0,,,,,,,,,
Onychogalea unguifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.0,552.0,627.0,71.9,1745.0,,399.0,,,,,,,,,,,,,,,,,,,,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,17106.0,,,,,,,,,
Ornithorhynchus anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.666666666667,295.333333333333,366.0,23.4666666666667,834.666666666667,,126.766666666667,,,,,,,,,,,,,,,,,,,,22.9666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8666666666667,,,,,,,,,,,11291.0,,,,,,,,,
Oryctolagus cuniculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.0,512.0,417.0,53.4,1214.0,,182.0,,,,,,,,,,,,,,,,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,,,,,,,11058.0,,,,,,,,,
Oryzorictes hova,0.12,0.007,0.037,0.076,,,,20.8,,,,,,,,,,,,44.2,580.0,46.9,0.12,,,,,,,,,81.3,,,,1.3,9.7,11.1,,,,,0.051,0.000694,0.018,36.9,,,,,,,,,,,,,,,,64.3,,,,,,,,,88.0,,61.0,26.6,,66.5,,,,,1.2,0.257,0.331,,0.64,,,,,,,,,,,,,,37.3,9.8,23.5,10.0,32.5,,2.7,,332.0,,538.0,2.1,,,14.2,,4.83,,,
Oryzorictes talpoides,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otolemur crassicaudatus,2.518,0.724,0.647,1.147,,,,148.8,,,,,,,548.0,469.3333333333333,,,68.4,850.0,10300.0,165.9,2.52,164.58,9.6,78.22,74.6,,,,25.9,1414.0,747.0,127.0,,10.4,45.5,103.3,28.1,37.8,19.9,22.133333333333336,1.02,0.102,0.0948,785.0,,,,,5.71,1.41,64.69,,,,,,,73.43,28.14,460.88,387.45,0.81,127.0,,,,6.63,9.64,386.0,9.63,539.935,384.0,47.5,4723.0,3100.0,,,571.0,8.5,1.64,0.695,4.1,1.4,12.9,7.01,5.55,2.87,13.7,7.16,5.68,2.85,,405.0,63.3,,,145.2,27.2,181.0,70.0,556.0,42.22,12.5,67.4,6545.0,437.0,8906.699999999999,6.1,33.9,0.87,35.7,54.5,147.0,,,
Pan paniscus,,,,,719.0,351.0,368.0,1341.50665,134.95,426.5,853.5,292.0,2804.9,110.5,,11606.5,,,,37133.333333333336,182426.0,,,,,,,,37825.0,6350.0,,42737.5,,,276000.0,,,,,,,278.70000000000005,,,,,1729.6666666666667,934.3333333333334,795.3333333333334,,,7.5,,,50660.0,27340.0,531.3333333333334,260.6666666666667,270.6666666666667,,,,,4.09,,3279.0,1690.3333333333333,1588.6666666666667,,,,,4152.02,,,232600.0,142900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317885.1435185185,,,2.89,,,,299.66666666666663,144.66666666666666,155.0
Pan troglodytes,,,,,322.16666666666663,164.66666666666666,157.5,1479.7771333333333,144.35,424.5,820.5,252.5,2239.2,269.9,14597.0,9963.766666666666,1156.0,9437.0,4004.0,46000.0,405000.0,257.2,0.0,1166.33,85.7,622.88,2510.0,44175.0,39606.142857142855,5694.357142857143,926.71,47264.46666666667,36100.0,7652.5,310000.0,174.8,375.3,1046.5,199.6,224.0,118.0,314.45,38.0,0.387,0.606,15392.0,1294.6666666666665,703.6666666666666,591.0,,53.6,12.32,386.54,674.0,68220.0,49510.0,1132.8333333333335,667.3333333333334,465.5,1015.23,235.43,3366.4283333333333,2763.46,7.84,1739.0,2928.666666666667,1600.6666666666667,1328.0,87.27,455.83,2750.0,58.32,5922.195,3739.0,1567.1,238423.0,160929.0,21960.0,150637.0,111440.5,136.0,9.4,2.7,127.0,,58.5,29.8,23.0,9.65,99.6,54.7,42.8,23.5,,2852.0,1951.0,,2002.0,577.5,61.3,2018.0,851.0,9485.5,266.58,141.5,2078.0,313493.0,7756.0,353092.3362619048,75.0,630.0,5.09,298.0,3990.6,1899.0,179.66666666666669,65.66666666666667,114.0
Panthera leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,18869.0,9315.0,8355.0,912.0,26077.0,,6296.0,,,,,,,,,,,,,,,,,,,,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,253306.0,,,,,,,,,
Papio anubis,,,,,,,,953.5,,,,,,,13741.0,10001.0,919.0,9082.0,3740.0,25000.0,201000.0,286.8,0.0,800.97,66.37,564.35,1257.0,,,,379.04,18683.0,,,,326.2,213.3,740.2,205.3,219.0,107.0,395.0,51.1,0.347,0.405,9280.0,,,,,65.4,7.44,312.25,,24280.0,13790.0,,,,1318.88,178.36,3397.9,2079.02,4.62,1076.0,,,,99.91,220.35,2111.0,58.78,5234.085,2711.0,1052.6,140142.0,85726.0,10642.0,75084.0,54416.0,104.7,12.7,1.86,94.7,,65.7,33.9,24.3,10.5,96.9,48.1,32.2,14.4,,,1147.0,,,412.9,42.9,1309.0,559.0,7182.0,156.72,84.8,1241.0,154987.0,4788.0,192486.2,87.7,601.0,6.16,201.3,2177.7,1081.0,,,
Papio cynocephalus,,,,,,,,,,,,,,,,,,,,21900.0,,,,,,,,,10000.0,3600.0,,13650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100.0,65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143300.0,,,,,,,,,
Papio hamadryas,,,,,,,,,,,,,,,,7700.0,,,,,,,,,,,,,,,,,9140.0,2980.0,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75250.0,,,38390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159110.0,,,,,,,,,
Pecaru tacaju,,,,,,,,,,,,,,,,,,,,,,,,,,,,4728.0,2059.0,2480.0,219.0,5946.0,,999.0,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,54005.0,,,,,,,,,
Perameles gunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,122.0,131.0,7.13,337.0,,45.4,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,2782.0,,,,,,,,,
Perameles nasuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,169.0,165.0,11.9,432.0,,55.6,,,,,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,3684.0,,,,,,,,,
Perodicticus potto,2.735,0.682,0.695,1.358,8.0,4.0,,202.2,,,,,,,552.0,440.0,,,57.7,1150.0,14000.0,309.7,2.74,197.36,16.3,139.69,107.0,1038.0,588.0,436.0,28.020000000000003,1410.0,1140.0,119.5,,20.6,63.5,138.8,54.8,38.0,17.3,22.866666666666664,1.76,0.264,0.216,1024.0,20.0,10.0,,,10.4,1.29,100.0,14.8,,,32.0,16.0,,78.69,26.62,607.01,528.32,1.28,160.0,62.0,31.0,,8.43,12.25,661.0,8.76,679.87,391.0,,6683.0,3910.0,,,639.0,14.1,3.77,2.27,8.19,1.9,9.09,3.88,5.34,2.66,17.2,7.87,6.33,2.86,,661.0,107.0,,22.1,246.6,69.4,328.0,114.0,712.0,48.35,26.6,116.0,9418.0,587.0,11476.4375,11.5,19.5,1.11,84.3,77.7,127.0,,,
Petaurus australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,212.0,168.0,9.56,488.0,,73.1,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,3494.0,,,,,,,,,
Petaurus norfolcensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,163.0,136.0,11.5,393.0,,61.5,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,2843.0,,,,,,,,,
Petrogale brachyotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,551.0,487.0,53.7,1460.0,,304.0,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,11670.0,,,,,,,,,
Petrogale concinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,283.0,303.0,47.8,979.0,,290.0,,,,,,,,,,,,,,,,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,8420.0,,,,,,,,,
Petrogale godmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.0,612.0,775.0,59.8,1971.0,,447.0,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,,,,,,,,,,,16997.0,,,,,,,,,
Petrogale herberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108.0,956.0,1043.0,87.8,2879.0,,683.0,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,22291.0,,,,,,,,,
Petrogale inornata,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.0,777.0,980.0,49.7,2298.0,,399.0,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,,,,,,,,,,,18624.0,,,,,,,,,
Petrogale lateralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.0,661.0,705.0,30.5,1827.0,,321.0,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,,,,,,,,,,14399.0,,,,,,,,,
Petrogale penicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799.0,633.0,1035.0,48.4,2333.0,,485.0,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,,,,,,,,,,,18470.0,,,,,,,,,
Petrogale puella (assimilis),,,,,,,,,,,,,,,,,,,,,,,,,,,,1710.0,697.0,877.0,70.5,2301.0,,521.0,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,,16073.0,,,,,,,,,
Petrogale purpureicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.0,651.0,772.0,54.9,2125.0,,534.0,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,,,,,,,,,,17042.0,,,,,,,,,
Petropseudes dahli,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,183.0,219.0,12.0,544.0,,101.0,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,3989.0,,,,,,,,,
Phalanger gymnotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,421.0,539.0,44.5,1289.0,,228.0,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,,,,,,,10072.0,,,,,,,,,
Phalanger maculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.0,630.0,784.0,45.4,1789.0,,262.0,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,,,,,,,14485.0,,,,,,,,,
Phalanger vestitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0,303.0,347.0,22.6,817.0,,102.0,,,,,,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,7359.0,,,,,,,,,
Phascogale tapoatafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,57.2,57.4,6.3,165.0,,35.7,,,,,,,,,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,,,,,,,,,,,1495.0,,,,,,,,,
Phascolarctos cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098.0,827.0,1140.0,84.2,2663.0,,481.0,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,,,,,,,,,,,18323.0,,,,,,,,,
Phoca vitulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,22087.0,17457.0,3715.0,714.0,26904.0,,4103.0,,,,,,,,,,,,,,,,,,,,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.0,,,,,,,,,,,263221.0,,,,,,,,,
Piliocolobus badius,,,,,106.0,53.0,,500.9,,,,,,,3979.0,3053.0,360.0,2693.0,926.0,7000.0,78000.0,51.3,0.0,615.79,38.44,323.72,460.0,,,,190.92,8648.0,,,,,123.6,377.3,78.2,117.0,57.3,128.0,7.31,0.265,0.454,3945.0,232.0,116.0,,,22.3,2.26,185.28,,10940.0,4059.9999999999995,144.0,72.0,,221.64,156.77,1670.84,1449.2,1.51,484.0,482.0,241.0,,57.76,98.52,937.0,34.64,2007.0549999999998,1333.0,,50906.0,36575.0,5130.0,31444.0,14331.0,47.7,4.54,2.26,31.9,0.0,28.4,14.5,21.5,10.0,49.5,24.1,17.6,8.68,458.0,998.0,521.0,,,,,814.0,288.0,3217.0,129.2,,553.0,57885.0,2164.0,73829.9,,201.0,2.23,,646.4,455.0,,,
Pithecia monachus,0.846,0.111,0.279,0.456,,,,365.3,,,,,,,2130.0,1679.0,,,451.0,1500.0,35000.0,34.8,0.846,259.52,31.78,154.43,,,,,109.36,3908.0,,,,31.4,91.6,273.7,53.9,73.2,,76.3,0.0623,0.189,0.3,2285.0,,,,,,1.34,102.44,,3680.0,1610.0,,,,188.08,56.38,834.26,646.18,1.36,,,,,31.78,53.67,675.0,23.91,1008.94,745.0,103.2,21028.0,,,,,31.7,2.53,1.31,,,19.0,,14.7,,24.6,,14.9,,,699.0,,,,141.4,9.2,289.0,140.0,1918.0,41.63,21.9,,24920.0,,33325.4,17.5,,1.32,2.3,211.8,631.0,,,
Pithecia pithecia,,,,,208.0,104.0,,,,,,,,,,,,,,1580.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,135.0,,,,,,,,,80.0,40.0,,,,,,,,558.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28958.0,,,,,,,,,
Planigale maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.06,7.96,0.47,15.5,,2.06,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,148.0,,,,,,,,,
