item,reference,folder,def_file,code,structure,measure,mapped,standardized_term,note,category
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,FI_mm3,fronto_insular_cortex,Vol.mm3,FALSE,NA,,candidate_missing
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,agranular_mm3,Agranular_insular_cortex,Vol.mm3,FALSE,NA,,candidate_missing
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,dysgranular_mm3,Dysgranular_insular_cortex,Vol.mm3,FALSE,NA,,candidate_missing
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,granular_mm3,Granular_insular_cortex,Vol.mm3,FALSE,NA,,candidate_missing
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,total_insula_mm3,Insula,Vol.mm3,FALSE,NA,,candidate_missing
Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table2_definitions.csv,FI_R_mm3,fronto_insular_cortex,Vol.mm3,TRUE,fronto_insular_cortex_right_Vol.mm3,,mapped
Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table2_definitions.csv,agranular_R_mm3,Agranular_insular_cortex,Vol.mm3,TRUE,Agranular_insular_cortex_right_Vol.mm3,,mapped
Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table2_definitions.csv,dysgranular_R_mm3,Dysgranular_insular_cortex,Vol.mm3,TRUE,Dysgranular_insular_cortex_right_Vol.mm3,,mapped
Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table2_definitions.csv,granular_R_mm3,Granular_insular_cortex,Vol.mm3,TRUE,Granular_insular_cortex_right_Vol.mm3,,mapped
Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013_Table2,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table2_definitions.csv,total_insula_R_mm3,Insula,Vol.mm3,TRUE,Insula_right_Vol.mm3,,mapped
Bush_Allman_2003_Table1,Bush_Allman_2003_Table1,Bush_Allman_2003,Bush_Allman_2003/Bush_Allman_2003_Table1_definitions.csv,cer_gray_cm3,CerebellumGrey,Volume.cm3,TRUE,Cerebellum_grey_matter_Vol.mm3,,mapped
Bush_Allman_2003_Table1,Bush_Allman_2003_Table1,Bush_Allman_2003,Bush_Allman_2003/Bush_Allman_2003_Table1_definitions.csv,cer_white_cm3,CerebellumWhite,Volume.cm3,TRUE,Cerebellum_white_matter_Vol.mm3,,mapped
Bush_Allman_2003_Table1,Bush_Allman_2003_Table1,Bush_Allman_2003,Bush_Allman_2003/Bush_Allman_2003_Table1_definitions.csv,neo_gray_cm3,NeocortexGrey,Volume.cm3,TRUE,Neocortex_grey_matter_Vol.mm3,,mapped
Bush_Allman_2003_Table1,Bush_Allman_2003_Table1,Bush_Allman_2003,Bush_Allman_2003/Bush_Allman_2003_Table1_definitions.csv,neo_white_cm3,NeocortexWhite,Volume.cm3,TRUE,Neocortex_white_matter_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,CA1_mm3,CA1,Vol.mm3,TRUE,CA1_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,CA2_mm3,CA2,Vol.mm3,TRUE,CA2_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,CA3_mm3,CA3,Vol.mm3,TRUE,CA3_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,HP_HS_fibers_mm3,HP_HS_fibers,Vol.mm3,TRUE,HP_HS_fibers_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,fascia_dentata_mm3,Fascia_dentata,Vol.mm3,TRUE,Fascia_dentata_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,hilus_mm3,Hilus,Vol.mm3,TRUE,Hilus_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,hippocampus_retrocommissuralis_mm3,Hippocampus_retrocommissuralis,Vol.mm3,TRUE,Hippocampus_retrocommissuralis_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,hippocampus_total_mm3,Hippocampus,Vol.mm3,TRUE,Hippocampus_Vol.mm3,,mapped
Frahm_Zilles_1994_Table1,Frahm_Zilles_1994_Table1,Frahm_Zilles_1994,Frahm_Zilles_1994/reference_tables/Frahm_Zilles_1994_Table1_definitions.csv,subiculum_mm3,Subiculum,Vol.mm3,TRUE,Subiculum_Vol.mm3,,mapped
Frahm_etal_1982_Table2,Frahm_etal_1982_Table2,Frahm_etal_1982,Frahm_etal_1982/reference_tables/Frahm_etal_1982_Table2_definitions.csv,grey_matter_mm3,Neocortex_grey_matter,Vol.mm3,TRUE,Neocortex_grey_matter_Vol.mm3,,mapped
Frahm_etal_1982_Table2,Frahm_etal_1982_Table2,Frahm_etal_1982,Frahm_etal_1982/reference_tables/Frahm_etal_1982_Table2_definitions.csv,lamina_1_mm3,Neocortex_lamina_1,Vol.mm3,TRUE,Neocortex_lamina_1_Vol.mm3,,mapped
Frahm_etal_1982_Table2,Frahm_etal_1982_Table2,Frahm_etal_1982,Frahm_etal_1982/reference_tables/Frahm_etal_1982_Table2_definitions.csv,laminae_2_6_mm3,Neocortex_laminae_2_6,Vol.mm3,TRUE,Neocortex_laminae_2_6_Vol.mm3,,mapped
Frahm_etal_1982_Table2,Frahm_etal_1982_Table2,Frahm_etal_1982,Frahm_etal_1982/reference_tables/Frahm_etal_1982_Table2_definitions.csv,total_neocortex_mm3,Neocortex,Vol.mm3,TRUE,Neocortex_Vol.mm3,,mapped
Frahm_etal_1982_Table2,Frahm_etal_1982_Table2,Frahm_etal_1982,Frahm_etal_1982/reference_tables/Frahm_etal_1982_Table2_definitions.csv,white_matter_mm3,Neocortex_white_matter,Vol.mm3,TRUE,Neocortex_white_matter_Vol.mm3,,mapped
Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Frahm_etal_1984,Frahm_etal_1984/reference_tables/Frahm_etal_1984_Table1_definitions.csv,Area_striata_grey_matter_mm3,Area_striata_grey_matter,Vol.mm3,TRUE,Area_striata_grey_matter_Vol.mm3,,mapped
Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Frahm_etal_1984,Frahm_etal_1984/reference_tables/Frahm_etal_1984_Table1_definitions.csv,Area_striata_lamina_1_mm3,Area_striata_lamina_1,Vol.mm3,TRUE,Area_striata_lamina_1_Vol.mm3,,mapped
Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Frahm_etal_1984,Frahm_etal_1984/reference_tables/Frahm_etal_1984_Table1_definitions.csv,Area_striata_laminae_2_6_mm3,Area_striata_laminae_2_6,Vol.mm3,TRUE,Area_striata_laminae_2_6_Vol.mm3,,mapped
Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Frahm_etal_1984,Frahm_etal_1984/reference_tables/Frahm_etal_1984_Table1_definitions.csv,Area_striata_mm3,Area_striata,Vol.mm3,TRUE,Area_striata_Vol.mm3,,mapped
Frahm_etal_1984_Table1,Frahm_etal_1984_Table1,Frahm_etal_1984,Frahm_etal_1984/reference_tables/Frahm_etal_1984_Table1_definitions.csv,Area_striata_white_matter_mm3,Area_striata_white_matter,Vol.mm3,TRUE,Area_striata_white_matter_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Amygdala_mm3,Amygdala,Vol.mm3,TRUE,Amygdala_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Bulbus_olfactorius_mm3,Bulbus_olfactorius,Vol.mm3,TRUE,Bulbus_olfactorius_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Cerebellum_mm3,Cerebellum,Vol.mm3,TRUE,Cerebellum_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Diencephalon_mm3,Diencephalon,Vol.mm3,TRUE,Diencephalon_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Hippocampus_mm3,Hippocampus,Vol.mm3,TRUE,Hippocampus_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Neocortex_mm3,Neocortex,Vol.mm3,TRUE,Neocortex_Vol.mm3,,mapped
