Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source
Baron_etal_1983_Table1,Sorex minutus,NA,62280,Sorex minutus,Sorex minutus,NCBI
Baron_etal_1983_Table1,Suncus murinus,NA,9378,Suncus murinus,Suncus murinus,NCBI
Baron_etal_1983_Table1,Talpa europaea,NA,9375,Talpa europaea,Talpa europaea,NCBI
Baron_etal_1983_Table1,Tarsius spp.,Tarsius sp.,NA,NA,Tarsius sp.,curated
Baron_etal_1983_Table1,Tenrec ecaudatus,NA,94439,Tenrec ecaudatus,Tenrec ecaudatus,NCBI
Baron_etal_1983_Table1,Tupaia glis,NA,9395,Tupaia glis,Tupaia glis,NCBI
Baron_etal_1983_Table1,Tupaia minor,NA,143289,Tupaia minor,Tupaia minor,NCBI
Baron_etal_1983_Table1,Urogale everetti,NA,192726,Urogale everetti,Urogale everetti,NCBI
Baron_etal_1983_Table1,Varecia variegata,NA,9455,Varecia variegata,Varecia variegata,NCBI
Baron_etal_1987_Table1,Alouatta seniculus,NA,9503,Alouatta seniculus,Alouatta seniculus,NCBI
