"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Chaetodipus fallax",,,0.54,,
"Chaetodipus formosus",,,0.49,,
"Chaetodipus hispidus",,,0.68,,
"Chaetodipus penicillatus",,,0.46,,
"Chaetodipus spinatus",,,0.48,,
"Chaetophractus villosus",,,16.4,,
"Chalinolobus gouldii",,,0.24,,
"Chalinolobus morio",,,0.1845,,
"Cheirogaleus adipicaudatus",,,3.0374,,
"Cheirogaleus major",,,6.8,6.8,
"Cheirogaleus medius",,,3.34,3.14,
"Cheirogaleus sibreei",,,4.4,,
"Cheirogaleus sp.",,,,5.3,
"Cheiromeles torquatus",,,1.366,,
"Chimp I",,345.95,,,
"Chinchilla lanigera",,,6.8,,
"Chiroderma salvini",,,0.787,,
"Chiroderma trinitatum",,,0.537,,
"Chiroderma villosum",,,0.706,,
"Chironax melanocephalus",,,0.612,,
"Chironectes minimus",,,5.54,,
"Chiropodomys gliroides",,,0.7,,
"Chiropotes chiropotes",,,57.043,,
"Chiropotes israelita",,,55.1348,,
"Chiropotes satanas",,,48.3303,,
"Chlorocebus aethiops",,,64.13,36.54,
"Chlorocebus cynosuros",,,72,,
"Chlorocebus pygerythrus",,,62.5774,71.8,
"Chlorocebus sabaeus",,,64.9133,,
"Choeroniscus godmani",,,0.34,,
"Choeroniscus minor",,,0.389,,
"Choloepus didactylus",,,28.2,36,
"Choloepus hoffmanni",,,24.54,,
"Chrotopterus auritus",,,1.74,,
"Chrysochloris asiatica",,,0.7,0.7,
"Chrysochloris stuhlmanni",,,1.06,0.74,
"Chrysocyon brachyurus",,,120.3,,
"Civettictis civetta",,,37,,
"Clyomys laticeps",,,3.52,,
"Cock (Gallus domest.)",,,,7.59,
"Coendou prehensilis",,,16.73,,
"Coendou rothschildi",,,20.85,,
"Coleura afra",,,0.2585,,
"Colobus angolensis",,,74.4,74.4,
"Colobus guereza",,,83.9,,
"Colobus polykomos",,,70.2,,
"Colobus satanas",,,74.9,,
"Colobus vellerosus",,,73.0708,,
"Columba livia",,,,2.0951,
"Condylura cristata",0.802,,0.802,1.077,
"Conepatus chinga",,,18.7,,
"Conepatus humboldtii",,,12.6,,
"Conepatus leuconotus",,,14.4,,
"Connochaetes taurinus",,,443,,
"Cormura brevirostris",,,0.219,,
"Corvus corax",,,,14.1351,
"Corvus frugilegus",,,,8.3571,
"Corvus mondeula",,,,6.0233,
"Craseonycteris thonglongyai",,,0.087,,
"Cratogeomys fumosus",,,4.19,,
"Cremnomys cutchicus",,,1.67,,
"Cricetomys gambianus",,,6.57,,
"Cricetulus barabensis",,,0.6699,,
"Cricetus cricetus",,,2.2,,
"Cro-Magnon",,1477.34,,,
"Crocidura flavescens",,,,0.44,
"Crocidura fuscomurina",,,0.13,,
"Crocidura russala",,,,0.19,
"Crocidura russula",,,0.19,0.19,
"Crocuta crocuta",,,175,153.2675,
"Crossarchus obscurus",,,9.99,,
"Cryptomys hottentotus",,,1.17,,0.85
"Cryptomys hottentotus natalensis",,,,,1.24
"Cryptomys hottentotus pretoriae",,,,,1.35
"Cryptoprocta ferox",,,32.1,,
"Cryptotis parva",,,0.12,0.165,
"Cuniculus paca",,,35.22,,
"Cuon alpinus",,,94.6,,
"Cyanopica cyanus",,,,3.3927,
"Cyclopes didactylus",,,4.29,,
"Cynictis penicillata",,,10.5,12.51,
"Cynocephalus volans",,,,6.2,
"Cynogale bennettii",,,29.96,,
"Cynomops abrasus",,,0.418,,
"Cynomops greenhalli",,,0.3,,
"Cynomops planirostris",,,0.185,,
"Cynomys gunnisoni",,,5.14,,
"Cynomys leucurus",,,5.77,,
"Cynomys ludovicianus",,,5.69,,
"Cynomys mexicanus",,,5.525,,
"Cynomys parvidens",,,5.58,,
"Cynomys sp.",5.321,,,,
"Cynopterus brachyotis",,,0.9528,,
"Cynopterus horsfieldii",,,1.3495,,
"Cynopterus sphinx",,,1.061,,
"Cystophora cristata",,,455,,
"Cyttarops alecto",,,0.175,,
"Dactylopsila palpator",,,6.91,,
"Dactylopsila tatei",,,4.45,,
"Dactylopsila trivirgata",,,5.83,,
"Dama dama",,,224.5,,
"Damaliscus lunatus",,,290.6,,
"Damaliscus pygargus",,,254.6,,
"Damaliscus pygargus phillipsi",154.805,,,,
"Dasycercus cristicauda",,,1.24,,
"Dasykaluta rosamondae",,,0.54,,
"Dasyprocta leporina",,,21.26,17.2,
"Dasyprocta prymnolopha",17.628,,,,
"Dasyprocta punctata",,,18.34,,
"Dasypus novemcinctus",,,8.5,7.54,
"Dasypus sp.",,,,19,
"Dasyuroides byrnei",,,1.5,,
"Dasyurus albopunctatus",,,3.79,,
"Dasyurus geoffroii",,,5.17,,
"Dasyurus hallucatus",,,3.38,4.666,
"Dasyurus maculatus",,,9.41,,
"Dasyurus spartacus",,,5.3,,
"Dasyurus viverrinus",,,5.33,,
"Daubentonia madagascariensis",,,45.15,45.15,
"Delphinapterus leucas",,,1921,2083,
"Delphinus delphis",,,797.26,873,
"Dendrohyrax arboreus",,,12.3,,
"Dendrohyrax dorsalis",12.8,,,,
"Dendrohyrax sp.",,,3.328,,
"Dendrolagus bennettianus",,,18.5,,
"Dendrolagus dorianus",,,32.3,,
"Dendrolagus goodfellowi",,,28.4,,
"Dendrolagus inustus",,,30.1,,
"Dendrolagus lumholtzi",,,26.2,,
"Dendrolagus matschiei",,,27.5,,
"Dendrolagus scottae",,,29.2,,
"Dendrolagus spadix",,,28.5,,
"Dendrolagus ursinus",,,26.3,,
"Desmana moschata",,,4,4,
"Desmodus rotundus",,,0.916,,
"Diaemus youngi",,,0.971,,
"Diaemus youngi (DES)",,,,1.09,
"Diceros bicornis",,,655,,
"Dicrostonyx groenlandicus",,,0.72,,
"Dicrostonyx richardsoni",,,0.8983,,
"Dicrostonyx torquatus",,,0.84,,
"Didelphis marsupialis",,,6.35,5.736,
"Didelphis sp.",,,,5.3,
"Didelphis virginiana",,,6.72,4.36,
"Dinomys branickii",,,26.95,36.3,
"Diphylla ecaudata",,,0.8015,,
"Dipodillus campestris",,,0.9,,
"Dipodillus dasyurus",,,1.32,,
"Dipodomys agilis",,,1.34,,
"Dipodomys deserti",,,1.74,,
"Dipodomys heermanni",,,1.44,,
"Dipodomys merriami",,,1.1,,
"Dipodomys microps",,,1.22,,
"Dipodomys ordii",,,1.45,,
"Dipodomys panamintinus",,,1.6,,
"Dipodomys spectabilis",,,1.93,,
"Distoechurus pennatus",,,0.94,,
"Dobsonia inermis",,,2.7,,
"Dobsonia moluccensis",,,4.43,,
"Dobsonia praedatrix",,,2.9749,,
"Dog (Canis familiaris)",,,,72.5,
"Dolichotis patagonum",,,30.5,,
"Dolichotis salinicola",,,15.31,,
"Domestic mouse (Mus musculus)",,,,0.35,
"Dorcopsis atrata",,,16.7,,
"Dorcopsis hageni",,,22.5,,
"Dorcopsis luctuosa",,,20.6,,
"Dorcopsis muelleri",,,20.4,,
"Dorcopsulus macleayi",,,13.5,,
"Dorcopsulus vanheurni",,,11.8,,
"Dremomys rufigenis",,,5.41,,
"Dromaius novaehollandiae",,,,21.8109,
"Dromiciops gliroides",,,0.81,,
"Dugong dugon",,,264.67,,
"Echimys chrysurus",,,5.02,,
"Echinops telfairi",,,0.62,1.2593,
"Echinosorex gymnura",,,5.5,,
"Echymipera clara",,,4.48,,
"Echymipera kalubu",,,3.67,,
"Echymipera rufescens",,,3.73,,
"Eidolon helvum",,,4.4325,,
"Eira barbara",,,47.05,,
"Elephantulus fuscipes",,,1.33,1.33,
"Elephantulus intufi",,,1.14,,
"Elephantulus myurus",1.04,,1.37,1.37,
"Elephas maximus",,,5211.25,,
"Elephas sp.",,,,4925,
"Emballonura monticola",,,0.163,,
"Emballonura raffrayana",,,0.174,,
"Emballonura semicaudata",,,0.184,,
"Enhydra lutris",,,119,,
"Eonycteris spelaea",,,1.26,,
"Epomophorus gambianus",,,4.3285,,
"Epomophorus labiatus",,,1.5887,,
"Epomophorus wahlbergi",,,1.9613,,
"Epomops franqueti",,,2.213,,
"Eptesicus brasiliensis",,,0.1983,,
"Eptesicus dimissus",,,0.231,,
"Eptesicus furinalis",,,0.1895,,
"Eptesicus fuscus",,,0.2143,,
