"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Rhyncholestes raphanurus",,,0.65,,
"Rhynchomeles prattorum",,,4.9,,
"Rhynchonycteris naso",,,0.11,,
"Rousettus aegyptiacus",,,2.2608,,
"Rousettus amplexicaudatus",,,1.6273,,
"Rupicapra rupicapra",,,117.8,,
"S. sciureus",,23.1,,,
"Saccolaimus saccolaimus",,,0.6705,,
"Saccopteryx bilineata",,,0.2252,,
"Saccopteryx canescens",,,0.13,,
"Saccopteryx leptura",,,0.1605,,
"Saccostomus campestris",,,0.82,,
"Saguinus fuscicollis",,,7.9,,
"Saguinus geoffroyi",,,14.27,10.5,
"Saguinus labiatus",,,10.0117,,
"Saguinus leucopus",,,9.702,,
"Saguinus midas",,,9.7839,10.3,
"Saguinus mystax",,,11.1,10.1,
"Saguinus niger",,,9.4811,,
"Saguinus nigricollis",,,8.9,,
"Saguinus oedipus",,,9.64,9.65,
"Saguinus pileatus",,,9.5552,,
"Saimiri boliviensis",,,24.06,25.5,
"Saimiri oerstedii",,,22.45,,
"Saimiri sciureus",30.216,,30.216,22.2173,
"Salanoia concolor",,,11.02,,
"Sapajus apella",52.208,,52.508,,
"Sarcophilus harrisii",,,16.09,15.2,
"Scalopus aquaticus",0.999,,0.999,0.57,
"Scapanus townsendii",,,2.02,,
"Sciurus aberti",,,7.44,,
"Sciurus aureogaster",,,7.81,,
"Sciurus carolinensis",5.548,,7.41,5.817,
"Sciurus granatensis",,,5.91,,
"Sciurus niger",,,7.91,,
"Sciurus vulgaris",,,5.93,,
"Scotomanes ornatus",,,0.384,,
"Scotonycteris zenkeri",,,0.71,,
"Scotophilus dinganii",,,0.4385,,
"Scotophilus heathii",,,0.476,,
"Scotophilus kuhlii",,,0.3423,,
"Scotophilus nigrita",,,1.046,,
"Scotorepens sanborni",,,0.158,,
"Scotozous dormeri",,,0.143,,
"Semnopithecus ajax",,,132.0574,,
"Semnopithecus dussumieri",,,90.0925,,
"Semnopithecus entellus",,,111.5,,
"Semnopithecus hypoleucos",,,88.3,,
"Semnopithecus priam",,,83.0685,,
"Semnopithecus schistaceus",,,129.2495,,
"Setifer setosus",,,1.51,1.51,
"Setonix brachyurus",,,13.9,,
"Sheep (Ovis aries)",,,,102,
"Sigmodon hispidus",,,1.14,,
"Simias concolor",,,56.2,,
"Sminthopsis bindi",,,0.35,,
"Sminthopsis crassicaudata",,,0.36,,
"Sminthopsis douglasi",,,0.35,,
"Sminthopsis griseoventer",,,0.49,,
"Sminthopsis hirtipes",,,0.41,,
"Sminthopsis leucopus",,,0.41,,
"Sminthopsis macroura",,,0.4,,
"Sminthopsis murina",,,0.44,,
"Sminthopsis virginiae",,,0.34,,
"Solenodon paradoxus",,,4.67,4.67,
"Sorex araneus",,,0.23,0.2,
"Sorex arcticus",,,0.27,,
"Sorex cinereus",,,0.17,0.17,
"Sorex fumeus",0.176,,0.21,,
"Sorex hoyi",,,0.09,,
"Sorex minutus",,,0.13,0.11,
"Sorex monticolus",,,0.23,,
"Sorex ornatus",,,0.12,,
"Sorex palustris",,,0.31,0.28,
"Sorex sp.",,,,0.25,
"Sorex trowbridgii",,,0.21,,
"Sorex vagrans",,,0.17,,
"Soricidae sp.",,,,0.218,
"Sotalia fluviatilis",,,688,688,
"Spalacopus cyanus",,,1.58,,
"Spalax ehrenbergi",,,1.88,,
"Spalax leucodon",,,3,,
"Sparrow (Passer domesticus)",,,,1,
"Speothos venaticus",,,40.5,,
"Spermophilopsis leptodactylus",,,6.18,,
"Spermophilus adocetus",,,3.01,,
"Spermophilus alashanicus",,,2.89,,
"Spermophilus armatus",,,3.09,,
"Spermophilus atricapillus",,,5.24,,
"Spermophilus beecheyi",,,5.42,,
"Spermophilus beldingi",,,2.96,,
"Spermophilus brunneus",,,2.11,,
"Spermophilus canus",,,1.6,,
"Spermophilus citellus",,,2.89,,
"Spermophilus columbianus",,,3.95,,
"Spermophilus dauricus",,,2.75,,
"Spermophilus elegans",,,2.76,,
"Spermophilus erythrogenys",,,3.44,,
"Spermophilus franklinii",,,3.96,,
"Spermophilus fulvus",,,4.55,,
"Spermophilus lateralis",,,3.06,,
"Spermophilus madrensis",,,2.715,,
"Spermophilus major",,,4.12,,
"Spermophilus mexicanus",,,3.5,,
"Spermophilus mohavensis",,,2.03,,
"Spermophilus mollis",,,1.67,,
"Spermophilus musicus",,,2.62,,
"Spermophilus parryii",,,5.78,,
"Spermophilus perotensis",,,2.79,,
"Spermophilus pygmaeus",,,2.44,,
"Spermophilus relictus",,,3.49,,
"Spermophilus richardsonii",,,3.18,,
"Spermophilus saturatus",,,3.38,,
"Spermophilus spilosoma",,,2.37,,
"Spermophilus suslicus",,,2.55,,
"Spermophilus tereticaudus",,,1.68,,
"Spermophilus townsendii",,,1.89,,
"Spermophilus tridecemlineatus",,,2.27,1.53,
"Spermophilus undulatus",,,3.73,,
"Spermophilus variegatus",,,7.01,,
"Spermophilus washingtoni",,,1.8,,
"Spermophilus xanthoprymnus",,,3.04,,
"Sphaerias blanfordi",,,0.832,,
"Sphaeronycteris toxophyllum",,,0.537,,
"Sphiggurus vestitus",,,11.71,,
"Spilocuscus kraemeri",,,11.5,,
"Spilocuscus maculatus",,,13.4,,
"Spilocuscus rufoniger",,,16.8,,
"Spilogale gracilis",,,6.81,,
"Spilogale putorius",,,5,,
"Stenella attenuata",,,779.83,,
"Stenella coeruleoalba",,,883.75,820,
"Stenella longirostris",,,450,,
"Steno bredanensis",,,1541.9,,
"Strigocuscus pelengensis",,,6.22,,
"STS 19",,450.59,,,
"Sturnira lilium",,,0.5843,,
"Sturnira ludovici",,,0.676,,
"Sturnira tildae",,,0.7255,,
"Sturnus vulgaris",,,,1.8553,
"Suncus etruscus",,,0.07,,
"Suncus murinus",,,0.39,0.38,
"Sundamys muelleri",,,3.5,,
"Surdisorex polulus",,,0.4,,
"Suricata suricatta",,,10.3,,
"Sus scrofa",,,64.18,112,
"Sus scrofa domesticus",62.5745,,,137.65,
"Swallow (Hirundo rustica)",,,,0.5135,
"Swanscombe",,1184.63,,,
"Syconycteris australis",,,0.592,,
"Sylvia atricapilla",,,,0.7743,
"Sylvicapra grimmia",,,77.2,,
"Sylvilagus audubonii",,,6.07,,
"Sylvilagus bachmani",,,6.58,,
"Sylvilagus brasiliensis",,,4.5,,
"Sylvilagus floridanus",,,7.56,,
"Symphalangus syndactylus",,,134.8,138.7,
"Synaptomys cooperi",,,0.59,,
"Syncerus caffer",,,647.5,,
"Tachyglossus aculeatus",,,20.73,11,
"Tachyoryctes splendens",,,1.88,,
"Tadarida aegyptiaca",,,0.393,,
"Taenipygia guttata",,,,0.4935,
"Talpa europaea",,,1.4,1.41,
"Tamandua tetradactyla",,,27.5,,
"Tamias amoenus",,,1.39,,
"Tamias cinereicollis",,,1.8,,
"Tamias dorsalis",,,1.98,,
"Tamias minimus",,,1.6,,
"Tamias palmeri",,,1.99,,
"Tamias panamintinus",,,1.83,,
"Tamias quadrimaculatus",,,2.16,,
"Tamias quadrivittatus",,,1.7,,
"Tamias speciosus",,,1.86,,
"Tamias striatus",,,2.17,,
"Tamias townsendii",,,2.44,,
"Tamiasciurus hudsonicus",,,3.83,,
"Tamiops mcclellandii",,,1.95,,
"Taphozous australis",,,0.5035,,
"Taphozous hildegardeae",,,0.5425,,
"Taphozous longimanus",,,0.47,,
"Taphozous mauritianus",,,0.5505,,
"Taphozous melanopogon",,,0.536,,
"Taphozous theobaldi",,,0.681,,
"Tapirus bairdii",,,85,,
"Tapirus indicus",,,265,,
"Tapirus terrestris",,,180.5,,
"Tarsipes rostratus",,,0.36,,
"Tarsius bancanus",,,2.7,3,
"Tarsius dentatus",,,2.9954,,
"Tarsius sp.",,,,3.6,
"Tarsius syrichta",,,3.3587,3.63,
"Tarsius tarsier",,,3.4,,
"Tatera indica",,,1.84,,
"Taurotragus derbianus",,,534,,
"Taurotragus oryx",,,440,,
"Taxidea taxus",,,48.9,,
"Tayassu pecari",,,145.8,,
"Tenrec ecaudatus",,,2.84,2.585,
"Theropithecus gelada",,,130,,
"Thomomys bottae",,,1.47,,
"Thomomys bulbivorus",,,2.2,,
"Thomomys talpoides",,,1.24,,
"Thryonomys swinderianus",,,13.28,,
"Thylacinus cynocephalus",,,51.19,,
"Thylamys elegans",,,0.71,,
"Thylamys pallidior",,,0.72,,
"Thylogale billardierii",,,22.1,,
"Thylogale browni",,,18.3,,
"Thylogale brunii",,,17.5,,
"Thylogale stigmatica",,,17.8,,
"Thylogale thetis",,,19.2,,
"Thyroptera tricolor",,,0.23,,
"Thyroptera tricolor (THY)",,,,0.23,
"Tolypeutes matacus",,,8.86,,
"Tonatia bidens",,,0.788,,
"Trachops cirrhosus",,,0.9115,,
"Trachypithecus auratus",,,63.6,,
"Trachypithecus cristatus",,,55,,
"Trachypithecus francoisi",,,94.4,102.1,
"Trachypithecus geei",,,81.3,,
"Trachypithecus germaini",,,76,,
"Trachypithecus johnii",,,84.6,,
"Trachypithecus obscurus",,,60,,
"Trachypithecus phayrei",,,72.8401,,
"Trachypithecus pileatus",,,103.6408,,
"Trachypithecus vetulus",,,60.4,,
"Tragelaphus angasii",,,230,,
"Tragelaphus buxtoni",,,330,,
"Tragelaphus eurycerus",,,389,,
"Tragelaphus imberbis",,,219,,
"Tragelaphus scriptus",,,165,,
"Tragelaphus spekii",,,145,,
"Tragelaphus strepsiceros",307.2755,,361,,
"Tragulus javanicus",,,15.8,,
"Tragulus napu",,,18.5,,
"Triaenops persicus",,,0.2705,,
"Trichechus manatus",,,364,350,
"Trichosurus caninus",,,11.9,,
"Trichosurus vulpecula",,,11,12.5,
"Trichys fasciculata",,,13.05,,
"Trinil 2/Pith I",,928.2,,,
"Tscherskia triton",,,1.29,,
"Tupaia belangeri",,,,2.806,
"Tupaia glis",2.752,,3.2,2.8233,
"Tupaia javanica",,,2.3,,
"Tupaia minor",,,2.58,2.58,
"Tupaia sp.",,,3.04,,
"Turdus merula",,,,1.8872,
"Tursiops aduncus",,,1498,,
"Tursiops truncatus",,,1573,1509.5,
"Tylonycteris pachypus",,,0.077,,
"Tylonycteris robustula",,,0.116,,
"Tyto alba",,,,5.6177,
"Uncia uncia",,,101.5,,
"Uranomys ruddi",,,0.77,,
"Urocyon cinereoargenteus",,,37.28,,
"Urocyon littoralis",,,27.7,,
"Uroderma bilobatum",,,0.5773,,
"Urogale everetti",,,4.28,4.28,
"Ursus americanus",,,248,,
"Ursus arctos",,,335.97,385,
"Ursus maritimus",,,507,472.68,
"Ursus sp.",,,,350,
"Ursus thibetanus",,,269,,
"Vampyressa pusilla",,,0.394,,
"Vampyrodes caraccioli",,,0.947,,
"Vampyrum spectrum",,,2.8685,,
"Varecia rubra",,,31.0839,,
"Varecia variegata",,,31.2,31.5,
"Vespadelus pumilus",,,0.122,,
"Vespertilio murinus",,,0.445,,
"Vicugna vicugna",,,199.9,,
"Viverra civettina",,,42.1,,
"Viverra megaspila",,,36.6,,
"Viverra tangalunga",,,24.1,,
"Viverra zibetha",,,37,,
"Viverricula indica",,,16.78,,
"Vombatus ursinus",,,59,,
"Vormela peregusna",,,4.8,,
"Vulpes bengalensis",,,24.5,,
"Vulpes chama",,,33.5,,
"Vulpes lagopus",,,35.5,,
"Vulpes pallida",,,25.03,,
"Vulpes rueppellii",,,25.8,,
"Vulpes velox",,,32.1,,
"Vulpes vulpes",,,49.64,45.6283,
"Vulpes zerda",,,17.3,,
"Wallabia bicolor",,,32.9,,
"White mouse (mus musculus albus)",,,,0.4275,
"White rat (Mus decom. alb.)",,,,1.8615,
"Wyulda squamicaudata",,,10.1,,
"Xerus erythropus",,,6.68,,
"Xerus inauris",,,7.65,,
"Xerus rutilus",,,5.09,,
"Zaedyus pichiy",,,7.98,,
"Zaglossus bruijni",,,37.35,,
"Zaglossus sp.",,,,53,
"Zalophus californianus",,,405,363,
"Zapus hudsonius",,,0.55,,
"Zapus princeps",,,0.5,,
"Zapus trinotatus",,,0.5,,
"Zh Loc E /III",,859.54,,,
"Zhoukoudian Locus LI",,1162.65,,,
"Ziphius cavirostris",,,2004,2004,
"Zygogeomys trichopus",,,3.95,,
