"Species","Measure","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Mungos mungo","Brain_Mass_measured",2,1,10.5,1,"","Jacobs2018(Jacobs,info)=10.50 | Jacobs2018(Jacobs,info)=10.50"
"Mus musculus","Brain_Mass_mass_or_volume",2,2,0.402,1.01,"","Burger2019(Burger,secondary)=0.40 | HerculanoHouzel2015(HerculanoHouzel,primary)=0.40"
"Notamacropus rufogriseus","Brain_Mass_measured",2,2,28.2,1.34,"","Karl2024(Karl,primary)=28.20 | Lewitus2014(Lewitus,secondary)=37.80"
"Ornithorhynchus anatinus","Brain_Mass_measured",2,2,8.75,1.06,"","Changizi2005(Changizi,primary)=9.00 | Brodmann1913(Brodmann,primary)=8.50"
"Oryctolagus cuniculus","Brain_Mass_mass_or_volume",2,2,7.1,1.56,"","Burger2019(Burger,secondary)=11.09 | HerculanoHouzel2015(HerculanoHouzel,primary)=7.10"
"Pagophilus groenlandicus","Brain_Mass_measured",2,1,276,1,"","Jacobs2018(Jacobs,info)=276.00 | Jacobs2018(Jacobs,info)=276.00"
"Panthera pardus orientalis","Brain_Mass_measured",2,1,125.5,1,"","Jacobs2018(Jacobs,info)=125.50 | Jacobs2018(Jacobs,info)=125.50"
"Panthera tigris altaica","Brain_Mass_measured",2,1,279.3,1,"","Jacobs2018(Jacobs,info)=279.30 | Jacobs2018(Jacobs,info)=279.30"
"Papio cynocephalus","Brain_Mass_mass_or_volume",2,2,151.19,1.03,"","Burger2019(Burger,secondary)=156.10 | HerculanoHouzel2015(HerculanoHouzel,primary)=151.19"
"Papio ursinus","Brain_Mass_measured",2,1,214.4,1,"","Jacobs2018(Jacobs,info)=214.40 | Jacobs2018(Jacobs,info)=214.40"
"Phoca vitulina","Brain_Mass_measured",2,1,273.75,1,"","Lewitus2014(Lewitus,secondary)=273.75 | Lewitus2013(Lewitus,secondary)=273.75"
"Pigeon (Columba domest.)","Brain_Mass_measured",2,1,1.91,1.13,"","Krompecher1966(Krompecher,secondary)=2.03 | Krompecher1966(Krompecher,secondary)=1.79"
"Pongo sp.","Brain_Mass_measured",2,1,345.9,1.07,"","Bauernfeind2013(Zilles,primary)=358.00 | Bauernfeind2013(Zilles,primary)=333.80"
"Pteropus giganteus","Brain_Mass_measured",2,1,9,1,"","Lewitus2014(Lewitus,secondary)=9.00 | Lewitus2013(Lewitus,secondary)=9.00"
"Saimiri boliviensis","Brain_Mass_measured",2,1,25.5,1,"","Jacobs2018(Jacobs,info)=25.50 | Jacobs2018(Jacobs,info)=25.50"
"Saimiri sciureus","Brain_Mass_mass_or_volume",2,2,30.216,1.29,"","Burger2019(Burger,secondary)=23.35 | HerculanoHouzel2015(HerculanoHouzel,primary)=30.22"
"Sapajus apella","Brain_Mass_mass_or_volume",2,2,52.508,1.36,"","Burger2019(Burger,secondary)=71.30 | HerculanoHouzel2015(HerculanoHouzel,primary)=52.51"
"Scalopus aquaticus","Brain_Mass_mass_or_volume",2,2,0.999,1.48,"","Burger2019(Burger,secondary)=1.48 | HerculanoHouzel2015(HerculanoHouzel,primary)=1.00"
"Sus scrofa","Brain_Mass_mass_or_volume",2,2,64.18,2.65,"DISAGREEMENT>2x","Burger2019(Burger,secondary)=169.80 | HerculanoHouzel2015(HerculanoHouzel,primary)=64.18"
"Sus scrofa","Brain_Mass_measured",2,2,112,122.9,"DISAGREEMENT>2x","Lewitus2013(Lewitus,secondary)=13765.00 | Brodmann1913(Brodmann,primary)=112.00"
"Swallow (Hirundo rustica)","Brain_Mass_measured",2,1,0.5135,1.09,"","Krompecher1966(Krompecher,secondary)=0.54 | Krompecher1966(Krompecher,secondary)=0.49"
"Symphalangus syndactylus","Brain_Mass_measured",2,1,138.7,1,"","deSousa2010(Zilles,primary)=138.70 | Bauernfeind2013(Zilles,primary)=138.70"
"Tachyglossus aculeatus","Brain_Mass_measured",2,2,11,2.5,"DISAGREEMENT>2x","Changizi2005(Changizi,primary)=11.00 | Lewitus2014(Lewitus,secondary)=27.50"
"Tarsius sp.","Brain_Mass_measured",2,1,3.6,1,"","Stephan1981(Stephan_collection,primary)=3.60 | Frahm1998(Stephan_collection,secondary)=3.60"
"Ursus maritimus","Brain_Mass_measured",2,1,472.68,1,"","Lewitus2014(Lewitus,secondary)=472.68 | Lewitus2013(Lewitus,secondary)=472.68"
"Vulpes vulpes","Brain_Mass_measured",2,1,45.6283,1,"","Lewitus2014(Lewitus,secondary)=45.63 | Lewitus2013(Lewitus,secondary)=45.63"
"White mouse (mus musculus albus)","Brain_Mass_measured",2,1,0.4275,1.01,"","Krompecher1966(Krompecher,secondary)=0.42 | Krompecher1966(Krompecher,secondary)=0.43"
"White rat (Mus decom. alb.)","Brain_Mass_measured",2,1,1.8615,1.08,"","Krompecher1966(Krompecher,secondary)=1.93 | Krompecher1966(Krompecher,secondary)=1.79"
"Zalophus californianus","Brain_Mass_measured",2,1,363,1,"","Lewitus2014(Lewitus,secondary)=363.00 | Lewitus2013(Lewitus,secondary)=363.00"
