"Species","Measure","Units","Value_g","raw_value","raw_unit","Source","first_author","Year","Team","role","paper","column","poolable_group","basis","measure_emitted"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1890,"1890","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1890,"1890","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1200,"1200","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1200,"1200","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Panthera leo","Brain_Mass","g",223.5,"223500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Panthera leo","Brain_Mass","g",223.5,"223500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Lycaon pictus","Brain_Mass","g",141.5,"141500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Lycaon pictus","Brain_Mass","g",141.5,"141500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Panthera pardus orientalis","Brain_Mass","g",125.5,"125500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Panthera pardus orientalis","Brain_Mass","g",125.5,"125500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Amblonyx cinereus","Brain_Mass","g",38.1,"38100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Amblonyx cinereus","Brain_Mass","g",38.1,"38100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Mungos mungo","Brain_Mass","g",10.5,"10500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Mungos mungo","Brain_Mass","g",10.5,"10500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Caracal caracal","Brain_Mass","g",55.3,"55300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Caracal caracal","Brain_Mass","g",55.3,"55300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Mustela putorius","Brain_Mass","g",8.3,"8300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Mustela putorius","Brain_Mass","g",8.3,"8300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Pagophilus groenlandicus","Brain_Mass","g",276,"276000","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Pagophilus groenlandicus","Brain_Mass","g",276,"276000","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Callorhinus ursinus","Brain_Mass","g",328.6,"328600","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Callorhinus ursinus","Brain_Mass","g",328.6,"328600","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Procyon lotor","Brain_Mass","g",40,"40000","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Procyon lotor","Brain_Mass","g",40,"40000","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Panthera tigris altaica","Brain_Mass","g",279.3,"279300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Panthera tigris altaica","Brain_Mass","g",279.3,"279300","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Saimiri boliviensis","Brain_Mass","g",25.5,"25500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Saimiri boliviensis","Brain_Mass","g",25.5,"25500","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Papio ursinus","Brain_Mass","g",214.4,"214400","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Papio ursinus","Brain_Mass","g",214.4,"214400","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Saguinus oedipus","Brain_Mass","g",8.9,"8900","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Saguinus oedipus","Brain_Mass","g",8.9,"8900","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Leontopithecus rosalia","Brain_Mass","g",12.8,"12800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Leontopithecus rosalia","Brain_Mass","g",12.8,"12800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Papio hamadryas","Brain_Mass","g",159.1,"159100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Papio hamadryas","Brain_Mass","g",159.1,"159100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",134.8,"134800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",134.8,"134800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Callithrix pygmaea","Brain_Mass","g",4.1,"4100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Callithrix pygmaea","Brain_Mass","g",4.1,"4100","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Cercopithecus ascanius","Brain_Mass","g",58.4,"58400","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Cercopithecus ascanius","Brain_Mass","g",58.4,"58400","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Chlorocebus pygerythrus","Brain_Mass","g",71.8,"71800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Chlorocebus pygerythrus","Brain_Mass","g",71.8,"71800","mg","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info","Jacobs_etal_2018","brain_mass_mg","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Bettongia penicillata","Brain_Mass","g",9.6,"9.6","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Choloepus didactylus","Brain_Mass","g",36,"36.0","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Dinomys branickii","Brain_Mass","g",36.3,"36.3","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Giraffa camelopardalis","Brain_Mass","g",675,"675.0","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1336,"1336.0","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Lemur catta","Brain_Mass","g",22.3,"22.3","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Loxodonta africana","Brain_Mass","g",4835,"4835.0","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Notamacropus rufogriseus","Brain_Mass","g",28.2,"28.2","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Mus musculus","Brain_Mass","g",0.4,"0.4","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Myrmecophaga tridactyla","Brain_Mass","g",76,"76.0","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
"Neofelis nebulosa","Brain_Mass","g",68.3,"68.3","g","10.1002%2Fcne.25669_TABLE1.tsv","Karl","2024","Karl","primary","Karl_etal_2024","Brain mass (g)","mass_measured_specimen","mass_specimen","Brain_Mass_measured"
