record_id,Species,Species_printed,Compilation,Table,source_row,source_snapshot_row,Region,Region_raw,Subregion_raw,Measure,measure_class,Value_raw,Units_raw,Value,SD,n,Units,conscious,condition_group,include_in_primary_merge,source_granularity,arm_identity_status,arm_ambiguity_group_id,derivation_role,exclusion_reason,primary_reference_ids,primary_references,primary_reference_raw,source_reference_ids,source_references,source_reference_levels,source_reference_types,reference_resolution_status,ref_raw,ref_keys_str
1309,Mus musculus,Mus,Kaufman__2004,TableA6,148,148,Neocortex,Neocortex,,CMRgl,cerebral_metabolic_rate,63,umol/100g/min,63.0,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,nowaczyk1981,"(Nowaczyk and Des Rosiers, 1981)","(Nowaczyk and Des Rosiers, 1981)",nowaczyk1981,"(Nowaczyk and Des Rosiers, 1981)",primary,journal_article,resolved,"(Nowaczyk and Des Rosiers, 1981)",nowaczyk1981
1310,Mus musculus,Mus,Kaufman__2004,TableA6,149,149,Neocortex,Neocortex,,CMRgl,cerebral_metabolic_rate,74.2,umol/100g/min,74.2,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992b)","(Yamaguchi et al., 1992b)",yamaguchi1992,"(Yamaguchi et al., 1992b)",primary,journal_article,resolved,"(Yamaguchi et al., 1992b)",yamaguchi1992
1311,Mus musculus,Mus,Kaufman__2004,TableA6,150,150,Neocortex,Neocortex,,CMRgl,cerebral_metabolic_rate,88.8,umol/100g/min,88.8,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,zocchi2001,"(Zocchi et al., 2001)","(Zocchi et al., 2001)",zocchi2001,"(Zocchi et al., 2001)",primary,journal_article,resolved,"(Zocchi et al., 2001)",zocchi2001
1312,Mus musculus,Mus,Kaufman__2004,TableA6,151,151,Neocortex,Neocortex,,CMRgl,cerebral_metabolic_rate,65,umol/100g/min,65.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,zocchi2001,"(Zocchi et al., 2001)","(Zocchi et al., 2001)",zocchi2001,"(Zocchi et al., 2001)",primary,journal_article,resolved,"(Zocchi et al., 2001)",zocchi2001
1313,Mus musculus,Mus,Kaufman__2004,TableA11,107,107,Occipital_cortex,Occipital Cortex,,CMRgl,cerebral_metabolic_rate,89,umol/100g/min,89.0,,8.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,jay1985,"(Jay etal., 1985)","(Jay etal., 1985)",jay1985,"(Jay etal., 1985)",primary,journal_article,resolved,"(Jay etal., 1985)",jay1985
1314,Mus musculus,Mus,Kaufman__2004,TableA11,108,108,Occipital_cortex,Occipital Cortex,,CMRgl,cerebral_metabolic_rate,124,umol/100g/min,124.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1315,Mus musculus,Mus,Kaufman__2004,TableA11,109,109,Occipital_cortex,Occipital Cortex,,CMRgl,cerebral_metabolic_rate,125,umol/100g/min,125.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1316,Mus musculus,Mus,Kaufman__2004,TableA11,110,110,Occipital_cortex,Occipital Cortex,,CMRgl,cerebral_metabolic_rate,53,umol/100g/min,53.0,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,anon1981,1981),1981),anon1981,1981),primary,journal_article,resolved,1981),anon1981
1317,Mus musculus,Mus,Kaufman__2004,TableA11,111,111,Occipital_cortex,Occipital Cortex,,CMRgl,cerebral_metabolic_rate,70.4,umol/100g/min,70.4,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992b)","(Yamaguchi et al., 1992b)",yamaguchi1992,"(Yamaguchi et al., 1992b)",primary,journal_article,resolved,"(Yamaguchi et al., 1992b)",yamaguchi1992
1318,Mus musculus,mouse,Karbowski__2007,TableS21,1,1,Pallidum,Globus pallidus,Globus pallidus,CMRgl,cerebral_metabolic_rate,0.76,umol/g/min,76.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1319,Mus musculus,Mus,Kaufman__2004,TableA8,101,101,Parietal_cortex,Parietal Cortex,,CMRgl,cerebral_metabolic_rate,128,umol/100g/min,128.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1320,Mus musculus,Mus,Kaufman__2004,TableA8,102,102,Parietal_cortex,Parietal Cortex,,CMRgl,cerebral_metabolic_rate,124,umol/100g/min,124.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1321,Mus musculus,Mus,Kaufman__2004,TableA8,103,103,Parietal_cortex,Parietal Cortex,,CMRgl,cerebral_metabolic_rate,71,umol/100g/min,71.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992b)","(Yamaguchi et al., 1992b)",yamaguchi1992,"(Yamaguchi et al., 1992b)",primary,journal_article,resolved,"(Yamaguchi et al., 1992b)",yamaguchi1992
1322,Mus musculus,mouse,Karbowski__2007,TableS4,1,1,Prefrontal_cortex,Prefrontal cortex,Prefrontal cortex,CMRgl,cerebral_metabolic_rate,1.22,umol/g/min,122.0,12.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1323,Mus musculus,mouse,Karbowski__2007,TableS8,1,1,Sensorimotor_cortex,Sensorimotor cortex,Sensorimotor cortex,CMRgl,cerebral_metabolic_rate,1.21,umol/g/min,121.0,9.0,,umol/100g/min,unknown,resting_unknown,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,duplicate_secondary_compilation,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1324,Mus musculus,Mus,Kaufman__2004,TableA12,70,70,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,121,umol/100g/min,121.0,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,"(Bouilleret et al., 2000)","(Bouilleret et al., 2000)",bouilleret2000,"(Bouilleret et al., 2000)",primary,journal_article,resolved,"(Bouilleret et al., 2000)",bouilleret2000
1325,Mus musculus,Mus,Kaufman__2004,TableA12,71,71,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,88,umol/100g/min,88.0,,8.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,jay1985,"(Jay et al., 1985)","(Jay et al., 1985)",jay1985,"(Jay et al., 1985)",primary,journal_article,resolved,"(Jay et al., 1985)",jay1985
1326,Mus musculus,Mus,Kaufman__2004,TableA12,72,72,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,132,umol/100g/min,132.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1327,Mus musculus,Mus,Kaufman__2004,TableA12,73,73,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,129,umol/100g/min,129.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1328,Mus musculus,Mus,Kaufman__2004,TableA12,74,74,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,82.1,umol/100g/min,82.1,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992b)","(Yamaguchi et al., 1992b)",yamaguchi1992,"(Yamaguchi et al., 1992b)",primary,journal_article,resolved,"(Yamaguchi et al., 1992b)",yamaguchi1992
1329,Mus musculus,Mus,Kaufman__2004,TableA12,75,75,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,86,umol/100g/min,86.0,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,zocchi2001,"(Zocchi et a l, 2001)","(Zocchi et a l, 2001)",zocchi2001,"(Zocchi et a l, 2001)",primary,journal_article,resolved,"(Zocchi et a l, 2001)",zocchi2001
1330,Mus musculus,Mus,Kaufman__2004,TableA12,76,76,Sensorimotor_cortex,Sensorimotor Cortex,,CMRgl,cerebral_metabolic_rate,65,umol/100g/min,65.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,zocchi2001,"(Zocchi et al., 2001)","(Zocchi et al., 2001)",zocchi2001,"(Zocchi et al., 2001)",primary,journal_article,resolved,"(Zocchi et al., 2001)",zocchi2001
1331,Mus musculus,mouse,Karbowski__2007,TableS18,1,1,Septum,Septum,Septum,CMRgl,cerebral_metabolic_rate,0.67,umol/g/min,67.0,12.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1332,Mus musculus,mouse,Karbowski__2007,TableS18,2,2,Septum,Septum,Septum,CMRgl,cerebral_metabolic_rate,0.79,umol/g/min,79.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,quelven2004,"Quelven et al 2004, estim.","Quelven et al 2004, estim.",quelven2004,"Quelven et al 2004, estim.",primary,journal_article,resolved,"Quelven et al 2004, estim.",quelven2004
1333,Mus musculus,mouse,Karbowski__2007,TableS20,1,1,Substantia_nigra,Substantia nigra,Substantia nigra,CMRgl,cerebral_metabolic_rate,0.88,umol/g/min,88.0,7.000000000000001,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1334,Mus musculus,mouse,Karbowski__2007,TableS7,1,1,Temporal_cortex,Temporal cortex,Temporal cortex,CMRgl,cerebral_metabolic_rate,0.93,umol/g/min,93.0,10.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,quelven2004,"Quelven et al 2004, estim","Quelven et al 2004, estim",quelven2004,"Quelven et al 2004, estim",primary,journal_article,resolved,"Quelven et al 2004, estim",quelven2004
1335,Mus musculus,mouse,Karbowski__2007,TableS13,1,1,Thalamus,Thalamus,Thalamus,CMRgl,cerebral_metabolic_rate,1.19,umol/g/min,119.0,10.0,,umol/100g/min,unknown,resting_unknown,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,duplicate_secondary_compilation,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1336,Mus musculus,mouse,Karbowski__2007,TableS13,2,2,Thalamus,Thalamus,Thalamus,CMRgl,cerebral_metabolic_rate,1.03,umol/g/min,103.0,10.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,quelven2004,"Quelven et al 2004, estim.","Quelven et al 2004, estim.",quelven2004,"Quelven et al 2004, estim.",primary,journal_article,resolved,"Quelven et al 2004, estim.",quelven2004
1337,Mus musculus,Mus,Kaufman__2004,TableA3,121,121,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,119.2,umol/100g/min,119.2,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,"(Bouilleret et al., 2000)","(Bouilleret et al., 2000)",bouilleret2000,"(Bouilleret et al., 2000)",primary,journal_article,resolved,"(Bouilleret et al., 2000)",bouilleret2000
1338,Mus musculus,Mus,Kaufman__2004,TableA3,122,122,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,96,umol/100g/min,96.0,,5.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,ito1994,"(Ito et al., 1994)","(Ito et al., 1994)",ito1994,"(Ito et al., 1994)",primary,journal_article,resolved,"(Ito et al., 1994)",ito1994
1339,Mus musculus,Mus,Kaufman__2004,TableA3,123,123,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,81,umol/100g/min,81.0,,8.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,jay1985,"(Jay etal., 1985)","(Jay etal., 1985)",jay1985,"(Jay etal., 1985)",primary,journal_article,resolved,"(Jay etal., 1985)",jay1985
1340,Mus musculus,Mus,Kaufman__2004,TableA3,124,124,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,141.6,umol/100g/min,141.6,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1341,Mus musculus,Mus,Kaufman__2004,TableA3,125,125,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,143.8,umol/100g/min,143.8,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1342,Mus musculus,Mus,Kaufman__2004,TableA3,126,126,Thalamus,Thalamus,,CMRgl,cerebral_metabolic_rate,64.1,umol/100g/min,64.1,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992a)","(Yamaguchi et al., 1992a)",yamaguchi1992,"(Yamaguchi et al., 1992a)",primary,journal_article,resolved,"(Yamaguchi et al., 1992a)",yamaguchi1992
1343,Mus musculus,mouse,Karbowski__2007,TableS3,1,1,Visual_cortex,Visual cortex,Visual cortex,CMRgl,cerebral_metabolic_rate,1.11,umol/g/min,111.00000000000001,12.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,quelven2004,"Quelven et al 2004, estim.","Quelven et al 2004, estim.",quelven2004,"Quelven et al 2004, estim.",primary,journal_article,resolved,"Quelven et al 2004, estim.",quelven2004
1344,Mus musculus,mouse,Karbowski__2007,TableS23,1,1,White_matter,White matter,Corpus callosum,CMRgl,cerebral_metabolic_rate,0.47,umol/g/min,47.0,10.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,quelven2004,"Quelven et al 2004, estim.","Quelven et al 2004, estim.",quelven2004,"Quelven et al 2004, estim.",primary,journal_article,resolved,"Quelven et al 2004, estim.",quelven2004
1345,Mus musculus,Mus,Kaufman__2004,TableA5,77,77,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,39.5,umol/100g/min,39.5,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,"(Bouilleret et al., 2000)","(Bouilleret et al., 2000)",bouilleret2000,"(Bouilleret et al., 2000)",primary,journal_article,resolved,"(Bouilleret et al., 2000)",bouilleret2000
1346,Mus musculus,Mus,Kaufman__2004,TableA5,78,78,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,28.5,umol/100g/min,28.5,,8.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,jay1985,"(Jay et al., 1985)","(Jay et al., 1985)",jay1985,"(Jay et al., 1985)",primary,journal_article,resolved,"(Jay et al., 1985)",jay1985
1347,Mus musculus,Mus,Kaufman__2004,TableA5,79,79,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,66,umol/100g/min,66.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1348,Mus musculus,Mus,Kaufman__2004,TableA5,80,80,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,63,umol/100g/min,63.0,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,niwa2002,"(Niwa et al., 2002)","(Niwa et al., 2002)",niwa2002,"(Niwa et al., 2002)",primary,journal_article,resolved,"(Niwa et al., 2002)",niwa2002
1349,Mus musculus,Mus,Kaufman__2004,TableA5,81,81,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,22,umol/100g/min,22.0,,4.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,nowaczyk1981,"(Nowaczyk and Des Rosiers, 1981)","(Nowaczyk and Des Rosiers, 1981)",nowaczyk1981,"(Nowaczyk and Des Rosiers, 1981)",primary,journal_article,resolved,"(Nowaczyk and Des Rosiers, 1981)",nowaczyk1981
1350,Mus musculus,Mus,Kaufman__2004,TableA5,82,82,White_matter,White Matter,,CMRgl,cerebral_metabolic_rate,26.5,umol/100g/min,26.5,,6.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et al., 1992b)","(Yamaguchi et al., 1992b)",yamaguchi1992,"(Yamaguchi et al., 1992b)",primary,journal_article,resolved,"(Yamaguchi et al., 1992b)",yamaguchi1992
1351,Mus musculus,mouse,Karbowski__2007,TableS2,1,1,Whole_brain,Brain,Brain,CMRgl,cerebral_metabolic_rate,0.89,umol/g/min,89.0,14.000000000000002,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,bouilleret2000,Bouilleret et al 2000,Bouilleret et al 2000,bouilleret2000,Bouilleret et al 2000,primary,journal_article,resolved,Bouilleret et al 2000,bouilleret2000
1352,Mus musculus,Mus,Kaufman__2004,TableA14,183,183,Whole_brain,Whole Brain (direct measurement),,CMRgl,cerebral_metabolic_rate,58,umol/100g/min,58.0,,5.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,itoh2001,"(Itoh et al., 2001)","(Itoh et al., 2001)",itoh2001,"(Itoh et al., 2001)",primary,journal_article,resolved,"(Itoh et al., 2001)",itoh2001
1353,Mus musculus,Mus,Kaufman__2004,TableA14,184,184,Whole_brain,Whole Brain (direct measurement),,CMRgl,cerebral_metabolic_rate,71.6,umol/100g/min,71.6,,10.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,kamp1980,"(Kamp et al., 1980)","(Kamp et al., 1980)",kamp1980,"(Kamp et al., 1980)",primary,journal_article,resolved,"(Kamp et al., 1980)",kamp1980
1354,Mus musculus,Mus,Kaufman__2004,TableA14,185,185,Whole_brain,Whole Brain (direct measurement),,CMRgl,cerebral_metabolic_rate,65,umol/100g/min,65.0,,17.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,kamp1980,"(Kamp et al., 1980)","(Kamp et al., 1980)",kamp1980,"(Kamp et al., 1980)",primary,journal_article,resolved,"(Kamp et al., 1980)",kamp1980
1355,Mus musculus,Mus,Kaufman__2004,TableA14,186,186,Whole_brain,Whole Brain (direct measurement),,CMRgl,cerebral_metabolic_rate,77.53,umol/100g/min,77.53,,5.0,umol/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,vannucci1997,"(Vannucci et al., 1997)","(Vannucci et al., 1997)",vannucci1997,"(Vannucci et al., 1997)",primary,journal_article,resolved,"(Vannucci et al., 1997)",vannucci1997
1356,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS17,8,8,Amygdala,Amygdala,Amygdala,CMRgl,cerebral_metabolic_rate,0.39,umol/g/min,39.0,1.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1357,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS22,9,9,Brain_stem,Brain stem,Superior colliculus,CMRgl,cerebral_metabolic_rate,0.62,umol/g/min,62.0,1.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1358,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS22,23,23,Brain_stem,Brain stem,Inferior colliculus,CMRgl,cerebral_metabolic_rate,1.26,umol/g/min,126.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1359,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS16,8,8,Hippocampus,Hippocampus,Hippocampus,CMRgl,cerebral_metabolic_rate,0.58,umol/g/min,57.99999999999999,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1360,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS15,11,11,Hypothalamus,Hypothalamus,Hypothalamus,CMRgl,cerebral_metabolic_rate,0.62,umol/g/min,62.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1361,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS15,24,24,Hypothalamus,Hypothalamus,Mammilary body,CMRgl,cerebral_metabolic_rate,0.68,umol/g/min,68.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1362,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS11,3,3,Neocortex,Cerebral cortex,Cerebral cortex,CMRgl,cerebral_metabolic_rate,0.84,umol/g/min,84.0,9.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,nNA,N=4,N=4,nNA,N=4,primary,journal_article,unresolved,N=4,nNA
1363,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS12,8,8,Neocortex,Cerebral cortex,Cerebral cortex,CMRgl,cerebral_metabolic_rate,0.83,umol/g/min,83.0,8.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1364,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS21,9,9,Pallidum,Globus pallidus,Globus pallidus,CMRgl,cerebral_metabolic_rate,0.42,umol/g/min,42.0,2.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1365,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS10,5,5,Parietal_cortex,Parietal cortex,Parietal cortex,CMRgl,cerebral_metabolic_rate,0.73,umol/g/min,73.0,8.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1366,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS8,7,7,Sensorimotor_cortex,Sensorimotor cortex,Sensorimotor cortex,CMRgl,cerebral_metabolic_rate,0.83,umol/g/min,83.0,7.000000000000001,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1367,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS18,11,11,Septum,Septum,Septum,CMRgl,cerebral_metabolic_rate,0.48,umol/g/min,48.0,2.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1368,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS20,8,8,Substantia_nigra,Substantia nigra,Substantia nigra,CMRgl,cerebral_metabolic_rate,0.48,umol/g/min,48.0,3.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
1369,Oryctolagus cuniculus,rabbit,Karbowski__2007,TableS7,9,9,Temporal_cortex,Temporal cortex,Temporal cortex,CMRgl,cerebral_metabolic_rate,1.02,umol/g/min,102.0,10.0,,umol/100g/min,unknown,resting_unknown,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,passero1981,Passero et al 1981,Passero et al 1981,passero1981,Passero et al 1981,primary,journal_article,resolved,Passero et al 1981,passero1981
