Species_binomial,Kaufman_genus,weighting,region,measure,units,N,Mean,SD,CV,CVstar
Felis_catus,Felis,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Thalamus,CMRgl,umol/100g/min,2,71.7,19.37,27.02,30.4
Felis_catus,Felis,unweighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,White Matter,CMRgl,umol/100g/min,1,12,2,16.67,20.83
Felis_catus,Felis,weighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Basal Ganglia,CMRgl,umol/100g/min,11,55.87,12.76,22.84,23.36
Felis_catus,Felis,weighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Cerebellum,CMRgl,umol/100g/min,4,31.5,6,19.05,20.24
Felis_catus,Felis,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Cingulate Cortex,CMRgl,umol/100g/min,4,47,10,21.28,22.61
Felis_catus,Felis,weighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Cortex,CMRgl,umol/100g/min,11,66.47,12.19,18.34,18.76
Felis_catus,Felis,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Frontal Cortex,CMRgl,umol/100g/min,4,49,16,32.65,34.69
Felis_catus,Felis,weighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Hippocampus,CMRgl,umol/100g/min,11,50.55,12.9,25.52,26.1
Felis_catus,Felis,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Occipital Cortex,CMRgl,umol/100g/min,4,58,8,13.79,14.66
Felis_catus,Felis,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Parietal Cortex,CMRgl,umol/100g/min,4,45,16,35.56,37.78
Felis_catus,Felis,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Temporal Cortex,CMRgl,umol/100g/min,4,46,16,34.78,36.96
Felis_catus,Felis,weighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,Thalamus,CMRgl,umol/100g/min,11,75.44,14.32,18.98,19.41
Felis_catus,Felis,weighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,weighted,White Matter,CMRgl,umol/100g/min,4,12,2,16.67,17.71
Homo_sapiens,Homo,unweighted,Auditory Cortex,CMRgl,umol/100g/min,4,40.23,5.41,13.44,14.28
Homo_sapiens,Homo,unweighted,Basal Ganglia,CBF,mL/100g/min,4,45.75,5.28,11.54,12.27
Homo_sapiens,Homo,unweighted,Basal Ganglia,CMRO2,umol/100g/min,11,169.63,33.78,19.92,20.37
Homo_sapiens,Homo,unweighted,Basal Ganglia,CMRgl,umol/100g/min,32,36.72,6.99,19.04,19.19
Homo_sapiens,Homo,unweighted,Cerebellum,CBF,mL/100g/min,5,57.75,16.49,28.56,29.98
Homo_sapiens,Homo,unweighted,Cerebellum,CMRO2,umol/100g/min,8,183.41,30.87,16.83,17.36
Homo_sapiens,Homo,unweighted,Cerebellum,CMRgl,umol/100g/min,22,33.02,5.68,17.21,17.4
Homo_sapiens,Homo,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,3,150.8,36.96,24.51,26.55
Homo_sapiens,Homo,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,12,38.9,7.5,19.28,19.68
Homo_sapiens,Homo,unweighted,Cortex,CBF,mL/100g/min,10,44.61,2.25,5.04,5.16
Homo_sapiens,Homo,unweighted,Cortex,CMRO2,umol/100g/min,13,150.73,20.23,13.42,13.68
Homo_sapiens,Homo,unweighted,Cortex,CMRgl,umol/100g/min,49,35.68,6.4,17.94,18.03
Homo_sapiens,Homo,unweighted,Frontal Cortex,CMRO2,umol/100g/min,18,149.39,27.7,18.54,18.8
Homo_sapiens,Homo,unweighted,Frontal Cortex,CMRgl,umol/100g/min,40,36.31,6.51,17.94,18.05
Homo_sapiens,Homo,unweighted,Hippocampus,CBF,mL/100g/min,2,47.4,7.35,15.51,17.45
Homo_sapiens,Homo,unweighted,Hippocampus,CMRO2,umol/100g/min,1,137.05,24.6,17.95,22.44
Homo_sapiens,Homo,unweighted,Hippocampus,CMRgl,umol/100g/min,8,30.34,6.71,22.12,22.81
Homo_sapiens,Homo,unweighted,Occipital Cortex,CMRO2,umol/100g/min,18,167.31,32.81,19.61,19.88
Homo_sapiens,Homo,unweighted,Occipital Cortex,CMRgl,umol/100g/min,31,37.37,7.1,18.99,19.15
Homo_sapiens,Homo,unweighted,Parietal Cortex,CMRO2,umol/100g/min,16,155.25,26.87,17.31,17.58
Homo_sapiens,Homo,unweighted,Parietal Cortex,CMRgl,umol/100g/min,36,36.02,7.85,21.79,21.95
Homo_sapiens,Homo,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,5,148.43,34.39,23.17,24.33
Homo_sapiens,Homo,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,10,37.31,7.76,20.8,21.32
Homo_sapiens,Homo,unweighted,Temporal Cortex,CMRO2,umol/100g/min,14,155.13,25.49,16.43,16.72
Homo_sapiens,Homo,unweighted,Temporal Cortex,CMRgl,umol/100g/min,37,33.23,6.86,20.64,20.78
Homo_sapiens,Homo,unweighted,Thalamus,CBF,mL/100g/min,8,54.23,7.59,14,14.43
Homo_sapiens,Homo,unweighted,Thalamus,CMRO2,umol/100g/min,9,177.33,38.21,21.55,22.15
Homo_sapiens,Homo,unweighted,Thalamus,CMRgl,umol/100g/min,33,36.51,6.26,17.16,17.29
Homo_sapiens,Homo,unweighted,White Matter,CBF,mL/100g/min,11,23.07,3.61,15.65,16.01
Homo_sapiens,Homo,unweighted,White Matter,CMRO2,umol/100g/min,10,74.8,10.54,14.09,14.44
Homo_sapiens,Homo,unweighted,White Matter,CMRgl,umol/100g/min,13,19.15,5.36,27.99,28.53
Homo_sapiens,Homo,unweighted,Whole Brain,CBF,mL/100g/min,35,53.06,7.04,13.27,13.36
Homo_sapiens,Homo,unweighted,Whole Brain,CMRO2,umol/100g/min,37,156.92,18.64,11.88,11.96
Homo_sapiens,Homo,unweighted,Whole Brain,CMRgl,umol/100g/min,22,29.31,4.42,15.07,15.24
Homo_sapiens,Homo,weighted,Auditory Cortex,CMRgl,umol/100g/min,45,40.56,5.87,14.47,14.55
Homo_sapiens,Homo,weighted,Basal Ganglia,CBF,mL/100g/min,52,43.54,7.46,17.13,17.21
Homo_sapiens,Homo,weighted,Basal Ganglia,CMRO2,umol/100g/min,133,156.16,28.11,18,18.03
Homo_sapiens,Homo,weighted,Basal Ganglia,CMRgl,umol/100g/min,372,37.63,6.93,18.42,18.43
Homo_sapiens,Homo,weighted,Cerebellum,CBF,mL/100g/min,73,56.99,11.68,20.5,20.57
Homo_sapiens,Homo,weighted,Cerebellum,CMRO2,umol/100g/min,92,180.09,31.66,17.58,17.63
Homo_sapiens,Homo,weighted,Cerebellum,CMRgl,umol/100g/min,299,33.91,6.06,17.87,17.89
Homo_sapiens,Homo,weighted,Cingulate Cortex,CMRO2,umol/100g/min,49,132.9,29.67,22.32,22.44
Homo_sapiens,Homo,weighted,Cingulate Cortex,CMRgl,umol/100g/min,110,39.19,6.52,16.64,16.68
Homo_sapiens,Homo,weighted,Cortex,CBF,mL/100g/min,125,43.98,6.9,15.69,15.72
Homo_sapiens,Homo,weighted,Cortex,CMRO2,umol/100g/min,169,143.74,21.86,15.21,15.23
Homo_sapiens,Homo,weighted,Cortex,CMRgl,umol/100g/min,650,36.78,6.88,18.7,18.71
Homo_sapiens,Homo,weighted,Frontal Cortex,CMRO2,umol/100g/min,240,149.07,24.43,16.39,16.41
Homo_sapiens,Homo,weighted,Frontal Cortex,CMRgl,umol/100g/min,550,37.34,7.53,20.17,20.18
Homo_sapiens,Homo,weighted,Hippocampus,CBF,mL/100g/min,40,48.96,8.54,17.44,17.55
Homo_sapiens,Homo,weighted,Hippocampus,CMRO2,umol/100g/min,14,137.05,24.6,17.95,18.27
Homo_sapiens,Homo,weighted,Hippocampus,CMRgl,umol/100g/min,106,29.25,4.79,16.38,16.42
Homo_sapiens,Homo,weighted,Occipital Cortex,CMRO2,umol/100g/min,240,165.2,30.57,18.5,18.52
Homo_sapiens,Homo,weighted,Occipital Cortex,CMRgl,umol/100g/min,442,38.01,7.51,19.76,19.77
Homo_sapiens,Homo,weighted,Parietal Cortex,CMRO2,umol/100g/min,219,148.41,25.39,17.11,17.13
Homo_sapiens,Homo,weighted,Parietal Cortex,CMRgl,umol/100g/min,537,37.15,7.06,19.01,19.01
Homo_sapiens,Homo,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,101,152.69,26.85,17.59,17.63
Homo_sapiens,Homo,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,113,36.79,6.6,17.94,17.98
Homo_sapiens,Homo,weighted,Temporal Cortex,CMRO2,umol/100g/min,158,148.91,25.57,17.17,17.2
Homo_sapiens,Homo,weighted,Temporal Cortex,CMRgl,umol/100g/min,520,34.23,6.23,18.2,18.21
Homo_sapiens,Homo,weighted,Thalamus,CBF,mL/100g/min,114,54.15,11.7,21.61,21.66
Homo_sapiens,Homo,weighted,Thalamus,CMRO2,umol/100g/min,102,161.66,31.52,19.5,19.54
Homo_sapiens,Homo,weighted,Thalamus,CMRgl,umol/100g/min,406,37.41,6.95,18.58,18.59
Homo_sapiens,Homo,weighted,White Matter,CBF,mL/100g/min,172,23.62,5.01,21.22,21.25
Homo_sapiens,Homo,weighted,White Matter,CMRO2,umol/100g/min,146,75.68,12.01,15.87,15.9
Homo_sapiens,Homo,weighted,White Matter,CMRgl,umol/100g/min,158,18.06,3.55,19.65,19.68
Homo_sapiens,Homo,weighted,Whole Brain,CBF,mL/100g/min,335,53.25,9.14,17.16,17.18
Homo_sapiens,Homo,weighted,Whole Brain,CMRO2,umol/100g/min,358,155.44,27.19,17.49,17.5
Homo_sapiens,Homo,weighted,Whole Brain,CMRgl,umol/100g/min,216,29.98,5.28,17.61,17.63
Macaca (Genus),Macaca,unweighted,Auditory Cortex,CMRgl,umol/100g/min,1,70.3,12.2,17.35,21.69
Macaca (Genus),Macaca,unweighted,Basal Ganglia,CBF,mL/100g/min,1,60.5,11.1,18.35,22.93
Macaca (Genus),Macaca,unweighted,Basal Ganglia,CMRO2,umol/100g/min,1,255,32,12.55,15.69
Macaca (Genus),Macaca,unweighted,Basal Ganglia,CMRgl,umol/100g/min,9,44.5,5.83,13.09,13.46
Macaca (Genus),Macaca,unweighted,Cerebellum,CBF,mL/100g/min,1,47.8,5.1,10.67,13.34
Macaca (Genus),Macaca,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Cerebellum,CMRgl,umol/100g/min,6,28.1,4.49,15.97,16.64
Macaca (Genus),Macaca,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,7,42.96,9.56,22.26,23.05
Macaca (Genus),Macaca,unweighted,Cortex,CBF,mL/100g/min,1,53,7.5,14.15,17.69
Macaca (Genus),Macaca,unweighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Cortex,CMRgl,umol/100g/min,10,50.45,7.95,15.76,16.15
Macaca (Genus),Macaca,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Frontal Cortex,CMRgl,umol/100g/min,6,47.92,11.24,23.46,24.44
Macaca (Genus),Macaca,unweighted,Hippocampus,CBF,mL/100g/min,1,53.9,7.6,14.1,17.63
Macaca (Genus),Macaca,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Hippocampus,CMRgl,umol/100g/min,7,34.1,4.57,13.41,13.89
Macaca (Genus),Macaca,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Occipital Cortex,CMRgl,umol/100g/min,7,55.79,12.05,21.61,22.38
Macaca (Genus),Macaca,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Parietal Cortex,CMRgl,umol/100g/min,2,42.73,7.81,18.29,20.57
Macaca (Genus),Macaca,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,51.61,7.39,14.32,14.92
Macaca (Genus),Macaca,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Temporal Cortex,CMRgl,umol/100g/min,3,36.4,1.44,3.96,4.29
Macaca (Genus),Macaca,unweighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,Thalamus,CMRgl,umol/100g/min,10,45.22,5.26,11.63,11.92
Macaca (Genus),Macaca,unweighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,unweighted,White Matter,CMRgl,umol/100g/min,6,12.55,2.94,23.41,24.39
Macaca (Genus),Macaca,unweighted,Whole Brain,CBF,mL/100g/min,4,74.93,23.84,31.82,33.81
Macaca (Genus),Macaca,unweighted,Whole Brain,CMRO2,umol/100g/min,4,244.19,74.13,30.36,32.25
Macaca (Genus),Macaca,unweighted,Whole Brain,CMRgl,umol/100g/min,5,43.15,11.6,26.88,28.22
Macaca (Genus),Macaca,weighted,Auditory Cortex,CMRgl,umol/100g/min,6,70.3,12.2,17.35,18.08
Macaca (Genus),Macaca,weighted,Basal Ganglia,CBF,mL/100g/min,6,60.5,11.1,18.35,19.11
Macaca (Genus),Macaca,weighted,Basal Ganglia,CMRO2,umol/100g/min,6,255,32,12.55,13.07
Macaca (Genus),Macaca,weighted,Basal Ganglia,CMRgl,umol/100g/min,40,44.33,5.65,12.74,12.82
Macaca (Genus),Macaca,weighted,Cerebellum,CBF,mL/100g/min,6,47.8,5.1,10.67,11.11
Macaca (Genus),Macaca,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Cerebellum,CMRgl,umol/100g/min,25,28.12,4.64,16.5,16.66
Macaca (Genus),Macaca,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Cingulate Cortex,CMRgl,umol/100g/min,29,42.35,6.59,15.56,15.7
Macaca (Genus),Macaca,weighted,Cortex,CBF,mL/100g/min,6,53,7.5,14.15,14.74
Macaca (Genus),Macaca,weighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Cortex,CMRgl,umol/100g/min,46,49.99,6.02,12.04,12.11
Macaca (Genus),Macaca,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Frontal Cortex,CMRgl,umol/100g/min,25,44.86,6.93,15.45,15.6
Macaca (Genus),Macaca,weighted,Hippocampus,CBF,mL/100g/min,6,53.9,7.6,14.1,14.69
Macaca (Genus),Macaca,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Hippocampus,CMRgl,umol/100g/min,31,34.62,3.15,9.1,9.17
Macaca (Genus),Macaca,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Occipital Cortex,CMRgl,umol/100g/min,31,53.27,7.04,13.21,13.32
Macaca (Genus),Macaca,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Parietal Cortex,CMRgl,umol/100g/min,10,41.62,7.8,18.74,19.21
Macaca (Genus),Macaca,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,23,51.58,3.97,7.7,7.78
Macaca (Genus),Macaca,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Temporal Cortex,CMRgl,umol/100g/min,15,36.08,6.67,18.49,18.79
Macaca (Genus),Macaca,weighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,Thalamus,CMRgl,umol/100g/min,44,44.82,4.41,9.84,9.9
Macaca (Genus),Macaca,weighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Macaca (Genus),Macaca,weighted,White Matter,CMRgl,umol/100g/min,24,12.34,2.22,17.99,18.18
Macaca (Genus),Macaca,weighted,Whole Brain,CBF,mL/100g/min,22,67.33,11.55,17.15,17.35
Macaca (Genus),Macaca,weighted,Whole Brain,CMRO2,umol/100g/min,22,214.93,57.89,26.93,27.24
Macaca (Genus),Macaca,weighted,Whole Brain,CMRgl,umol/100g/min,28,40.66,11.05,27.18,27.42
Meriones_unguiculatus,Meriones,unweighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Basal Ganglia,CBF,mL/100g/min,2,113.75,47.73,41.96,47.21
Meriones_unguiculatus,Meriones,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Basal Ganglia,CMRgl,umol/100g/min,3,83.8,27.86,33.25,36.02
Meriones_unguiculatus,Meriones,unweighted,Cerebellum,CBF,mL/100g/min,1,93,15.8,16.99,21.24
Meriones_unguiculatus,Meriones,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Cerebellum,CMRgl,umol/100g/min,1,44.4,14.4,32.43,40.54
Meriones_unguiculatus,Meriones,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Cortex,CBF,mL/100g/min,2,112.8,32.24,28.59,32.16
Meriones_unguiculatus,Meriones,unweighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Cortex,CMRgl,umol/100g/min,3,78.51,16.38,20.87,22.61
Meriones_unguiculatus,Meriones,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Frontal Cortex,CMRgl,umol/100g/min,1,67.8,15,22.12,27.65
Meriones_unguiculatus,Meriones,unweighted,Hippocampus,CBF,mL/100g/min,1,109,9,8.26,10.32
Meriones_unguiculatus,Meriones,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Hippocampus,CMRgl,umol/100g/min,1,69,19,27.54,34.42
Meriones_unguiculatus,Meriones,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,69.4,20.6,29.68,37.1
Meriones_unguiculatus,Meriones,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Parietal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,1,67.2,16.7,24.85,31.06
Meriones_unguiculatus,Meriones,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Thalamus,CBF,mL/100g/min,1,117,10,8.55,10.68
Meriones_unguiculatus,Meriones,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Thalamus,CMRgl,umol/100g/min,2,74.4,5.52,7.41,8.34
Meriones_unguiculatus,Meriones,unweighted,White Matter,CBF,mL/100g/min,1,62,12,19.35,24.19
Meriones_unguiculatus,Meriones,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,White Matter,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,unweighted,Whole Brain,CBF,mL/100g/min,1,102,12.6,12.35,15.44
Meriones_unguiculatus,Meriones,unweighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
